آذى|أآذي|آذي|آذت|آذيتوا|يآذي|آذينا|يِآذي|نآذي|يآذوا|تآذوا|āza|آذوا|آذيت|تآذي|آذيتي	<i>verb</i><br><ol><li>to harm</li></ol>
آسيا|ʾāsya	<i>name</i><br><ol><li>Asia (continent)</li></ol>
آيسكريم|ʾāyskirīm	<i>noun</i><br><ol><li>ice cream</li></ol>
أبجورة|abajōra|أبجورات|abajōrāt	<i>noun</i><br><ol><li>bedside lamp</li></ol>
أبلة|أبلات|ʔabla	<i>noun</i><br><ol><li>female teacher</li><li>older sister</li></ol>
أبله|ʼablah|بلها|بله	<i>noun</i><br><ol><li>fool, idiot</li></ol>
أبو فروة|ʼabu farwa	<i>noun</i><br><ol><li>chestnut</li></ol>
أتسلق|نتسلق|يتسلقوا|تتسلقي|اتسلقوا|تتسلقوا|يتسلق|اتسلقي|yitsallag|أتسلقتوا|atsallag|أتسلقتي|أتسلقنا|تتسلق|أتسلقت|أتسلقوا|اتسلق	<i>verb</i><br><ol><li>to climb</li></ol>
أتكلم|تتكلم|atkallam|تتكلموا|أتكلمنا|اتكلمي|تتكلمي|أتكلموا|أتكلمتي|اتكلموا|أتكلمت|نتكلم|أتكلمتوا|اتكلم|يتكلم|يتكلموا	<i>verb</i><br><ol><li>to speak, talk</li></ol>
أحبك|ʼaḥubbik|أَحُبِّك|أَحُبَّك|ʼaḥubbak	<i>phrase</i><br><ol><li>I love you (to a male)</li><li>I love you (to a female)</li></ol>
أخت|أخوات|uḵt	<i>noun</i><br><ol><li>sister</li></ol>
أرخبيل|أرخبيلات|ʔarḵabīl	<i>noun</i><br><ol><li>archipelago</li></ol>
أرقوز|ʔaragōz|أرقوزات	<i>noun</i><br><ol><li>clown</li></ol>
أرقيلة|أراقيل|ʼargīla	<i>noun</i><br><ol><li>hookah</li></ol>
أزرق|زَرْقا|زرق|زُرُق|zarga|زرقا|ʾazrag	<i>noun</i><br><ol><li>blue</li></ol><br><i>adj</i><br><ol><li>blue colored</li></ol>
أسبوع|usbūʕ|أَسَابيع	<i>noun</i><br><ol><li>week</li></ol>
أسطوانة|ʔusṭuwāna|أسطوانات	<i>noun</i><br><ol><li>cylinder</li><li>vinyl record</li></ol>
أصباع|أصابع|أُصْبَاعين|أصَابيع|ʼuṣbāʿ	<i>noun</i><br><ol><li>finger</li><li>toe</li></ol>
