Abril	<i>name</i><br><ol><li>April</li></ol>
Agosto	<i>name</i><br><ol><li>August</li></ol>
Bacolodnon	<i>noun</i><br><ol><li>A native or inhabitant of Bacolod City.</li></ol>
Basco	<i>name</i><br><ol><li>Basco (a municipality, the provincial capital of Batanes, Philippines)</li></ol>
Binisaya|Binisayâ	<i>adj</i><br><ol><li>Visayan</li></ol><br><i>name</i><br><ol><li>one of the Visayan language</li></ol>
Bisaya|Binisayâ|Bisayâ	<i>adj</i><br><ol><li>Visayan</li></ol><br><i>name</i><br><ol><li>any of the Visayan language</li><li>(specifically) Cebuano (language)</li></ol>
Biyernes	<i>noun</i><br><ol><li>Friday</li></ol>
Cotabato	<i>name</i><br><ol><li>Cotabato (a province of the Philippines; capital: Kidapawan)</li></ol>
Diosnon|Diósnon	<i>adj</i><br><ol><li>devout</li></ol>
Disyembre	<i>name</i><br><ol><li>December</li></ol>
Dominggo	<i>name</i><br><ol><li>Sunday</li></ol>
Dueñas	<i>name</i><br><ol><li>A municipality of Iloilo.</li></ol>
Enero	<i>name</i><br><ol><li>January</li></ol>
Escalante	<i>name</i><br><ol><li>A city in Negros Occidental, Philippines.</li></ol>
Espanya|Espánya	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Espiritu Santo|Espiritú Sánto	<i>name</i><br><ol><li>(religion) Holy Ghost</li></ol>
Hesus|Hesús	<i>name</i><br><ol><li>Jesus</li></ol>
Hinaraya|Hiniraya	<i>name</i><br><ol><li>Karay-a (language, usually perceived as a dialect of Hiligaynon spoken on the mountain regions of Iloilo province)</li></ol>
Hulyo	<i>name</i><br><ol><li>July</li></ol>
Hunyo	<i>name</i><br><ol><li>June</li></ol>
Kainsikán	<i>name</i><br><ol><li>China (a country in Asia)</li></ol>
Katsila|Katsilà	<i>adj</i><br><ol><li>Spanish</li></ol><br><i>noun</i><br><ol><li>Spaniard</li></ol>
Lapuz	<i>name</i><br><ol><li>A district of Iloilo City.</li></ol>
Lunes	<i>name</i><br><ol><li>Monday</li></ol>
Marso	<i>name</i><br><ol><li>March</li></ol>
Martes	<i>name</i><br><ol><li>Tuesday</li></ol>
Mayo	<i>name</i><br><ol><li>May</li></ol>
Nobyembre	<i>name</i><br><ol><li>November</li></ol>
Oktubre	<i>name</i><br><ol><li>October</li></ol>
Pebrero	<i>name</i><br><ol><li>February</li></ol>
Roxas	<i>name</i><br><ol><li>Manuel Roxas, 5th President of the Philippines</li><li>Roxas (the provincial capital, the largest city in Capiz, Philippines)</li><li>Roxas (a municipality of Oriental Mindoro, Philippines)</li></ol>
Sabado	<i>name</i><br><ol><li>Saturday</li></ol>
Sagaynon	<i>noun</i><br><ol><li>A native or inhabitant of Sagay City.</li></ol>
Setyembre	<i>name</i><br><ol><li>September</li></ol>
Valderrama	<i>name</i><br><ol><li>A municipality of Antique, Philippines.</li></ol>
a-a|á-a|a-â	<i>intj</i><br><ol><li>An exclamation of sorrow or anguish</li><li>Now then</li><li>Fie</li></ol>
ab-ab|áb-ab	<i>verb</i><br><ol><li>to eat</li><li>to undermine</li><li>to wash away</li></ol>
aba|abâ|abá	<i>intj</i><br><ol><li>alas, gosh, well, whew</li><li>wow</li><li>(questioning) really</li><li>(questioning) ah, oh</li></ol><br><i>noun</i><br><ol><li>(anatomy) shoulder blade</li></ol><br><i>verb</i><br><ol><li>To carry on one's back</li></ol>
aba-a|abaa|abáa|abá-a	<i>intj</i><br><ol><li>oh</li><li>alas</li><li>indeed</li></ol>
abad|abád	<i>noun</i><br><ol><li>abbot</li></ol>
abadesa|abadésa	<i>noun</i><br><ol><li>abbess</li></ol>
abadia|abadíya	<i>noun</i><br><ol><li>abbey</li></ol>
abaga|abága	<i>noun</i><br><ol><li>(anatomy) shoulder</li></ol><br><i>verb</i><br><ol><li>to shoulder something</li></ol>
abaganhan|abangánhan	<i>adj</i><br><ol><li>broad-shouldered</li></ol>
abak|ábak|abák-abák	<i>verb</i><br><ol><li>to follow in quick succession</li></ol>
abaka|abaká	<i>noun</i><br><ol><li>Manila hemp, abaca</li></ol>
abakahan|abakahán	<i>noun</i><br><ol><li>someone who is rich in hemp plants</li></ol>
abakan|abákan	<i>noun</i><br><ol><li>a small fish of a reddish color</li></ol>
aban|ában	<i>verb</i><br><ol><li>to finish</li><li>(of a loom) to take off</li></ol>
abang|ábang|abáng	<i>noun</i><br><ol><li>avarice, greediness</li></ol><br><i>verb</i><br><ol><li>To be within range of a fire</li></ol>
abang-abang|abáng-ábang	<i>verb</i><br><ol><li>to help or assist</li></ol>
abaniko|abaníko	<i>noun</i><br><ol><li>Folding fan.</li></ol><br><i>verb</i><br><ol><li>to fan, cool one's self</li></ol>
abano|abáno	<i>noun</i><br><ol><li>a cigar made by machinery</li></ol>
abansada|abansáda	<i>adj</i><br><ol><li>exposed to the wind</li></ol>
abao|abáo	<i>intj</i><br><ol><li>(of grief or sorrow) oh, alas</li><li>an expression of astonishment, joy, or surprise</li></ol>
abas|ábas	<i>noun</i><br><ol><li>A type of bean</li></ol>
abat|abát-ábat|paábat	<i>verb</i><br><ol><li>to follow after</li></ol>
abat-abat|abát-abát	<i>verb</i><br><ol><li>to follow closely</li><li>living from hand to mouth</li></ol>
abay|abáy|paabáy|abáy-abáy	<i>verb</i><br><ol><li>to enter; join</li><li>to associate; mingle</li></ol>
abay-abay|abáy-abáy	<i>verb</i><br><ol><li>to interfere or meddle</li></ol>
abayan|abáyan	<i>adj</i><br><ol><li>(superstition) liable to fall under an evil spell or magic</li></ol>
abelyana|abelyána	<i>adj</i><br><ol><li>brown, hazel</li></ol><br><i>noun</i><br><ol><li>hazelnut</li></ol>
abi|ábi	<i>adv</i><br><ol><li>for instance</li></ol><br><i>verb</i><br><ol><li>imagine</li><li>think</li><li>say aloud</li></ol>
abi-abi|abí-ábi	<i>verb</i><br><ol><li>to greet</li><li>to treat someone hospitably</li></ol>
abian|abyan|ábyan|ábian	<i>noun</i><br><ol><li>comrade, friend</li></ol><br><i>verb</i><br><ol><li>to be friends</li></ol>
abiar|abiár	<i>verb</i><br><ol><li>to invite</li><li>to provision for a journey</li></ol>
abibar|abibár	<i>verb</i><br><ol><li>to urge, encourage, rouse</li></ol>
abierto|abyérto|abyerto|abiérto	<i>adj</i><br><ol><li>open</li><li>accessible</li></ol>
abilay	<i>noun</i><br><ol><li>shawl</li></ol>
abilidad|abilidád	<i>noun</i><br><ol><li>ability, capacity</li><li>talent, mastery</li><li>knowledge</li><li>dexterity</li></ol>
abiog|ábiog|abyog|ábyog	<i>verb</i><br><ol><li>to move to and fro, to swing or rock</li></ol>
abiogan|abyogán|abyogan|abiogán	<i>noun</i><br><ol><li>a swing</li></ol>
abir|abír	<i>noun</i><br><ol><li>assets, property</li></ol>
abisar|abisár	<i>verb</i><br><ol><li>to advise, inform, notify</li></ol>
abiso|abíso	<i>noun</i><br><ol><li>notice, information</li></ol><br><i>verb</i><br><ol><li>notify, inform</li></ol>
ablang|áblang	<i>noun</i><br><ol><li>breadth, width</li></ol><br><i>verb</i><br><ol><li>broaden, widen</li></ol>
ablaw|áblaw	<i>adj</i><br><ol><li>friendly, sociable</li></ol><br><i>noun</i><br><ol><li>friendliness</li></ol>
ablay|abláy|áblay	<i>noun</i><br><ol><li>shawl</li></ol><br><i>verb</i><br><ol><li>lean</li></ol>
abo|ábo|abó-ábo|abô|abó	<i>noun</i><br><ol><li>ash</li><li>A type of small fish that is said to be lazy</li></ol><br><i>verb</i><br><ol><li>to turn into ash</li></ol><br><i>adj</i><br><ol><li>lazy</li></ol><br><i>intj</i><br><ol><li>an exclamation that denotes aversion, contempt, or negation, equivalent to fie</li></ol>
abo-abo|abó-ábo	<i>adj</i><br><ol><li>the color of ash, ashen</li></ol>
abo-abohon|abó-abóhon	<i>adj</i><br><ol><li>ashen, ash-colored, grey, pale</li></ol>
abogado|abogádo	<i>noun</i><br><ol><li>lawyer</li></ol>
abohan|abohán	<i>noun</i><br><ol><li>fireplace</li><li>hearth</li><li>kitchen</li></ol>
abohon|abohón	<i>adj</i><br><ol><li>ash, grey</li><li>ashy, gray</li></ol>
abokado	<i>noun</i><br><ol><li>avocado</li></ol>
abonar|abonár	<i>verb</i><br><ol><li>advance, loan</li></ol>
abong|ábong	<i>adj</i><br><ol><li>windward</li></ol>
abongho|abóngho	<i>noun</i><br><ol><li>anger, exasperation</li><li>angry</li></ol>
abono|abóno	<i>noun</i><br><ol><li>dung, fertilizer, manure</li></ol>
aborido|aborído	<i>adj</i><br><ol><li>disturbed, uneasy, upset, worried</li></ol>
aborto|abórto	<i>noun</i><br><ol><li>abortion</li><li>miscarriage</li><li>monster</li></ol>
aboy|abóy-abóy|abóy	<i>adj</i><br><ol><li>bent; curved; warped</li></ol><br><i>verb</i><br><ol><li>to bend</li></ol>
aboy-aboy|abóy-abóy	<i>noun</i><br><ol><li>cradle, hammock, swing</li></ol>
abrasita|abrasíta|abrisíta|abrisita	<i>verb</i><br><ol><li>hug</li></ol>
abraso|abráso	<i>verb</i><br><ol><li>hug, embrace</li></ol>
abri|ábri	<i>verb</i><br><ol><li>to open (as a window), unlock (as a gate), or turn on (as a stove)</li><li>to begin, commence</li></ol>
abrigana|abrigána	<i>noun</i><br><ol><li>apéritif</li><li>appetizer</li><li>hors d'oeuvre</li></ol>
abrigo|abrígo	<i>noun</i><br><ol><li>shawl</li></ol>
abrilatas|abrilátas	<i>noun</i><br><ol><li>can opener</li></ol>
absolusyon|absolusyón	<i>noun</i><br><ol><li>absolution, acquittal</li></ol>
absuelto|absuélto	<i>adj</i><br><ol><li>absolved</li></ol>
absurdo|absúrdo	<i>noun</i><br><ol><li>absurdity, nonsense</li></ol>
abtan|ábtan	<i>verb</i><br><ol><li>arrive</li></ol>
abtik|ábtik	<i>noun</i><br><ol><li>dexterity, skill</li></ol>
abu	<i>noun</i><br><ol><li>ash</li></ol>
abud|abúd	<i>noun</i><br><ol><li>hem</li><li>edge</li></ol><br><i>verb</i><br><ol><li>to hem</li></ol>
abuela|abuéla	<i>noun</i><br><ol><li>grandmother</li></ol>
abuelo|abuélo	<i>noun</i><br><ol><li>grandfather</li></ol>
abukay|abúkan	<i>verb</i><br><ol><li>to rummage, to disturb the surface of</li></ol>
abunda|abúnda	<i>adj</i><br><ol><li>abundant, plentiful</li></ol>
abung|abúng	<i>verb</i><br><ol><li>to intercept; to stop; to catch</li></ol>
abusar|abusár	<i>noun</i><br><ol><li>misuse, abuse</li></ol><br><i>verb</i><br><ol><li>to misuse or abuse, to take advantage of</li></ol>
abuso|abúso	<i>noun</i><br><ol><li>abuse, impropriety</li></ol><br><i>verb</i><br><ol><li>abuse, beguile, cheat, misuse</li></ol>
abut|abút-ábut|abút-abút|abút	<i>verb</i><br><ol><li>to arrive at a place</li><li>to catch up with or overtake</li></ol>
abut-abut|abút-abút	<i>verb</i><br><ol><li>following in quick succession</li></ol>
abwa|ábwà	<i>verb</i><br><ol><li>make</li><li>gather, collect</li></ol>
abyasion|abyasión	<i>noun</i><br><ol><li>aviation</li></ol>
ad-adan|ad-adán	<i>noun</i><br><ol><li>slicer, a frame knife</li></ol>
ada|áda	<i>noun</i><br><ol><li>fairy</li></ol>
adelantado|adelantádo	<i>adj</i><br><ol><li>advanced, modern</li><li>progressive</li></ol>
adelpa|adélpa	<i>noun</i><br><ol><li>oleander</li></ol>
adgaw|ádgaw	<i>noun</i><br><ol><li>a type of tree</li></ol>
adikdik	<i>noun</i><br><ol><li>dandruff</li></ol>
adiong|adióng	<i>noun</i><br><ol><li>a large ship or ark</li></ol>
adios|adiós	<i>intj</i><br><ol><li>goodbye</li></ol>
adlaw	<i>noun</i><br><ol><li>sun</li><li>day</li></ol>
adlawon|adláwon	<i>noun</i><br><ol><li>full daylight after sunrise is over</li></ol>
administrasyon|administrasyón	<i>noun</i><br><ol><li>administration, management</li></ol>
adobi|adóbi	<i>noun</i><br><ol><li>adobe</li></ol>
adorasyon|adorasyón	<i>noun</i><br><ol><li>worship</li></ol>
adorno|adórno	<i>noun</i><br><ol><li>adornment, decoration, embellishment, ornamentation</li></ol><br><i>verb</i><br><ol><li>to adorn, decorate, embellish, or ornament</li></ol>
adtang|ádtang	<i>noun</i><br><ol><li>the forehead</li></ol>
adto	<i>pron</i><br><ol><li>that (far from the addressee)</li></ol>
aduana|aduána	<i>noun</i><br><ol><li>customs (office that taxes imported goods)</li><li>tax, toll</li></ol>
adudulay|adudúlay	<i>noun</i><br><ol><li>A large earthworm</li></ol>
aga|agá-ága	<i>noun</i><br><ol><li>morning</li></ol>
agalon	<i>noun</i><br><ol><li>boss, employer, lord, master</li></ol>
agao|paágaw	<i>verb</i><br><ol><li>to seize or take by force</li></ol>
agda|ágda	<i>verb</i><br><ol><li>invite</li></ol>
agdayan|agdayán	<i>adj</i><br><ol><li>lazy</li><li>dull, slow, stupid</li></ol>
aghon|ághon	<i>noun</i><br><ol><li>compass, more specifically a mariner's compass</li></ol>
agi|agî|agí-ági|ági|agî-ágì	<i>adj</i><br><ol><li>soft or effeminate</li><li>not manly</li></ol><br><i>noun</i><br><ol><li>hermaphrodite</li><li>gay</li><li>passage</li><li>incident</li></ol><br><i>verb</i><br><ol><li>to pass by</li></ol>
agi-agi|agí-ági	<i>adj</i><br><ol><li>Transient, transitory, or passing.</li></ol>
agila|ágila	<i>noun</i><br><ol><li>eagle</li></ol>
aginaldo|agináldo	<i>noun</i><br><ol><li>Christmas present</li></ol>
agogoling|agogóling	<i>noun</i><br><ol><li>bumblebee</li></ol>
agtang	<i>noun</i><br><ol><li>(anatomy) forehead</li></ol>
agwa|ágwa	<i>noun</i><br><ol><li>water</li><li>perfume, scent</li></ol>
agwanta|agwánta	<i>verb</i><br><ol><li>bear, tolerate</li></ol>
agwatato|agwatáto	<i>noun</i><br><ol><li>pimp</li><li>procurer (someone who arranges for prostitution)</li></ol>
ahay	<i>intj</i><br><ol><li>an expression of anger, annoyance, disbelief, and/or displeasure, sometimes equivalent to the English come on and oh man</li></ol>
ahedres|ahedrés	<i>noun</i><br><ol><li>chess</li></ol>
ahensya|ahénsya	<i>noun</i><br><ol><li>agency, pawnshop</li></ol>
ahiti|ahíti	<i>noun</i><br><ol><li>leek</li></ol>
ahos	<i>noun</i><br><ol><li>garlic (Allium sativum)</li></ol>
aihada|aiháda	<i>noun</i><br><ol><li>goddaughter</li></ol>
aihado|aihádo	<i>noun</i><br><ol><li>godson</li></ol>
akal-akal|akál-akál	<i>verb</i><br><ol><li>to bubble or seethe</li></ol>
akasya|akásya	<i>noun</i><br><ol><li>acacia tree</li></ol>
ako	<i>pron</i><br><ol><li>I</li></ol>
ala-asawa|ala-asáwa	<i>noun</i><br><ol><li>concubine, mistress</li></ol>
alabri|alábri	<i>noun</i><br><ol><li>a key, anything used for the purposes of opening something that is closed</li></ol>
