A	<i>character</i><br><ol><li>The first letter of the Hunsrik alphabet, written in the Latin script.</li></ol>
Aadler	<i>noun</i><br><ol><li>eagle</li></ol>
Aandacht|Aandachte	<i>noun</i><br><ol><li>worship (religious ceremony that expresses devotion)</li></ol>
Aanfang|Aanfeng	<i>noun</i><br><ol><li>start, beginning</li></ol>
Aanfenger|Aanfengrin	<i>noun</i><br><ol><li>beginner, novice</li></ol>
Aanstreiche	<i>noun</i><br><ol><li>paint, painting</li><li>coat, coating</li></ol>
Aanstrengung|Aanstrengunge	<i>noun</i><br><ol><li>effort</li></ol>
Aanung|Aanunge	<i>noun</i><br><ol><li>idea, notion</li></ol>
Aanzugh|Aanzigh	<i>noun</i><br><ol><li>suit (of clothes), outfit</li><li>three-piece suit, paletot</li></ol>
Aapehoer|Aapehore	<i>noun</i><br><ol><li>eyebrow</li></ol>
Aarem|Äärem	<i>noun</i><br><ol><li>(anatomy) an arm</li><li>(textiles) a sleeve</li></ol>
Aarmel	<i>noun</i><br><ol><li>sleeve</li></ol>
Aarmut	<i>noun</i><br><ol><li>poverty</li></ol>
Aarsch|Äärsch	<i>noun</i><br><ol><li>(colloquial) ass, butt</li><li>(vulgar) arsehole, asshole, anus</li></ol>
Aarschback|Aarschbacke	<i>noun</i><br><ol><li>(anatomy) buttock</li></ol>
Aarschdaarem|Aarschdäärem	<i>noun</i><br><ol><li>(anatomy) rectum (terminal part of the large intestine)</li><li>Dish made with beef or pork intestine stuffed with ground meat.</li></ol>
Aarschloch|Aarschlecher	<i>noun</i><br><ol><li>(anatomy) anus</li></ol>
Aart|Aarte	<i>noun</i><br><ol><li>type, group</li><li>(biology) species</li><li>manner, method, way</li></ol>
Aarvet|Aarvete	<i>noun</i><br><ol><li>job (economic role for which a person is paid)</li></ol>
Aarveter|Aarvetrin	<i>noun</i><br><ol><li>worker, laborer</li></ol>
Abakaschi	<i>noun</i><br><ol><li>pineapple</li></ol>
Abakatt|Abakatte	<i>noun</i><br><ol><li>avocado</li></ol>
Abakattebaam|Abakattebeem	<i>noun</i><br><ol><li>avocado tree</li></ol>
Abakus	<i>noun</i><br><ol><li>abacus (table with balls on wires or counters in groves, for counting)</li></ol>
Abbau	<i>noun</i><br><ol><li>dismantling, demolition</li></ol>
Achs|Achse	<i>noun</i><br><ol><li>axle</li><li>axis</li></ol>
Achteck	<i>noun</i><br><ol><li>octagon</li></ol>
Achtel	<i>noun</i><br><ol><li>eighth</li></ol>
Aff|Affe	<i>noun</i><br><ol><li>monkey, ape</li></ol>
Afrikaans	<i>name</i><br><ol><li>Afrikaans (language)</li></ol>
Aluminium	<i>noun</i><br><ol><li>aluminium</li></ol>
Arschentina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Au|Aue|Auelche	<i>noun</i><br><ol><li>eye</li></ol>
Australje	<i>name</i><br><ol><li>Australia (a country in Oceania)</li></ol>
Auto|Autos	<i>noun</i><br><ol><li>car</li></ol>
Aviong	<i>noun</i><br><ol><li>airplane</li></ol>
Baad|Beeder	<i>noun</i><br><ol><li>bath</li><li>bathroom</li></ol>
Baadezimmer	<i>noun</i><br><ol><li>bathroom</li></ol>
Baam|Beemche|Beem	<i>noun</i><br><ol><li>tree</li></ol>
Baart|Bäärt	<i>noun</i><br><ol><li>beard</li></ol>
Banann|Bananne|Banannche	<i>noun</i><br><ol><li>banana</li></ol>
Been|Beenche	<i>noun</i><br><ol><li>leg</li></ol>
Beer|Beere|Beerche	<i>noun</i><br><ol><li>berry</li></ol>
Beil|Beiler|Beilche	<i>noun</i><br><ol><li>hatchet, axe</li></ol>
Belche	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Berrich	<i>noun</i><br><ol><li>mountain, hill</li></ol>
Blaat|Blaatche|Bletter	<i>noun</i><br><ol><li>leaf</li><li>sheet</li></ol>
Blau|blaue	<i>noun</i><br><ol><li>blue</li></ol>
Blumm|Blimmche|Blumme	<i>noun</i><br><ol><li>flower</li></ol>
Boddem|Beddem	<i>noun</i><br><ol><li>floor</li></ol>
Bohn|Bohne	<i>noun</i><br><ol><li>bean</li></ol>
Bolasch|Bolasche|Bolaschje	<i>noun</i><br><ol><li>biscuit, cookie, cracker</li></ol>
Boot	<i>noun</i><br><ol><li>boat</li></ol>
Bopp|Boppche|Boppe	<i>noun</i><br><ol><li>doll</li></ol>
Brasil	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Braun|Braune	<i>noun</i><br><ol><li>The color brown</li></ol>
Brett|Bretter|Brettche	<i>noun</i><br><ol><li>board</li></ol>
Brick|Bricke	<i>noun</i><br><ol><li>bridge</li></ol>
Brief|Briefche	<i>noun</i><br><ol><li>letter (written message)</li></ol>
Brieh|Briehe	<i>noun</i><br><ol><li>juice</li></ol>
Brod	<i>noun</i><br><ol><li>bread</li></ol>
Bruch|Brich	<i>noun</i><br><ol><li>breach</li><li>hernia</li></ol>
Brunne	<i>noun</i><br><ol><li>well</li></ol>
Brust|Brist	<i>noun</i><br><ol><li>chest</li><li>breast</li></ol>
Bub|Bubche|Buve	<i>noun</i><br><ol><li>boy</li></ol>
Buch|Bichelche|Bicher	<i>noun</i><br><ol><li>book</li></ol>
Buger|Bugre	<i>noun</i><br><ol><li>Indian (indigenous person of the Americas)</li></ol>
Butter	<i>noun</i><br><ol><li>butter</li></ol>
Bäer|Bäre	<i>noun</i><br><ol><li>bear</li></ol>
Bërinschela|Berinschelas	<i>noun</i><br><ol><li>eggplant</li></ol>
Casal|Casais	<i>noun</i><br><ol><li>couple</li></ol>
China	<i>name</i><br><ol><li>China (a country in eastern Asia)</li></ol>
Daa	<i>noun</i><br><ol><li>dew</li></ol>
Daabheet	<i>noun</i><br><ol><li>deafness</li><li>numbness</li></ol>
Daabheit	<i>noun</i><br><ol><li>deafness</li><li>numbness</li></ol>
Daaf|Daafe	<i>noun</i><br><ol><li>baptism</li></ol>
Daafel|Daafle	<i>noun</i><br><ol><li>blackboard</li></ol>
Daagh	<i>noun</i><br><ol><li>day</li></ol>
Daal|Deeler	<i>noun</i><br><ol><li>valley</li></ol>
Daarem|Dääremche|Däärem	<i>noun</i><br><ol><li>intestine, gut</li></ol>
Dach|Decher|Dechelche	<i>noun</i><br><ol><li>roof</li></ol>
Dachs	<i>noun</i><br><ol><li>badger</li></ol>
Damm|Demm	<i>noun</i><br><ol><li>dam</li></ol>
Damp|Demp	<i>noun</i><br><ol><li>smoke</li><li>steam</li></ol>
Dank|Danke	<i>noun</i><br><ol><li>thanks</li><li>a sink used for laundry</li></ol>
Dann|Danne	<i>noun</i><br><ol><li>pine</li></ol>
Daume|Deimche	<i>noun</i><br><ol><li>thumb</li></ol>
Deer|Deerche|Deere	<i>noun</i><br><ol><li>door</li></ol>
Deitsch	<i>noun</i><br><ol><li>German (language)</li><li>Hunsrik (language)</li></ol>
Deitschland	<i>name</i><br><ol><li>Germany (country)</li></ol>
Deivel	<i>noun</i><br><ol><li>devil</li></ol>
Dier|Dierche|Diere	<i>noun</i><br><ol><li>animal</li></ol>
Disch|Dische	<i>noun</i><br><ol><li>table</li></ol>
Dod	<i>noun</i><br><ol><li>death</li></ol>
Dorn|Derner|Dernche	<i>noun</i><br><ol><li>thorn</li></ol>
Draum|Dreim	<i>noun</i><br><ol><li>dream</li></ol>
Dreen|Dreene	<i>noun</i><br><ol><li>tear (in the eye)</li></ol>
Droppe|Dreppche	<i>verb</i><br><ol><li>drop</li></ol>
Eesterreich	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Eher|Ehre	<i>noun</i><br><ol><li>honour; honor</li></ol>
Eherlichkeet	<i>noun</i><br><ol><li>honesty</li></ol>
Eherlichkeit	<i>noun</i><br><ol><li>honesty</li></ol>
Eis	<i>noun</i><br><ol><li>ice</li></ol>
Eise	<i>noun</i><br><ol><li>iron</li></ol>
Enn|Enne|Enner	<i>noun</i><br><ol><li>end</li></ol>
Ent|Ente	<i>noun</i><br><ol><li>duck</li></ol>
Eppel|Epple|Eppelche	<i>noun</i><br><ol><li>apple</li></ol>
Erreb|Errvin|Errve	<i>noun</i><br><ol><li>heir</li></ol>
Esse	<i>noun</i><br><ol><li>food</li><li>meal</li></ol>
Faan|Faane	<i>noun</i><br><ol><li>flag</li></ol>
Fabrick|Fabricke	<i>noun</i><br><ol><li>factory, company</li></ol>
Fallek|Fallke	<i>noun</i><br><ol><li>falcon</li></ol>
Fatter|Fettre|Fetter	<i>noun</i><br><ol><li>father</li></ol>
Faust|Feist|Feistche	<i>noun</i><br><ol><li>fist</li></ol>
Februa	<i>noun</i><br><ol><li>February</li></ol>
Feier	<i>noun</i><br><ol><li>fire</li></ol>
Feilche	<i>noun</i><br><ol><li>violet</li><li>The color violet</li></ol>
Feind	<i>noun</i><br><ol><li>enemy</li></ol>
Fenster|Fenstre	<i>noun</i><br><ol><li>pane of glass, window pane</li></ol>
Fest|Feste	<i>noun</i><br><ol><li>party, festival</li></ol>
Fetter|Fettre	<i>noun</i><br><ol><li>feather</li><li>quill, pen</li></ol>
Finger|Fingerche	<i>noun</i><br><ol><li>finger</li></ol>
Fisch|Fischje	<i>noun</i><br><ol><li>fish</li></ol>
Fluss|Fliss	<i>noun</i><br><ol><li>river</li><li>flow</li></ol>
Foghel|Feghel|Feghelche	<i>noun</i><br><ol><li>bird</li></ol>
Forreb|Forrve	<i>noun</i><br><ol><li>color; colour</li><li>paint</li></ol>
Fraa|Fraache|Fraae	<i>noun</i><br><ol><li>woman</li><li>wife</li></ol>
Frankreich	<i>name</i><br><ol><li>France (country)</li></ol>
Franzeesisch	<i>noun</i><br><ol><li>French (language)</li></ol>
Freind	<i>noun</i><br><ol><li>friend</li></ol>
Frihling	<i>noun</i><br><ol><li>spring</li></ol>
Froh|Frohe	<i>noun</i><br><ol><li>question</li></ol>
Fusball	<i>noun</i><br><ol><li>the sport of association football; soccer</li></ol>
Gaarte|Gäärte	<i>noun</i><br><ol><li>garden</li></ol>
Gaul|Geilche|Geil	<i>noun</i><br><ol><li>horse</li></ol>
Gedrenk	<i>noun</i><br><ol><li>drink, beverage</li></ol>
Geld|Gelder	<i>noun</i><br><ol><li>money</li></ol>
Gelechenheet|Gelechenheete	<i>noun</i><br><ol><li>opportunity</li></ol>
Gelleb|Geele|Geel	<i>noun</i><br><ol><li>The color yellow</li></ol>
Gellebrieb|Gellebrieve	<i>noun</i><br><ol><li>carrot</li></ol>
Gemies|Gemiese	<i>noun</i><br><ol><li>vegetable</li></ol>
Gescherr	<i>noun</i><br><ol><li>dishware, dishes</li></ol>
Gesicht|Gesichter	<i>noun</i><br><ol><li>face</li></ol>
Gesundheet	<i>noun</i><br><ol><li>health</li></ol><br><i>intj</i><br><ol><li>bless you; gesundheit (response to someone’s sneezing)</li></ol>
Gesundheit	<i>noun</i><br><ol><li>health</li></ol><br><i>intj</i><br><ol><li>bless you; gesundheit (response to someone’s sneezing)</li></ol>
Gift|Gifte	<i>noun</i><br><ol><li>poison</li></ol>
Glaas|Gleesje|Gleeser	<i>noun</i><br><ol><li>(material) glass</li><li>(container) glass</li></ol>
Glick	<i>noun</i><br><ol><li>happiness</li><li>luck</li></ol>
Goiaab|Goiaave|Goiaabche	<i>noun</i><br><ol><li>guava.</li></ol>
Gold	<i>noun</i><br><ol><li>gold</li></ol>
Gott|Getter	<i>name</i><br><ol><li>God</li></ol>
Gott sei Dank	<i>intj</i><br><ol><li>thank goodness; thank God</li></ol>
Graas	<i>noun</i><br><ol><li>grass</li></ol>
Grau|Graue	<i>noun</i><br><ol><li>The color grey, gray</li></ol>
Griecheland	<i>name</i><br><ol><li>Greece (country)</li></ol>
Grien|Griene	<i>noun</i><br><ol><li>The color green</li></ol>
Grummbeer|Grummbeere	<i>noun</i><br><ol><li>potato</li></ol>
Grund|Grind	<i>noun</i><br><ol><li>soil, earth</li><li>ground</li><li>reason; motive</li></ol>
Haan|Hoohn|Heen	<i>noun</i><br><ol><li>cock, rooster</li></ol>
Hand|Henn|Hendche	<i>noun</i><br><ol><li>hand</li></ol>
Hauptstatt|Hauptstett	<i>noun</i><br><ol><li>capital (capital city)</li></ol>
Haus|Heiser|Heisje	<i>noun</i><br><ol><li>house</li></ol>
Haut|Heitche|Heit	<i>noun</i><br><ol><li>skin; hide</li></ol>
Heft|Heftche|Hefter|Hefte	<i>noun</i><br><ol><li>notebook</li></ol>
Hehl|Hehle	<i>noun</i><br><ol><li>cave</li></ol>
Hellblau|Hellblaue	<i>noun</i><br><ol><li>bright blue</li></ol>
Hellgrien|Hellgriene	<i>noun</i><br><ol><li>The color lime</li></ol>
Hemm	<i>noun</i><br><ol><li>home</li></ol>
Herr|Herre	<i>pron</i><br><ol><li>Mr., mister, sir</li><li>gentleman</li><li>master, lord, generally denotes that somebody has control over something, either in a generic or in a regal sense</li><li>Lord, God</li><li>Used as a title of respect that is not translated into English or replaced with Sir</li></ol>
Herrebst	<i>noun</i><br><ol><li>autumn, fall</li></ol>
Herz|Herzje|Herze	<i>noun</i><br><ol><li>heart</li></ol>
Hex|Hexe|Hexje	<i>noun</i><br><ol><li>witch</li></ol>
Hexenacht|Hexenecht	<i>noun</i><br><ol><li>Halloween</li></ol>
Himd|Himdche|Himde	<i>noun</i><br><ol><li>shirt</li></ol>
Himmel	<i>noun</i><br><ol><li>sky</li><li>heaven</li></ol>
Hols	<i>noun</i><br><ol><li>wood</li></ol>
Hoss|Hossje|Hosse	<i>noun</i><br><ol><li>trousers, pants</li></ol>
Hossje	<i>noun</i><br><ol><li>panties, knickers (women’s underwear)</li></ol>
Hund|Hunn|Hundche	<i>noun</i><br><ol><li>dog</li></ol>
Hunsrickisch	<i>noun</i><br><ol><li>Hunsrik (language)</li></ol>
Insel|Inselche|Insle	<i>noun</i><br><ol><li>island, isle</li></ol>
Internet	<i>noun</i><br><ol><li>internet</li></ol>
Italje	<i>name</i><br><ol><li>Italy (country)</li></ol>
Januar	<i>noun</i><br><ol><li>January</li></ol>
Joher|Johre	<i>noun</i><br><ol><li>year</li></ol>
Johreszeid|Johreszeide	<i>noun</i><br><ol><li>season</li></ol>
Kaffi	<i>noun</i><br><ol><li>coffee</li></ol>
Kaiser	<i>noun</i><br><ol><li>emperor</li></ol>
Kamiong	<i>noun</i><br><ol><li>truck</li></ol>
Kamm|Kemm|Kemmche	<i>noun</i><br><ol><li>comb</li><li>crest</li></ol>
Kamp|Kampe	<i>noun</i><br><ol><li>field</li></ol>
Kanal|Kanale	<i>noun</i><br><ol><li>channel</li></ol>
Kanon|Kanone	<i>noun</i><br><ol><li>cannon</li></ol>
Kapital	<i>noun</i><br><ol><li>capital</li></ol>
Kapitel	<i>noun</i><br><ol><li>chapter</li></ol>
Kapsel|Kapsle	<i>noun</i><br><ol><li>capsule</li></ol>
Karre|Karreche	<i>noun</i><br><ol><li>car</li></ol>
Kartoffel|Kartoffle|Kartoffelche	<i>noun</i><br><ol><li>potato</li></ol>
Kaste|Kestche|Keste	<i>noun</i><br><ol><li>box, crate</li></ol>
Katee|Katëe	<i>noun</i><br><ol><li>prison, jail</li></ol>
Katz|Katze|Ketzje	<i>noun</i><br><ol><li>cat</li></ol>
Keefer|Keefrin	<i>noun</i><br><ol><li>buyer</li></ol>
Keenich|Keenichine|Keenichin	<i>noun</i><br><ol><li>king</li></ol>
Keenichin|Keenich|Keenichine	<i>noun</i><br><ol><li>queen</li></ol>
Kees	<i>noun</i><br><ol><li>cheese</li></ol>
Keim|Keimche	<i>noun</i><br><ol><li>sprout</li></ol>
Keller	<i>noun</i><br><ol><li>basement, cellar</li></ol>
Kellich	<i>noun</i><br><ol><li>chalice</li></ol>
Kelt	<i>noun</i><br><ol><li>coldness; cold</li></ol>
Kerl|Kerle	<i>noun</i><br><ol><li>fellow, guy, chap, bloke, man</li></ol>
Kern|Kernche|Kerne	<i>noun</i><br><ol><li>pippin, stone</li></ol>
Kerrich|Kerriche	<i>noun</i><br><ol><li>church</li></ol>
Kessel|Kessle	<i>noun</i><br><ol><li>kettle</li></ol>
Kett|Kettelche|Kette|Kettche	<i>noun</i><br><ol><li>chain</li></ol>
Kich|Kiche	<i>noun</i><br><ol><li>kitchen</li></ol>
Kilogramm	<i>noun</i><br><ol><li>kilogram</li></ol>
Kilometer	<i>noun</i><br><ol><li>kilometer</li></ol>
Kind|Kinner	<i>noun</i><br><ol><li>kid; child</li></ol>
Kinn	<i>noun</i><br><ol><li>chin</li></ol>
Kisse|Kissje	<i>noun</i><br><ol><li>cushion, pillow</li></ol>
Kist|Kiste	<i>noun</i><br><ol><li>chest, box</li></ol>
Kittel	
Klamm|Klamme	<i>noun</i><br><ol><li>fastener, clip</li></ol>
Klang|Kleng	<i>noun</i><br><ol><li>sound</li></ol>
Klarinett|Klarinette	<i>noun</i><br><ol><li>clarinet</li></ol>
Klass|Klasse	<i>noun</i><br><ol><li>class</li></ol>
Kleiderschrank|Kleiderschrenk	<i>noun</i><br><ol><li>wardrobe</li></ol>
Klingel|Klingle	<i>noun</i><br><ol><li>bell</li></ol>
Klos|Klesje|Kles	<i>noun</i><br><ol><li>dumpling</li></ol>
Knall	<i>noun</i><br><ol><li>bang</li></ol>
Knecht	<i>noun</i><br><ol><li>servant</li></ol>
Knie|Knïe	<i>noun</i><br><ol><li>knee</li></ol>
Knoche|Knechelche	<i>noun</i><br><ol><li>bone</li></ol>
Knopp|Knepp|Kneppche	<i>noun</i><br><ol><li>button (fastener)</li></ol>
Knupp|Knipp|Knippche	<i>noun</i><br><ol><li>knot</li></ol>
Koch|Kech|Kechin	<i>noun</i><br><ol><li>cook</li></ol>
Koffer	<i>noun</i><br><ol><li>suitcase</li></ol>
Kohl|Kohle	<i>noun</i><br><ol><li>coal</li><li>cabbage</li></ol>
Kokes	<i>noun</i><br><ol><li>coconut</li></ol>
Kolonie|Kolonïe	<i>noun</i><br><ol><li>colony</li></ol>
Komme	<i>noun</i><br><ol><li>coming, arrival</li></ol>
Kommunion|Kommunione	<i>noun</i><br><ol><li>Communion (sacrament)</li></ol>
Komputatoer|Komputatore	<i>noun</i><br><ol><li>computer</li></ol>
Konferenz|Konferenze	<i>noun</i><br><ol><li>conference</li></ol>
Konkurrenz|Konkurrenze	<i>noun</i><br><ol><li>competition</li></ol>
Kontinent|Kontinente	<i>noun</i><br><ol><li>continent</li></ol>
Konto	<i>noun</i><br><ol><li>conto, 1.000 réis/reais (monetary units)</li><li>account</li></ol>
Kopp|Keppche|Kepp	<i>noun</i><br><ol><li>head</li></ol>
Korn|Kernche|Kerner	<i>noun</i><br><ol><li>kernel</li></ol>
Korreb|Kerrebche|Kerreb	<i>noun</i><br><ol><li>basket</li></ol>
Korst|Kerstche|Korste	<i>noun</i><br><ol><li>crust</li></ol>
Kot	<i>name</i><br><ol><li>God</li></ol>
Kraan|Kraane	<i>noun</i><br><ol><li>faucet</li></ol>
Krach|Krech	<i>noun</i><br><ol><li>brawl, racket</li></ol>
Kraft|Kreft	<i>noun</i><br><ol><li>strength, force</li></ol>
Krall|Kralle	<i>noun</i><br><ol><li>claw</li></ol>
Kramm	<i>noun</i><br><ol><li>cramp (painful contraction of a muscle)</li></ol>
Kranz|Krenzje|Krenz	<i>noun</i><br><ol><li>wreath</li></ol>
Kraut|Kreitche|Kreiter	<i>noun</i><br><ol><li>herb</li><li>cabbage</li></ol>
Kravatt|Kravatte	<i>noun</i><br><ol><li>necktie</li></ol>
Krebs	<i>noun</i><br><ol><li>crab</li><li>cancer</li></ol>
Krees	<i>noun</i><br><ol><li>circle</li></ol>
Kreh|Krehe	<i>noun</i><br><ol><li>crow</li></ol>
Krem|Kreme	<i>noun</i><br><ol><li>cream</li></ol>
