0.	<i>adj</i><br><ol><li>0th</li></ol>
1.	<i>adj</i><br><ol><li>1st</li></ol>
10.	<i>adj</i><br><ol><li>10th</li></ol>
100.	<i>adj</i><br><ol><li>100th</li></ol>
11.	<i>adj</i><br><ol><li>11th</li></ol>
12.	<i>adj</i><br><ol><li>12th</li></ol>
13.	<i>adj</i><br><ol><li>13th</li></ol>
14.	<i>adj</i><br><ol><li>14th</li></ol>
15.	<i>adj</i><br><ol><li>15th</li></ol>
16.	<i>adj</i><br><ol><li>16th</li></ol>
17.	<i>adj</i><br><ol><li>17th</li></ol>
18.	<i>adj</i><br><ol><li>18th</li></ol>
19.	<i>adj</i><br><ol><li>19th</li></ol>
2.	<i>adj</i><br><ol><li>2nd</li></ol>
20.	<i>adj</i><br><ol><li>20th</li></ol>
3.	<i>adj</i><br><ol><li>3rd</li></ol>
30.	<i>adj</i><br><ol><li>30th</li></ol>
4.	<i>adj</i><br><ol><li>4th</li></ol>
40.	<i>adj</i><br><ol><li>40th</li></ol>
5.	<i>adj</i><br><ol><li>5th</li></ol>
50.	<i>adj</i><br><ol><li>50th</li></ol>
6.	<i>adj</i><br><ol><li>6th</li></ol>
60.	<i>adj</i><br><ol><li>60th</li></ol>
7.	<i>adj</i><br><ol><li>7th</li></ol>
70.	<i>adj</i><br><ol><li>70th</li></ol>
8.	<i>adj</i><br><ol><li>8th</li></ol>
80.	<i>adj</i><br><ol><li>80th</li></ol>
9.	<i>adj</i><br><ol><li>9th</li></ol>
90.	<i>adj</i><br><ol><li>90th</li></ol>
A|a|A n Category:Requests for inflections in Icelandic noun entries	<i>character</i><br><ol><li>The first letter of the Icelandic alphabet, written in the Latin script.</li></ol>
A-dúr|A-dúrs|A-dúrinn|A-dúrsins|A-dúrnum	<i>noun</i><br><ol><li>A major</li></ol>
A-vítamín|A-vítamíns|A-vítamínið|A-vítamíninu|A-vítamínsins|A-vítamíni	<i>noun</i><br><ol><li>(biochemistry) vitamin A</li></ol>
ACE-hemill|ACE-hemla|ACE-hemli|ACE-hemils|ACE-hemlunum|ACE-hemil|ACE-hemillinn|ACE-hemlar|ACE-hemlarnir|ACE-hemilinn|ACE-hemlana|ACE-hemlinum|ACE-hemilsins|ACE-hemlanna|ACE-hemlum	<i>noun</i><br><ol><li>ACE inhibitor</li></ol>
Adam|Adams	<i>name</i><br><ol><li>Adam (biblical figure)</li></ol>
Adam og Eva	<i>name</i><br><ol><li>Adam and Eve</li></ol>
Afgani|Afgana|Afganar|Afganir	<i>noun</i><br><ol><li>Afghan (person from Afghanistan)</li></ol>
Afganistan	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afríka|Afríku	<i>name</i><br><ol><li>Africa</li></ol>
Ak city	<i>name</i><br><ol><li>(humorous, informal) Akureyri (town in the North of Iceland)</li></ol>
Akkeron	<i>name</i><br><ol><li>Acheron (a river in Greece)</li></ol>
Akkra	<i>name</i><br><ol><li>Accra (the capital of Ghana)</li></ol>
Akranes	<i>name</i><br><ol><li>Akranes (a city in Vesturland, Iceland)</li></ol>
Akureyri|Akureyrar	<i>name</i><br><ol><li>Akureyri (a city in Norðurland eystra, Iceland)</li></ol>
Akureyringur|Akureyringnum|Akureyringar|Akureyringinn|Akureyringana|Akureyrings|Akureyringunum|Akureyringurinn|Akureyringanna|Akureyringa|Akureyringsins|Akureyringum|Akureyring|Akureyringi|Akureyringarnir	<i>noun</i><br><ol><li>person from Akureyri</li></ol>
Alaska	<i>name</i><br><ol><li>Alaska (a state of the United States)</li></ol>
Albani|Albanir|Albanar|Albana	<i>noun</i><br><ol><li>Albanian (person from Albania)</li></ol>
Albanía|Albaníu	<i>name</i><br><ol><li>Albania (a country in southern Europe)</li></ol>
Albertsdóttir	<i>name</i><br><ol><li>A patronymic.</li></ol>
Aldinborg|Aldinborgar	<i>name</i><br><ol><li>Oldenburg (a city in Germany)</li></ol>
Alexander mikli	<i>name</i><br><ol><li>Alexander the Great</li></ol>
Alsír	<i>name</i><br><ol><li>Algeria (a country in northern Africa)</li></ol>
