3-dimensiona	<i>adj</i><br><ol><li>3-dimensional</li></ol>
4-dimensiona	<i>adj</i><br><ol><li>4-dimensional</li></ol>
A|a	<i>character</i><br><ol><li>The first letter of the Ido alphabet, written in the Latin script.</li></ol>
Afganistan	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afgano|Afgani	<i>noun</i><br><ol><li>an Afghan person</li></ol>
Afrika	<i>name</i><br><ol><li>Africa</li></ol>
Albania	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Albaniana	<i>adj</i><br><ol><li>Albanian (relating to the country or the people)</li></ol>
Albaniano|Albaniani	<i>noun</i><br><ol><li>Albanian (person)</li></ol>
Andora	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Angla	<i>adj</i><br><ol><li>English</li></ol>
Anglia	<i>name</i><br><ol><li>England</li></ol>
Angliana	<i>adj</i><br><ol><li>English (of or pertaining to England)</li><li>English (language)</li></ol>
Angliano|Angliani	<i>noun</i><br><ol><li>an English person</li></ol>
Anglo|Angli	<i>noun</i><br><ol><li>an English person</li></ol>
Antarktika	<i>name</i><br><ol><li>Antarctica</li></ol>
Apalacha	<i>adj</i><br><ol><li>Appalachian</li></ol>
Arjentinia	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Armenia	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Athina	<i>name</i><br><ol><li>Athens (the capital city of Greece)</li><li>Athens</li></ol>
Australia	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Austria	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Azerbaijan	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Azia	<i>name</i><br><ol><li>Asia</li></ol>
B|b	<i>character</i><br><ol><li>The second letter of the Ido alphabet, written in the Latin script.</li></ol>
Baleari	<i>name</i><br><ol><li>Balearic Islands (an autonomous community and province of Spain)</li></ol>
Belgia	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Bielorusia	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Bosnia e Herzegovina	<i>name</i><br><ol><li>Bosnia and Herzegovina (a country in Europe)</li></ol>
Brazilia	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Bulgaria	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
C|c	<i>character</i><br><ol><li>The third letter of the Ido alphabet, written in the Latin script.</li></ol>
Chekia	<i>name</i><br><ol><li>Czechia</li></ol>
Chipro	<i>name</i><br><ol><li>Cyprus</li></ol>
D|d	<i>character</i><br><ol><li>The fourth letter of the Ido alphabet, written in the Latin script.</li></ol>
Dania	<i>name</i><br><ol><li>Denmark</li></ol>
Doriana	<i>adj</i><br><ol><li>(languages, peoples) relating to the Dorian language/dialect of Greek or to the Dorian people(s)</li></ol><br><i>name</i><br><ol><li>(languages) the Dorian language or dialect</li></ol>
E|e	<i>character</i><br><ol><li>The fifth letter of the Ido alphabet, written in the Latin script.</li></ol>
Egiptia	<i>name</i><br><ol><li>Egypt</li></ol>
Esperantigar|Esperantigonto|Esperantigarez|Esperantigoto|Esperantigita|Esperantiganta|Esperantigos|Esperantigas|Esperantiginti|Esperantigis|Esperantigus|Esperantigonte|Esperantigito|Esperantigati|Esperantigonti|Esperantigate|Esperantigaras|Esperantigarus|Esperantigiti|tense Esperantigaros|Esperantiganto|Esperantiganti|Esperantigote|Esperantigor|Esperantiginta|Esperantiginto|Esperantigonta|Esperantigez|Esperantiginte|Esperantigoti|Esperantigota|Esperantigaris|Esperantigir|Esperantigato|Esperantigite|Esperantigata|Esperantigante	<i>verb</i><br><ol><li>to Esperantize</li></ol>
Esperantisto|Esperantisti	<i>noun</i><br><ol><li>Esperantist</li></ol>
Esperanto|Esp.	<i>name</i><br><ol><li>Esperanto</li></ol>
Espista	<i>adj</i><br><ol><li>Esperantist</li></ol>
Espisto|Espisti	<i>noun</i><br><ol><li>Esperantist</li></ol>
Espo	<i>name</i><br><ol><li>Esperanto</li></ol>
Estonia	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Europa	<i>name</i><br><ol><li>Europe</li></ol>
Europana	<i>adj</i><br><ol><li>European.</li></ol>
Europana Uniono	<i>name</i><br><ol><li>The European Union.</li></ol>
F|f	<i>character</i><br><ol><li>The sixth letter of the Ido alphabet, written in the Latin script.</li></ol>
Finlandana	<i>adj</i><br><ol><li>Finnish (of or pertaining to Finland)</li><li>Finnish (language)</li></ol>
Finlando	<i>name</i><br><ol><li>Finland</li></ol>
Francia	<i>name</i><br><ol><li>France</li></ol>
G|g	<i>character</i><br><ol><li>The seventh letter of the Ido alphabet, written in the Latin script.</li></ol>
Germana	<i>name</i><br><ol><li>German (language)</li></ol>
Germania	<i>name</i><br><ol><li>Germany</li></ol>
Germaniana	<i>name</i><br><ol><li>German (language)</li></ol>
Germaniano|Germaniani	<i>noun</i><br><ol><li>German (person)</li></ol>
Germano|Germani	<i>noun</i><br><ol><li>German (person)</li></ol>
Gregoriala kalendario	<i>noun</i><br><ol><li>Gregorian calendar</li></ol>
Grekia	<i>name</i><br><ol><li>Greece</li></ol>
Gruzia	<i>name</i><br><ol><li>Georgia (country)</li></ol>
H|h	<i>character</i><br><ol><li>The eighth letter of the Ido alphabet, written in the Latin script.</li></ol>
Helveto|Helveti	<i>noun</i><br><ol><li>Helvetian (the people)</li></ol>
Hispania	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Hispaniana	<i>name</i><br><ol><li>Spanish language</li></ol>
Hungaria	<i>name</i><br><ol><li>Hungary</li></ol>
I|i	<i>character</i><br><ol><li>The ninth letter of the Ido alphabet, written in the Latin script.</li></ol>
Idala	<i>adj</i><br><ol><li>Ido, relating to Ido</li></ol>
Idisto|Idisti	<i>noun</i><br><ol><li>Idist</li></ol>
Ido	<i>name</i><br><ol><li>Ido</li></ol>
Iesu	<i>name</i><br><ol><li>(biblical) Jesus (the biblical messiah, not as a regular given name)</li></ol>
Ilo	<i>name</i><br><ol><li>(archaic) Ido</li></ol>
Indonezia	<i>name</i><br><ol><li>Indonesia (country)</li></ol>
Interreto	<i>name</i><br><ol><li>(Internet) Internet</li></ol>
Irlando	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Islando	<i>name</i><br><ol><li>Iceland (a country in Europe)</li></ol>
Italia	<i>name</i><br><ol><li>Italy</li></ol>
Izraelido|Izraelidi	<i>noun</i><br><ol><li>Israelite</li></ol>
J|j	<i>character</i><br><ol><li>The tenth letter of the Ido alphabet, written in the Latin script.</li></ol>
Jamaika	<i>name</i><br><ol><li>Jamaica (an island and country in the Caribbean)</li></ol>
Japonia	<i>name</i><br><ol><li>Japan</li></ol>
Japoniano|Japoniani	<i>noun</i><br><ol><li>Japanese (person)</li></ol>
Japono	<i>name</i><br><ol><li>(archaic) Japan</li></ol>
Jupitero	<i>name</i><br><ol><li>Jupiter</li></ol>
