Abril|Abríl	<i>name</i><br><ol><li>April</li></ol>
Agosto	<i>name</i><br><ol><li>August</li></ol>
Alaminos	<i>name</i><br><ol><li>Alaminos (a city in Pangasinan, Philippines).</li></ol>
Alcala	<i>name</i><br><ol><li>A municipality of Cagayan, Philippines.</li></ol>
Amami	<i>name</i><br><ol><li>Lord's Prayer</li></ol>
Apo	<i>noun</i><br><ol><li>lord</li><li>A honorific used to address a person older than the speaker or to elder</li></ol>
Bacarra|Bacarrá	<i>name</i><br><ol><li>Bacarra (a municipality of Ilocos Norte, Philippines)</li></ol>
Badoc	<i>name</i><br><ol><li>A municipality of Ilocos Norte, Philippines.</li></ol>
Baguio	<i>name</i><br><ol><li>Baguio (an independent city in Benguet, Philippines)</li></ol>
Ballesteros	<i>name</i><br><ol><li>Ballesteros (a municipality of Cagayan, Philippines).</li></ol>
Batac|Batác	<i>name</i><br><ol><li>Batac (a city in Ilocos Norte, Philippines).</li></ol>
Bauang|Bauáng	<i>name</i><br><ol><li>Bauang (a municipality of La Union, Philippines)</li></ol>
Biernes	<i>noun</i><br><ol><li>Friday</li></ol>
Burgos	<i>name</i><br><ol><li>Burgos (a municipality of Ilocos Norte, Philippines)</li><li>Burgos (a municipality of La Union, Philippines)</li><li>Burgos (a municipality of Isabela, Philippines)</li></ol>
Cabanatuan|Cabanatuán	<i>name</i><br><ol><li>Cabanatuan (the largest city, the former provincial capital of Nueva Ecija, Philippines)</li></ol>
Cabatuan	<i>name</i><br><ol><li>A municipality in west-central Isabela, Philippines.</li></ol>
De Guzman	<i>name</i><br><ol><li>Alternative letter-case form of de Guzman</li></ol>
Disiembre	<i>name</i><br><ol><li>December</li></ol>
Dominggo|Domingo	<i>noun</i><br><ol><li>Sunday</li></ol>
Echague	<i>name</i><br><ol><li>Echague (a municipality of Isabela, Philippines)</li></ol>
Enero	<i>name</i><br><ol><li>January</li></ol>
Estonia	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Guimba	<i>name</i><br><ol><li>Guimba (a municipality of Nueva Ecija, Philippines)</li></ol>
Hakob	<i>name</i><br><ol><li>(biblical) Jacob</li></ol>
Huebes	<i>noun</i><br><ol><li>Thursday</li></ol>
Hulio	<i>name</i><br><ol><li>July</li></ol>
Hunio	<i>name</i><br><ol><li>June</li></ol>
Kristiano	<i>noun</i><br><ol><li>Christian</li></ol><br><i>adj</i><br><ol><li>Christian</li></ol>
La Union|La Unión	<i>name</i><br><ol><li>La Union (a province of the Philippines; capital and largest city: San Fernando)</li></ol>
Lunes	<i>noun</i><br><ol><li>Monday</li></ol>
Mallig	<i>name</i><br><ol><li>A municipality in western Isabela, Philippines.</li></ol>
Marso	<i>name</i><br><ol><li>March</li></ol>
Martes	<i>noun</i><br><ol><li>Tuesday</li></ol>
Mayo	<i>name</i><br><ol><li>May</li></ol>
Mierkoles	<i>noun</i><br><ol><li>Wednesday</li></ol>
Nobiembre	<i>name</i><br><ol><li>November</li></ol>
Oktubre	<i>name</i><br><ol><li>October</li></ol>
Pebrero	<i>name</i><br><ol><li>February</li></ol>
Sabado|Sábado	<i>noun</i><br><ol><li>Saturday</li></ol>
Sanchez Mira	<i>name</i><br><ol><li>Sanchez Mira (a municipality of Cagayan, Philippines).</li></ol>
Setiembre	<i>name</i><br><ol><li>September</li></ol>
Vigan	<i>name</i><br><ol><li>Vigan (a city, the capital city of Ilocos Sur, Philippines)</li></ol>
abagat	<i>noun</i><br><ol><li>south wind</li></ol>
abagatan	<i>noun</i><br><ol><li>south</li></ol>
abaka|abaká	<i>noun</i><br><ol><li>abaca; Manila hemp</li></ol>
abalayan|abalayán	<i>noun</i><br><ol><li>co-parent-in-law</li></ol>
abukay	<i>noun</i><br><ol><li>Philippine cockatoo (Cacatua haematuropygia)</li></ol>
adal	<i>noun</i><br><ol><li>learning; education; knowledge; degree; vocation; profession</li></ol>
adalem|adalëm	<i>noun</i><br><ol><li>deep location (such as of a river or opening in the ground)</li></ol>
adayo|adayó	<i>adj</i><br><ol><li>far</li></ol>
adda|addá	<i>verb</i><br><ol><li>to have</li></ol>
addayo|addayó	<i>adv</i><br><ol><li>far</li></ol>
adigi	<i>noun</i><br><ol><li>post; pillar</li></ol>
ading	<i>noun</i><br><ol><li>younger sibling</li><li>term of address for a younger person of the same generation as the speaker</li></ol>
adipen	<i>noun</i><br><ol><li>slave</li></ol>
adjetivo	<i>noun</i><br><ol><li>(grammar) adjective</li></ol>
agadal|adal|nagad-adal|agadalto|actor|nagadal|agádal|agad-adal	<i>verb</i><br><ol><li>to study</li><li>to learn</li></ol>
aganak|nagan-anak|aganakto|anak|actor|aganák|agan-anak|naganak	<i>verb</i><br><ol><li>to give birth</li></ol>
agarak|arak|agarakto|nagar-arak|agar-arak|nagarak|actor|agarák	<i>verb</i><br><ol><li>to make wine</li><li>to gather; to congregate; to join together; to assemble</li></ol>
agari|agar-ari|nagar-ari|actor|ari|agarinto|nagari	<i>verb</i><br><ol><li>to reign</li></ol>
agas	<i>noun</i><br><ol><li>medicine</li></ol>
agbagkat	<i>verb</i><br><ol><li>to carry</li></ol>
agbasa	<i>verb</i><br><ol><li>to read</li><li>to study</li></ol>
agbatok|agbatokto|agbatbatok|batok|nagbatbatok|nagbatok|actor	<i>verb</i><br><ol><li>to dive</li></ol>
agbayani	<i>verb</i><br><ol><li>to become a hero</li></ol>
agbuldos	<i>verb</i><br><ol><li>to bulldoze</li></ol>
agbuya	<i>verb</i><br><ol><li>to watch</li></ol>
agdait	<i>verb</i><br><ol><li>to sew</li></ol>
agdan|agdán	<i>noun</i><br><ol><li>ladder</li><li>stairs; stairway; staircase</li></ol>
agdenna	<i>verb</i><br><ol><li>to stay close</li></ol>
agdigos	<i>verb</i><br><ol><li>to bathe</li></ol>
agek|agék	<i>noun</i><br><ol><li>kiss</li></ol>
ageskuela	<i>verb</i><br><ol><li>to go to school</li></ol>
aggabbo	<i>verb</i><br><ol><li>to wrestle</li></ol>
aggasto	<i>verb</i><br><ol><li>to spend (use money)</li></ol>
agkatawa	<i>verb</i><br><ol><li>to laugh</li></ol>
aglako|actor|aglaklako|naglaklako|lako|naglako	<i>verb</i><br><ol><li>to sell</li></ol>
agong|agóng	<i>noun</i><br><ol><li>nose</li></ol>
agosto	<i>noun</i><br><ol><li>August</li></ol>
agsangit|agsangsangit|agsangitto|sangit|actor|nagsangsangit|nagsangit	<i>verb</i><br><ol><li>To cry; to weep</li></ol>
agsigarilio|sigarilio|actor|nagsigsigarilio|agsigarilionto|nagsigarilio|agsigsigarilio	<i>verb</i><br><ol><li>to smoke (inhale and exhale smoke from a burning cigarette)</li></ol>
agtakder	<i>verb</i><br><ol><li>to stand</li></ol>
agtaray|nagtartaray|agtaráy|nagtaray|agtarayto|agtartaray|actor|taray	<i>verb</i><br><ol><li>to run</li></ol>
agtugaw	<i>verb</i><br><ol><li>to sit</li></ol>
agturis	<i>verb</i><br><ol><li>to have diarrhea</li></ol>
agtutubo	<i>noun</i><br><ol><li>youth</li></ol>
agum	<i>noun</i><br><ol><li>greed</li></ol>
agus|ágos|agos|águs	<i>noun</i><br><ol><li>current (of water in the sea)</li><li>flow (of water in a river or stream)</li></ol>
agyamanak	<i>intj</i><br><ol><li>thank you</li></ol>
akkub|akkúb	<i>noun</i><br><ol><li>cover; wrapper</li><li>shell of a crab</li></ol>
al-alia|al-aliá	<i>noun</i><br><ol><li>ghost</li></ol>
alagad|alagád	<i>noun</i><br><ol><li>model</li><li>example</li><li>standard</li></ol>
alamano	<i>noun</i><br><ol><li>handshake</li></ol>
aldaw|al-aldaw	<i>noun</i><br><ol><li>(astronomy) day</li><li>(astronomy) sun</li></ol>
alibukay|alibukáy	<i>noun</i><br><ol><li>menarche; beginning of menstruation</li></ol>
alipugpug	<i>noun</i><br><ol><li>whirlwind</li><li>eddy; whirlpool</li></ol>
aliwadang	<i>noun</i><br><ol><li>(anatomy) clavicle</li></ol>
almidor|almidór	<i>noun</i><br><ol><li>starch (usu. used with laundry)</li></ol>
alo	<i>noun</i><br><ol><li>pestle (instrument used with a mortar to grind things)</li></ol>
alsem|alsém	<i>noun</i><br><ol><li>sourness</li></ol>
alutiit	<i>noun</i><br><ol><li>house lizard, common house gecko, (Hemidactylus frenatus)</li></ol>
ama	<i>noun</i><br><ol><li>father</li></ol>
