A	<i>character</i><br><ol><li>The first letter of the Inari Sami alphabet, written in the Latin script.</li></ol>
Aanaar	<i>name</i><br><ol><li>Inari (a municipality of Lapland, Finland)</li></ol>
Avveel	<i>name</i><br><ol><li>Ivalo (a village in Finland)</li></ol>
Iänudâh	<i>name</i><br><ol><li>Enontekiö (a municipality of Lapland, Finland)</li></ol>
Kuovdâkiäinu	<i>name</i><br><ol><li>Kautokeino (a municipality of Finnmark, Norway)</li></ol>
Ruoššâ	<i>name</i><br><ol><li>Russia</li></ol>
Suomâ|Suoṃân|Suommân|Suomâst|Suomáin|Suommâd|Suoṃâ|Suoˈmâttáá	<i>name</i><br><ol><li>Finland (a country in Europe)</li></ol>
aassâđ|asâžep|áásus|ássoon|asâččih|aasah|assii|áásá|asâččáid|aasâšvetteđ|áássup|aasâim|asâvettee|ässeen|aasâm|aasâšvettee|aassâp|asâvetteđ|aasâi|aasâš|asâžává|ässeeh|aasii|asâččáim|aassim|aassâv|aasâ|asâžeen|ässeem|asâččijd|aassih|aasain|asâččij|aasaim|aassâm|ääsih|asâžeh|aasaid|asâččáin|asâččii|aasâid|áássus|asâččijm|asâččim|ässee	<i>verb</i><br><ol><li>to live, to dwell</li></ol>
aavis|aavisid|aavisttáá|aavisáin|aaviseh|aavisân|aavisist|aavisijttáá|aavisij|aavisijd|aavisáid|aavisin|aavisijn|aavisijguin	<i>noun</i><br><ol><li>newspaper</li></ol>
ahe|avveest|oṿijttáá|ovvijd|ooṿijd|ahheen|ovvijn|aṿe|ooṿijn|aṿettáá|aṿeh|oṿijguin|ahheed|oṿij|ooṿij|ahan	<i>noun</i><br><ol><li>age</li></ol>
aiccâđ|aiccâv|aaicâ|aaicah|áiccus|äicceh|aaicâš|äiccen|aicâččim|aiccaid|aiccaim|aaicâid|äiccem|aicâččih|aiccih|aicâččáid|aicâččijm|aicâččii|äicce|aiccim|aiccâvetteđ|áiccá|aaicâim|ááicus|aicâččáim|aicâžává|aicâččáin|aaicâi|aiccii|aicii|aiccâm|äiccih|aicâžeen|aicâžeh|aicâžep|aaicâm|aaicâšvetteđ|áiccon|aicâččij|aicâččijd|aiccâp|aiccâvettee|aaicâšvettee|áiccup|aiccain	<i>verb</i><br><ol><li>to perceive</li></ol>
ain	<i>adv</i><br><ol><li>always</li><li>still</li></ol>
alge|olgijn|algeh|olgij|algen|olgijd|oolgij|aalgan|algettáá|alged|oolgijn|olgijttáá|oolgijd|olgijguin|algeest	<i>noun</i><br><ol><li>boy</li><li>son</li></ol>
