2	<i>symbol</i><br><ol><li>(dated or informal) An iteration mark used as an abbreviation for the second part of a reduplicated compound word.</li></ol>
A|a	<i>character</i><br><ol><li>The first letter of the Indonesian alphabet, written in the Latin script.</li></ol>
ABG	<i>noun</i><br><ol><li>(colloquial) adolescent</li></ol>
ABK|ABKmu|ABKku|ABKnya	<i>noun</i><br><ol><li>Initialism of anak buah kapal.</li><li>Initialism of anak berkebutuhan khusus.</li></ol>
ABRI	<i>name</i><br><ol><li>(historical) Initialism of Angkatan Bersenjata Republik Indonesia (“Republic of Indonesia Armed Forces”).</li></ol>
ABS|ABSnya|ABSku|ABSmu	<i>noun</i><br><ol><li>Abbreviation of asal bapak senang.</li></ol>
AD	<i>noun</i><br><ol><li>Initialism of angkatan darat.</li><li>Initialism of anggaran dasar.</li><li>Initialism of anno Domini.</li></ol>
ADK|ADKku|ADKnya|ADKmu	<i>noun</i><br><ol><li>(finance) Initialism of arsip data komputer (“computer data archive”).</li></ol>
AJB|AJBku|AJBnya|AJBmu	<i>noun</i><br><ol><li>Initialism of akta jual beli.</li></ol>
AKBP|AKBPmu|AKBPnya|AKBPku	<i>noun</i><br><ol><li>(law enforcement) initialism of Ajun Komisaris Besar Polisi (“Police Grand Commissioner Attendant”).</li></ol>
APBD|APBDmu|APBDku|APBDnya	<i>noun</i><br><ol><li>(finance) Initialism of anggaran pendapatan dan belanja daerah.</li></ol>
APBN|APBNku|APBNnya|APBNmu	<i>noun</i><br><ol><li>(finance, government) Initialism of anggaran pendapatan dan belanja negara (“national government budget”).</li></ol>
APD|APDnya|APDmu|APDku	<i>noun</i><br><ol><li>(finance) Initialism of aplikasi penarikan dana.</li><li>Initialism of alat pelindung diri (“personal protective equipment”): PPE.</li></ol>
APRI	<i>name</i><br><ol><li>Initialism of Angkatan Perang Republik Indonesia (“National Armed Forces of the Republic of Indonesia”).</li></ol>
ART|ARTnya|ARTku|ARTmu	<i>noun</i><br><ol><li>Initialism of anggaran rumah tangga.</li><li>Initialism of asisten rumah tangga.</li></ol>
ASMR|ASMRmu|ASMRnya|ASMRku	<i>noun</i><br><ol><li>Initialism of autonomous sensory meridian response (“a claimed biological phenomenon involving a pleasurable tingling in response to a stimulus”).</li></ol>
