A	<i>character</i><br><ol><li>The first letter of the Ingrian alphabet, called a and written in the Latin script.</li></ol>
Ala-Laukaa	<i>name</i><br><ol><li>The Lower Luga dialect of the Ingrian language.</li></ol>
Estonia	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Europpa|Europpanna|Europalt|Europan|Europalle|Europpaan|Europast|Europpant|Europaas|Europaal|Europaks|Europpaa	<i>name</i><br><ol><li>Europe (a continent)</li></ol>
Herra	<i>name</i><br><ol><li>Lord (God or Jesus)</li></ol>
Hyvvää Uutta Vootta|Hyvvää Uutta Vootta!	<i>phrase</i><br><ol><li>Happy New Year!</li></ol>
Jaani	<i>name</i><br><ol><li>Midsummer</li></ol>
Jauza	<i>name</i><br><ol><li>Yauza (a river in Moscow, Russia)</li></ol>
Joulu|Joululle|Joululoin|Jouluu|Joululoiz|Joululoja|Joulun|Joululoihe|Jouluuz|Jouluul|Joulua|Joululoiks|Joululoille|Jouluun|Joulult|Joulust|Joululoilt|Jouluks|Joulut|Joululoil|Joululoist	<i>name</i><br><ol><li>Christmas</li></ol>
Jumala|Jummaala	<i>name</i><br><ol><li>(chiefly Christianity) God</li></ol>
Kingisepp	<i>name</i><br><ol><li>Kingisepp (a town in Leningrad Oblast, Russia)</li></ol>
Kingiseppin raijona	<i>name</i><br><ol><li>Kingiseppsky District (a raion of Leningrad oblast, Russia)</li></ol>
Latvia	<i>name</i><br><ol><li>Latvia (a country in Europe)</li></ol>
Laukaa	<i>name</i><br><ol><li>Luga (a river in Russia)</li><li>Short for Ala-Laukaa (“Lower Luga dialect”).</li></ol>
Leningrad	<i>name</i><br><ol><li>(historical) Leningrad (a major city in Russia)</li></ol>
Leningradan oblasti	<i>name</i><br><ol><li>Leningrad Oblast (an oblast of Russia)</li></ol>
Litva	<i>name</i><br><ol><li>Lithuania (a country in Europe)</li></ol>
Läns-Europpa	<i>name</i><br><ol><li>Western Europe (a region of Europe)</li></ol>
Moskova	<i>name</i><br><ol><li>Moscow (a federal city, the capital of Russia)</li><li>Moskva (a river in Moscow, Russia)</li></ol>
Niderland	<i>name</i><br><ol><li>Netherlands (a country in Europe)</li></ol>
Norvegia	<i>name</i><br><ol><li>Norway (a country in Europe)</li></ol>
Onnekasta Joulua|Onnekasta Joulua!	<i>phrase</i><br><ol><li>merry Christmas!</li></ol>
Petteri	<i>name</i><br><ol><li>Saint Petersburg (a major city in Russia)</li></ol>
Punain armia	<i>name</i><br><ol><li>(historical, military) Red Army</li></ol>
Punain flootta	<i>name</i><br><ol><li>(historical, military) Red Fleet</li></ol>
Rootsi	<i>name</i><br><ol><li>Sweden (a country in Europe)</li></ol>
SSSR|SSSR-l|SSSR-a|SSSR-lt|SSSR-s|SSSR-lle|SSSR-nt|SSSR-nna|SSSR-ks|SSSR-n|SSSR-st	<i>name</i><br><ol><li>USSR</li></ol>
Saksa	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
