A|a	<i>character</i><br><ol><li>The first letter of the Interlingua alphabet, written in the Latin script.</li></ol>
Africa del Sud	<i>name</i><br><ol><li>South Africa</li></ol>
Anglaterra	<i>name</i><br><ol><li>England</li></ol>
Athenas	<i>name</i><br><ol><li>Athens</li></ol>
Australia	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Azores|le Azores	<i>name</i><br><ol><li>the Azores</li></ol>
Bahamas	<i>name</i><br><ol><li>Bahamas (an archipelago and country in the Caribbean)</li></ol>
Bangladesh	<i>name</i><br><ol><li>Bangladesh (a country in Asia)</li></ol>
Barbados	<i>name</i><br><ol><li>Barbados (an island and country in the Caribbean)</li></ol>
Belize	<i>name</i><br><ol><li>Belize (a country in Central America)</li></ol>
Benin	<i>name</i><br><ol><li>Benin (a country in West Africa)</li></ol>
Bhutan	<i>name</i><br><ol><li>Bhutan (a country in Asia)</li></ol>
Bolivia	<i>name</i><br><ol><li>Bolivia (a country in South America)</li></ol>
Botswana	<i>name</i><br><ol><li>Botswana (a country in Africa)</li></ol>
Brasil	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Burkina Faso	<i>name</i><br><ol><li>Burkina Faso (a country in West Africa)</li></ol>
Burundi	<i>name</i><br><ol><li>Burundi</li></ol>
Byzantio|Byzantios	<i>name</i><br><ol><li>Byzantium (ancient Greek city situated on the Bosporus in modern Turkey, later called Constantinople; modern Istanbul)</li></ol>
Chile	<i>name</i><br><ol><li>Chile (a country in South America)</li></ol>
China	<i>name</i><br><ol><li>China (a country in eastern Asia)</li></ol>
Colombia	<i>name</i><br><ol><li>Colombia (a country in South America)</li></ol>
Colonia	<i>name</i><br><ol><li>Cologne (the largest city in North Rhine-Westphalia, in northwestern Germany)</li></ol>
Costa Rica	<i>name</i><br><ol><li>Costa Rica (a country in Central America)</li></ol>
Cuba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Danmark	<i>name</i><br><ol><li>Denmark</li></ol>
E.C.	<i>adv</i><br><ol><li>AD, CE</li></ol>
Egypto	<i>name</i><br><ol><li>Egypt</li></ol>
El Salvador	<i>name</i><br><ol><li>El Salvador (a country in Central America)</li></ol>
Eritrea	<i>name</i><br><ol><li>Eritrea</li></ol>
Espania	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Esperanto	<i>noun</i><br><ol><li>Esperanto</li></ol>
Estonia	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Europa	<i>name</i><br><ol><li>Europe</li><li>Europa</li></ol>
Fiji	<i>name</i><br><ol><li>Fiji (a country and archipelago in Oceania)</li></ol>
Finlandia	<i>name</i><br><ol><li>Finland</li></ol>
Francia	<i>name</i><br><ol><li>France</li></ol>
Gabon	<i>name</i><br><ol><li>Gabon</li></ol>
Galles	<i>name</i><br><ol><li>Wales</li></ol>
Germania	<i>name</i><br><ol><li>Germany</li></ol>
Grande Britannia	<i>name</i><br><ol><li>Great Britain</li></ol>
Grecia	<i>name</i><br><ol><li>Greece</li></ol>
Guatemala	<i>name</i><br><ol><li>Guatemala (a country in Central America)</li></ol>
Homine de Deo	<i>noun</i><br><ol><li>man of God, godly man</li><li>minister</li><li>priest</li></ol>
Indian	<i>adj</i><br><ol><li>Indian (of India)</li><li>Native American; Indian</li></ol>
Interlingua	<i>name</i><br><ol><li>Alternative letter-case form of interlingua (“Interlingua”)</li></ol>
Iran	<i>name</i><br><ol><li>Iran</li></ol>
Israel	<i>name</i><br><ol><li>(all senses) Israel</li></ol>
Italia	<i>name</i><br><ol><li>Italy</li></ol>
Mahomet	<i>name</i><br><ol><li>(Islam) Muhammad (Islamic prophet)</li></ol>
Marte	<i>name</i><br><ol><li>Mars</li></ol>
Mercurio	<i>name</i><br><ol><li>Mercury (planet)</li><li>Mercury (Roman god)</li></ol>
Mexico	<i>name</i><br><ol><li>Mexico (a country in North America)</li></ol>
Monaco	<i>name</i><br><ol><li>Monaco (a city-state in Western Europe)</li></ol>
Moscova	<i>name</i><br><ol><li>Moscow (a federal city, the capital of Russia)</li><li>Moscow (an oblast of Russia, surrounding the city of Moscow)</li></ol>
Mozambique	<i>name</i><br><ol><li>Mozambique (a country in Africa)</li></ol>
Neptuno	<i>name</i><br><ol><li>Neptune</li></ol>
Norvega	<i>name</i><br><ol><li>Synonym of Norvegia</li></ol>
Norvegia	<i>name</i><br><ol><li>Norway</li></ol>
Paises Basse	<i>name</i><br><ol><li>Low Countries</li><li>Netherlands</li></ol>
Peking	<i>name</i><br><ol><li>Peking (the former name of Beijing, a direct-administered municipality, the capital city of China)</li></ol>
Polonese	<i>name</i><br><ol><li>The Polish language.</li></ol>
Regno Unite	<i>name</i><br><ol><li>United Kingdom (a country in Europe)</li></ol>
Reunion	<i>name</i><br><ol><li>Réunion</li></ol>
Russia	<i>name</i><br><ol><li>Russia</li></ol>
Saturno	<i>name</i><br><ol><li>Saturn</li></ol>
Scotia	<i>name</i><br><ol><li>Scotland</li></ol>
Statos Unite	<i>name</i><br><ol><li>United States (a country in North America)</li></ol>
Suissa	<i>name</i><br><ol><li>Switzerland</li></ol>
Tibet	<i>name</i><br><ol><li>Tibet</li></ol>
Togo	<i>name</i><br><ol><li>Togo (a country in West Africa)</li></ol>
Turchia	<i>name</i><br><ol><li>Turkey</li></ol>
