A	<i>character</i><br><ol><li>The first letter of the Inupiaq alphabet, written in the Latin script.</li></ol>
Amiġaiqsivik	<i>name</i><br><ol><li>August (lit. caribou moulting time)</li></ol>
Kisaġvik	<i>name</i><br><ol><li>Anchorage, Alaska</li></ol>
Naluaġmiu|Naluaġmiuk|Naluaġmiut	<i>name</i><br><ol><li>white person</li></ol>
Naluaġmiuyaaq|Naluaġmiuyaak|Naluaġmiuyaat	<i>name</i><br><ol><li>half white person</li></ol>
Tanik|Tannak|Tanŋit	<i>name</i><br><ol><li>white person</li></ol>
Tinaaq|Tinaat|Tinaak	<i>name</i><br><ol><li>Athabascan, Dene, Native American, American Indian</li></ol>
Tinaaġmiu|Tinaaġmiut|Tinaaġmiuk	<i>name</i><br><ol><li>Athabascan, Dene, Native American, American Indian</li></ol>
Tiŋmirrat Tatqiat	<i>name</i><br><ol><li>month of April (lit. month of the geese)</li></ol>
Tiŋŋivik	<i>name</i><br><ol><li>August (lit. the time to fly away)</li></ol>
a	<i>intj</i><br><ol><li>listen, hark</li><li>oops (used to acknowledge an error)</li><li>oh (used to express surprise)</li></ol>
aa	<i>intj</i><br><ol><li>yes, I know</li><li>I agree: expresses listener's agreement with storyteller or speaker</li><li>expresses exasperation, criticism or dismay over what another person does or says, said in breathy voice</li><li>expression of surprise or awe</li></ol>
aapa	<i>noun</i><br><ol><li>father</li></ol>
aapu|aapuk|aaput	<i>noun</i><br><ol><li>apple</li></ol>
aapuq|aapuk|aaput	<i>noun</i><br><ol><li>apple</li></ol>
aaquaksraatchiaq|aaquaksraatchiat|aaquaksraatchiak	<i>noun</i><br><ol><li>old woman</li></ol>
aasii	<i>particle</i><br><ol><li>and so, and then</li></ol>
aasiiñ	<i>particle</i><br><ol><li>and so, and then</li></ol>
aasriiñ	<i>particle</i><br><ol><li>and so, and then</li></ol>
aasrivak|aasrivaak|aasrivaich	<i>noun</i><br><ol><li>spider</li></ol>
aaġlu|aaġluk|aaġlut	<i>noun</i><br><ol><li>killer whale, orca</li></ol>
agaayyuliqsi|agaayyuliqsik|agaayyuliqsit	<i>noun</i><br><ol><li>pastor, missionary</li></ol>
agga	<i>det</i><br><ol><li>across there [visible, covering a large area or in motion]</li></ol>
aglaan	<i>conj</i><br><ol><li>up to, as far as</li><li>but, however</li></ol>
aglagviksraq|aglagviksrat|aglagviksrak	<i>noun</i><br><ol><li>writing paper, writing material</li></ol>
aglaun|aglautit|aglautik	<i>noun</i><br><ol><li>pencil, pen</li></ol>
agliutraq|agliutrak|agliutrat	<i>noun</i><br><ol><li>picture</li></ol>
agviq|agvigich|agvak	<i>noun</i><br><ol><li>bowhead whale</li></ol>
aippaani	<i>adv</i><br><ol><li>in the distant memorable past, long ago</li></ol>
