Aristoteles	<i>name</i><br><ol><li>Aristotle</li></ol>
Bala	<i>noun</i><br><ol><li>name of the twenty fifth week in Javanese calendar</li></ol>
Batawi	<i>romanization</i><br><ol><li>Romanization of ꦧꦠꦮꦶ.</li></ol>
Bêtawi	<i>romanization</i><br><ol><li>Romanization of ꦧꦼꦠꦮꦶ.</li></ol>
Hyang	<i>noun</i><br><ol><li>God</li><li>goddess</li><li>divinity</li><li>deified being</li></ol>
Jawa	<i>name</i><br><ol><li>Romanization of ꦗꦮ</li></ol>
Kresna	<i>noun</i><br><ol><li>the child who was born with smooth black skin</li></ol>
Nusantara	<i>romanization</i><br><ol><li>Romanization of ꦤꦸꦱꦤ꧀ꦠꦫ.</li></ol>
Ukir|ꦈꦏꦶꦂ|ukir	<i>noun</i><br><ol><li>the name of the third week in Java calendar system.</li></ol>
Wikisastra	<i>name</i><br><ol><li>Wiktionary</li></ol>
abad	<i>noun</i><br><ol><li>century</li></ol>
abala	<i>verb</i><br><ol><li>to have an army</li></ol>
abang|abrit	<i>adj</i><br><ol><li>red</li></ol><br><i>noun</i><br><ol><li>red</li></ol>
abg	<i>noun</i><br><ol><li>(text messaging) Initialism of abang.</li></ol>
abosah-basih	<i>adv</i><br><ol><li>chaotically, esp. because of war or disaster</li></ol><br><i>adj</i><br><ol><li>scattered, e.g. leaves, after being battered by wind</li></ol>
abot	<i>adj</i><br><ol><li>heavy</li></ol>
abrit|abang	<i>adj</i><br><ol><li>Krama of abang.</li></ol><br><i>noun</i><br><ol><li>Krama of abang.</li></ol>
absah	<i>romanization</i><br><ol><li>Romanization of ꦲꦧ꧀ꦱꦃ</li></ol>
abuh	<i>romanization</i><br><ol><li>Romanization of ꦲꦧꦸꦃ</li></ol>
abuk	<i>romanization</i><br><ol><li>Romanization of ꦲꦧꦸꦏ꧀</li></ol>
abur	<i>romanization</i><br><ol><li>Romanization of ꦲꦧꦸꦂ</li></ol>
acara	<i>romanization</i><br><ol><li>Romanization of ꦲꦕꦫ.</li></ol>
adara	<i>romanization</i><br><ol><li>Romanization of ꦲꦢꦫ</li></ol>
adat	<i>romanization</i><br><ol><li>Romanization of ꦲꦢꦠ꧀.</li></ol>
adhem	<i>adj</i><br><ol><li>cold</li></ol>
adhep	<i>romanization</i><br><ol><li>Romanization of ꦲꦝꦼꦥ꧀</li></ol>
adhi	<i>noun</i><br><ol><li>younger sibling (sister or brother)</li></ol>
adi	<i>romanization</i><br><ol><li>Romanization of ꦲꦢꦶ.</li></ol>
adoh	<i>adj</i><br><ol><li>distant</li></ol>
adus	<i>verb</i><br><ol><li>to bathe</li></ol>
agama	<i>romanization</i><br><ol><li>Romanization of ꦲꦒꦩ.</li></ol>
ageman	<i>romanization</i><br><ol><li>Romanization of ꦲꦒꦼꦩꦤ꧀</li></ol>
ageng|gedhe|gêdhe|gedhé|gede|agêng	<i>adj</i><br><ol><li>Krama of gedhé.</li></ol>
agni	<i>noun</i><br><ol><li>(archaic) fire</li></ol>
agung	<i>adj</i><br><ol><li>(archaic) large</li><li>(archaic) great, exalted</li></ol>
aja cacak|ojo cacak	<i>conj</i><br><ol><li>let alone</li></ol>
aja manèh|ojo meneh|sampun malih|ojo maneh|aja menèh|sampun melih	<i>conj</i><br><ol><li>let alone</li></ol>
akrab	<i>noun</i><br><ol><li>family</li><li>relatives</li></ol>
