ᄀᆞᄁᆞᆺ|gawkkawt	<i>adv</i><br><ol><li>just then</li><li>a short time ago</li></ol>
ᄀᆞᆨ다기|gawkdagi	<i>noun</i><br><ol><li>mosquito</li></ol>
ᄀᆞᆫ장|gawnjang	<i>noun</i><br><ol><li>soy sauce</li></ol>
ᄀᆞᆮ다|gawtda	<i>verb</i><br><ol><li>to speak, to say</li></ol>
ᄀᆞᆯ개비|gawlgaebi	<i>noun</i><br><ol><li>frog</li></ol>
ᄀᆞᆷ다|gawmda	<i>verb</i><br><ol><li>to wash oneself, to bathe</li></ol>
ᄀᆞᆸ	<i>noun</i><br><ol><li>layer; fold</li><li>portion; allotment</li><li>divide; especially a cosmic divide, such as that between heaven and earth or the living and the dead</li><li>limit; end</li><li>discernment</li><li>sorting out; categorization</li></ol>
ᄀᆞᆺ바위|gawtbawi	<i>noun</i><br><ol><li>the edge of a round object</li></ol>
ᄀᆞᆺ사|gawtsa	<i>adv</i><br><ol><li>just then</li></ol>
ᄀᆞ끔|gawkkeum	<i>adv</i><br><ol><li>sometimes</li></ol>
ᄀᆞ득|gawdeuk	<i>adv</i><br><ol><li>full; fully</li></ol>
ᄀᆞ득다|gawdeukda	<i>adj</i><br><ol><li>to be full</li></ol>
ᄀᆞ로쓰기|gawrosseugi	<i>noun</i><br><ol><li>horizontal writing</li></ol>
ᄀᆞ르|gawreu	<i>noun</i><br><ol><li>meal, flour (of wheat, etc.); powder</li></ol>
ᄀᆞ를|gawreul	<i>noun</i><br><ol><li>powder</li><li>flour</li></ol>
ᄀᆞ리|gawri	<i>noun</i><br><ol><li>time</li><li>an occasion; the time when...</li></ol>
ᄀᆞ맹이|gawmaeng'i	<i>noun</i><br><ol><li>heat haze</li></ol>
ᄀᆞ새|gawsae	<i>noun</i><br><ol><li>scissors</li></ol>
ᄀᆞ을|gaweul	<i>noun</i><br><ol><li>autumn; fall</li></ol>
ᄀᆞ져들이다|gajyeodeulida	<i>verb</i><br><ol><li>To bring in</li></ol>
ᄀᆞ트다|gawteuda	<i>adj</i><br><ol><li>(to be) the same</li><li>(to be) similar</li></ol>
ᄁᆞ늘다|kkawneulda	<i>adj</i><br><ol><li>thin, slender (of something long and thin, like a thread or a stick)</li></ol>
ᄂᆞᄆᆞᆯ|nawmawl	<i>noun</i><br><ol><li>greens, namul, herbs</li></ol>
ᄂᆞᄆᆞᆯ국|nawmawlguk	<i>noun</i><br><ol><li>vegetable soup</li></ol>
ᄂᆞᆷ삐|nawmppi	<i>noun</i><br><ol><li>Korean radish, a variety of daikon.</li></ol>
ᄂᆞᆺ빗|nawtbit	<i>noun</i><br><ol><li>an expression of feeling, especially a facial expression</li></ol>
ᄂᆞ시|nawsi	<i>adv</i><br><ol><li>(denoting a conclusion of an event)</li></ol>
ᄂᆞ실다|nawsilda	<i>verb</i><br><ol><li>to sharpen the blade of a knife, sickle, or a tool.</li></ol>
ᄂᆞ잡다|nawjapda	<i>adj</i><br><ol><li>to be low</li></ol>
ᄃᆞᆨ|dawk	<i>noun</i><br><ol><li>fowl, chicken</li></ol>
ᄃᆞᆫ물장의|dawnmuljang-ui	<i>noun</i><br><ol><li>The Japanese eel, Anguilla japonica</li></ol>
ᄃᆞᆯ|dawl	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
ᄃᆞᆯ뱅이|dawlbaeng'i	<i>noun</i><br><ol><li>snail</li></ol>
ᄃᆞᆺᄃᆞᆺᄒᆞ다|dawtdawthawda	<i>adj</i><br><ol><li>(to be) warm</li></ol>
ᄃᆞᆼ그다|dawnggeuda	<i>verb</i><br><ol><li>to dip; to soak</li></ol>
ᄃᆞ람지|dawramji	<i>noun</i><br><ol><li>bat</li></ol>
ᄃᆞ스다|dawseuda	<i>adj</i><br><ol><li>(to be) warm</li></ol>
ᄄᆞᆯ|ttawl	<i>noun</i><br><ol><li>daughter</li></ol>
ᄄᆞᆷ|ttawm	<i>noun</i><br><ol><li>sweat</li></ol>
ᄄᆞ뜻ᄒᆞ다|ttawtteuthawda	<i>adj</i><br><ol><li>(to be) warm</li></ol>
ᄆᆞᆫ딱|mawnttak	<i>adv</i><br><ol><li>all, wholly</li><li>altogether</li></ol>
ᄆᆞᆯ|mawl	<i>noun</i><br><ol><li>horse</li><li>gulfweed (Sargassum fulvellum)</li></ol>
ᄆᆞᆯ랑ᄆᆞᆯ랑ᄒᆞ다|mawllangmawllanghawda	<i>adj</i><br><ol><li>gentle</li></ol>
ᄆᆞ르다|mawreuda	<i>verb</i><br><ol><li>to dry</li><li>to cut (with scissors)</li></ol>
ᄆᆞ슬|mawseul	<i>noun</i><br><ol><li>village</li></ol>
ᄆᆞ슴|mawseum	<i>noun</i><br><ol><li>mind; heart</li></ol>
ᄆᆞ실|mawsil	<i>noun</i><br><ol><li>village, hamlet, settlement</li></ol>
ᄆᆞ츰내|mawcheumnae	<i>adv</i><br><ol><li>finally; in the end</li></ol>
ᄇᆞᆮ|bawt	<i>noun</i><br><ol><li>(anatomy) womb</li></ol>
ᄇᆞᆯ끈|bawlkkeun	<i>adv</i><br><ol><li>tightly</li><li>firmly</li></ol>
ᄇᆞᆯ써|bawlsseo	<i>adv</i><br><ol><li>already</li></ol>
ᄇᆞᆰ다|bawkda	<i>adj</i><br><ol><li>(to be) bright</li><li>to be light</li></ol>
ᄇᆞ레다|bawreda	<i>verb</i><br><ol><li>to see; look at</li></ol>
ᄇᆞ름|bawreum	<i>noun</i><br><ol><li>wind, air, draft</li><li>wall</li></ol>
ᄈᆞᆯ다|ppawlda	<i>verb</i><br><ol><li>to suck</li><li>to wash</li></ol>
ᄈᆞᆯ레ᄒᆞ다|ppawllehawda	<i>verb</i><br><ol><li>to do the laundry</li></ol>
ᄈᆞᆯ르다|ppawlleuda	<i>adj</i><br><ol><li>(to be) fast, quick</li></ol>
ᄉᆞ|saw	<i>num</i><br><ol><li>four</li></ol>
ᄉᆞᆯ루다|ᄉᆞᆯ루완|ᄉᆞᆯ루난|sawlluda|ᄉᆞᆯ루왕	<i>verb</i><br><ol><li>(transitive or intransitive, humble) to speak, to say, to tell something to a superior</li></ol>
ᄉᆞᆯ므다|sawlmeuda	<i>verb</i><br><ol><li>to boil; to cook</li></ol>
ᄉᆞᆼ키|sawngki	<i>noun</i><br><ol><li>(eastern Seogwipo) vegetables; greens</li></ol>
ᄉᆞ랑|sawrang	<i>noun</i><br><ol><li>love</li></ol>
ᄉᆞ수매|sawsumae	<i>noun</i><br><ol><li>a four year-old horse</li></ol>
ᄉᆞ시|sawsi	<i>noun</i><br><ol><li>neighborhood</li></ol>
ᄉᆞ실|sawsil	<i>noun</i><br><ol><li>fact</li></ol>
ᄉᆞ십|sawsip	<i>num</i><br><ol><li>forty</li></ol>
ᄉᆞ용ᄒᆞ다|sawyonghawda	<i>verb</i><br><ol><li>to use</li><li>to utilize</li><li>to employ</li></ol>
ᄉᆞ월|sawwol	<i>noun</i><br><ol><li>April</li></ol>
ᄉᆞ을|saw-eul	<i>noun</i><br><ol><li>three days</li></ol>
ᄉᆞ이|sawi	<i>noun</i><br><ol><li>relationship, space between</li></ol>
ᄉᆞ춘|sawchun	<i>noun</i><br><ol><li>cousin (male or female)</li></ol>
ᄉᆞ투리|sawturi	<i>noun</i><br><ol><li>(linguistics) dialect (variety of a language)</li></ol>
ᄉᆞ훼|sawhwe	<i>noun</i><br><ol><li>moderation of a meeting or ceremony</li><li>moderator</li></ol>
ᄊᆞᆯ|ssawl	<i>noun</i><br><ol><li>rice</li></ol>
ᄊᆞᆯ칩|ssawlchip	<i>noun</i><br><ol><li>rice shop (a shop that sells rice)</li></ol>
ᄊᆞᆱ다|ssawmda	<i>verb</i><br><ol><li>to boil; to cook</li></ol>
ᄋᆞ|aw	<i>noun</i><br><ol><li>the name of the jamo ㆍ</li></ol><br><i>intj</i><br><ol><li>(informal) yes</li></ol>
ᄋᆞᆼ진ᄋᆞᆼ진|awngjin-awngjin	<i>adv</i><br><ol><li>grumbling</li></ol><br><i>noun</i><br><ol><li>(of a baby or a child) while crying loudly</li></ol>
ᄋᆞ동|awdong	<i>noun</i><br><ol><li>child</li></ol>
ᄋᆞ요|awyo	<i>intj</i><br><ol><li>oh my!</li></ol>
ᄋᆢᄃᆞᆸ|yawdawp	<i>num</i><br><ol><li>eight</li></ol>
ᄋᆢᄉᆞᆺ|yawsawt	<i>num</i><br><ol><li>six</li></ol>
ᄋᆢᆯ매|yawlmae	<i>noun</i><br><ol><li>fruit</li></ol>
ᄋᆢᆺ|yawt	<i>det</i><br><ol><li>six</li></ol>
ᄋᆢᆺ쉐|yawtswe	<i>noun</i><br><ol><li>six days</li></ol>
ᄋᆢᇁ|yawp	<i>noun</i><br><ol><li>beside</li><li>alongside</li><li>side</li></ol>
ᄋᆢ드레|yawdeure	<i>noun</i><br><ol><li>eight days</li></ol>
ᄋᆢ든|yawdeun	<i>num</i><br><ol><li>eighty</li></ol>
ᄋᆢ라|yawra	<i>adv</i><br><ol><li>several, various</li></ol>
ᄋᆢ라분|yawrabun	<i>noun</i><br><ol><li>(addressing a group of people) ladies and gentlemen; everybody</li><li>(polite, in the plural) you; everybody</li></ol>
ᄋᆢ름|yawreum	<i>noun</i><br><ol><li>summer</li></ol>
ᄌᆞᄉᆞᆨ|jawsawk	<i>noun</i><br><ol><li>a child</li></ol>
ᄌᆞᄉᆞᆯ|jawsawl	<i>noun</i><br><ol><li>(anatomy) labia minora</li></ol>
ᄌᆞᆫ가시|jawngasi	<i>noun</i><br><ol><li>small bones</li></ol>
ᄌᆞᆷ자다|jawmjada	<i>verb</i><br><ol><li>to sleep</li></ol>
ᄌᆞᆺ|jawt	<i>noun</i><br><ol><li>milk (of mammals)</li></ol>
ᄌᆞ게움타다|jawge'umtada	<i>verb</i><br><ol><li>to tickle</li></ol>
ᄌᆞ미|jawmi	<i>noun</i><br><ol><li>fun; enjoyment</li></ol>
ᄌᆞ미지다|jawmijida	<i>adj</i><br><ol><li>(to be) interesting</li></ol>
ᄌᆞ봄|jawbom	<i>noun</i><br><ol><li>chopsticks</li></ol>
ᄌᆞ손|jawson	<i>noun</i><br><ol><li>descendant</li><li>offspring</li></ol>
ᄌᆞ심히|jawsimhi	<i>adv</i><br><ol><li>in detail</li></ol>
ᄌᆞ영거|jawyeonggeo	<i>noun</i><br><ol><li>(rare) bicycle</li></ol>
ᄌᆞ오침|jawochim	<i>noun</i><br><ol><li>compass</li></ol>
ᄌᆞ주|jawju	<i>adv</i><br><ol><li>often</li></ol>
ᄍᆞᆸ지롱ᄒᆞ다|jjawpjironghawda	<i>adj</i><br><ol><li>to be a bit salty</li></ol>
ᄎᆞᄎᆞ|chawchaw	<i>adv</i><br><ol><li>gradually</li></ol>
ᄎᆞᆯ레|chawlle	<i>noun</i><br><ol><li>side dish</li></ol>
ᄎᆞᆷ|chawm	<i>adv</i><br><ol><li>really; truth</li></ol>
ᄎᆞᆷ웨|chawmwe	<i>noun</i><br><ol><li>the Korean melon, (Cucumis melo Makuwa Group) or its fruit.</li></ol>
ᄎᆞᆷ지름|chawmjireum	<i>noun</i><br><ol><li>sesame oil</li></ol>
ᄎᆞ츰ᄎᆞ츰|chawcheumchawcheum	<i>adv</i><br><ol><li>gradually</li></ol>
ᄏᆞᄏᆞᆯ|kawkawl	<i>adv</i><br><ol><li>all</li></ol>
ᄏᆞᆷᄏᆞᆷᄒᆞ다|kawmkawmhawda	<i>adj</i><br><ol><li>pitch-dark</li></ol>
ᄐᆞᆸ|tawp	<i>noun</i><br><ol><li>a piece (of an object)</li></ol>
ᄑᆞᆯ|pawl	<i>noun</i><br><ol><li>arm</li></ol>
ᄑᆞᆯ둑거리|pawldukgeori	<i>noun</i><br><ol><li>bracelet, bangle</li></ol>
ᄑᆞᆯ뚝|pawlttuk	<i>noun</i><br><ol><li>(anatomy) forearm</li></ol>
ᄑᆞᆺ|pawt	<i>noun</i><br><ol><li>the red bean or azuki bean, Vigna angularis.</li></ol>
ᄒᆞᄊᆞᆯ|hawssawl	<i>adv</i><br><ol><li>a little; some</li></ol>
ᄒᆞᆨ교|ᄒᆞᆨ게|hawkgyo|hawkge	<i>noun</i><br><ol><li>school</li></ol>
ᄒᆞᆨ교마당|hawkgyomadang	<i>noun</i><br><ol><li>playground; schoolyard</li></ol>
ᄒᆞᆫ|hawn	<i>det</i><br><ol><li>one</li></ol>
ᄒᆞᆫ저|hawnjeo	<i>adv</i><br><ol><li>quickly</li></ol>
ᄒᆞᆫ저옵서예|hawnheo-opseoye	<i>intj</i><br><ol><li>welcome (greeting given upon someone's arrival)</li></ol>
ᄒᆞᆫ펜|hawnpen	<i>adv</i><br><ol><li>on the other hand, side</li></ol>
