А|Ā|а	<i>character</i><br><ol><li>The first letter of the Kabardian alphabet, written in the Cyrillic script.</li></ol>
Бытырбыху	<i>name</i><br><ol><li>Saint Petersburg (a federal city of Russia)</li></ol>
Жантий|Žāntij	<i>name</i><br><ol><li>Janty (name)</li></ol>
Казахстан|Kāzāxstān	<i>name</i><br><ol><li>Kazakhstan (a country in Central Asia)</li></ol>
Куба	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Мэзкуу|Mezkuu	<i>name</i><br><ol><li>Moscow (a federal city, the capital of Russia)</li><li>Moscow (an oblast of Russia, surrounding the city of Moscow)</li></ol>
Тхьэшхуэ|Тхьэшхуэхыу (Tḥăšx°ăxəw)|Tḥăšx°ă|Тхьэшхуэхэмăč̣̍ă)|Тхьэшхуэмăč̣̍ă)|Тхьэшхуэхэмămč̣̍ă)|Тхьэшхуэхэкӏэ (Tḥăšx°ăxăč̣̍ă)|Тхьэшхуэхэр (Tḥăšx°ăxăr)|Тхьэшхуэкӏэ (Tḥăšx°ăč̣̍ă)|Тхьэшхуэхэкӏэ (Tḥăšx°ăxămč̣̍ă)|Тхьэшхуэхэмэ (Tḥăšx°ăxămă)|Тхьэшхуэу|Тхьэшхуэр|Тхьэшхуэмămč̣̍ă)|Тхьэшхуэкӏэ (Tḥăšx°ămč̣̍ă)|Тхьэшхуэм|Тхьэшхуэхэ (Tḥăšx°ăxă)	<i>name</i><br><ol><li>The Supreme God.</li></ol>
абдж|абджэ|абджэхэмэ|абджэхыу|абджэхэкӏэ|абджэхэмămč̣̍ă)|абджэмăč̣̍ă)|абджэм|ābǯ̍|абджэхэмăč̣̍ă)|абджэхэ|абджэр|абджыу|абджэкӏэ|абджэхэр|абджэмămč̣̍ă)	<i>noun</i><br><ol><li>glass</li></ol>
адакъэ|адакъэхэмămč̣̍ă)|ādāq̇ă|адакъэхыу|адакъэмămč̣̍ă)|адакъэм|адакъэр|адакъэкӏэ|адакъэхэмэ|адакъэхэмăč̣̍ă)|адакъэмăč̣̍ă)|адакъэхэ|адакъэхэкӏэ|адакъэу|адакъэхэр	<i>noun</i><br><ol><li>rooster, cock</li></ol>
адыгэбзэ|adygebze	<i>name</i><br><ol><li>the Adyghe language</li></ol>
адэ|ādă	<i>adv</i><br><ol><li>over there (Invisible, Far)</li></ol><br><i>noun</i><br><ol><li>father</li></ol>
ажал|āžāl	<i>noun</i><br><ol><li>death</li></ol>
ажэ|āžă	<i>noun</i><br><ol><li>goat</li></ol>
акъыл|āq̇əl	<i>adj</i><br><ol><li>smart, intelligent</li></ol><br><i>noun</i><br><ol><li>brain</li></ol>
алэрыбгъу|ālărəbġ°	<i>noun</i><br><ol><li>carpet</li></ol>
анэ|анэмăč̣̍ă)|ānă|анэмămč̣̍ă)|анэхэ|анэхэмэ|анэхэмăč̣̍ă)|анэхэкӏэ|ӏанэ|ʾānă|анэм|анэхыу|анэу|анэхэр|анэхэмămč̣̍ă)|анэкӏэ|анэр	<i>noun</i><br><ol><li>table</li><li>table (three-legged)</li><li>mother</li></ol>
анэдэлъхубзэ	<i>noun</i><br><ol><li>mother tongue, first language</li></ol>
ар|ār	<i>pron</i><br><ol><li>it, that; he, she, that person (absolutive case)</li></ol>
арап|ārāp	<i>noun</i><br><ol><li>an Arabic person</li></ol>
аращ|ārāŝ	<i>adv</i><br><ol><li>that is it</li><li>indeed</li></ol>
аргъуей	<i>noun</i><br><ol><li>mosquito</li></ol>
арму|ārmw	<i>adj</i><br><ol><li>bummer</li><li>loafer</li></ol>
арщхьэкӏэ|ārŝḥăč̣̍ă	<i>conj</i><br><ol><li>however, although, yet</li></ol>
ахъшэ|ахъшэхэмэ|ахъшэхыу|ахъшэхэ|ахъшэхэмămč̣̍ă)|ахъшэмăč̣̍ă)|ахъшэм|ахъшэхэр|āχšă|ахъшэмămč̣̍ă)|ахъшэкӏэ|ахъшэу|ахъшэр|ахъшэхэмăč̣̍ă)|ахъшэхэкӏэ	<i>noun</i><br><ol><li>money, currency, fund</li></ol>
ахьмакъ|āḥmāq̇	<i>adj</i><br><ol><li>fool</li></ol>
бадзэ|бадзэхэмămč̣̍ă)|bāʒă|бадзэм|бадзэкӏэ|бадзэмăč̣̍ă)|бадзэхэкӏэ|бадзэр|бадзэхэмэ|бадзэхэр|бадзэмămč̣̍ă)|бадзэхэмăč̣̍ă)|бадзэхэ|бадзэу|бадзэхыу	<i>noun</i><br><ol><li>housefly (fly)</li></ol>
бажэ|бажэкӏэ|бажэхэмăč̣̍ă)|бажэхэмămč̣̍ă)|бажэхэ|бажэхэкӏэ|бажэхэр|бажэу|бажэхыу|бажэмămč̣̍ă)|бажэхэмэ|bāžă|бажэр|бажэм|бажэмăč̣̍ă)	<i>noun</i><br><ol><li>fox</li></ol>
балыджэ|балыджэр|балыджэхэ|балыджэмămč̣̍ă)|балыджэхэкӏэ|балыджэхэр|балыджэхэмăč̣̍ă)|балыджэкӏэ|балыджэхэмămč̣̍ă)|балыджэмăč̣̍ă)|балыджэу|балыджэхэмэ|bāləǯ̍ă|балыджэм|балыджэхыу	<i>noun</i><br><ol><li>radish</li></ol>
бамэ|бамэхэ|бамэхэр|бамэхэмэ|бамэхыу|бамэхэкӏэ|бамэкӏэ|бамэм|бамэу|бамэмăč̣̍ă)|бамэхэмăč̣̍ă)|бамэмămč̣̍ă)|бамэхэмămč̣̍ă)|бамэр|bāmă	<i>noun</i><br><ol><li>stench, stink</li></ol>
банэ|банэмăč̣̍ă)|банэр|банэхэ|банэхыу|bānă|банэмămč̣̍ă)|банэхэр|банэхэмăč̣̍ă)|банэу|банэкӏэ|банэхэмămč̣̍ă)|банэм|банэхэкӏэ|банэхэмэ	<i>noun</i><br><ol><li>thorn</li></ol>
бахъсымэ|bāχsəmă	<i>noun</i><br><ol><li>a Circassian alcoholic drink (Circassian boza)</li></ol>
бахъэ|бахъэхэмămč̣̍ă)|bāχă|бахъэу|бахъэмăč̣̍ă)|бахъэм|бахъэхыу|бахъэхэмăč̣̍ă)|бахъэр|бахъэхэ|бахъэхэр|бахъэхэмэ|бахъэкӏэ|бахъэмămč̣̍ă)|бахъэхэкӏэ	<i>noun</i><br><ol><li>steam</li></ol>
бацэ|бацэхэр|бацэмămč̣̍ă)|бацэкӏэ|bācă|бацэхэ|бацэхэмэ|бацэхэмămč̣̍ă)|бацэхыу|бацэхэкӏэ|бацэу|бацэр|бацэхэмăč̣̍ă)|бацэмăč̣̍ă)|бацэм	<i>noun</i><br><ol><li>shaggy</li></ol>
бгъу|bġ°	<i>num</i><br><ol><li>nine</li></ol><br><i>noun</i><br><ol><li>side</li></ol>
