Boa Vista	<i>name</i><br><ol><li>(Boa Vista) Boa Vista</li><li>One of the ten islands of Cape Verde</li></ol>
Braba	<i>name</i><br><ol><li>(Brava) Brava</li></ol>
Brava	<i>name</i><br><ol><li>One of the ten islands of Cape Verde</li></ol>
Bubista	<i>name</i><br><ol><li>Boa Vista</li><li>One of the ten islands of Cape Verde</li></ol>
Dja d' Sal	<i>name</i><br><ol><li>(Sal) Sal</li></ol>
Djabraba	<i>name</i><br><ol><li>(Brava) Brava</li></ol>
Djadsal	<i>name</i><br><ol><li>(Sal) Sal</li></ol>
Djar-Fogu	<i>name</i><br><ol><li>(Fogo) Fogo</li></ol>
Djarmai	<i>name</i><br><ol><li>(Maio) Maio</li></ol>
Merka	<i>name</i><br><ol><li>America</li></ol>
Mindel	<i>name</i><br><ol><li>(Barlavento) Mindelo (a city in São Vicente, Cape Verde)</li></ol>
Mindelu	<i>name</i><br><ol><li>(Sotavento) Mindelo (a city in São Vicente, Cape Verde)</li></ol>
Praia	<i>name</i><br><ol><li>(Santiago) Praia (the capital city of Cape Verde)</li><li>(Santiago) Praia (a municipality of Cape Verde)</li></ol>
Puxadu	<i>adj</i><br><ol><li>(Sotavento) difficult</li></ol>
Páskua	<i>noun</i><br><ol><li>Easter</li></ol>
Rabil	<i>name</i><br><ol><li>(Santiago) Rabil</li></ol>
Sal	<i>name</i><br><ol><li>(Sal) Sal</li><li>One of the ten islands of Cape Verde</li></ol>
Sal Rei	<i>name</i><br><ol><li>(Santiago) Sal Rei</li></ol>
Salamansa	<i>name</i><br><ol><li>(Sotavento) Salamansa</li></ol>
Saniclau	<i>name</i><br><ol><li>(São Nicolau) São Nicolau</li></ol>
Sanikulau	<i>name</i><br><ol><li>(São Nicolau) São Nicolau</li><li>One of the ten islands of Cape Verde</li></ol>
Santa Luzia	<i>name</i><br><ol><li>(Santa Luzia) Santa Luzia</li><li>One of the ten islands of Cape Verde</li></ol>
Santanton	<i>name</i><br><ol><li>(Barlavento) Santo Antão</li><li>One of the ten islands of Cape Verde</li></ol>
Santiage	<i>name</i><br><ol><li>(Barlavento) Santiago</li><li>One of the ten islands of Cape Verde</li></ol>
Santiagu	<i>name</i><br><ol><li>(Sotavento) Santiago</li><li>One of the ten islands of Cape Verde</li></ol>
Sidadi Bedja	<i>name</i><br><ol><li>(Santiago) Cidade Velha (a city on Santiago island, Cape Verde; the oldest settlement and former capital of Cape Verde)</li></ol>
Sintanton	<i>name</i><br><ol><li>(Santo Antão) Santo Antão</li><li>One of the ten islands of Cape Verde</li></ol>
Somada	<i>name</i><br><ol><li>(Santiago, São Vicente) Assomada (a city on Sotavento island, Cape Verde; seat in the municipality of Santa Catarina)</li></ol>
Sonsente	<i>name</i><br><ol><li>(São Vicente) São Vicente</li><li>One of the ten islands of Cape Verde</li></ol>
Sã Nic'lau	<i>name</i><br><ol><li>(São Nicolau) São Nicolau</li></ol>
Tarrafal	<i>name</i><br><ol><li>(Santiago, São Vicente) Tarrafal (a city in northern Santiago, Cape Verde; seat in the municipality of Tarrafal)</li></ol>
a|A	<i>character</i><br><ol><li>The first letter of the Kabuverdianu alphabet, written in the Latin script.</li></ol>
abakate	<i>noun</i><br><ol><li>(Barlavento) avocado</li></ol>
abakati	<i>noun</i><br><ol><li>(Sotavento) avocado</li></ol>
abensua	<i>verb</i><br><ol><li>(Sotavento) bless</li></ol>
abiza	<i>verb</i><br><ol><li>(Santiago) warn, to warn, tell, to tell</li></ol>
abo	<i>pron</i><br><ol><li>you</li></ol>
abrasa	<i>verb</i><br><ol><li>(Sotavento) hug</li></ol>
abri	<i>verb</i><br><ol><li>(Sotavento) open</li></ol>
abril	<i>noun</i><br><ol><li>April</li></ol>
abrotu	<i>noun</i><br><ol><li>pigsnout grunt, Pomadasys rogerii</li></ol>
abrí	<i>verb</i><br><ol><li>(Barlavento) open</li></ol>
abuza	<i>verb</i><br><ol><li>(Sotavento) abuse, insult</li><li>(Sotavento) misuse</li></ol>
abuzadu	<i>adj</i><br><ol><li>(Sotavento) abusive</li><li>(Sotavento) naughty</li></ol>
abuzá	<i>verb</i><br><ol><li>(Barlavento) abuse, insult</li><li>(Barlavento) misuse</li></ol>
abuzóde	<i>adj</i><br><ol><li>(Barlavento) abusive</li><li>(Barlavento) naughty</li></ol>
abênsua	<i>verb</i><br><ol><li>(Sotavento) to bless</li></ol>
adivogádu	<i>noun</i><br><ol><li>(Sotavento) lawyer; attorney</li></ol>
adju	<i>noun</i><br><ol><li>(Sotavento) garlic</li></ol>
ael	<i>pron</i><br><ol><li>he, she, third person singular.</li></ol>
aeroporte	<i>noun</i><br><ol><li>(Barlavento) airport</li></ol>
aeroportu	<i>noun</i><br><ol><li>(Sotavento) airport</li></ol>
aes	<i>pron</i><br><ol><li>they</li><li>these</li></ol>
afiadu	<i>adj</i><br><ol><li>(Sotavento) sharp, pointed</li></ol>
afiu	<i>adv</i><br><ol><li>(Sotavento) continuously, unceasingly, uninterruptedly.</li></ol>
afióde	<i>adj</i><br><ol><li>(Barlavento) sharp, pointed</li></ol>
aga	<i>noun</i><br><ol><li>(Barlavento) water</li></ol>
agostu	<i>noun</i><br><ol><li>August</li></ol>
agradesê	<i>verb</i><br><ol><li>(Barlavento) thank</li></ol>
agradise	<i>verb</i><br><ol><li>(Sotavento) thank</li></ol>
agredí	<i>verb</i><br><ol><li>(Barlavento) assault, attack</li></ol>
agresive	<i>adj</i><br><ol><li>(Barlavento) aggressive, violent, forceful</li></ol>
agresivu	<i>adj</i><br><ol><li>(Sotavento) aggressive, violent, forceful</li></ol>
agridi	<i>verb</i><br><ol><li>(Sotavento) assault, attack</li></ol>
agu	<i>noun</i><br><ol><li>(Sotavento) water</li></ol>
aian	<i>adv</i><br><ol><li>yes</li></ol>
aji	<i>verb</i><br><ol><li>(Sotavento) act</li></ol>
ajuda	<i>verb</i><br><ol><li>to help</li><li>to assist</li></ol>
ají	<i>verb</i><br><ol><li>(Barlavento) act</li></ol>
akridita	<i>verb</i><br><ol><li>(Sotavento) believe</li></ol>
albakóra	<i>noun</i><br><ol><li>yellowfin tuna, Thunnus albacares</li></ol>
aldjibera	<i>noun</i><br><ol><li>(Sotavento) pocket</li></ol>
alekrin	<i>noun</i><br><ol><li>(Sotavento) rosemary</li></ol>
alfabaka	<i>noun</i><br><ol><li>(Santiago) basil</li><li>(Santiago) basil (Ocimum basilicum)</li></ol>
alfabáka	<i>noun</i><br><ol><li>(Santiago) basil</li><li>(Santiago) basil (w:en:Ocimum basilicum)</li></ol>
algen	<i>pron</i><br><ol><li>person</li><li>people</li><li>someone</li></ol>
algriom	<i>noun</i><br><ol><li>watercress</li></ol>
algun	<i>pron</i><br><ol><li>some</li></ol>
alkansa	<i>verb</i><br><ol><li>(Sotavento) accomplish</li></ol>
alkansá	<i>verb</i><br><ol><li>(Barlavento) accomplish</li></ol>
almose	<i>noun</i><br><ol><li>(Barlavento) lunch</li></ol>
almosu	<i>noun</i><br><ol><li>(Sotavento) lunch</li></ol>
almusa	<i>verb</i><br><ol><li>(Sotavento) to lunch</li></ol>
almusu	<i>verb</i><br><ol><li>(Santiago) lunch</li></ol>
almusá	<i>verb</i><br><ol><li>(Barlavento) to lunch</li></ol>
alvés	<i>adv</i><br><ol><li>(Sotavento) sometimes, occasionally</li></ol>
amarelhu	<i>adj</i><br><ol><li>yellow</li></ol>
ami	<i>pron</i><br><ol><li>I, me</li></ol>
amiasa	<i>verb</i><br><ol><li>(Sotavento) threat</li></ol>
amiasá	<i>verb</i><br><ol><li>(Barlavento) threat</li></ol>
amige	<i>noun</i><br><ol><li>(Barlavento) friend</li></ol>
amigu	<i>noun</i><br><ol><li>(Sotavento) friend</li></ol>
anda	<i>verb</i><br><ol><li>(Sotavento) to walk</li></ol>
andeje	<i>adj</i><br><ol><li>(Barlavento) peripatetic</li></ol>
andexu	<i>adj</i><br><ol><li>(Sotavento) peripatetic</li></ol>
andá	<i>verb</i><br><ol><li>(Barlavento) to walk</li></ol>
anho	<i>pron</i><br><ol><li>yours, second person</li></ol>
anhos	<i>pron</i><br><ol><li>you (plural)</li></ol>
anima	<i>verb</i><br><ol><li>(Sotavento) entertain, enliven</li></ol>
animal	<i>noun</i><br><ol><li>beast</li><li>animal</li></ol>
animá	<i>verb</i><br><ol><li>(Barlavento) entertain, enliven</li></ol>
anka	<i>noun</i><br><ol><li>hip (upper part of the leg)</li></ol>
anos	<i>pron</i><br><ol><li>we, first person plural</li></ol>
antige	<i>adj</i><br><ol><li>(Barlavento) ancient</li><li>(Barlavento) old</li></ol>
antigu	<i>adj</i><br><ol><li>(Sotavento) ancient</li></ol>
antis	<i>adv</i><br><ol><li>earlier</li><li>before (at an earlier time)</li><li>formerly</li></ol>
anu	<i>noun</i><br><ol><li>(Sotavento) year</li></ol>
apoia	<i>verb</i><br><ol><li>(Sotavento) support</li></ol>
apoiá	<i>verb</i><br><ol><li>(Barlavento) support</li></ol>
apura	<i>verb</i><br><ol><li>(Sotavento) simmer</li></ol>
apurá	<i>verb</i><br><ol><li>(Barlavento) simmer</li></ol>
apuzenta	<i>verb</i><br><ol><li>(Sotavento) retire</li></ol>
apuzentá	<i>verb</i><br><ol><li>(Barlavento) retire</li></ol>
aranha	<i>noun</i><br><ol><li>spider</li></ol>
arderu	<i>verb</i><br><ol><li>(Santiago) heir</li><li>(Santiago) foot or cutting of tree</li><li>(Santiago) tilling of a plant</li></ol>
ardiga	<i>verb</i><br><ol><li>(Sotavento) worry; trouble</li></ol>
areia	<i>noun</i><br><ol><li>sand</li></ol>
arku-da-bédja	<i>noun</i><br><ol><li>(Sotavento) rainbow</li></ol>
arkuadu	<i>adj</i><br><ol><li>(Sotavento) bow-legged</li><li>(Sotavento) bent</li></ol>
arkuóde	<i>adj</i><br><ol><li>(Barlavento) bow-legged</li><li>(Barlavento) bent</li></ol>
armum	<i>noun</i><br><ol><li>(Sotavento) brother, sister, sibling</li></ol>
armun	<i>noun</i><br><ol><li>sibling</li></ol>
aros	<i>noun</i><br><ol><li>rice</li></ol>
arrôs	<i>noun</i><br><ol><li>(Barlavento) rice</li></ol>
arve	<i>noun</i><br><ol><li>(Barlavento) tree</li></ol>
arvi	<i>noun</i><br><ol><li>(Sotavento) tree</li></ol>
arvori	<i>noun</i><br><ol><li>tree</li></ol>
arôs	<i>noun</i><br><ol><li>(Sotavento) rice</li></ol>
asa	<i>verb</i><br><ol><li>(Sotavento) roast</li></ol>
asbês	<i>adv</i><br><ol><li>(Sotavento) sometimes; occasionally</li></ol>
asnera	<i>noun</i><br><ol><li>(Sotavento) nonsense; madness; error; mistake</li></ol>
asá	<i>verb</i><br><ol><li>(Barlavento) roast</li></ol>
atera	<i>verb</i><br><ol><li>(Sotavento) to land</li></ol>
aterrá	<i>verb</i><br><ol><li>(Barlavento) to land</li></ol>
atrevide	<i>adj</i><br><ol><li>(Barlavento) nosy</li><li>(Barlavento) daring</li><li>(Barlavento) insolent</li></ol>
atrividu	<i>adj</i><br><ol><li>(Sotavento) nosy</li><li>(Sotavento) daring</li><li>(Sotavento) insolent</li></ol>
atxa|atcha	<i>verb</i><br><ol><li>(Sotavento) to find, discover, encounter</li><li>(Sotavento) to think</li></ol>
avansa	<i>verb</i><br><ol><li>(Sotavento) advance</li></ol>
avansá	<i>verb</i><br><ol><li>(Barlavento) advance</li></ol>
ave	<i>noun</i><br><ol><li>(Barlavento) bird</li></ol>
avi	<i>noun</i><br><ol><li>(Sotavento) bird</li></ol>
avisa	<i>verb</i><br><ol><li>to say</li></ol>
aza	<i>noun</i><br><ol><li>wing</li></ol>
azul	<i>adj</i><br><ol><li>blue</li></ol>
badeju	<i>noun</i><br><ol><li>island grouper, Mycteroperca fusca</li></ol>
badja	<i>verb</i><br><ol><li>(Sotavento) to dance</li></ol>
badju	<i>noun</i><br><ol><li>(Sotavento) dance</li></ol>
