Dezau|Ḍezáw	<i>name</i><br><ol><li>The god of creation in Kalash religion.</li></ol>
Jeṣṭan	<i>name</i><br><ol><li>The demon-like counterpart of Indra in Kalasha mythology. He appears on earth as a dog; the devalog throw stones at him (shooting stars).</li></ol>
Kalaṣa-mun	<i>name</i><br><ol><li>Kalasha (language).</li></ol>
Kaĺaśa	<i>name</i><br><ol><li>Kalash</li></ol>
Tsiyam	<i>name</i><br><ol><li>The mythical homeland of the Kalash people.</li></ol>
a|آ|haiksa	<i>pron</i><br><ol><li>I (1st-person personal pronoun)</li></ol>
abad'o'i	<i>adj</i><br><ol><li>childless (whether married or unmarried)</li></ol><br><i>noun</i><br><ol><li>A spinster or bachelor.</li></ol>
abadi	<i>noun</i><br><ol><li>house</li></ol>
abas	<i>adj</i><br><ol><li>useless, bad, wasted.</li></ol>
abas karik	<i>verb</i><br><ol><li>To waste something.</li></ol>
abat karik	<i>verb</i><br><ol><li>To give or cause to have children.</li></ol>
abatha	<i>adj</i><br><ol><li>wrong, inaccurate</li><li>unlawful,</li><li>bad,</li><li>off target</li></ol>
abatha hik	<i>verb</i><br><ol><li>To become lost, go astray accidentally</li></ol>
abatha karik	<i>verb</i><br><ol><li>To miss or fail to find.</li></ol>
abatha parik	<i>verb</i><br><ol><li>To miss a target.</li></ol>
abayo	<i>intj</i><br><ol><li>wow (exclamation of surprise).</li></ol>
abayo dek	<i>verb</i><br><ol><li>To shout, cry out.</li></ol>
abayo kucaw	<i>phrase</i><br><ol><li>A loud cry or shout.</li></ol>
abe'|ambe'	<i>noun</i><br><ol><li>A fenced pen in a goat shed for the young goats and lambs.</li></ol>
abel'	<i>noun</i><br><ol><li>A try, attempt</li></ol>
abel' karik	<i>verb</i><br><ol><li>To try or attempt to do something.</li></ol>
abrez'a	<i>adj</i><br><ol><li>weak, ineffective.</li></ol>
abrukham	<i>noun</i><br><ol><li>A disaster.</li></ol>
abuji e	<i>intj</i><br><ol><li>good morning</li></ol>
abut parik	<i>verb</i><br><ol><li>To make a mistake.</li></ol>
ac'hõ'ik|ac'hã'ik	<i>noun</i><br><ol><li>A story or fable</li><li>The dry prickly leaf of the holly oak.</li></ol>
ac'u	<i>noun</i><br><ol><li>A key made of a long wire.</li><li>wild celery</li></ol>
ac'u karik	<i>verb</i><br><ol><li>To make a key (usually a wire key, for opening wooden latches).</li></ol>
ac'u na'i	<i>noun</i><br><ol><li>A wooden lock, latch.</li></ol>
ac'uaga	<i>noun</i><br><ol><li>The valley of Achuaga, between Rumbur and Bumboret.</li></ol>
ac'uik	<i>verb</i><br><ol><li>To dry up, especially from evaporation and age.</li><li>To close up from old age.</li><li>To sleep or hibernate.</li></ol>
ac'una	<i>adj</i><br><ol><li>dried, and hardened.</li></ol>
ac'uyak	<i>noun</i><br><ol><li>A key for a (metal) lock.</li></ol>
ac'õki	<i>adj</i><br><ol><li>crooked, bent.</li></ol><br><i>noun</i><br><ol><li>A hook; among other things these are used to lift the griddle off the fire and hang it up. It is commonly made from a forked branch.</li></ol>
achambi	<i>noun</i><br><ol><li>A ceremony celebrating birth. This is performed five or six days after a birth. After purifying the mother with water and juniper smoke, girls take burning branches from the fire and run to the temple of Jestak, make a bonfire and jump over the flames shouting, "a'chambi a." It is called tus'ul'ek in Bumburet. It is known by this name only in Rumbur.</li></ol>
achardini	<i>noun</i><br><ol><li>The wedge which holds the ploughshare in place.</li></ol>
aci	<i>adv</i><br><ol><li>back</li><li>again</li></ol>
acikret'i	<i>noun</i><br><ol><li>lower body (from waist to feet).</li></ol>
aco'yak|acho'yak	<i>adj</i><br><ol><li>(Of a liquid) watery, thin.</li></ol>
ad'amal karik	<i>verb</i><br><ol><li>To make watery, water down.</li><li>to bring too many things.</li></ol>
ad'uek	<i>verb</i><br><ol><li>To blow up, cause to swell, inflate.</li></ol>
ad'uik	<i>verb</i><br><ol><li>To swell, bloat.</li><li>To flood.</li></ol>
ad'una	<i>adj</i><br><ol><li>swollen</li></ol>
adalat	<i>noun</i><br><ol><li>(law) court</li></ol>
adalat karik	<i>verb</i><br><ol><li>To file a case against someone in court.</li></ol>
adam	<i>noun</i><br><ol><li>body</li><li>A piece (of something)</li></ol>
adap karik	<i>verb</i><br><ol><li>To be hospitable to someone, to treat with respect.</li></ol>
adat	<i>noun</i><br><ol><li>habit, custom, character</li></ol>
adat hik	<i>verb</i><br><ol><li>To become accustomed to, used to, habitual.</li></ol>
adat karik	<i>verb</i><br><ol><li>To cause something, an act, to become habitual.</li></ol>
adel badel	<i>noun</i><br><ol><li>give and take, exchange</li></ol>
adel badel karik	<i>verb</i><br><ol><li>To exchange</li></ol>
adem	<i>noun</i><br><ol><li>Adam (the first man)</li></ol>
ademzat	<i>adj</i><br><ol><li>very good, true.</li></ol>
adesh	<i>noun</i><br><ol><li>advice</li></ol>
adesh dek	<i>verb</i><br><ol><li>To advise</li></ol>
adhe	<i>pron</i><br><ol><li>some (of a larger group), a few</li></ol><br><i>adj</i><br><ol><li>some</li></ol><br><i>adv</i><br><ol><li>some, a (little) bit</li></ol>
adina	<i>noun</i><br><ol><li>Friday</li></ol>
adrak	<i>noun</i><br><ol><li>forest, woods</li></ol>
adroik	<i>verb</i><br><ol><li>To kill</li></ol>
adyek|adyana	<i>verb</i><br><ol><li>To run</li></ol>
adyek adyek hik	<i>verb</i><br><ol><li>To race.</li></ol>
agar	<i>noun</i><br><ol><li>rest day</li></ol>
agarak karik	<i>verb</i><br><ol><li>???, possibly to have a rest day</li></ol>
agazer dek	<i>verb</i><br><ol><li>To bother.</li></ol>
ageylik	<i>adj</i><br><ol><li>bothersome, badly behaved, insistent.</li></ol>
agraik|agral'a	<i>verb</i><br><ol><li>To become tired</li></ol>
agran'u	<i>noun</i><br><ol><li>manger, feeding trough.</li></ol>
agwa karik|egwa karik	<i>verb</i><br><ol><li>To kidnap.</li></ol>
aher	<i>verb</i><br><ol><li>Took (simple past of harik)</li></ol>
ainda	<i>noun</i><br><ol><li>the future</li></ol>
aj	<i>adj</i><br><ol><li>this, this present, this current.</li></ol>
aj adua	<i>adv</i><br><ol><li>today</li></ol>
aj kaw	<i>adv</i><br><ol><li>this year</li></ol>
ajap|ajab|ajip	<i>adj</i><br><ol><li>remarkable, wonderful</li></ol>
