ಀ	<i>character</i><br><ol><li>chandrabindu (a nasal vowel diacritic of the Old kannada script)</li></ol>
ಁ	<i>character</i><br><ol><li>chandrabindu (a nasal vowel diacritic of the Old Kannada script)</li></ol>
ಂ	<i>character</i><br><ol><li>anusvara</li></ol>
಄	<i>symbol</i><br><ol><li>Used to write before writing a poem in olden times.</li></ol>
ಅ|a	<i>character</i><br><ol><li>The first vowel of the Kannada alphabet.</li></ol><br><i>noun</i><br><ol><li>Vishnu, a Hindu god in AUM.</li></ol><br><i>prefix</i><br><ol><li>un-</li><li>remote demonstrative base</li></ol><br><i>suffix</i><br><ol><li>of</li></ol><br><i>intj</i><br><ol><li>A vocative particle; o, oh</li><li>An interjection of pity; ah</li></ol><br><i>pron</i><br><ol><li>a pronominal base (Used in olden times while writing a poem)</li></ol>
ಅಂಕ|aṅka	<i>noun</i><br><ol><li>number, numeral</li><li>mark, spot</li><li>valuation (numerically)</li><li>point (score in a game)</li></ol>
ಅಂಕಣ|aṅkaṇa	<i>noun</i><br><ol><li>The place between two pillars in a house.</li></ol>
ಅಂಗ|anga|ಅಂಗವು|ಅಂಗಕ್ಕೆ|ಅಂಗಗಳಿಂದ|ಅಂಗದ|ಅಂಗದಿಂದ|ಅಂಗಗಳಿಗೆ|ಅಂಗಗಳನ್ನು|ಅಂಗಗಳು|ಅಂಗವನ್ನು|ಅಂಗಗಳ	<i>noun</i><br><ol><li>component</li></ol>
ಅಂಗಡಿ|ಅಂಗಡಿಗಳನ್ನು|ಅಂಗಡಿಗಳ|ಅಂಗಡಿಯು|ಅಂಗಡಿಯ|aṅgaḍi|ಅಂಗಡಿಗೆ|ಅಂಗಡಿಗಳಿಗೆ|ಅಂಗಡಿಯನ್ನು|ಅಂಗಡಿಗಳು|ಅಂಗಡಿಯಿಂದ|ಅಂಗಡಿಗಳಿಂದ	<i>noun</i><br><ol><li>store, shop</li></ol>
ಅಂಗಾಲು|aṅgālu	<i>noun</i><br><ol><li>sole of leg</li></ol>
ಅಂಗೈ|aṅgai	<i>noun</i><br><ol><li>palm</li></ol>
ಅಂಟಂಟಾದ|aṇṭaṇṭāda	<i>adj</i><br><ol><li>glutinous, adhesive</li></ol>
ಅಂಟಾದ|aṇṭāda	<i>adj</i><br><ol><li>glutinous, adhesive</li></ol>
ಅಂಟು|ಅಂಟಿದನು|ಅಂಟುಿಯಾನು|ಅಂಟುುತ್ತೇವೆ|ಅಂಟುಿಯಾರು|ಅಂಟೀಯೆ|ಅಂಟುಗಳಿಗೆ|ಅಂಟುುವೆನು|ಅಂಟುುತ್ತೇನೆ|ಅಂಟುಿಯೇವು|ಅಂಟಿಗೆ|ಅಂಟುಗಳನ್ನು|ಅಂಟಿದರೆ|ಅಂಟಿದೆ|ಅಂಟುುವನು|ಅಂಟುಲು|ಅಂಟುುವಳು|ಅಂಟುುವರು|ಅಂಟುಳು|ಅಂಟುುತ್ತಾನೆ|ಅಂಟಿದರು|ಅಂಟುದ|ಅಂಟಿದ|ಅಂಟುಗಳು|ಅಂಟುೆನು|ಅಂಟಿದುವು|ಅಂಟುುವಿರಿ|ಅಂಟಿದಿರಿ|ಅಂಟುೆ|ಅಂಟುರು|ಅಂಟುನು|aṇṭu|ಅಂಟುುತ್ತೀರಿ|ಅಂಟುುವ|ಅಂಟುುವುವು|ಅಂಟುವು|ಅಂಟುುತ್ತವೆ|ಅಂಟ|ಅಂಟಿದಿ|ಅಂಟುುತ್ತಾರೆ|ಅಂಟುುವೆವು|ಅಂಟುೀರಿ|ಅಂಟುಲಿಕ್ಕೆ|ಅಂಟುಗಳಿಂದ|ಅಂಟಿನಿಂದ|ಅಂಟುೀತು|ಅಂಟುುವಾ|ಅಂಟುಗಳ|ಅಂಟುೆವು|ಅಂಟುುತ್ತ|ಅಂಟುುತ್ತಾಳೆ|ಅಂಟನ್ನು|ಅಂಟುುವೆ|ಅಂಟಿನ|ಅಂಟುಿರಿ|ಅಂಟುೋಣ|ಅಂಟುರಿ|ಅಂಟುಿಯಾಳು|ಅಂಟುುವಿ|ಅಂಟುದೆ|ಅಂಟುುತ್ತದೆ|ಅಂಟಯೇನು|ಅಂಟುು|ಅಂಟಿದೆವು|ಅಂಟುುವುದು|ಅಂಟುುತ್ತೀಯೆ|ಅಂಟಿದೆನು|ಅಂಟತು|ಅಂಟುದು|ಅಂಟುಲಿ|ಅಂಟಿದಳು|ಅಂಟುುತ್ತೀ|ಅಂಟುಿಯಾವು	<i>noun</i><br><ol><li>glue, adhesive</li></ol><br><i>verb</i><br><ol><li>To stick, to be sticking</li></ol>
ಅಂಟುವ|aṇṭuva	<i>adj</i><br><ol><li>glutinous, adhesive</li></ol>
ಅಂತಃಕರಣ|ಅಂತಃಕರಣಗಳು|ಅಂತಃಕರಣಕ್ಕೆ|ಅಂತಃಕರಣದ|ಅಂತಃಕರಣಗಳ|ಅಂತಃಕರಣವನ್ನು|ಅಂತಃಕರಣವು|ಅಂತಃಕರಣಗಳಿಂದ|antaḥkaraṇa|ಅಂತಃಕರಣದಿಂದ|ಅಂತಃಕರಣಗಳಿಗೆ|ಅಂತಃಕರಣಗಳನ್ನು	<i>noun</i><br><ol><li>heart, mind</li><li>conscience</li></ol>
ಅಂತಃಕಲಹ|ಅಂತಃಕಲಹದ|ಅಂತಃಕಲಹಗಳ|ಅಂತಃಕಲಹಗಳಿಂದ|ಅಂತಃಕಲಹಗಳಿಗೆ|ಅಂತಃಕಲಹವನ್ನು|ಅಂತಃಕಲಹಕ್ಕೆ|antaḥkalaha|ಅಂತಃಕಲಹದಿಂದ|ಅಂತಃಕಲಹಗಳು|ಅಂತಃಕಲಹವು|ಅಂತಃಕಲಹಗಳನ್ನು	<i>noun</i><br><ol><li>internal struggle</li></ol>
