Abril|Abríl	<i>noun</i><br><ol><li>April</li></ol>
Agostu|Agóstu	<i>noun</i><br><ol><li>August</li></ol>
Agta|Ágta	<i>noun</i><br><ol><li>Aeta people (indigenous people of Negrito origin of the mountainous parts of Luzon)</li></ol>
Angeles|Ángeles	<i>name</i><br><ol><li>Angeles (the largest city in Pampanga, Philippines).</li></ol>
Baliuag|Balíuag	<i>name</i><br><ol><li>Baliuag (a municipality of Bulacan, Philippines)</li></ol>
Basco	<i>name</i><br><ol><li>Basco (a municipality, the provincial capital of Batanes, Philippines)</li></ol>
Biernis|Biérnis	<i>noun</i><br><ol><li>Friday</li></ol>
Cabiao	<i>name</i><br><ol><li>Cabiao (a municipality of Nueva Ecija, Philippines)</li></ol>
David|Davíd	<i>name</i><br><ol><li>(biblical) David</li></ol>
Disiembri|Disiémbri	<i>noun</i><br><ol><li>December</li></ol>
Eneru|Enéru	<i>noun</i><br><ol><li>January</li></ol>
Gapan|Gapán	<i>name</i><br><ol><li>Gapan (a city in Nueva Ecija, Philippines)</li></ol>
Guagua	<i>name</i><br><ol><li>Guagua (a municipality of Pampanga, Philippines)</li></ol>
Huebis|Huébis	<i>noun</i><br><ol><li>Thursday</li></ol>
Hulyu|Húlyu	<i>noun</i><br><ol><li>July</li></ol>
Hunyu|Húnyu	<i>noun</i><br><ol><li>June</li></ol>
Kapampangan|Kapampángan	<i>noun</i><br><ol><li>the Kapampangan language, spoken in the Philippines, in particular, Pampanga and Tarlac, both located north of Metro Manila.</li><li>One of the native speakers of the Kapampangan language.</li><li>the Kapampangan people, in particular, the natives of Pampanga and Tarlac in the island of Luzon in the Philippines.</li></ol><br><i>adj</i><br><ol><li>pertaining to the Kapampangan language or its speakers</li></ol>
Kulitan	<i>noun</i><br><ol><li>(historical) The ancient traditional writing system used to write Kapampangan language before the colonization by the Spaniards.</li></ol>
Lau|Láwû|Lawu|Láû	<i>noun</i><br><ol><li>Rāhu</li></ol>
Lubao	<i>name</i><br><ol><li>Lubao (a municipality of Pampanga, Philippines)</li></ol>
Lunis|Lúnis	<i>noun</i><br><ol><li>Monday</li></ol>
Marsu|Mársu	<i>noun</i><br><ol><li>March</li></ol>
Martis|Mártis	<i>noun</i><br><ol><li>Tuesday</li></ol>
Mayu|Máyu	<i>noun</i><br><ol><li>May</li></ol>
Menila|Menílâ	<i>name</i><br><ol><li>Manila (a city, the national capital of the Philippines)</li></ol>
Mierkulis|Miérkulis	<i>noun</i><br><ol><li>Wednesday</li></ol>
Nobiembri|Nobiémbri	<i>noun</i><br><ol><li>November</li></ol>
Nuqui|Núqui	<i>name</i><br><ol><li>a Filipino-Japanese surname from Japanese</li></ol>
Oktubri|Oktúbri	<i>noun</i><br><ol><li>October</li></ol>
Pampanga|Pampánga	<i>name</i><br><ol><li>Pampanga (a province of the Philippines; capital: San Fernando)</li></ol>
Pebreru|Pebréru	<i>noun</i><br><ol><li>February</li></ol>
Sabadu|Sábadu	<i>noun</i><br><ol><li>Saturday</li></ol>
Sasmuan	<i>name</i><br><ol><li>Sasmuan, a municipality of Pampanga, Philippines</li></ol>
Septiembri|Septiémbri	<i>noun</i><br><ol><li>September</li></ol>
abacan|abácan	<i>noun</i><br><ol><li>lunch</li></ol>
abagat|abágat	<i>noun</i><br><ol><li>south wind</li></ol>
abak|ábac|abac|ábak	<i>noun</i><br><ol><li>morning</li></ol>
abaka	<i>noun</i><br><ol><li>abaca</li></ol>
abakan|abákan	<i>noun</i><br><ol><li>lunch</li></ol>
abala	<i>noun</i><br><ol><li>a family affair, something to be kept internal</li><li>a delay</li></ol>
abalak|abalac|ábálak|ábálac	<i>verb</i><br><ol><li>(transitive) to realize</li></ol>
abat	<i>verb</i><br><ol><li>To accost</li><li>To ambush</li></ol>
abias|abyas	<i>noun</i><br><ol><li>husked, uncooked rice</li></ol>
