Biyarnis	<i>name</i><br><ol><li>Friday</li></ol>
Disimbri	<i>name</i><br><ol><li>December</li></ol>
Domingko	<i>name</i><br><ol><li>Sunday</li></ol>
Donis	<i>name</i><br><ol><li>Monday</li></ol>
Holyo	<i>name</i><br><ol><li>July</li></ol>
Kowibis	<i>name</i><br><ol><li>Thursday</li></ol>
Madtis	<i>name</i><br><ol><li>Tuesday</li></ol>
Marso	<i>name</i><br><ol><li>March</li></ol>
Mayo	<i>name</i><br><ol><li>May</li></ol>
Midkolis	<i>name</i><br><ol><li>Wednesday</li></ol>
Nobimbri	<i>name</i><br><ol><li>November</li></ol>
Oktobri	<i>name</i><br><ol><li>October</li></ol>
Sabaro	<i>name</i><br><ol><li>Saturday</li></ol>
abang	<i>noun</i><br><ol><li>rent money</li></ol>
abidat	<i>noun</i><br><ol><li>spouse of sibling-in-law</li></ol>
abokaro	<i>noun</i><br><ol><li>lawyer</li></ol>
achal	<i>noun</i><br><ol><li>learning; education</li></ol>
adak	<i>noun</i><br><ol><li>alcoholic beverage</li></ol>
adodon	<i>noun</i><br><ol><li>dragonfly</li></ol>
afoy	<i>noun</i><br><ol><li>fire</li></ol>
agas	<i>noun</i><br><ol><li>medicine</li></ol>
agom	<i>noun</i><br><ol><li>greed</li></ol>
agong	<i>noun</i><br><ol><li>small hut (usually located in the rice field or a garden)</li></ol>
agpayso	<i>noun</i><br><ol><li>truth</li></ol>
agsapa	<i>noun</i><br><ol><li>morning</li></ol>
agwa	<i>noun</i><br><ol><li>edible root of the taro plant</li></ol>
agwel	<i>noun</i><br><ol><li>woven cloth; loom</li></ol>
ahat	<i>noun</i><br><ol><li>ginger</li></ol>
ahi	<i>noun</i><br><ol><li>sibling</li></ol>
akbot	<i>noun</i><br><ol><li>backpack made of animal hide (usually deer or goat skins)</li></ol>
akdo	<i>noun</i><br><ol><li>any large serving utensil (such as a ladle, spatula, rice paddle, etc.)</li></ol>
akgwang	<i>noun</i><br><ol><li>length of stride</li></ol>
akow	<i>noun</i><br><ol><li>sun</li></ol>
alad	<i>noun</i><br><ol><li>fence; free-standing wall</li></ol>
alang	<i>noun</i><br><ol><li>rice granary</li></ol>
alebong	<i>noun</i><br><ol><li>(anatomy) thigh</li></ol>
alichon	<i>noun</i><br><ol><li>shadow</li></ol>
alingo	<i>noun</i><br><ol><li>wild pig</li></ol>
alinta	<i>noun</i><br><ol><li>large leech</li></ol>
alipospos	<i>noun</i><br><ol><li>whirlwind</li></ol>
along	<i>noun</i><br><ol><li>nosebleed</li></ol>
altiy	<i>noun</i><br><ol><li>(anatomy) liver</li></ol>
