ؠ	<i>character</i><br><ol><li>a letter of Kashmiri indicating palatalization.</li></ol>
آ|आ|ā	<i>character</i><br><ol><li>a vowel of Kashmiri.</li></ol><br><i>particle</i><br><ol><li>yes, yeah</li></ol>
آب|𑆄𑆧𑇀|आब|āb	<i>noun</i><br><ol><li>(uncountable) water</li></ol>
آتھوار|𑆄𑆡𑆮𑆳𑆫𑇀|आथवार|āthvār|āthavār	<i>noun</i><br><ol><li>Sunday</li></ol>
آدَن|आदन|𑆄𑆢𑆤𑇀|ādan	<i>noun</i><br><ol><li>first</li><li>special period of time at the beginning</li><li>beginning</li><li>childhood</li></ol>
آزاد|āzād|आज़ाद	<i>adj</i><br><ol><li>free</li><li>independent</li><li>unrestrained</li></ol>
آزٲدی|𑆄𑆘𑆳𑆢𑆵|आज़ऻदी|āzạ̄dī	<i>noun</i><br><ol><li>freedom</li><li>liberty</li><li>independence</li><li>liberation</li><li>secession</li></ol>
آسُن|چھُ|āsun|𑆄𑆱𑆶𑆤𑇀|छख|छस|chu|chukh|आसुन|چھُکھ|chas|छुस|chus|chakh|چھَکھ	<i>verb</i><br><ol><li>to be, exist</li><li>to have (with the dative case)</li><li>an auxiliary verb uses to create progressive or habitual tenses</li><li>(used in compound verbs) to be in a state or condition</li></ol>
آسہِ|āsi	<i>verb</i><br><ol><li>will be; future third-person singular of آسُن (āsun, “to be”)</li></ol>
آشَنؠ|𑆄𑆯𑆤𑇀𑆪𑇀|āśany|āśan'|आशन्य	<i>noun</i><br><ol><li>wife</li></ol>
آشێنؠ|āśen'|āśany|āśan'|آشَنؠ|𑆄𑆯𑆼𑆤𑇀𑆪𑇀|𑆄𑆯𑆤𑇀𑆪𑇀|आशॆन्य|आशन्य|āśēny	<i>noun</i><br><ol><li>wife</li></ol>
آلَو|ālav|आलव|𑆄𑆬𑆮𑇀	<i>noun</i><br><ol><li>call, summons</li></ol>
آوٕرُن|आवॖरुन|āvụrun	<i>verb</i><br><ol><li>to cover, to envelope</li><li>to obstruct</li><li>to pervade, to surround, encompass</li><li>to take possession of</li></ol>
آوٕسُن|āvụsun|आवॖसुन	<i>verb</i><br><ol><li>to be decayed, worn out</li><li>to crumble to pieces, to disintegrate</li></ol>
آپراوُن|āprāwun|आप्रावुन|āprāvun	<i>verb</i><br><ol><li>to feed (a child, a beggar, etc.)</li></ol>
آگُر|𑆄𑆓𑆫𑇀|āgur|आगर|आगुर|آگَر|𑆄𑆓𑆶𑆫𑇀|آگُر	<i>noun</i><br><ol><li>root, source, origin</li><li>(linguistics) etymology</li></ol>
آے|āē	<i>noun</i><br><ol><li>lifetime, life (esp. a long and healthy life)</li></ol>
أ|ạ|ॳ|ॲ	<i>character</i><br><ol><li>a vowel of Kashmiri.</li></ol>
أسؠ|ạs'|ॳस्य|ạsy	<i>pron</i><br><ol><li>we; plural of بہٕ (bụ)</li></ol>
أمیٖر|ạmīr|ॳमीर	<i>adj</i><br><ol><li>rich</li></ol>
أنٛجیٖر|ॳंजीर|ạnjīr	<i>noun</i><br><ol><li>fig (fruit)</li></ol>
أنٛز|ॳंज़|ạnz	<i>noun</i><br><ol><li>swan, male swan, cob</li></ol>
أنٛزِنؠ|ạnzin'|ॳंज़िन्य	<i>noun</i><br><ol><li>female swan, pen</li></ol>
أچھ|𑆃𑆗𑇀|ॳछ|أچھ|ạch|ach	<i>noun</i><br><ol><li>(anatomy) eye</li></ol>
أکِس دَزان دٲر تہٕ بیٛاکھ وُشناوان اَتھٕ|ॳकिस दज़ान दऻर तॖ ब्याख वुशनावान अथॖ|ạkis dazān dạ̄r tụ byākh wuśnāvān athụ	<i>proverb</i><br><ol><li>to take advantage of another's misfortune</li></ol>
أہرُن|ॳहरुन|ạhrun	<i>verb</i><br><ol><li>to be distraught (from fear, sorrow, etc.)</li><li>to [be obstinate, stubborn, obdurate</li></ol>
ؤری|वऺरी|𑆮𑆫𑆵|ؤری|wạrī	<i>noun</i><br><ol><li>a year</li></ol>
ؤٹِل|वऺटिल|vạṭil	<i>noun</i><br><ol><li>cockroach</li></ol>
ؤہراتھ|वऺहराथ|vạhrāth|𑆮𑆲𑆫𑆳𑆡𑇀	<i>noun</i><br><ol><li>rainy season</li></ol>
إ|ụ|ॶ	<i>character</i><br><ol><li>a vowel of Kashmiri.</li></ol>
ا|a|ā	<i>character</i><br><ol><li>The first letter of the traditional alphabet chart of Kashmiri.</li></ol>
او|ō	<i>character</i><br><ol><li>a vowel of Kashmiri.</li></ol>
اوش|ओश|ōś	<i>noun</i><br><ol><li>(archaic, poetic) husband</li></ol>
اول|ٲلؠ|ओल|𑆄𑆬𑇀𑆪𑇀|𑆏𑆬𑇀|vl|ol	<i>noun</i><br><ol><li>a nest</li><li>a recess in a wall used as a shelf</li></ol>
اوٗ|ū	<i>character</i><br><ol><li>a vowel of Kashmiri.</li></ol>
اوٚبُر|ऒबुर|obur|𑆏𑆧𑆶𑆫𑇀	<i>noun</i><br><ol><li>clouds, overcast or cloudy weather</li></ol>
اوٚنٛگٕج|𑆏𑆁𑆓𑆘𑇀|ongụj|ऒंगॖज	<i>noun</i><br><ol><li>(anatomy) finger</li></ol>
اَ|a	<i>character</i><br><ol><li>a vowel of Kashmiri.</li></ol>
اَبؠن|abyan	<i>adj</i><br><ol><li>without difference or distinction, indistinct</li><li>without separation or a gap, gapless</li></ol>
اَباوۆز|abāvoz|अबावॊज़	<i>adj</i><br><ol><li>unpleasant, disagreeable, distasteful</li><li>unsavoury, unpalatable</li></ol>
اَبساوُن|absāvun|अबसावुन	<i>verb</i><br><ol><li>to twist thread, rope, cord, etc.</li><li>to lengthen a strife or dispute</li></ol>
اَبسُن|absun|अबसुन	<i>verb</i><br><ol><li>to twist thread, rope, cord, etc.</li></ol><br><i>noun</i><br><ol><li>a machine for twisting thread, rope, cord, etc.</li></ol>
اَبَل|अबल|abal	<i>adj</i><br><ol><li>weak</li></ol>
اَبُز|abuz|अबुज़	<i>adj</i><br><ol><li>unroasted</li></ol>
اَبۆد|abod|اَبۆد|𑆃𑆧𑆾𑆢𑇀|अबॊद	<i>adj</i><br><ol><li>stupid, foolish, unintelligent</li></ol>
اَبۆڈ|अबॊड|aboḍ	<i>adj</i><br><ol><li>small, tiny</li></ol>
اَبیٛۆن|abeon|अब्यॊन	<i>adj</i><br><ol><li>undifferentiated, indistinct (from something else)</li><li>same, identical</li></ol>
اَتوٗل|अतूल|atūl	<i>adj</i><br><ol><li>not measured or weighed</li><li>immeasurable, unweighable</li></ol>
اَتھٕ|athụ	<i>noun</i><br><ol><li>(anatomy) hand</li></ol>
اَخبار|अख़बार|akhbār	<i>noun</i><br><ol><li>newspaper</li></ol>
اَدَم|adam|अदम	<i>adj</i><br><ol><li>low, mean, vile</li></ol>
اَدۄے|अद्वय|adọē	<i>noun</i><br><ol><li>monism, nondualism</li></ol><br><i>adj</i><br><ol><li>indistinct, not separate (said of opinions and things)</li></ol>
اَرزُن|arzun|अर्ज़ुन	<i>verb</i><br><ol><li>to win</li><li>to acquire, gain, get</li></ol><br><i>noun</i><br><ol><li>Arjuna (a hero of the Mahabharata)</li></ol>
اَرَب|arab	<i>num</i><br><ol><li>billion</li></ol>
اَرٕترٕٛہ	<i>num</i><br><ol><li>thirty-eight</li></ol>
اَرٕتٲجِہہ|arụtạ̄jih	<i>num</i><br><ol><li>forty-eight</li></ol>
اَرٕتٲجی|arụtạ̄jī	<i>num</i><br><ol><li>forty-eight</li></ol>
اَرٕداہ|arụdāh	<i>num</i><br><ol><li>eighteen</li></ol>
اَرٕسَتَتھ|arụsatath	<i>num</i><br><ol><li>seventy-eight</li></ol>
اَرٕشيٖتھ|arụśīth	<i>num</i><br><ol><li>eighty-eight</li></ol>
اَرٕنَمَتھ|arụnamath	<i>num</i><br><ol><li>ninety-eight</li></ol>
اَرٕوَنٛزاہ|arụvanzāh	<i>num</i><br><ol><li>fifty-eight</li></ol>
اَرٕہٲٹھ|arụhạ̄ṭh	<i>num</i><br><ol><li>sixty-eight</li></ol>
اَرژَن|arċan|अर्च़न	<i>noun</i><br><ol><li>worship, adoration of a deity</li></ol>
اَرژُن|arċun|अर्च़ुन	<i>verb</i><br><ol><li>to worship, adore</li></ol>
اَز|अज़|az	<i>adv</i><br><ol><li>today</li></ol><br><i>noun</i><br><ol><li>today</li></ol>
