A	<i>character</i><br><ol><li>The first letter of the Kashubian alphabet, written in the Latin script.</li></ol>
Afrika	<i>name</i><br><ol><li>Africa</li></ol>
Albańskô	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Azerbejdżan	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Azëjô	<i>name</i><br><ol><li>Asia</li></ol>
Aùstralëjô	<i>name</i><br><ol><li>Australia</li></ol>
Aùstrëjackô	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Belgijskô	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Berlëno|Berlënowi|Berlëna|Berlënie|Berlënã	<i>name</i><br><ol><li>Berlin</li></ol>
Biôłorëskô	<i>name</i><br><ol><li>Belarus</li></ol>
Bòsnijô ë Hercegòwina	<i>name</i><br><ol><li>Bosnia and Herzegovina (a country in Europe)</li></ol>
Bôłt	<i>name</i><br><ol><li>Baltic Sea (a sea in Europe)</li></ol>
Bùlgarskô	<i>name</i><br><ol><li>Bulgaria</li></ol>
Chòrwackô	<i>name</i><br><ol><li>Croatia</li></ol>
Czeskô	<i>name</i><br><ol><li>Czech Republic</li></ol>
Czôrnô Góra	<i>name</i><br><ol><li>Montenegro</li></ol>
Dalmackô	<i>name</i><br><ol><li>Dalmatia</li></ol>
Dëńskô	<i>name</i><br><ol><li>Denmark</li></ol>
Estóńskô	<i>name</i><br><ol><li>Estonia</li></ol>
Eùropa	<i>name</i><br><ol><li>Europe</li></ol>
Eùropejskô Ùnijô	<i>name</i><br><ol><li>European Union</li></ol>
Fińskô	<i>name</i><br><ol><li>Finland</li></ol>
Francëjô	<i>name</i><br><ol><li>France</li></ol>
Gduńsk	<i>name</i><br><ol><li>Gdańsk, a city of Poland</li></ol>
Greckô	<i>name</i><br><ol><li>Greece</li></ol>
Grëzëjô	<i>name</i><br><ol><li>Georgia</li></ol>
Gòsk	<i>name</i><br><ol><li>A sea deity in Kashubian mythology.</li></ol>
Gòstk	<i>name</i><br><ol><li>A figure in Kashubian mythology.</li></ol>
