'may	<i>noun</i><br><ol><li>cooked rice</li></ol>
'si	<i>noun</i><br><ol><li>meat</li></ol>
Rabas	<i>noun</i><br><ol><li>root (of a plant)</li></ol>
Rabay	<i>noun</i><br><ol><li>wheat; barley; oats</li></ol>
Rabetin	<i>num</i><br><ol><li>ten</li></ol>
Rabi	<i>noun</i><br><ol><li>evening</li></ol>
Rabis	<i>noun</i><br><ol><li>knife; pocket knife</li></ol>
Rainang	<i>noun</i><br><ol><li>blood</li></ol>
Rais	<i>noun</i><br><ol><li>rope; string</li></ol>
Ramaz	<i>noun</i><br><ol><li>fire</li></ol>
Rami	<i>noun</i><br><ol><li>rice straw</li></ol>
Raputuy	<i>noun</i><br><ol><li>dream</li></ol>
Raq	<i>noun</i><br><ol><li>alcoholic beverage</li></ol>
Raqlupup	<i>noun</i><br><ol><li>sea anemone</li></ol>
Rasibu	<i>num</i><br><ol><li>hundred</li></ol>
Raya	<i>adj</i><br><ol><li>big, large, great</li><li>fat (trunk of the body)</li><li>strong (as wind)</li><li>plenty; large in amount</li></ol>
RiRi	<i>noun</i><br><ol><li>saw (hand tool for cutting wood)</li></ol>
Ribang	<i>noun</i><br><ol><li>tool; instrument</li></ol>
Rikum	<i>noun</i><br><ol><li>sea wave</li></ol>
Rinang	<i>noun</i><br><ol><li>blood</li></ol>
Rinuk	<i>noun</i><br><ol><li>strawberry</li></ol>
Rinuq	<i>noun</i><br><ol><li>strawberry</li></ol>
RipRip	<i>noun</i><br><ol><li>nest</li></ol>
Ris	<i>noun</i><br><ol><li>mosquito</li></ol>
Risis	<i>noun</i><br><ol><li>nit (of louse)</li><li>twig, small branches</li></ol>
Rmatis	<i>noun</i><br><ol><li>(pathology) small boil</li></ol>
Rneng	<i>noun</i><br><ol><li>quail</li></ol>
Rumzang	<i>noun</i><br><ol><li>sweat; perspiration</li></ol>
Runanay	<i>noun</i><br><ol><li>male; boy; man</li></ol>
Runges	<i>noun</i><br><ol><li>soft pith of rattan</li></ol>
Rusi	<i>noun</i><br><ol><li>tear; teardrop</li></ol>
Rusu	<i>noun</i><br><ol><li>water pipe; hose</li></ol>
Rusun	<i>noun</i><br><ol><li>yarn</li></ol>
Rutung	<i>noun</i><br><ol><li>monkey</li></ol>
RuwaRu	<i>noun</i><br><ol><li>congee</li></ol>
Rzim	<i>noun</i><br><ol><li>(anatomy) molar</li></ol>
adam	<i>noun</i><br><ol><li>bird</li></ol>
adi	<i>adv</i><br><ol><li>maybe; perhaps</li></ol>
aiku	<i>pron</i><br><ol><li>I (personal pronoun)</li></ol>
aimi	<i>pron</i><br><ol><li>we (exclusive of the person spoken to)</li></ol>
aimu	<i>pron</i><br><ol><li>you (plural)</li></ol>
aisu	<i>pron</i><br><ol><li>you (singular)</li></ol>
aita	<i>pron</i><br><ol><li>we (inclusive of the person spoken to)</li></ol>
aizipna	<i>pron</i><br><ol><li>he; she</li></ol>
alam	<i>noun</i><br><ol><li>bird</li></ol>
anem	<i>noun</i><br><ol><li>(anatomy) heart</li></ol>
apaw	<i>noun</i><br><ol><li>cassava</li></ol>
apuk	<i>noun</i><br><ol><li>lime</li></ol>
arim	<i>noun</i><br><ol><li>(anatomy) pancreas</li></ol>
aritta	<i>adj</i><br><ol><li>false</li><li>unknown</li></ol>
asa	<i>noun</i><br><ol><li>price</li></ol>
atungur	<i>noun</i><br><ol><li>protruding part of the forehead</li></ol>
aul	<i>noun</i><br><ol><li>a type of shark that does not attack people</li></ol>
awa	<i>noun</i><br><ol><li>drinkware; cup; glass</li></ol>
bRasuq	<i>noun</i><br><ol><li>pimples</li></ol>
bRina	<i>noun</i><br><ol><li>batten (of loom)</li><li>a type of poisonous snake</li></ol>
bRing	<i>noun</i><br><ol><li>(anatomy) ribs</li></ol>
baReng	<i>noun</i><br><ol><li>dung beetle; scarab beetle</li></ol>
baRqian	<i>noun</i><br><ol><li>old person</li></ol>
babusaR	<i>noun</i><br><ol><li>whitish</li></ol>
babuy	<i>noun</i><br><ol><li>pig</li></ol>
badaq	<i>noun</i><br><ol><li>(anatomy) lung</li></ol>
baka	<i>noun</i><br><ol><li>cow</li></ol>
balaq	<i>noun</i><br><ol><li>(anatomy) lung</li></ol>
balat	<i>noun</i><br><ol><li>east wind</li></ol>
bali	<i>noun</i><br><ol><li>wind</li></ol>
balun	<i>noun</i><br><ol><li>belt; girdle</li></ol>
banaw	<i>verb</i><br><ol><li>to wash (one's hands or feet)</li></ol>
bangRaw	<i>noun</i><br><ol><li>(anatomy) tooth</li></ol>
banged	<i>noun</i><br><ol><li>typhoon</li></ol>
bangel	<i>noun</i><br><ol><li>typhoon</li></ol>
bangkuy	<i>noun</i><br><ol><li>cupboard to store important things</li></ol>
bangsis	<i>noun</i><br><ol><li>fragrant, pleasant smell</li></ol>
baniw	<i>noun</i><br><ol><li>mushroom</li></ol>
bantiti	<i>noun</i><br><ol><li>play; stageplay</li></ol>
banul	<i>noun</i><br><ol><li>pigeon; dove</li></ol>
banur	<i>noun</i><br><ol><li>pigeon; dove</li></ol>
banus	<i>noun</i><br><ol><li>fur</li></ol>
baqi	<i>noun</i><br><ol><li>Deinagkistrodon</li><li>grandchild</li><li>grandfather</li></ol>
baquay	<i>noun</i><br><ol><li>Seediq</li></ol>
baquy	<i>noun</i><br><ol><li>flag</li></ol>
bari	<i>noun</i><br><ol><li>wind</li></ol>
baring	<i>noun</i><br><ol><li>(pathology) mumps</li></ol>
baris	<i>noun</i><br><ol><li>nail (tool)</li></ol>
barun	<i>noun</i><br><ol><li>belt</li><li>hoops (of a tub)</li></ol>
basu	<i>noun</i><br><ol><li>bus</li></ol>
bateng	<i>noun</i><br><ol><li>web</li></ol>
battis	<i>noun</i><br><ol><li>flat and smooth hard stone</li></ol>
baut	<i>noun</i><br><ol><li>fish</li></ol>
bawa	<i>noun</i><br><ol><li>boat</li></ol>
bawbi	<i>noun</i><br><ol><li>nonirrigated farmland; dry land</li></ol>
bayan	<i>noun</i><br><ol><li>old leaves</li></ol>
beRas	<i>noun</i><br><ol><li>rice ((raw) seeds used as food)</li></ol>
beRing	<i>noun</i><br><ol><li>(anatomy) rib</li></ol>
bedes	<i>noun</i><br><ol><li>(anatomy) abdomen</li></ol>
beluRuk	<i>noun</i><br><ol><li>(medicine) goitre</li></ol>
bengbengar	<i>adj</i><br><ol><li>unripe</li></ol>
benina	<i>noun</i><br><ol><li>banana</li></ol>
bettu	<i>noun</i><br><ol><li>stone</li></ol>
bettuq	<i>noun</i><br><ol><li>lake</li></ol>
bibing	<i>noun</i><br><ol><li>cobra</li></ol>
bilu	<i>noun</i><br><ol><li>charcoal</li></ol>
biru	<i>noun</i><br><ol><li>charcoal</li><li>embers</li></ol>
bitik	<i>noun</i><br><ol><li>(anatomy) part above the heel</li></ol>
bitik na zapan	<i>noun</i><br><ol><li>(anatomy) Achilles tendon</li></ol>
bitnguR	<i>noun</i><br><ol><li>big, slow, useless fellow</li></ol>
bitting	<i>noun</i><br><ol><li>headache</li></ol>
biw	<i>noun</i><br><ol><li>temple</li></ol>
biwbiw	<i>noun</i><br><ol><li>breeze</li></ol>
biyabas|byabas	<i>noun</i><br><ol><li>guava</li></ol>
biyat	<i>noun</i><br><ol><li>frog</li></ol>
blabal	<i>noun</i><br><ol><li>tin</li></ol>
blayang	<i>noun</i><br><ol><li>large cooking pan</li></ol>
bles	<i>noun</i><br><ol><li>(anatomy) belly; abdomen</li></ol>
blukuk	<i>noun</i><br><ol><li>a kind of fern (somewhat thick and bitter)</li></ol>
blung	<i>noun</i><br><ol><li>shell (of beans, peanuts, seashell, snail, etc.)</li><li>peel</li></ol>
bnabnaqian	<i>noun</i><br><ol><li>ancestors</li></ol>
bnanaR	<i>noun</i><br><ol><li>blister</li></ol>
bnangaw	<i>noun</i><br><ol><li>syphilis</li></ol>
bnaqian	<i>noun</i><br><ol><li>elder</li></ol>
bnauR	<i>noun</i><br><ol><li>cucumber</li></ol>
bneq	<i>noun</i><br><ol><li>salt water</li></ol>
bngar	<i>adj</i><br><ol><li>half ripe</li></ol>
bniRan	<i>noun</i><br><ol><li>stingray; ray fish</li></ol>
bnina	<i>noun</i><br><ol><li>banana</li></ol>
bnit	<i>noun</i><br><ol><li>skin cracks (in winter)</li></ol>
bnuay	<i>noun</i><br><ol><li>kite</li></ol>
bnuqu	<i>noun</i><br><ol><li>winnowing basket</li></ol>
bras	<i>noun</i><br><ol><li>rice (uncooked seeds used as food)</li></ol>
brawan	<i>noun</i><br><ol><li>gold</li></ol>
bruhuk	<i>noun</i><br><ol><li>goiter</li></ol>
brukun	<i>noun</i><br><ol><li>fishhook</li></ol>
bsangay	<i>noun</i><br><ol><li>small field mouse</li></ol>
btu	<i>noun</i><br><ol><li>stone</li></ol>
btuuq	<i>noun</i><br><ol><li>pond</li><li>fishpond</li></ol>
buRang	<i>noun</i><br><ol><li>rock</li></ol>
buRut	<i>noun</i><br><ol><li>flying squirrel</li></ol>
buRwa	<i>noun</i><br><ol><li>canoe</li></ol>
bubu	<i>noun</i><br><ol><li>conical bamboo basket, a fish trap</li></ol>
bubur	<i>noun</i><br><ol><li>jellyfish</li></ol>
bukkun	<i>noun</i><br><ol><li>swelling</li></ol>
bulan	<i>noun</i><br><ol><li>moon</li></ol>
bulayang	<i>noun</i><br><ol><li>large pot</li></ol>
buletedan	<i>noun</i><br><ol><li>star</li></ol>
bungil	<i>noun</i><br><ol><li>dried areca nut</li></ol>
bungut	<i>noun</i><br><ol><li>head ornament</li></ol>
buqaRes	<i>adj</i><br><ol><li>lazy</li></ol>
buqan	<i>noun</i><br><ol><li>sand</li></ol>
buqas	<i>noun</i><br><ol><li>dust</li></ol>
buqes	<i>noun</i><br><ol><li>(anatomy) hair</li><li>hair-like brown seaweed</li></ol>
buran	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
buras	<i>noun</i><br><ol><li>(ophthalmology) cataract</li></ol>
burek	<i>noun</i><br><ol><li>young animal (of a cow, pig, bear, etc.)</li></ol>
burtellan	<i>noun</i><br><ol><li>star</li></ol>
busaR	<i>adj</i><br><ol><li>white</li></ol>
busel	<i>noun</i><br><ol><li>(anatomy) navel</li></ol>
busuq	<i>adj</i><br><ol><li>drunk</li></ol>
busur	<i>noun</i><br><ol><li>bowstring</li></ol>
busus	<i>noun</i><br><ol><li>Hoklo person</li></ol>
butbut	<i>noun</i><br><ol><li>spring (water)</li></ol>
butuR	<i>noun</i><br><ol><li>(anatomy) scrotum</li></ol>
butuq	<i>noun</i><br><ol><li>footwear; gaiters; leggings</li></ol>
butuy	<i>noun</i><br><ol><li>joint; node; knot (of a bamboo, sugarcane, tree, finger, etc.)</li></ol>
byaquR	<i>noun</i><br><ol><li>toad</li></ol>
dadas	<i>noun</i><br><ol><li>betel</li></ol>
damu	<i>noun</i><br><ol><li>tribe</li></ol>
dasam	<i>adj</i><br><ol><li>dirty</li></ol>
daud	<i>adj</i><br><ol><li>far</li></ol>
deddan	<i>noun</i><br><ol><li>sky</li><li>weather</li></ol>
dengat	<i>noun</i><br><ol><li>window</li></ol>
dihib	<i>noun</i><br><ol><li>grotto; cave</li></ol>
dingwa	<i>noun</i><br><ol><li>telephone</li></ol>
duki	<i>noun</i><br><ol><li>clock</li><li>time</li></ol>
duqunu	<i>noun</i><br><ol><li>turtle</li></ol>
engu	<i>noun</i><br><ol><li>goose</li></ol>
hakun	<i>noun</i><br><ol><li>skirt</li></ol>
hikuki	<i>noun</i><br><ol><li>airplane</li></ol>
hukang	<i>noun</i><br><ol><li>male carabao</li></ol>
hulam	<i>noun</i><br><ol><li>mainlander in Taiwan</li></ol>
humung	<i>noun</i><br><ol><li>sea cucumber</li></ol>
iRaR	<i>noun</i><br><ol><li>gate</li><li>fence (around the garden)</li></ol>
iRanay	<i>noun</i><br><ol><li>animal skull</li></ol>
iRem	<i>noun</i><br><ol><li>pangolin</li></ol>
iRuR	<i>noun</i><br><ol><li>river</li><li>stream; creek; brook</li></ol>
ibu	<i>noun</i><br><ol><li>ash</li></ol>
ilam	<i>noun</i><br><ol><li>strength; energy</li></ol>
imis	<i>noun</i><br><ol><li>north</li></ol>
inat	<i>noun</i><br><ol><li>comb</li></ol>
ineb	<i>noun</i><br><ol><li>door</li></ol>
ingRuan	<i>noun</i><br><ol><li>pillow</li></ol>
inges	<i>noun</i><br><ol><li>(anatomy) gums</li></ol>
ingsay	<i>noun</i><br><ol><li>water spinach (Ipomoea aquatica)</li></ol>
inna	<i>noun</i><br><ol><li>stamp</li></ol>
inpan	<i>noun</i><br><ol><li>mat</li></ol>
ipaz	<i>noun</i><br><ol><li>raft</li></ol>
isi	<i>noun</i><br><ol><li>dregs (from winemaking)</li></ol>
ising	<i>noun</i><br><ol><li>doctor</li></ol>
iteb	<i>noun</i><br><ol><li>deadfall trap</li></ol>
itus	<i>noun</i><br><ol><li>necklace</li><li>beads</li></ol>
iyu	<i>noun</i><br><ol><li>medicine</li></ol>
izip	<i>noun</i><br><ol><li>(anatomy) body</li><li>life</li></ol>
kakurut	<i>noun</i><br><ol><li>bitter gourd</li></ol>
kakuyur	<i>noun</i><br><ol><li>broad bean</li></ol>
kalumut	<i>noun</i><br><ol><li>scarf; hood</li></ol>
