ក|kɑɑ|្ក|ការក	<i>character</i><br><ol><li>first letter of the Cambodian alphabet</li></ol><br><i>noun</i><br><ol><li>(anatomy) neck</li><li>collar</li><li>connecting link</li></ol><br><i>verb</i><br><ol><li>to build; to construct; to create; to found</li><li>to base on</li><li>to commence; to start up</li><li>to come into being</li></ol>
កក|ការកក|kɑɑk|ភាពកក	<i>adj</i><br><ol><li>to be hardened, coagulated, frozen, set</li><li>to be dense</li><li>to be countless, many, crowded, in a crowd</li></ol><br><i>verb</i><br><ol><li>to harden, coagulate, thicken, set</li></ol><br><i>adv</i><br><ol><li>en masse</li></ol>
កកេរ|ការកកេរ|kɑkee	<i>verb</i><br><ol><li>to nibble, to gnaw</li></ol>
កក់|ការកក់|kɑk	<i>verb</i><br><ol><li>to wash, to clean</li><li>to pay an advance, to book</li><li>uncertain meaning, used in the compound: កក់ក្ដៅ (kɑk kdaw, “warm, affectionate”)</li></ol><br><i>noun</i><br><ol><li>kind of reed (Cyperus or Mariscus sp.) used for weaving mats</li></ol>
កក់ក្ដៅ|kɑk kdaw|ការកក់ក្ដៅ|ភាពកក់ក្ដៅ	<i>adj</i><br><ol><li>to be warm, affectionate</li></ol><br><i>verb</i><br><ol><li>to comfort, to keep warm</li></ol>
កក្កដា|kakkədaa	<i>noun</i><br><ol><li>July</li></ol>
កខ្វក់|kɑɑkɑkvɑk|ភាពកខ្វក់	<i>adj</i><br><ol><li>dirty, polluted, stained</li><li>wicked</li></ol>
កង|ការកង|kɑɑng|ភាពកង	<i>noun</i><br><ol><li>ring, circle</li><li>bracelet, necklace, anklet</li><li>group, team, crew, unit (military)</li></ol><br><i>verb</i><br><ol><li>to carry in the arms, to clasp with the arms</li><li>to form a circle, to encircle</li></ol><br><i>adj</i><br><ol><li>to be echoing, resounding, loud, noisy</li></ol><br><i>adv</i><br><ol><li>loudly and disorderly, very noisily</li></ol>
កងកម្លាំង|kɑɑng kɑmlang	<i>noun</i><br><ol><li>armed forces, army</li></ol>
កងកម្លាំងប្រដាប់អាវុធ|kɑɑng kɑɑkɑmlang prɑɑdap ʼaavut	<i>noun</i><br><ol><li>armed forces, military</li></ol>
កងទ័ព|kɑɑng tŏəp	<i>noun</i><br><ol><li>army; army corps</li></ol>
កងទ័ពជើងទឹក|kɑɑng tŏəp cəəng tɨk	<i>noun</i><br><ol><li>navy</li></ol>
កងពល|kɑɑng pŭəl	<i>noun</i><br><ol><li>military unit, division</li></ol>
កងពលតូច|kɑɑng pŭəl touc	<i>noun</i><br><ol><li>(military) brigade</li></ol>
កងពលធំ|kɑɑng pŭəl thom	<i>noun</i><br><ol><li>(military) division (large military unit)</li></ol>
កងយោធពល|kɑɑng yoothĕəʼ pŭəl	<i>noun</i><br><ol><li>armed forces</li></ol>
កង់|kɑng	<i>noun</i><br><ol><li>wheel, tire</li><li>bicycle (colloquial)</li><li>chop (of meat), piece (of fish), slice (of fish)</li><li>round slice</li><li>circle, something round</li><li>cross-section</li></ol><br><i>classifier</i><br><ol><li>classifier for pipes, logs, slices</li></ol>
