A	<i>character</i><br><ol><li>The first letter of the Kikuyu alphabet, written in the Latin script.</li></ol>
Gĩkũyũ	<i>name</i><br><ol><li>(collective) Kikuyu people</li><li>Kikuyu language</li></ol>
Kamau mwerũ nĩ airaga	<i>proverb</i><br><ol><li>All earthly things are transitory.</li></ol>
Maina	<i>name</i><br><ol><li>name of one of the ruling generation-sets (mariika); the other is Mwangi.</li></ol>
Mwangi	<i>name</i><br><ol><li>name of one of the two ruling generation-sets (mariika); the other is Maina.</li></ol>
Mũthũngũ|Athũngũ	<i>noun</i><br><ol><li>white, European, Caucasian</li></ol>
Ngai	<i>noun</i><br><ol><li>God</li></ol>
aca	<i>particle</i><br><ol><li>no</li></ol>
aga|kwaga	<i>verb</i><br><ol><li>to lack, to miss, to fail to find</li></ol>
aka|gwaka	<i>verb</i><br><ol><li>to build</li></ol>
akia|gwakia	<i>verb</i><br><ol><li>to kindle, to light</li></ol>
amba|kwamba	<i>verb</i><br><ol><li>to peg (out), to pitch</li><li>to stretch out</li><li>to do first</li></ol>
ambata|kwambata	<i>verb</i><br><ol><li>to come up, to go up, to ascend</li></ol>
ambĩrĩria|kwambĩrĩria	<i>verb</i><br><ol><li>(transitive) to begin, to start</li></ol>
andĩka|kwandĩka	<i>verb</i><br><ol><li>to write</li></ol>
aria|kwaria	<i>verb</i><br><ol><li>to speak</li></ol>
atha|gwatha	<i>verb</i><br><ol><li>to order, to command</li></ol>
atĩa	<i>pron</i><br><ol><li>(interrogative) what</li><li>(interrogative) how</li></ol>
atĩrĩrĩ	<i>particle</i><br><ol><li>listen to me</li></ol>
atũka|gwatũka	<i>verb</i><br><ol><li>(intransitive) to split</li></ol>
atũra|gwatũra	<i>verb</i><br><ol><li>(transitive) to split, to divide, to part</li></ol>
baara|kũbaara	<i>verb</i><br><ol><li>to look at, to examine</li></ol>
baba	<i>noun</i><br><ol><li>my father, dad</li></ol>
bangiri	<i>noun</i><br><ol><li>bangle</li></ol>
bara	<i>noun</i><br><ol><li>road</li></ol>
barabara	<i>noun</i><br><ol><li>road</li></ol>
barĩthiramu	<i>noun</i><br><ol><li>pyrethrum</li></ol>
biacara|mbiacara|mabiacara	<i>noun</i><br><ol><li>trade, commerce, business</li></ol>
biribiri	<i>noun</i><br><ol><li>red pepper, hot pepper, chili pepper</li></ol>
bitharĩ	<i>noun</i><br><ol><li>curry powder</li></ol>
bongwe	<i>noun</i><br><ol><li>(Chanler's) mountain reedbuck (Redunca fulvorufula chanleri)</li></ol>
borithi	<i>noun</i><br><ol><li>police</li></ol>
butha|kũbutha	<i>verb</i><br><ol><li>to be rotten</li></ol>
bũrũri|mabũrũri	<i>noun</i><br><ol><li>country, region</li></ol>
cemania|gũcemania	<i>verb</i><br><ol><li>to meet, to join up with</li></ol>
ciara|gũciara	<i>verb</i><br><ol><li>to bring forth, to give birth, to give rise</li><li>to bear (fruit)</li><li>to adopt</li></ol>
cimba|gũcimba	<i>verb</i><br><ol><li>to hoe, to dig with a hoe</li></ol>
cina|gũcina	<i>verb</i><br><ol><li>(transitive) to burn</li></ol>
cindano|macindano	<i>noun</i><br><ol><li>needle</li></ol>
coka|gũcoka	<i>verb</i><br><ol><li>to go back, to return</li></ol>
cokia|gũcokia	<i>verb</i><br><ol><li>to give back, to put back</li><li>to reply, to answer</li></ol>
conoka|gũconoka	<i>verb</i><br><ol><li>to be ashamed, to be shy</li></ol>
cuba|gacuba|macuba	<i>noun</i><br><ol><li>bottle</li></ol>
cukari	<i>noun</i><br><ol><li>sugar</li></ol>
cuma|macuma	<i>noun</i><br><ol><li>iron, steel</li></ol>
cumbĩ|macumbĩ	<i>noun</i><br><ol><li>salt</li></ol>
cuuka|gũcuuka	<i>verb</i><br><ol><li>to slander</li></ol>
cũcũ|macũcũ	<i>noun</i><br><ol><li>my grandmother, gramma</li></ol>
cũna|gũcũna	<i>verb</i><br><ol><li>to lick</li></ol>
enda|kũenda|kwenda	<i>verb</i><br><ol><li>to like, to love</li><li>to want</li></ol>
endia|kwendia）|endia infinitives kũendia	<i>verb</i><br><ol><li>to sell</li></ol>
enja|kwenja	<i>verb</i><br><ol><li>to dig</li><li>to shave</li></ol>
gatagatĩ|tũtagatĩ	<i>noun</i><br><ol><li>middle, between</li></ol>
gatarũ|tũtarũ	<i>noun</i><br><ol><li>small boat, small canoe</li></ol>
gatego	<i>noun</i><br><ol><li>venereal disease, especially syphilis</li></ol>
gathuku|tũthuku	<i>noun</i><br><ol><li>parrot</li></ol>
gathĩrĩthĩrĩ|tũthĩrĩthĩrĩ	<i>noun</i><br><ol><li>something that is long and thin</li></ol>
gatinyinyiraga gatarĩ gakunye	<i>proverb</i><br><ol><li>no smoke without fire (lit. little one does not squeak without being pinched)</li></ol>
gatitũ|tũtitũ	<i>noun</i><br><ol><li>small forest, copse, grove</li></ol>
gatumia|tũtumia	<i>noun</i><br><ol><li>Dwarf Cavendish banana, a cultivar, (Musa acuminata Colla (AAA Group) 'Dwarf Cavendish')</li><li>Bandé banana</li><li>(common) purslane (Portulaca oleracea)</li></ol>
gaturumo|tũturumo	<i>noun</i><br><ol><li>dot, spot</li><li>full stop, point</li></ol>
geithia|kũgeithia	<i>verb</i><br><ol><li>to greet</li></ol>
gera|kũgera	<i>verb</i><br><ol><li>to count, to measure, to reckon</li><li>to pass through</li></ol>
geria|kũgeria	<i>verb</i><br><ol><li>to try, to attempt</li><li>to tempt (someone)</li></ol>
giria|kũgiria	<i>verb</i><br><ol><li>to prevent</li></ol>
guka	<i>noun</i><br><ol><li>my grandfather</li></ol>
guoko|moko	<i>noun</i><br><ol><li>hand</li><li>arm</li></ol>
gwata|kũgwata	<i>verb</i><br><ol><li>to grasp</li><li>to seize</li><li>to rape</li></ol>
gĩathĩ|ciathĩ	<i>noun</i><br><ol><li>appointment for gathering</li><li>prearranged meeting</li><li>any social event where people gather at a market, feast; party</li></ol>
gĩathĩ kĩa ngũha	<i>noun</i><br><ol><li>(idiomatic) An expression used for reminding a speaker's peer of a secret hide-out where they used to and are to meet. (lit. an appointment/a gathering of ticks)</li></ol>
gĩcagi|icagi	<i>noun</i><br><ol><li>an untidy, sprawling agglomeration of homesteads built by a mixed group of people from different clans or sub-clans</li><li>a new village</li></ol>
gĩcanjama|icanjama	<i>noun</i><br><ol><li>rabble, disorderly crowd, mob</li></ol>
gĩcanũri|icanũri	<i>noun</i><br><ol><li>comb (for hairs)</li></ol>
gĩcicio|icicio	<i>noun</i><br><ol><li>mirror</li><li>pane (for windows, doors, etc.)</li><li>(in the plural) eyeglasses</li></ol>
gĩcigĩrĩra|icigĩrĩra	<i>noun</i><br><ol><li>island</li></ol>
gĩciko|iciko	<i>noun</i><br><ol><li>spoon</li></ol>
gĩciri|iciri	<i>noun</i><br><ol><li>shoulder-blade</li><li>part of goat meat including shoulder-blade</li></ol>
gĩcunjĩ|icunjĩ|gacunjĩ	<i>noun</i><br><ol><li>part, piece, portion</li><li>section</li></ol>
gĩcuthĩ|icuthĩ	<i>noun</i><br><ol><li>tail</li></ol>
gĩcũhĩ|icũhĩ	<i>noun</i><br><ol><li>ring</li></ol>
gĩcũnũnũ	<i>noun</i><br><ol><li>gonorrhea</li></ol>
gĩeterero	<i>noun</i><br><ol><li>waiting with patience; endurance</li></ol>
gĩkama|ikama	<i>noun</i><br><ol><li>piece of pig iron</li></ol>
gĩkeno|ikeno	<i>noun</i><br><ol><li>joy, happiness</li></ol>
gĩkere|ikere	<i>noun</i><br><ol><li>(Anatomy) calf (of the leg)</li></ol>
gĩkombe|ikombe	<i>noun</i><br><ol><li>cup</li></ol>
gĩkoni|makoni|ikoni	<i>noun</i><br><ol><li>husk, skin</li></ol>
gĩkorora|ikorora	<i>noun</i><br><ol><li>phlegm</li></ol>
gĩkundi|ikundi	<i>noun</i><br><ol><li>group, assembly, collection</li></ol>
gĩkuũ	<i>noun</i><br><ol><li>death</li></ol>
gĩkwa|ikwa	<i>noun</i><br><ol><li>yam</li></ol>
gĩkĩngĩ|ikĩngĩ	<i>noun</i><br><ol><li>stake</li></ol>
gĩkũnjo|ikũnjo	<i>noun</i><br><ol><li>ball of string or wool</li><li>tied or rolled up bundle or load</li></ol>
gĩtahi|itahi	<i>noun</i><br><ol><li>anything used as a dipper</li></ol>
gĩtaigua|itaigua	<i>noun</i><br><ol><li>deaf person</li><li>(derogatory) the deaf</li><li>disobedient person</li></ol>
gĩtanda|itanda	<i>noun</i><br><ol><li>bed</li></ol>
gĩtarũrũ|gatarũrũ|itarũrũ	<i>noun</i><br><ol><li>A winnowing tray twined with bark of mũgio (Triumfetta brachyceras, syn. T. macrophylla, T. ruwenzorensis), a kind of shrub, used also as a server.</li></ol>
