Ёма|Ёмаӧ|Ёманас|Ёмаӧдзыным|Ёматӧгым|Ёмасяньыс|Ёмаӧдым|Ёманытӧ|Ёмаӧдыныс|Ёмаыдлы|Ёмаыдла|Ёмасьыныд|Ёмасяньыным|Ёманыдкӧд|Ёмасяньыд|Joma|Ёмаланьыс|Ёматӧгыд|Ёматіым|Ёмасӧ|Ёмала|Ёмаӧдыд|Ёмакӧд|Ёмалысь|Ёмалы|Ёманыдлысь|Ёмананыд|Ёматӧг|Ёмааныд|Ёманыслысь|Ёматӧгыс|Ёманыдлӧн|Ёманысӧ|Ёмаам|Ёмаӧдзыныд|Ёманым|Ёманымлысь|Ёмаӧйлысь|Ёматӧ|Ёмаӧдыным|Ёмаӧдзыс|Ёматіыным|Ёмаланьыд|Ёмаыслӧн|Ёматӧгныс|Ёмаӧйла|Ёмаӧдз|Ёмаӧйкӧд|Ёманад|Ёмананым|Ёмалань|Ёманам|Ёманымкӧс|Ёмасьыс|Ёмаӧн|Ёмаӧйлӧн|Ёмаӧдзыныс|Ёмаын|Ёматӧгным|Ёмасьыным|Ёманымӧс|Ёманыслы|Ёматӧгныд|Ёманысла|Ёмаыдлысь|Ёманыдлы|Ёмаыс|Ёмасяньым|Ёмалӧн|Ёмасьыд|Ёматіыныд|Ёмаыдкӧд|Ёмаӧй|Ёмаыдлӧн|Ёмаланьыныд|Ёманымла|Ёматіыд|Ёмааным|Ёмананыс|Ёмасьыныс|Ёмаӧдзым|Ёмаӧйлы|Ёмасьым|Ёмаыслысь|Ёмаыслы|Ёманымлӧн|Ёманымлы|Ёмааныс|Ёмасяньыныд|Ёманыд|Ёмасянь|Ёмаланьыным|Ёматі|Ёматіыныс|Ёмаас|Ёманыдла|Ёмасяньыныс|Ёмаыд|Ёмаӧдзыд|Ёмаысь|Ёмаӧс|Ёманымкӧд|Ёманыс|Ёмаад|Ёмаланьым|Ёматіыс|Ёмаӧдыс|Ёмаӧд|Ёмаыскӧд|Ёманыслӧн|Ёмаланьыныс|Ёмаӧдыныд|Ёмаысла	<i>name</i><br><ol><li>Yoma; A folkloric character resembling a witch or Baba Yaga.</li></ol>
А|а	<i>character</i><br><ol><li>The first letter of the Komi-Zyrian alphabet, written in the Cyrillic script.</li></ol>
Армения|Armenija	<i>name</i><br><ol><li>Armenia (a country in the South Caucasus in Western Asia)</li></ol>
Беларусь|Belarusʹ	<i>name</i><br><ol><li>Belarus (a country in Eastern Europe)</li></ol>
Вежайка|Вежайкатӧгныс|Вежайкаӧс|Вежайкаланьым|Вежайкалы|Вежайкаланьыным|Вежайкалысь|Вежайкасяньыд|Вежайканыдлӧн|Вежайкаӧдзыс|Вежайканыдла|Вежайкаӧйлӧн|Вежайканымкӧс|Вежайкаыдлысь|Вежайкаті|Вежайкаӧйкӧд|Вежайканас|Вежайканымлӧн|Вежайкаӧ|Вежайканымлы|Вежайкасяньыныс|Вежайкаӧн|Вежайкаӧдзым|Вежайкатӧгныд|Вежайкаам|Вежайкаӧдзыным|Вежайканымкӧд|Вежайкатӧ|Вежайкаыслысь|Вежайкакӧд|Вежайкаӧйла|Вежайкаӧйлы|Вежайканыслӧн|Вежайкаланьыд|Вежайкаыдлы|Вежайкаӧдзыныс|Вежайкасьыныс|Вежайканыдлысь|Вежайкатіыныд|Вежайкатіыд|Вежайкасьыс|Вежайкаыд|Вежайканад|Вежайкатіыным|Вежайкананым|Вежайкалань|Вежайкасянь|Вежайкаӧдыныс|Вежайкааныс|Вежайкаӧд|Вежайкатӧг|Вежайкаыдла|Вежайкаӧдз|Вежайканыд|Вежайкаӧдым|Вежайкалӧн|Вежайкатіыныс|Вежайканымӧс|Вежайкала|Вежайкатіым|Вежайкатӧгным|Вежайкаысла|Вежайкатӧгым|Вежайканым|Вежайкаӧдыд|Вежайкасьыным|Вежайкаӧдыным|Вежайканымла|Вежайканыслысь|Вежайкаӧй|Вежайкаыдлӧн|Вежайканыдлы|Вежайканыслы|Вежайкаланьыс|Вежайкатӧгыд|Вежайкаӧдзыд|Вежайкасяньыным|Вежайканыдкӧд|Вежайкаыслӧн|Вежайкаӧдзыныд|Вежайкааным|Вежайкааныд|Вежайкасьым|Вежайкаысь|Вежайкаланьыныс|Вежайкасяньыныд|Вежайкаӧдыныд|Vežajka|Вежайкаад|Вежайкасьыд|Вежайкаыс|Вежайканымлысь|Вежайкананыс|Вежайкаӧдыс|Вежайкаыдкӧд|Вежайкатӧгыс|Вежайкатіыс|Вежайкаӧйлысь|Вежайкананыд|Вежайкаыслы|Вежайканысӧ|Вежайканам|Вежайкаланьыныд|Вежайкасяньыс|Вежайканыс|Вежайкасяньым|Вежайкаыскӧд|Вежайканысла|Вежайкаас|Вежайкасьыныд|Вежайканытӧ|Вежайкасӧ|Вежайкаын	<i>name</i><br><ol><li>A wizard in Komi mythology, who lost a hunting competition against the wizard Паляйка (Paljajka).</li></ol>
Грузия|Gruzija	<i>name</i><br><ol><li>Georgia (a transcontinental country in the Caucasus, spanning both Europe and Asia; capital: Tbilisi)</li></ol>
Гулень|Гуленьнымлы|Гуленьлысь|Гуленьтіыным|Гуленьтӧгыс|Гуленьӧдзыныд|Гуленьтіым|Гуленьнымкӧд|Гуленьӧйлысь|Гуленьным|Гуленьӧдыд|Гуленьӧйлы|Гуленьнаныс|Гуленьнымкӧс|Гуленьті|Гуленьсьыс|Гуленьӧдыс|Гуленьсяньыныс|Гуленьланьыныд|Гуленьсяньыныд|Гуленьтӧг|Гуленьтӧгыд|Гуленьтіыд|Гуленьӧдзыд|Гуленьыдлы|Гуленьнам|Гуленьла|Гуленьныдла|Гуленьныдкӧд|Гуленьыдлӧн|Гуленяныд|Гуленьыскӧд|Гуленьнысӧ|Гуленьсяньыс|Гуленяным|Гуленькӧд|Гуленьӧдзыныс|Гуленьнымлӧн|Гуленьӧн|Гуленяс|Гуленьсьыныд|Гуленьӧдыныс|Гуленьӧдзыным|Гуленьсьыным|Гуленьыслысь|Гуленьыдла|Гуленьтіыс|Гуленьсянь|Гуленьтӧгныд|Гуленьнаныд|Гуленьлань|Гуленьланьыс|Гуленям|Гуленьсяньыд|Гуленьнаным|Гуленьныслы|Gulenʹ|Гуленьӧ|Гуленяныс|Гуленьтӧ|Гуленьӧдз|Гуленьыд|Гуленьнад|Гуленьтіыныс|Гуленьӧйла|Гуленяд|Гуленьӧйкӧд|Гуленьӧдыныд|Гуленьӧдыным|Гуленьӧй|Гуленьыслы|Гуленьӧдым|Гуленьныд|Гуленьныдлы|Гуленьлӧн|Гуленьнымӧс|Гуленьыслӧн|Гуленьыс|Гуленьтіыныд|Гуленьнытӧ|Гуленьӧд|Гуленьыдлысь|Гуленьтӧгным|Гуленьланьыныс|Гуленьтӧгныс|Гуленьӧс|Гуленьысла|Гуленьныдлысь|Гуленьланьым|Гуленьныдлӧн|Гуленьтӧгым|Гуленьсӧ|Гуленьланьыным|Гуленьныслысь|Гуленьыдкӧд|Гуленьсяньым|Гуленьсьыд|Гуленьныс|Гуленьӧдзым|Гуленьныслӧн|Гуленьланьыд|Гуленьнымла|Гуленьнас|Гуленьсьым|Гуленьлы|Гуленьысь|Гуленьнымлысь|Гуленьын|Гуленьӧдзыс|Гуленьӧйлӧн|Гуленьсьыныс|Гуленьсяньыным|Гуленьнысла	<i>name</i><br><ol><li>A folk hero in Komi mythology, killed by the villagers of Poztykeros for stealing their cattle.</li></ol>
Дания|Danija	<i>name</i><br><ol><li>Denmark (a country in Northern Europe)</li></ol>
Ен|Енмӧдзым|Енныдлы|Енкӧд|Еннымла|Енмӧд|Енмыскӧд|Енмӧс|Енным|Енмӧдым|Енмыслысь|Енмас|Еннымӧс|Енмӧйлӧн|Ентіыным|Еннад|Енсьыс|Енныс|Еннымлы|Енмӧйлысь|Енмыдлысь|Енлӧн|Ентӧг|Енмӧдыныд|Ентӧгыд|Енмӧдзыд|Енсяньым|Енмӧдзыным|Ентӧгныс|Енмыдла|Ентіыс|Ентӧгныд|Енланьыд|Енмыдлы|Енсьыныс|Енмӧдзыс|Еннымкӧд|Еннаныс|Енныдла|Ентӧгым|Енсьыным|Енланьым|Енманыд|Енмӧдзыныс|Енмӧ|Енныслысь|Енныдлӧн|Енланьыным|Еннаным|Енныслӧн|Енмӧйлы|Еннаныд|Еннымлӧн|Енныдкӧд|Енмӧй|Енмӧйла|Енсӧ|Ентіым|Енмад|Енмӧдыныс|Енсьым|Енсьыд|Енланьыс|Енмысь|Еннысла|Енмыд|Енманым|Енмысла|Енмыдлӧн|Енмӧйкӧд|Ентіыныс|Енлысь|Енныд|Еннам|Енмам|Енсяньыд|Енла|Енмӧдз|Енмӧдыным|Енсяньыныд|Енлань|Енмыслы|Енмӧдыс|Енсянь|Енмӧдзыныд|Енныдлысь|Енныслы|Jen|Енсьыныд|Енмыдкӧд|Еннымлысь|Енмӧдыд|Енті|Ентӧгыс|Енмыс|Енланьыныд|Енланьыныс|Ентӧ|Ентіыныд|Еннас|Енсяньыныс|Енмын|Еннытӧ|Енманыс|Ентӧгным|Енлы|Енсяньыс|Енсяньыным|Еннысӧ|Еннымкӧс|Енмӧн|Ентіыд|Енмыслӧн	<i>name</i><br><ol><li>One of the two original deities in Komi mythology, often portrayed by a swan or a duck.</li></ol>
Изьва|Izʹva	<i>name</i><br><ol><li>Izhma (a river in the Komi Republic, Russia)</li></ol>
