अंडें|aṇḍẽ	<i>noun</i><br><ol><li>egg</li></ol>
अंधार|andhār	<i>noun</i><br><ol><li>darkness</li></ol>
अक्खो|akkhô|akkho|ಅಕ್ಖೊ	<i>adj</i><br><ol><li>whole, entire</li></ol>
अगशी|ಅಗಶೀ|agśī|Agxi	<i>name</i><br><ol><li>A village in Goa, India</li></ol>
अळणी|aḷṇī	<i>adj</i><br><ol><li>insipid, tasteless</li><li>lacking salt</li></ol>
अळमी|almi|ಅಳಮೀ|aḷmī	<i>noun</i><br><ol><li>mushroom</li></ol>
अशें|aśẽ|ಅಶೆಂ|oxem	<i>prep</i><br><ol><li>like this, like so, in this manner</li></ol>
अस्तरि|ostori|ಅಸ್ತರಿ|astari	<i>noun</i><br><ol><li>(archaic, rare) a woman</li></ol>
आंडु गुंडु|āṇḍu guṇḍu	<i>noun</i><br><ol><li>(offensive, derogatory, ethnic slur) Mimicking Tamil, Kannada, Malayalam and Telugu speech.</li></ol><br><i>adj</i><br><ol><li>(offensive, derogatory, ethnic slur) South Indian, relating or pertaining to South Indians</li></ol>
आंत|ಆಂತ್|ant|ā̃t	<i>noun</i><br><ol><li>intestine</li></ol>
आंधळो|ಆಂಧಳೊ|āndhḷo|andhllo	<i>adj</i><br><ol><li>blind</li></ol>
आंबट|ಆಂಬೋಟ್|āmbaṭ|ambot	<i>adj</i><br><ol><li>sour</li></ol>
आट|āt|ಆಟ್|āṭ	<i>num</i><br><ol><li>eight</li></ol>
आठवें|āṭhvẽ|ಆಠವೆಂ|atthvem	<i>adj</i><br><ol><li>eighth</li></ol>
आड|āḍ|add|ಆಡ್	<i>adj</i><br><ol><li>across, lying down, horizontal</li></ol>
आडव्चे|adavche|āḍavce|ಆಡವ್ಚೆ	<i>verb</i><br><ol><li>to obstruct, to stop</li></ol>
आता|ata|ātā|ಆತಾ	<i>adv</i><br><ol><li>now</li></ol>
आत्मो|ātmo|otmo	<i>noun</i><br><ol><li>soul, self</li></ol>
आदेव्स|adevs|ādevs|ಆದೆವ್ಸ್	<i>intj</i><br><ol><li>farewell, goodbye</li></ol>
आदोगाद|adogad|ಆದೋಗಾದ್|ādōgād	<i>noun</i><br><ol><li>a lawyer</li></ol>
आनी|ānī	<i>conj</i><br><ol><li>and</li></ol>
आपव्चे|afovche|ಆಫವ್ಚೆ|āpavce	<i>verb</i><br><ol><li>to call, to summon</li></ol>
आमि|ಆಮಿ|म्हका|म्हझि|आम्ची|म्हझे|आम्चो|आम्च्यान्नि|ಹಾಂವ್|म्हझात्ल्यान|म्हजो|āmi|ami|hā̃v|आम्चे|म्हझेर|आम्चेर|हांवेन|म्हझ्यान|आम्का|hanv|आम्च्यान|हांव	<i>pron</i><br><ol><li>we</li></ol>
आम्बो|आम्ब्या|आम्ब्यात्ल्यान|आम्ब्यान्चो|आम्बे|आम्ब्याचो|ambo|आम्ब्यार|आम्ब्यान्चेर|आम्ब्यान्त्ल्यान|आम्ब्यान्नो|āmbo|आम्ब्याचेर|आम्ब्यानि|आम्ब्यान्नि|आम्ब्यान|आम्ब्यान्चि|आम्ब्याचि|आम्ब्यान्चे|आम्ब्यांक|आम्ब्याचे|आम्ब्याक|ಆಂಬೊ	<i>noun</i><br><ol><li>(formal, literary) mango</li></ol>
