Аллагь|Аллагьыгъыздан|Аллагьларыма|Аллагьымдан|Аллагьынгъда|Аллагьларыбызда|Аллагьларыбыздан|Аллагьынгъа|Аллагьыны|Аллагьыгъызгъа|Аллагьларыгъызгъа|Аллагьым|Аллагьларыны|Allah|Аллагьыгъызда|Аллагьдан|Аллагьларыгъызда|Аллагьыбызгъа|Аллагьны|Аллагьында|Аллагьланы|Аллагьларымдан|Аллагьларыбызгъа|Аллагьын|Аллагьларына|Аллагьларынгъ|Аллагьлар|Аллагьыбыздан|Аллагьларымда|Аллагьларым|Аллагьыбызны|Аллагьыгъыз|Аллагьыгъызны|Аллагьындан|Аллагьыбызда|Аллагьларында|Аллагьларынгъа|Аллагьлардан|Аллагьлагъа|Аллагьынгъ|Аллагьынгъдан|Аллагьларынгъны|Аллагьларындан|Аллагьымда|Аллагьлары|Аллагьларда|Аллагьларынгъдан|Аллагьларын|Аллагьларынгъда|Аллагьымгъа|Аллагьларыгъыз|Аллагьгъа|Аллагьларымны|Аллагьымны|Аллагьыбыз|Аллагьы|Аллагьларыбыз|Аллагьларыгъызны|Аллагьда|Аллагьына|Аллагьларыбызны|Аллагьынгъны	<i>noun</i><br><ol><li>God, Allah</li></ol>
Къумукътюз|Къумукътюзюгюзде|Къумукътюзюбюзню|Къумукътюзюнг|Къумукътюзлеринден|Къумукътюзлерини|Къумукътюзлеригизге|Къумукътюзлеригизде|Къумукътюзлени|Къумукътюзлерден|Къумукътюзню|Къумукътюзюгюз|Къумукътюзлериме|Къумукътюзюгюзню|Къумукътюзлерине|Къумукътюзлеринг|Къумукътюзлерин|Къумукътюзюгюзден|Къумукътюзлерибизни|Къумукътюзлеримде|Къумукътюзлеге|Къумукътюзлерим|Къумукътюзлеринге|Къумукътюзюнгде|Къумукътюзлери|Къумукътюзлерингде|Къумукътюзюнде|Къумукътюзлеринде|Къумукътюзге|Къумукътюзлеримни|Къумукътюзюбюз|Къумукътюзлерибизде|Къумукътюзюнгден|Къумукътюзюбюзден|Къумукътюзлеригизни|Къумукътюзлеримден|Къумукътюзюгюзге|Къумукътюзюне|Къумукътюзюн|Къумукътюзлерингни|Къумукътюзюмде|Къумукътюзлерибизге|Къумукътюзлерде|Къумукътюзлерибиз|Къумукътюзлерингден|Къумукътюзюбюзге|Къумукътюзюм|Къумукътюзюнге|Къумукътюзлеригиз|Къумукътюзюнден|Къумукътюзю|Qumuqtüz|Къумукътюзден|Къумукътюзлерибизден|Къумукътюзлер|Къумукътюзюню|Къумукътюзюбюзде|Къумукътюзюмню|Къумукътюзюмден|Къумукътюзде|Къумукътюзюнгню|Къумукътюзюмге	<i>name</i><br><ol><li>Kumyk plateau, Kumyk plains, the Kumyk plain, the Kumuk lowland (a geographical region in Central Dagestan native to Kumyks)</li></ol>
Янгы йыл|Янгы йылымда|Янгы йылларыбыз|Янгы йылыгъызны|Янгы йылларын|Янгы йылыбызда|Yañı yıl|Янгы йылымдан|Янгы йылны|Янгы йылларынгъ|Янгы йылындан|Янгы йылыбыздан|Янгы йылларыма|Янгы йылларынгъда|Янгы йылларыгъызгъа|Янгы йылын|Янгы йылыбыз|Янгы йылларыбызгъа|Янгы йылым|Янгы йылларыны|Янгы йылларында|Янгы йылларыгъыз|Янгы йылларындан|Янгы йылларынгъдан|Янгы йылыгъыздан|Янгы йылларымдан|Янгы йылланы|Янгы йыллагъа|Янгы йылынгъны|Янгы йылы|Янгы йылларына|Янгы йылында|Янгы йылыгъызгъа|Янгы йылыбызны|Янгы йылдан|Янгы йылынгъдан|Янгы йылларымда|Янгы йылынгъда|Янгы йылларынгъны|Янгы йылларынгъа|Янгы йылыны|Янгы йылыбызгъа|Янгы йылынгъ|Янгы йылларыбыздан|Янгы йылларыбызда|Янгы йылыгъыз|Янгы йылымны|Янгы йылынгъа|Янгы йыллары|Янгы йыллардан|Янгы йылларымны|Янгы йылларыгъызда|Янгы йылымгъа|Янгы йылларыгъызны|Янгы йылына|Янгы йыллар|Янгы йылларыбызны|Янгы йылларым|Янгы йылыгъызда|Янгы йылда|Янгы йылгъа|Янгы йылларда	<i>noun</i><br><ol><li>New Year</li></ol>
абонент|абонентлерингден|абонентге|абонентлеге|абонентимден|абонентлерибиз|абонентигиз|абонентлери|абонентлерде|абонентини|абонентлерингде|абонентлеринден|абонентине|абонентлерин|абонентин|абонентлер|абонентим|абонентлерибизни|абонентлерибизден|abonent|абонентлерингни|абонентлеригизни|абонентимде|абонентни|абонентлеринге|абонентимни|абонентлеринде|абонентлеримден|абонентинг|абонентлерден|абонентибизде|абонентингде|абонентингни|абонентибизни|абонентигизни|абонентден|абонентинден|абонентлеринг|абонентлеригизге|абонентлерини|абонентде|абонентлерине|абоненти|абонентингден|абонентибизден|абонентимге|абонентлерим|абонентлерибизге|абонентлеримни|абонентинге|абонентибиз|абонентигизге|абонентлеригиз|абонентигизден|абонентлеримде|абонентлени|абонентинде|абонентибизге|абонентлеригизде|абонентлерибизде|абонентигизде|абонентлериме	<i>noun</i><br><ol><li>subscriber</li><li>phone service user</li></ol>
абур-сый|абур-сыйларын|абур-сыйыгъызда|абур-сыйынгъ|абур-сыйыгъыз|абур-сыйларыгъызда|абур-сыйларынгъда|абур-сыйымгъа|абур-сыйларыма|абур-сыйны|абур-сыйларына|абур-сыйыбызгъа|абур-сыйыгъыздан|абур-сыйларыбыз|абур-сыйларынгъа|абур-сыйын|абур-сыйларында|абур-сыйларыбызны|абур-сыйыгъызны|абур-сыйларда|абур-сыйыбызда|абур-сыйлагъа|абур-сыйы|абур-сыйынгъны|абур-сыйыбыз|абур-сыйларынгъны|абур-сыйдан|абур-сыйларыны|abur-sıy|абур-сыйларыгъыз|абур-сыйгъа|абур-сыйында|абур-сыйыбызны|абур-сыйларынгъдан|абур-сыйларымны|абур-сыйымда|абур-сыйынгъа|абур-сыйларыбыздан|абур-сыйларымда|абур-сыйыгъызгъа|абур-сыйланы|абур-сыйындан|абур-сыйынгъдан|абур-сыйларыбызгъа|абур-сыйына|абур-сыйынгъда|абур-сыйларыбызда|абур-сыйлар|абур-сыйларынгъ|абур-сыйларыгъызны|абур-сыйларыгъызгъа|абур-сыйларымдан|абур-сыйларындан|абур-сыйда|абур-сыйыны|абур-сыйыбыздан|абур-сыйымны|абур-сыйлардан|абур-сыйымдан|абур-сыйым|абур-сыйларым|абур-сыйлары	<i>noun</i><br><ol><li>respect</li></ol>
абурламакъ|aburlamaq	<i>verb</i><br><ol><li>to honor, to respect</li></ol>
абурлу|aburlu	<i>adj</i><br><ol><li>influential; enjoying honor, respect, authority</li></ol>
ав|авларда|гьавларыгъызгъа|авынгъда|гьавымны|гьавыны|авларыгъызгъа|гьавымдан|авыбыз|авы|авымдан|авыбыздан|гьавны|гьавларында|гьавынгъдан|гьавын|гьавларына|авларымны|авыбызны|гьавдан|гьавлар|авынгъ|авларымдан|авларын|гьавыбыздан|авларындан|авларынгъа|гьавларынгъдан|гьавыбыз|авын|гьавыбызгъа|гьавыгъыздан|гьавыгъызны|гьавындан|гьавым|гьавларындан|авларында|гьавгъа|гьавларынгъда|авдан|гьавларымдан|авланы|авынгъны|гьавларыбыз|авым|авгъа|авлары|гьавда|гьавларынгъа|гьавларыбызны|гьавланы|гьавларыгъыз|авларым|авыгъызны|гьавына|гьавлардан|авда|авыны|авымны|авларынгъдан|гьавынгъ|авларыны|гьавыбызны|гьавларыбыздан|гьавыбызда|гьавларыбызда|гьавларынгъны|авыгъыздан|авынгъа|авларыбыз|авыгъыз|авымда|гьавларыма|авларыбызгъа|авынгъдан|авыгъызда|гьавларымны|гьавынгъны|авларыгъыз|гьавларыгъызда|авындан|гьавларыны|haw|гьавлагъа|гьавларын|гьавы|авларыгъызны|гьавында|гьавымгъа|авларынгъда|гьавларым|aw|авларыгъызда|авларымда|авларыма|авларынгъны|авлардан|авыгъызгъа|авлагъа|авлар|авларыбызны|авына|гьавыгъыз|авларыбызда|гьавларыбызгъа|авларынгъ|авымгъа|гьавларда|гьавлары|гьавынгъда|гьавыгъызда|гьавларымда|авларына|гьавларынгъ|гьавыгъызгъа|гьавларыгъызны|авыбызгъа|гьавынгъа|авында|авларыбыздан|гьавымда|авыбызда|авны|гьав	<i>noun</i><br><ol><li>hunt, hunting</li></ol>
авар|awar	<i>adj</i><br><ol><li>Avar (by ethnicity)</li></ol>
аварлы|аварлылар|аварлыындан|аварлылардан|аварлыларынгъдан|аварлыыгъызгъа|аварлыларынгъны|аварлыларда|аварлыларынгъ|аварлыыгъыздан|аварлыларыбыз|аварлыынгъдан|аварлыларыгъызны|аварлыынгъа|аварлыларыма|аварлыыбызгъа|аварлыларым|аварлыда|аварлыым|аварлыларыгъыз|аварлыыны|аварлыларымдан|аварлыларыгъызда|аварлыымда|аварлыларыбызда|аварлыгъа|аварлылары|аварлыларымда|аварлыларын|аварлыыгъызны|аварлыларымны|аварлыымдан|аварлыынгъны|аварлыланы|аварлыыбызда|аварлыыбыз|аварлыыгъызда|аварлыларынгъда|аварлыын|аварлыларына|аварлыыбыздан|аварлыларыбызгъа|аварлыынгъ|аварлыынгъда|аварлыыгъыз|аварлыында|аварлыы|аварлыны|аварлыларында|аварлыларыбыздан|аварлыларыгъызгъа|аварлыымны|аварлыымгъа|аварлыларындан|аварлыдан|awarlı|аварлыыбызны|аварлыларыбызны|аварлыларыны|аварлыына|аварлыларынгъа|аварлылагъа	<i>noun</i><br><ol><li>Avar</li></ol>
