A|a	<i>character</i><br><ol><li>The first letter of the Lakota alphabet, written in the Latin script.</li></ol>
Amáyuštaŋ yo	<i>phrase</i><br><ol><li>Leave me alone! - Amáyuštaŋ yo (m>sg)</li><li>Leave me alone! - Amáyuštaŋ ye (f>sg)</li></ol>
Anáǧoptaŋ	<i>verb</i><br><ol><li>listen - Anáǧoptaŋ yo/ye/po/pe</li></ol>
Anáǧoptaŋ yo	<i>verb</i><br><ol><li>Anáǧoptaŋ yo/ye - Listen (sg)</li></ol>
Ayúštaŋ yo	<i>phrase</i><br><ol><li>Stop! - Ayúštaŋ yo (m>sg)</li></ol>
Aŋpétu Núŋpa	<i>noun</i><br><ol><li>Tuesday</li></ol>
Aŋpétu Tópa	<i>noun</i><br><ol><li>Thursday</li></ol>
Aŋpétu Tȟokáhe	<i>noun</i><br><ol><li>Monday</li></ol>
Aŋpétu Tȟokáheya	<i>noun</i><br><ol><li>Monday</li></ol>
Aŋpétu Wakȟáŋ	<i>noun</i><br><ol><li>Sunday</li></ol>
Aŋpétu Yámni	<i>noun</i><br><ol><li>Wednesday</li></ol>
Aŋpétu Záptaŋ	<i>noun</i><br><ol><li>Friday</li></ol>
Ečháŋni aníčisni kte ní!	<i>phrase</i><br><ol><li>Get well soon</li></ol>
Hanhepi wašté	<i>phrase</i><br><ol><li>Good night</li></ol>
Hé táku he?|Hé táku he	<i>phrase</i><br><ol><li>What is that?</li></ol>
Híŋhaŋni laȟči	<i>phrase</i><br><ol><li>Good morning(Morning greeting)</li></ol>
Híŋhaŋni wašté	<i>phrase</i><br><ol><li>Good morning(Morning greeting)</li></ol>
Híŋháŋni	<i>phrase</i><br><ol><li>good morning (morning greeting)</li></ol>
Húŋkpapȟa	<i>name</i><br><ol><li>the Hunkpapa, one of the seven Lakota tribes</li></ol>
Iníla yaŋká yo/ye|ye|Iníla yaŋká yo	<i>phrase</i><br><ol><li>Sit quietly,be quiet (sg)</li></ol>
Itázipčho	<i>name</i><br><ol><li>the Sans arc, one of the seven tribes of the Lakota.</li></ol>
Iyótaŋčhila	<i>phrase</i><br><ol><li>I love you</li></ol>
Khąğíwičháša	<i>name</i><br><ol><li>Crow</li></ol>
Lakȟóta	<i>name</i><br><ol><li>Lakota</li><li>Lakota language: Lakȟótiyapi is preferable to Lakȟóta to mean “Lakota language”</li></ol><br><i>adj</i><br><ol><li>Lakota</li></ol>
Lakȟóta iyá wóyaglaka he?|Lakȟóta iyá wóyaglaka he	<i>phrase</i><br><ol><li>Do you speak Lakȟóta?</li></ol>
Lakȟóta iyápi uŋmáspe šni	<i>phrase</i><br><ol><li>I don't speak Lakota</li></ol>
