ກມ|km	<i>noun</i><br><ol><li>km (kilometre, kilometer)</li></ol>
ກວາງ|ໂຕ|kuāng	<i>noun</i><br><ol><li>deer</li></ol>
ກວາດ|ການກວາດ|kuāt	<i>verb</i><br><ol><li>(transitive) to sweep.</li></ol>
ກວຽນ|kuīan	<i>noun</i><br><ol><li>cart, oxcart</li></ol>
ກວ່າ|kuā	<i>adv</i><br><ol><li>more</li><li>used after adjectives to form a comparative</li><li>over, above</li><li>left over, remaining</li></ol><br><i>conj</i><br><ol><li>until</li><li>before</li></ol>
ກວ້າງ|kuāng|ຄວາມກວ້າງ	<i>adj</i><br><ol><li>wide, spacious, expansive, vast</li></ol>
ກອງ|kǭng|ການກອງ	<i>noun</i><br><ol><li>heap; pile; stack; mound.</li><li>drum</li></ol><br><i>verb</i><br><ol><li>to pile up; to pile; to accumulate; to heap; to stack up.</li></ol>
ກອງທັບ|kǭng thap	<i>noun</i><br><ol><li>army</li></ol>
ກອງທັບບົກ|kǭng thap bok	<i>noun</i><br><ol><li>army, ground forces</li></ol>
ກອງທັບອາກາດ|kǭng thap ʼā kāt	<i>noun</i><br><ol><li>air force, airforce</li></ol>
ກອດ|ການກອດ|kǭt	<i>verb</i><br><ol><li>to embrace; to hug.</li></ol>
ກະດານ|ka dān	<i>noun</i><br><ol><li>board; wooden plank</li></ol>
ກະດິງ|ka ding	<i>noun</i><br><ol><li>bell</li></ol>
ກະດຸມ|ka dum	<i>noun</i><br><ol><li>button (on clothes)</li></ol>
ກະດູກ|ka dūk	<i>noun</i><br><ol><li>bone</li></ol>
ກະດູກສັນຫຼັງ|ka dūk san lang	<i>noun</i><br><ol><li>(anatomy) backbone, spine, vertebral column</li></ol>
ກະດ້າງ|ຄວາມກະດ້າງ|ka dāng	<i>adj</i><br><ol><li>rough; rigid; hard.</li></ol><br><i>noun</i><br><ol><li>edible mushroom.</li></ol>
ກະຕິກາ|ka ti kā	<i>noun</i><br><ol><li>agreement, pact</li><li>regulation, rule</li></ol>
ກະຕ່າຍ|ໂຕ|ka tāi	<i>noun</i><br><ol><li>rabbit; hare.</li><li>coconut grater.</li></ol>
ກະຕໍ້|nuāi|ໜ່ວຍ|ka tǭ	<i>noun</i><br><ol><li>sepak takraw, rattan ball, kick volleyball</li></ol>
ກະຖາ|ka thā	<i>noun</i><br><ol><li>treatise, elocution, words, story</li></ol>
ກະຖຸນ|ka thun	<i>noun</i><br><ol><li>slingshot</li></ol>
ກະທິ|ka thi	<i>noun</i><br><ol><li>coconut milk.</li></ol>
ກະທິງ	<i>noun</i><br><ol><li>wild ox, gaur</li></ol>
ກະທູ້|ka thū	<i>noun</i><br><ol><li>topic, theme</li></ol>
ກະທົບ|ka thop|ການກະທົບ	<i>verb</i><br><ol><li>to tap, to percuss</li><li>to hit, to strike, to clash, to collide</li><li>to affect, to have an impact (on)</li></ol>
ກະປິ|ka pi	<i>noun</i><br><ol><li>fermented shrimp paste used as a condiment</li></ol>
ກະປ່ອງ|ka pǭng	<i>noun</i><br><ol><li>can, tin can</li></ol>
ກະລາມ|ka lām	<i>noun</i><br><ol><li>gram</li></ol>
ກະລາສີ|ka lā sī	<i>noun</i><br><ol><li>sailor, seaman.</li></ol>
ກະລາເປົ໋າ|ka lā pao	<i>noun</i><br><ol><li>baozi</li></ol>
ກະລຸນາ|ka lu nā	<i>adv</i><br><ol><li>please</li></ol>
ກະລ່ຳປີ|ka lam pī	<i>noun</i><br><ol><li>cabbage</li></ol>
ກະສິກຳ|ka si kam	<i>noun</i><br><ol><li>agriculture</li></ol>
ກະເກນ|ການກະເກນ|ka kēn	<i>verb</i><br><ol><li>to raise (funds)</li><li>to force someone</li></ol>
ກະເດືອນ|ka dư̄an	<i>noun</i><br><ol><li>earthworm.</li></ol>
ກະເທີຍ|khon|ຄົນ|ka thœ̄i	<i>noun</i><br><ol><li>ladyboy, kathoey</li></ol>
ກະເບື້ອ|ka bư̄a	<i>noun</i><br><ol><li>moth</li></ol>
ກະເປົາ|ka pao	<i>noun</i><br><ol><li>bag, luggage, pocket, wallet</li></ol>
ກະເປົາເງິນ|ka pao ngœn	<i>noun</i><br><ol><li>wallet</li></ol>
ກະເພາະ|ka phǫ	<i>noun</i><br><ol><li>(anatomy) stomach</li></ol>
ກະເລັກ|ka lek	<i>name</i><br><ol><li>Greece (a country in Southeast Europe)</li></ol>
ກະເສດ|ka sēt	<i>noun</i><br><ol><li>farmland, fields, land, territory</li></ol>
ກະແຈ|ka chǣ	<i>noun</i><br><ol><li>key; lock, padlock</li></ol>
ກະແຈມື|ka chǣ mư̄	<i>noun</i><br><ol><li>handcuff</li></ol>
ກະແລມ|ka lǣm	<i>noun</i><br><ol><li>ice cream.</li></ol>
ກະແລັມ|ka læm	<i>noun</i><br><ol><li>ice cream.</li></ol>
ກະໂຫຼກ|ka lō ka|ກະໂຫລກ|ka lōk	<i>noun</i><br><ol><li>skull</li></ol>
ກັງວານ|kang wān	<i>noun</i><br><ol><li>resonance, sonority, echo</li></ol>
ກັນຍາ|kan nyā	<i>name</i><br><ol><li>(astrology, astronomy) Virgo.</li><li>(ເດືອນ~) September.</li></ol><br><i>noun</i><br><ol><li>(literary) beautiful girl; virgin.</li></ol>
ກັບຂີດ|kap khīt	<i>noun</i><br><ol><li>matches (device to make fire)</li></ol>
ກັບຄືນ|ການກັບຄືນ|kap khư̄n	<i>verb</i><br><ol><li>to return (go back)</li></ol>
ກັບພາສີ|kap phā sī	<i>verb</i><br><ol><li>to tax</li></ol>
ກັບໄຟ|kap fai	<i>noun</i><br><ol><li>match</li></ol>
ກາ|kā|ໂຕ	<i>noun</i><br><ol><li>crow</li></ol>
ກາກ|kāk	<i>noun</i><br><ol><li>garbage; rubbish; trash</li><li>chaff; husk</li><li>ringworm</li></ol>
