A|a	<i>character</i><br><ol><li>The first letter of the Latgalian alphabet, written in the Latin script.</li></ol>
Boltkrīveja	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Horvateja	<i>name</i><br><ol><li>Croatia</li></ol>
Irans	<i>name</i><br><ol><li>Iran</li></ol>
Jezus|Jezu|Jezam|Jezū|Jeza|Jezā|Jezum	<i>name</i><br><ol><li>Jesus</li></ol>
Kopenhaga	<i>name</i><br><ol><li>Copenhagen (the capital city of Denmark)</li></ol>
Krīveja	<i>name</i><br><ol><li>Russia</li></ol>
Kuba	<i>name</i><br><ol><li>Cuba (an island and country in the Caribbean)</li></ol>
Latgaļu	<i>name</i><br><ol><li>Latgalian (a language)</li></ol>
Latgola|Latgolys|Latgol|Latgolu|Latgolai|Latgolas|Latgolā	<i>name</i><br><ol><li>Latgale (a regional in Latvia)</li></ol>
Londons	<i>name</i><br><ol><li>London (the capital city of the United Kingdom; capital city of England)</li></ol>
Lītova	<i>name</i><br><ol><li>Lithuania</li></ol>
Monaks	<i>name</i><br><ol><li>Monaco</li></ol>
Reiga	<i>name</i><br><ol><li>Riga</li></ol>
a	<i>conj</i><br><ol><li>and, but</li></ol>
aba	<i>conj</i><br><ol><li>alias, AKA, or</li></ol>
acs|ačuos|acteņā|acteņai|acteņuos|acim|ačom|actenem|acis|ocu|acī|acteņas|acīs|acteņom|aci|actenis|acteņ|acteni|actenē|acteņa|actenēs|acei|acteņu|actenī	<i>noun</i><br><ol><li>eye</li></ol>
acteņa|actenē|acteņai|actenēs|acteņuos|acteņas|acteņom|actenem|actenis|acteņu|acteņā|acteņ|acteni|actenī	<i>noun</i><br><ol><li>bud (on a potato)</li></ol>
aforizms|aforizmi|aforizmūs|aforizm|aforizmam|aforizmus|aforizmim|aforizma|aforizmu|aforizmā	<i>noun</i><br><ol><li>aphorism</li></ol>
airis	<i>noun</i><br><ol><li>swing (swing seat)</li></ol>
akmiņs|akmiņus|akmiņā|akmini|akmiņam|akmiņu|akmiņ|akminī|akmiņa|akminim|akmiņūs	<i>noun</i><br><ol><li>stone</li></ol>
apdūmeigs|apdūmeigus|apdūmeigai|apdūmeigu|apdūmeigajai|apdūmeigīs|apdūmeiguos|apdūmeigajom|apdūmeigim|apdūmeigī|apdūmeigūs|apdūmeigys|apdūmeigajam|apdūmeigais|apdūmeigom|apdūmeigajim|apdūmeigā|apdūmeigajā|apdūmeigam|apdūmeiguo|apdūmeigas|apdūmeiga|apdūmeigajūs|apdūmeigi|apdūmeigū|apdūmeigajuos	<i>adj</i><br><ol><li>careful</li></ol>
ar	<i>prep</i><br><ol><li>with</li></ol>
ass|aseišom|aseitem|asūts|aseišu|aseitis|ašuos|asīs|aseišuos|aseitī|asis|asim|ošu|aseiti|ašom|aseit|asei|asi|aseitei|aseitē|aseitēs|aseite|asūte|aseites|asī	<i>noun</i><br><ol><li>axle</li></ol>
audzieknis|audziekņus|audziekņa|audziekņu|audziekņam|audzieknī|audziekņūs|audzieknim|audziekni	<i>noun</i><br><ol><li>pupil</li></ol>
auka	<i>noun</i><br><ol><li>storm</li></ol>
baba|babeņa|babeņā|babeņuos|babenis|babenēs|babas|babeņas|babeņu|babeņai|babom|babeņom|babeņ|babeni|babys|babenem|babenē|bab|babā|babenī|babu|babai|babuos	<i>noun</i><br><ol><li>grandmother</li></ol>
bet	<i>conj</i><br><ol><li>but</li></ol>
bez	<i>prep</i><br><ol><li>without</li><li>(when telling time) to</li></ol>
beņčs	<i>noun</i><br><ol><li>bench</li></ol>
bolts	<i>adj</i><br><ol><li>white</li></ol>
bolūds|bolūžus|bolūža|bolūžu|bolūdī|bolūd|bolūžim|bolūdi|bolūžam|bolūži|bolūžūs	<i>noun</i><br><ol><li>pigeon, dove</li></ol>
broilers|broileram|broilera|broilerus|broilerā|broilerim|broiler|broileri|broileru|broilerūs	<i>noun</i><br><ol><li>broiler</li></ol>
bruoļs|bruolim|bruoleit|bruoleišūs|bruoleišu|bruoleiša|bruoleišim|bruoļu|bruoļa|bruoleišus|bruoleitī|bruoleišam|bruoļā|bruoļūs|bruoļam|bruoleits|bruoleiši|bruoli|bruolī|bruoļus|bruoļ|bruoleiti	<i>noun</i><br><ol><li>brother</li></ol>
buoba|buobeņas|buobenem|buobom|buobys|buobu|buobenī|buobeni|buobeņ|buob|buobeņai|buobeņom|buobuos|buobenē|buobenēs|buobenis|buobeņuos|buobai|buobas|buobeņā|buobeņa|buobeņu|buobā	<i>noun</i><br><ol><li>(colloquial) wife</li></ol>
bučīņs	<i>noun</i><br><ol><li>kiss</li></ol>
buļbe	<i>noun</i><br><ol><li>potato</li></ol>
byut|asu|nabyuts|beju|naesit|naejit|asūts|navā|naesi|nabeji|nav|byusit|naasūt|byudams|esi|byušona|nabyutu|nabyutum|naasat|byusim|esit|ass|naasmu|asmu|beji|nabyušūt|asam|byušu|nabejom|najuobyut|ir|byutu|nabyusim|juobyut|byutim|bejom|nabejot|ejit|nabyusi|irā|byutum|nabyudams|nabyusit|nabyuškys|asams|asūšs|nabyut|nabejs|naasams|nabyutim|byušūt|byutumem|byutumet|byusi|bejot|naasu|nabyušona|nabyušu|nabeja|nabyus|asūt|byuškis|byuts|nabeju|naasam|nabyutumem|nabyutumet|naass|naasūšs|asūte|bejs|byus|beja|asat	<i>verb</i><br><ol><li>(copulative) to be</li></ol>
bārns|bārnim|bierneņ|bārnu|bārn|bierneņā|bierneņūs|bierneņš|bārnam|bārni|bierneņa|bierneni|bierneņam|bārnus|bārna|bierneņus|bierneņu|biernenim|bārnā|biernenī|bārnūs	<i>noun</i><br><ol><li>child</li></ol>
bēris	<i>noun</i><br><ol><li>funeral</li></ol>
calms	<i>noun</i><br><ol><li>stump</li></ol>
catūrts|catūrtajai|catūrtom|catūrtu|catūrtim|catūrtīs|catūrtais|catūrta|catūrtā|catūrtajā|catūrti|catūrtajim|catūrtajūs|catūrtī|catūrtūs|catūrtajuos|catūrtuos|catūrtas|catūrtus|catūrtai|catūrtajom|catūrtū|catūrtys|catūrtuo|catūrtam|catūrtajam	<i>adj</i><br><ol><li>fourth</li></ol>
ceuka|ceukai|ceukom|ceukys|ceukuos|ceukā|ceukas|ceuk|ceuku	<i>noun</i><br><ol><li>(dialectal) Alternative form of cyuka</li></ol>
ceļt|nacalam|calūt|ceļšu|ceļsi|ceļsim|calat|calts|naceļšona|naceļs|nacaltumet|caldams|caltum|ceļsit|nacaltum|juocal|nacaldams|ceļs|naceļi|naceļtim|nacalu|ceļ|naceļu|naceļt|naceļsi|naceļsit|nacals|nacalūt|ceļet|ceļkis|nacalams|naceļe|naceļem|caltumet|calams|nacalūšs|caltu|nacalts|ceļem|naceļsim|naceļ|cal|ceļšona|nacaltu|ceļu|najuocal|naceļšu|nacalat|ceļe|calu|ceļi|calam|nacal|cals|ceļit|naceļet|naceļit|calūšs|naceļkis|nacaltumem|ceļtim|caltumem	<i>verb</i><br><ol><li>(intransitive) to lift, raise</li></ol>
ceļš|celeņūs|ceļā|celeņā|ceļam|ceļus|ceļa|celeņš|celim|celeņa|celī|ceļ|celenim|ceļūs|celeņ|ceļu|celeni|celi|celeņam|celeņu|celenī|celeņus	<i>noun</i><br><ol><li>road, way</li></ol>
cik	<i>adv</i><br><ol><li>how</li></ol>
cjoce|cjoceitei|cjocēs|cjočuos|cjoceitēs|cjocī|cjoc|cjoceitī|cjoceites|cjoceiti|cjoceišuos|cjoceite|cjoceitis|cjocis|cjocē|cjocei|cjoces|cjoceišom|cjoci|cjočom|cjoceišu|cjoceitē|cjoceit|cjoceitem|cjocem|cjoču	<i>noun</i><br><ol><li>aunt</li></ol>
cylvāks|cylvākam|cylvāk|cylvāka|cylvāku|cylvāki|cylvākim|cylvākūs|cylvākus|cylvākā	<i>noun</i><br><ol><li>human</li></ol>
cyuka|cyukys|cyukas|cyukai|cyukom|cyukā|cyukuos|cyuk|cyuku	<i>noun</i><br><ol><li>pig (Sus scrofa)</li></ol>
cīmeņš|cīmeņus|cīmeņš|cīmeni|cīmeņā|cīmeņam|cīmeņ|cīmenī|cīmenim|cīmeņa|cīmeņūs|cīmeņu	<i>noun</i><br><ol><li>guest</li></ol>
cīms|cīmeņus|cīmī|cīmim|cīmu|cīmeņūs|cīmi|cīmenī|cīmenim|cīmeņa|cīmeņu|cīmūs|cīmus|cīmeni|cīma|cīm|cīmam|cīmeņš|cīmeņā|cīmeņam|cīmeņ	<i>noun</i><br><ol><li>village</li></ol>
