Abazuri	<i>noun</i><br><ol><li>Abkhaz language</li></ol>
Afriǩa	<i>noun</i><br><ol><li>Africa</li></ol>
Alamani	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Ameriǩa	<i>noun</i><br><ol><li>America</li></ol>
Ameriǩanuri	<i>noun</i><br><ol><li>American</li></ol>
Araaf ndğa	<i>name</i><br><ol><li>Eve</li></ol>
Arap̌i	<i>noun</i><br><ol><li>Arab</li></ol>
Arap̌istani	<i>noun</i><br><ol><li>Arabia</li></ol>
Arap̌uri	<i>noun</i><br><ol><li>Arabic</li></ol>
Arkabi	<i>noun</i><br><ol><li>Arhavi (a Laz town in Turkey)</li></ol>
Arkaburi	<i>noun</i><br><ol><li>of/from Arkabi</li></ol>
Atinuri	<i>noun</i><br><ol><li>of/from Atina</li></ol>
Avropa	<i>name</i><br><ol><li>Europe (a continent)</li></ol>
Boçxa	
Boçxuri	
Cumurbaşǩani	<i>noun</i><br><ol><li>president of the state</li></ol>
Dadalibu	<i>noun</i><br><ol><li>poppy</li></ol>
Kortuli	<i>noun</i><br><ol><li>The Georgian language.</li></ol><br><i>adj</i><br><ol><li>(of inanimate objects) Of, from, or pertaining to the country of Georgia or its culture and traditions; Georgian.</li></ol>
Kortuli nena	<i>noun</i><br><ol><li>Georgian language</li></ol>
Korturi	<i>noun</i><br><ol><li>The Georgian language.</li></ol><br><i>adj</i><br><ol><li>(of inanimate objects) Of, from, or pertaining to the country of Georgia or its culture and traditions; Georgian.</li></ol>
Korturi nena	<i>noun</i><br><ol><li>Georgian language</li></ol>
Lazuri	<i>noun</i><br><ol><li>The Laz language.</li></ol><br><i>adj</i><br><ol><li>(of inanimate objects) Of, from, or pertaining to Lazistan (also known as Lazona or Lazeti), Laz people and their culture.</li></ol>
Lazuri nena	<i>noun</i><br><ol><li>The Laz language.</li></ol>
Turkia	<i>name</i><br><ol><li>Turkey</li></ol>
a	<i>character</i><br><ol><li>The first letter of the Laz alphabet, written in the Latin script.</li></ol>
abuǩaťi	<i>noun</i><br><ol><li>lawyer</li></ol>
acanli	<i>noun</i><br><ol><li>avaricious</li><li>avid, greedy</li></ol>
adai	<i>noun</i><br><ol><li>candidate, nominee</li></ol>
adaleťi	<i>noun</i><br><ol><li>justice</li></ol>
adeťi	<i>noun</i><br><ol><li>custom, habit.</li></ol>
adresi	<i>noun</i><br><ol><li>address</li></ol>
afieťi	<i>noun</i><br><ol><li>health, appetite</li></ol>
ajlia	<i>noun</i><br><ol><li>dragon</li></ol>
aktori	<i>noun</i><br><ol><li>actor/actress</li></ol>
ala vala	<i>noun</i><br><ol><li>bathed in sunlight (weather)</li></ol>
alakarga	<i>noun</i><br><ol><li>European roller (bird)</li></ol>
alboni	<i>noun</i><br><ol><li>alphabet</li></ol>
aletriǩi	<i>noun</i><br><ol><li>electricity</li></ol>
aleťi	<i>noun</i><br><ol><li>tool</li></ol>
alimorci	<i>noun</i><br><ol><li>crocus</li></ol>
alimse	<i>noun</i><br><ol><li>niece/nephew</li></ol>
alkoli	<i>noun</i><br><ol><li>alcohol</li></ol>
alla	<i>noun</i><br><ol><li>God</li></ol>
ambai	<i>noun</i><br><ol><li>news</li></ol>
ameliyaťi	<i>noun</i><br><ol><li>operation</li></ol>
amolva	<i>noun</i><br><ol><li>entrance; introduction</li><li>to enter; to join; to fit (into)</li></ol>
ampuli	<i>noun</i><br><ol><li>bulb</li></ol>
amʒika	<i>noun</i><br><ol><li>a little, some</li></ol>
amʒiǩa	<i>noun</i><br><ol><li>little</li></ol>
ananǩeni	<i>noun</i><br><ol><li>main responsibility</li></ol>
anaşiťi	<i>noun</i><br><ol><li>anarchist</li></ol>
ancaği	<i>noun</i><br><ol><li>however</li></ol>
andaseni	<i>noun</i><br><ol><li>whereas</li></ol>
anderi	<i>noun</i><br><ol><li>the objects left after by a dead person</li></ol>
angi	<i>noun</i><br><ol><li>container, crock</li></ol>
ankeťi	<i>noun</i><br><ol><li>survey</li></ol>
anoste	<i>noun</i><br><ol><li>tasteless</li></ol>
anteri	<i>noun</i><br><ol><li>jumper</li></ol>
anťama	<i>noun</i><br><ol><li>peach</li></ol>
anťeni	<i>noun</i><br><ol><li>antenna</li></ol>
anǩe	<i>noun</i><br><ol><li>kestrel</li></ol>
anǩesi	<i>noun</i><br><ol><li>fish hook</li></ol>
anǩra	
anǯala	<i>noun</i><br><ol><li>against convenances</li><li>caddish</li><li>slang</li></ol>
apartumani	<i>noun</i><br><ol><li>apartment building, block of flats</li></ol>
apiçora	<i>adv</i><br><ol><li>in one breath</li></ol>
apiçoras	<i>adv</i><br><ol><li>instantly</li><li>quickly</li></ol>
ap̌oťe	<i>noun</i><br><ol><li>when the day comes, when the time comes</li></ol>
ap̌rili	<i>noun</i><br><ol><li>April</li></ol>
ar mitxa	<i>noun</i><br><ol><li>somebody</li></ol>
ar mutxa	<i>noun</i><br><ol><li>something</li></ol>
ar p̌oťeşe ar	<i>noun</i><br><ol><li>rare</li><li>rarely</li></ol>
aranża	<i>noun</i><br><ol><li>orange (colour)</li></ol>
aranżi	<i>noun</i><br><ol><li>citrus</li></ol>
arcoxoni	<i>noun</i><br><ol><li>namesake</li></ol>
argi bargi	<i>noun</i><br><ol><li>upside down</li></ol>
ariza	<i>noun</i><br><ol><li>trouble</li></ol>
artisi	<i>noun</i><br><ol><li>artist</li></ol>
artiǩati	<i>noun</i><br><ol><li>each other</li></ol>
artoba	<i>noun</i><br><ol><li>unity, union</li></ol>
arʒo	<i>noun</i><br><ol><li>one of</li></ol>
asansori	<i>noun</i><br><ol><li>elevator, lift</li></ol>
asfalťi	<i>noun</i><br><ol><li>pavement</li></ol>
asiťi	<i>noun</i><br><ol><li>acid</li></ol>
aslani	<i>noun</i><br><ol><li>lion</li></ol>
astaxolo	<i>noun</i><br><ol><li>right away, straight away</li><li>suddenly, immediately</li></ol>
astenyari	<i>noun</i><br><ol><li>bedridden</li></ol>
asǩeri	<i>noun</i><br><ol><li>soldier</li></ol>
asǩerona	<i>noun</i><br><ol><li>military service</li></ol>
atxe	
avara doskudu	<i>noun</i><br><ol><li>to be a vagrant</li></ol>
avci	<i>noun</i><br><ol><li>hunter</li></ol>
avi	<i>noun</i><br><ol><li>hunting</li></ol>
aviťe	<i>noun</i><br><ol><li>daystar</li><li>Venus</li></ol>
avla	<i>noun</i><br><ol><li>courtyard</li></ol>
axişeli	<i>noun</i><br><ol><li>to worry, to be concerned with something</li></ol>
ayazi	<i>adj</i><br><ol><li>frosty</li></ol>
azmarida	<i>noun</i><br><ol><li>sea bream</li></ol>
ağuli mťa	<i>noun</i><br><ol><li>a poisonous plant</li></ol>
ağustozi	<i>noun</i><br><ol><li>August.</li></ol>
aşi	<i>num</i><br><ol><li>six</li></ol><br><i>noun</i><br><ol><li>vaccine</li></ol>
aşo	<i>noun</i><br><ol><li>so, thus; such</li></ol>
aťleťi	<i>noun</i><br><ol><li>athlete</li></ol>
aťǩi	<i>noun</i><br><ol><li>weft</li></ol>
aťǩozi	<i>noun</i><br><ol><li>slope</li><li>inclination</li></ol>
aǩop̌uri	<i>noun</i><br><ol><li>childless</li></ol>
aǩra	<i>noun</i><br><ol><li>edge</li><li>shore, side, outskirts</li></ol>
aǩrep̌i	<i>noun</i><br><ol><li>scorpion</li></ol>
aǯup̌eťi	<i>adj</i><br><ol><li>hard-working</li></ol>
babaoʒxe	<i>noun</i><br><ol><li>paternity; old man</li><li>stepfather</li></ol>
baboni	<i>noun</i><br><ol><li>having a father</li></ol>
babuza	<i>noun</i><br><ol><li>handful</li></ol>
bajgi	<i>noun</i><br><ol><li>V-shaped object</li></ol>
bakani	<i>noun</i><br><ol><li>minister</li></ol>
bakanluği	<i>noun</i><br><ol><li>ministry</li></ol>
balucaği	<i>noun</i><br><ol><li>tomato</li></ol>
bambaǩi	<i>noun</i><br><ol><li>cotton</li></ol>
barbali	<i>noun</i><br><ol><li>wheel</li></ol>
bardaxana	<i>noun</i><br><ol><li>brothel</li></ol>
bardaği	<i>noun</i><br><ol><li>glass, cup</li></ol>
barťa	<i>noun</i><br><ol><li>presumably</li></ol>
basiťi	<i>noun</i><br><ol><li>basic</li></ol>
batmani	<i>noun</i><br><ol><li>large cube</li></ol>
bayami	<i>noun</i><br><ol><li>festivity (holy or national celebrations)</li></ol>
bayraği	<i>noun</i><br><ol><li>flag</li></ol>
baçxuri	<i>noun</i><br><ol><li>silver</li></ol>
baç̌ǩa	<i>noun</i><br><ol><li>packet, package</li></ol>
bağu	<i>noun</i><br><ol><li>cellar, foodstore</li><li>warehouse</li></ol>
bağuli	<i>noun</i><br><ol><li>suitcase</li></ol>
bağulya	<i>noun</i><br><ol><li>sparrow</li></ol>
başbakani	<i>noun</i><br><ol><li>prime minister</li></ol>
baǩi	<i>noun</i><br><ol><li>barn, cowshed</li></ol>
baǩlava	<i>noun</i><br><ol><li>baklava (dessert)</li></ol>
beani	<i>noun</i><br><ol><li>claim, declaration, statement</li></ol>
beciťi	<i>noun</i><br><ol><li>important, significant</li></ol>
beciťoba	<i>noun</i><br><ol><li>importance</li></ol>
bedarva	<i>noun</i><br><ol><li>shingle</li></ol>
bekyari	<i>noun</i><br><ol><li>single, bachelor</li></ol>
beleťi	<i>noun</i><br><ol><li>ticket</li></ol>
bencela	<i>noun</i><br><ol><li>not sharp (object)</li></ol>
benzini	<i>noun</i><br><ol><li>petrol; gas</li></ol>
bereburi	<i>noun</i><br><ol><li>childish</li></ol>
beroba	<i>noun</i><br><ol><li>childhood</li></ol>
berǯeuli	<i>noun</i><br><ol><li>pomegranate</li></ol>
beťi	<i>noun</i><br><ol><li>ugly</li></ol>
bgara	<i>noun</i><br><ol><li>bereavement</li><li>commemoration</li><li>cry, crying, to lament</li><li>mourning</li></ol>
bgareri	
bgarineri	<i>noun</i><br><ol><li>tearful, weepy</li></ol>
bileťç̌i	<i>noun</i><br><ol><li>ticket collector</li></ol>
bilgisayari	<i>noun</i><br><ol><li>computer</li></ol>
bilyanťi	<i>noun</i><br><ol><li>diamond</li></ol>
binexi	<i>noun</i><br><ol><li>grapevine tree</li></ol>
birapa	<i>noun</i><br><ol><li>song</li></ol>
biç̌i	<i>noun</i><br><ol><li>boy</li><li>young man</li></ol>
biǩiç̌i	<i>noun</i><br><ol><li>elbow</li></ol>
bobolalimsa	<i>noun</i><br><ol><li>spider web</li></ol>
boboç̌a	<i>noun</i><br><ol><li>cockroach</li></ol>
boduci	<i>noun</i><br><ol><li>jerrycan</li></ol>
bogina	<i>noun</i><br><ol><li>beehive</li></ol>
borci	<i>noun</i><br><ol><li>debt, loan</li></ol>
borci uğun	<i>noun</i><br><ol><li>debtor</li></ol>
bozobiç̌i	<i>noun</i><br><ol><li>pansy</li></ol>
boçi	<i>noun</i><br><ol><li>goat</li><li>ram</li></ol>
boğaǩisťi	<i>noun</i><br><ol><li>silver necklace</li></ol>
boşi	<i>noun</i><br><ol><li>empty, free</li></ol>
boťi	<i>noun</i><br><ol><li>mould</li></ol>
boťliǩa	<i>noun</i><br><ol><li>bottle</li></ol>
brinci	<i>noun</i><br><ol><li>rice</li></ol>
buksi	<i>noun</i><br><ol><li>bump</li></ol>
buluza	<i>noun</i><br><ol><li>blouse</li></ol>
bulvari	<i>noun</i><br><ol><li>boulevard</li></ol>
bunduri	<i>noun</i><br><ol><li>lazy</li></ol>
bundğa	<i>noun</i><br><ol><li>pinion</li></ol>
burbu	<i>noun</i><br><ol><li>bat</li></ol>
bureği	
burguli	<i>noun</i><br><ol><li>knee</li></ol>
buťǩa	<i>noun</i><br><ol><li>page</li><li>tree leaf</li></ol>
bużgi	<i>noun</i><br><ol><li>hedgehog</li></ol>
bużi	<i>noun</i><br><ol><li>nipple, teat</li></ol>
buʒxa	<i>noun</i><br><ol><li>finger nail, toenail;</li></ol>
bğeri	<i>noun</i><br><ol><li>shaved</li></ol>
cazi parpali	<i>noun</i><br><ol><li>giant peacock moth</li></ol>
cebişi ťilifoni	<i>noun</i><br><ol><li>mobile phone</li></ol>
cedginu	<i>noun</i><br><ol><li>craving to</li></ol>
ceenemi	<i>noun</i><br><ol><li>hell</li></ol>
cegoru	<i>noun</i><br><ol><li>to visit</li></ol>
cemǩusu	<i>noun</i><br><ol><li>to crouch down</li></ol>
cenneťi	<i>noun</i><br><ol><li>heaven, paradise</li></ol>
cençaneri	<i>noun</i><br><ol><li>epaulette</li></ol>
ceraxi	<i>noun</i><br><ol><li>operator (doctor)</li></ol>
cesareťi	<i>noun</i><br><ol><li>courage</li></ol>
cesuri	<i>noun</i><br><ol><li>brave</li></ol>
cetasule	<i>noun</i><br><ol><li>seedbed</li></ol>
ceyonu	<i>noun</i><br><ol><li>to vaccinate, to fertilize</li></ol>
ceza meçamu	<i>noun</i><br><ol><li>to punish</li></ol>
cicili	<i>noun</i><br><ol><li>palate</li></ol>
cildi	<i>noun</i><br><ol><li>volume, binder (book)</li></ol>
cileťi	<i>noun</i><br><ol><li>razor blade</li></ol>
cinaze	<i>noun</i><br><ol><li>funeral</li></ol>
cinişi	<i>noun</i><br><ol><li>hump</li></ol>
circili	<i>noun</i><br><ol><li>gum</li></ol>
ciyaxi	<i>noun</i><br><ol><li>circumciser</li></ol>
ciťťi	<i>noun</i><br><ol><li>serious</li></ol>
coxoni	<i>noun</i><br><ol><li>named</li></ol>
coxons	<i>noun</i><br><ol><li>to have the name of</li></ol>
coğap̌i	<i>noun</i><br><ol><li>answer, reply</li></ol>
coğorimja	<i>noun</i><br><ol><li>spurge</li></ol>
cumadi	<i>noun</i><br><ol><li>uncle</li></ol>
cumaloba	<i>noun</i><br><ol><li>peace</li></ol>
cumaçxa	<i>noun</i><br><ol><li>Wednesday</li></ol>
cumle	<i>noun</i><br><ol><li>sentence</li></ol>
cumuriyeťi	<i>noun</i><br><ol><li>republic</li></ol>
cuğap̌i	<i>noun</i><br><ol><li>response, answer</li></ol>
cğaťa	<i>noun</i><br><ol><li>blue</li></ol>
dabali	<i>noun</i><br><ol><li>low</li></ol>
daduli	<i>noun</i><br><ol><li>female</li></ol>
damangaperi	<i>noun</i><br><ol><li>milk sister</li></ol>
damari	<i>noun</i><br><ol><li>vein</li></ol>
damtire	<i>noun</i><br><ol><li>mother-in-law</li></ol>
dandageri	<i>noun</i><br><ol><li>Chelidonium</li></ol>
dandara	<i>noun</i><br><ol><li>fire</li></ol>
danżi	<i>noun</i><br><ol><li>prick spine, thorn</li></ol>
danżona	<i>noun</i><br><ol><li>land with full of thorns</li></ol>
daçxuri	<i>noun</i><br><ol><li>fire</li></ol>
delpina	<i>noun</i><br><ol><li>dolphin</li></ol>
derdi	<i>noun</i><br><ol><li>sorrow, worry, complaint</li></ol>
derdi oyapu	<i>noun</i><br><ol><li>to do</li></ol>
derdiyari	<i>noun</i><br><ol><li>somebody with sorrow, worry, complaint</li></ol>
derini	<i>noun</i><br><ol><li>deep</li></ol>
destani	<i>noun</i><br><ol><li>epic poem, song</li></ol>
devleťi	<i>noun</i><br><ol><li>state</li></ol>
dgin	<i>noun</i><br><ol><li>to fire</li></ol>
didinana	<i>noun</i><br><ol><li>grandmother</li></ol>
didoci	<i>noun</i><br><ol><li>relatively big</li><li>sizeable</li></ol>
dindari	<i>noun</i><br><ol><li>religious</li></ol>
dinsuzi	<i>noun</i><br><ol><li>irreligious</li></ol>
dirǩu	<i>noun</i><br><ol><li>kidney</li></ol>
dixamakvali	<i>noun</i><br><ol><li>potato</li></ol>
dizaini	<i>noun</i><br><ol><li>design</li></ol>
diçirs	<i>noun</i><br><ol><li>necessary; need</li></ol>
diç̌irs	<i>noun</i><br><ol><li>necessary</li><li>necessity, need</li><li>to be necessary, to be required</li><li>to become necessary</li></ol>
dişka	<i>noun</i><br><ol><li>firewood</li></ol>
diǩa	<i>noun</i><br><ol><li>wheat</li></ol>
diʒxiri	<i>noun</i><br><ol><li>blood</li></ol>
dobadona	<i>noun</i><br><ol><li>country, land</li><li>homeland</li><li>native country</li></ol>
dobadonari	<i>noun</i><br><ol><li>citizen, compatriot</li></ol>
dobadu	<i>noun</i><br><ol><li>birth</li><li>to be born</li></ol>
dobalu	<i>noun</i><br><ol><li>to drain</li><li>to flow, to leak</li></ol>
dobargu	<i>noun</i><br><ol><li>to accommodate</li></ol>
dobazginapu	<i>noun</i><br><ol><li>to step down (to the floor)</li></ol>
dobağine	<i>noun</i><br><ol><li>enough</li></ol>
dobğalu	<i>noun</i><br><ol><li>to spill, pour out (of solids)</li><li>to be spilled out (of solids)</li><li>to be spilled out (of liquids)</li></ol>
docinu	<i>noun</i><br><ol><li>to lie down flat</li><li>to put into bed</li></ol>
dodgitinu	<i>noun</i><br><ol><li>to call off, to stop</li></ol>
dodgitu	<i>noun</i><br><ol><li>to stop, to stand</li><li>to stop, to stand (somewhere)</li></ol>
dodvalu	<i>noun</i><br><ol><li>to put, to place (on the floor)</li></ol>
dogneği	<i>noun</i><br><ol><li>space, area</li></ol>
dogunżura	<i>noun</i><br><ol><li>longish</li></ol>
dogurale	<i>noun</i><br><ol><li>teacher</li></ol>
dogurapa	<i>noun</i><br><ol><li>experience</li><li>instruction; education</li></ol>
dogurcolu	<i>noun</i><br><ol><li>to rub (the floors)</li></ol>
doguroni	<i>noun</i><br><ol><li>school</li></ol>
