'n|'n'|'na	<i>article</i><br><ol><li>a, an (male)</li></ol>
'n'	<i>article</i><br><ol><li>a, an (female)</li></ol>
'na|'n'|'n	<i>article</i><br><ol><li>a, an (female)</li></ol>
'nsce	<i>abbrev</i><br><ol><li>Apheretic, contracted form of in sce</li></ol>
'nsciâ	<i>abbrev</i><br><ol><li>Apheretic, contracted form of in sciâ</li></ol>
'nsciô	<i>abbrev</i><br><ol><li>Apheretic, contracted form of in sciô</li></ol>
'nscê	<i>abbrev</i><br><ol><li>Apheretic, contracted form of in scê</li></ol>
'nscî	<i>abbrev</i><br><ol><li>Apheretic, contracted form of in scî</li></ol>
América	<i>name</i><br><ol><li>The United States of America.</li><li>America (the Americas)</li></ol>
Confeugo	<i>name</i><br><ol><li>A traditional Genoese event, occurring in the last Sunday before Christmas, in which the abbot and the political leaders of Genoa exchange greetings, and laurel logs and branches are burned in a public bonfire.</li></ol>
Crìsto	<i>name</i><br><ol><li>The anointed one or messiah predicted in the Hebrew Bible.</li><li>(Christianity) A title given to Jesus of Nazareth, seen as the fulfiller of the messianic prophecy; often treated as a personal name.</li></ol>
Danemarca	<i>name</i><br><ol><li>Denmark (a country in Western Europe)</li></ol>
Dîo	<i>name</i><br><ol><li>(religion, Christianity) God</li></ol>
Eoröpa	<i>name</i><br><ol><li>Europe</li></ol>
Gexù	<i>name</i><br><ol><li>Jesus (Jesus of Nazareth, messiah of Christianity)</li></ol>
Gexù Crìsto	<i>name</i><br><ol><li>(Christianity) Jesus Christ</li></ol>
Isoe Farœ	<i>name</i><br><ol><li>Faroe Islands</li></ol>
Mérica	<i>name</i><br><ol><li>apheretic form of América</li></ol>
Mòuma|Möma	<i>name</i><br><ol><li>Muhammad (prophet of Islam)</li></ol>
Segnô	<i>name</i><br><ol><li>God</li><li>Jesus Christ</li></ol>
Sidón	<i>name</i><br><ol><li>Sidon (a Phoenician city in modern Lebanon)</li></ol>
Zena|Zêna	<i>name</i><br><ol><li>Genoa (the capital city of Liguria, Italy)</li><li>Genoa (a metropolitan city of Liguria, Italy)</li></ol>
a|e	<i>article</i><br><ol><li>the</li></ol><br><i>prep</i><br><ol><li>in</li><li>at</li><li>to</li><li>indicates the direct object, mainly to avoid confusion when it, the subject, or both are displaced, or for emphasis</li></ol>
a-a	<i>abbrev</i><br><ol><li>at the, to the (+ a feminine noun in singular)</li></ol>
a-e	<i>abbrev</i><br><ol><li>at the, to the (+ a feminine noun in the plural)</li></ol>
a-i	<i>abbrev</i><br><ol><li>at the, to the (+ a masculine noun in the plural)</li></ol>
a-o	<i>abbrev</i><br><ol><li>at the, to the (+ a masculine noun in the singular)</li></ol>
