Jumaa	<i>name</i><br><ol><li>Friday</li></ol>
Kamisi	<i>name</i><br><ol><li>Thursday (day of the week)</li></ol>
Karasite	<i>name</i><br><ol><li>Christian</li></ol>
Minggu	<i>name</i><br><ol><li>Sunday</li></ol>
Rabu	<i>name</i><br><ol><li>Wednesday</li></ol>
Salasa	<i>name</i><br><ol><li>Tuesday</li></ol>
Satu	<i>name</i><br><ol><li>Saturday</li></ol>
Sinei	<i>name</i><br><ol><li>Monday</li></ol>
Wula Aonongu	<i>name</i><br><ol><li>June (sixth month of the Gregorian calendar)</li></ol>
Wula Aopongu	<i>name</i><br><ol><li>April (fourth month of the Gregorian calendar)</li></ol>
Wula Limaongu	<i>name</i><br><ol><li>May (fifth month of the Gregorian calendar)</li></ol>
Wula Pituongu	<i>name</i><br><ol><li>July (seventh month of the Gregorian calendar)</li></ol>
Wula Roungu	<i>name</i><br><ol><li>February (second month of the Gregorian calendar)</li></ol>
Wula Sampulu Roungu	<i>name</i><br><ol><li>December (twelfth month of the Gregorian calendar)</li></ol>
Wula Sampulu Saungu	<i>name</i><br><ol><li>November (eleventh month of the Gregorian calendar)</li></ol>
Wula Sampuluongu	<i>name</i><br><ol><li>October (tenth month of the Gregorian calendar)</li></ol>
Wula Saungu	<i>name</i><br><ol><li>January (first month of the Gregorian calendar)</li></ol>
Wula Siongu	<i>name</i><br><ol><li>September (ninth month of the Gregorian calendar)</li></ol>
Wula Tuluongu	<i>name</i><br><ol><li>March (third month of the Gregorian calendar)</li></ol>
Wula Waluongu	<i>name</i><br><ol><li>August (eighth month of the Gregorian calendar)</li></ol>
ade	<i>noun</i><br><ol><li>(anatomy) chin</li></ol>
aga	<i>conj</i><br><ol><li>if</li></ol>
agiana	<i>conj</i><br><ol><li>but</li></ol>
alima	<i>num</i><br><ol><li>five</li></ol>
alipa	<i>noun</i><br><ol><li>centipede</li></ol>
alipopo	<i>noun</i><br><ol><li>firefly</li></ol>
alu	<i>noun</i><br><ol><li>direction</li><li>rhythm; cadence; meter (of a poem)</li></ol>
anca	<i>noun</i><br><ol><li>fragrant mango</li></ol>
anitu	<i>noun</i><br><ol><li>animism</li><li>belief in other gods</li><li>superstition</li></ol>
aono	<i>num</i><br><ol><li>six</li></ol>
aono mpulu	<i>num</i><br><ol><li>sixty</li></ol>
aonoatu	<i>num</i><br><ol><li>six hundred</li></ol>
aopo	<i>num</i><br><ol><li>four</li></ol>
aopo mpulu	<i>num</i><br><ol><li>forty</li></ol>
are	<i>noun</i><br><ol><li>long, large sickle</li></ol>
ata	<i>noun</i><br><ol><li>roof</li></ol>
ate	<i>noun</i><br><ol><li>(anatomy) liver</li></ol>
awinga	<i>noun</i><br><ol><li>(anatomy) shoulder</li></ol>
bada	<i>noun</i><br><ol><li>powder</li></ol>
baga	<i>noun</i><br><ol><li>(anatomy) tooth</li></ol>
baju	<i>noun</i><br><ol><li>clothing</li></ol>
baliu	<i>noun</i><br><ol><li>axe</li></ol>
baloti	<i>noun</i><br><ol><li>plank; board</li></ol>
bambara	<i>noun</i><br><ol><li>(anatomy) chest</li></ol>
bangkele	<i>noun</i><br><ol><li>girl</li></ol>
bantiluku	<i>noun</i><br><ol><li>turtle</li><li>horseshoe crab</li></ol>
barimbi	<i>noun</i><br><ol><li>fin</li><li>bone framework</li></ol>
baro-baro	<i>noun</i><br><ol><li>riddle</li><li>illustration</li></ol>
basa	<i>noun</i><br><ol><li>word</li></ol>
basitara	<i>noun</i><br><ol><li>ruler</li><li>plumb line</li></ol>
batara	<i>noun</i><br><ol><li>body</li><li>corpse</li></ol>
bate	<i>noun</i><br><ol><li>gravestone</li></ol>
bati	<i>noun</i><br><ol><li>grasshopper; locust</li></ol>
batili	<i>noun</i><br><ol><li>large tray</li></ol>
batutu	<i>noun</i><br><ol><li>container; bag</li></ol>
beiwa	<i>adv</i><br><ol><li>how</li></ol>
bele	<i>noun</i><br><ol><li>can</li><li>a kind of kerosene lamp</li></ol>
benci	<i>noun</i><br><ol><li>gasoline</li></ol>
bengi	<i>noun</i><br><ol><li>evening; night</li></ol>
bengka	<i>noun</i><br><ol><li>water buffalo (large ungulate)</li></ol>
bengo	<i>noun</i><br><ol><li>back; behind</li></ol>
benu	<i>noun</i><br><ol><li>coconut fiber</li></ol>
berese	<i>noun</i><br><ol><li>thunder</li></ol>
beti	<i>noun</i><br><ol><li>measuring rope</li></ol>
betue	<i>noun</i><br><ol><li>star</li></ol>
bimba	<i>noun</i><br><ol><li>sheep</li></ol>
bingke	<i>noun</i><br><ol><li>ravine</li><li>chasm</li></ol>
bini	<i>noun</i><br><ol><li>tuft; cluster</li></ol>
birantua	<i>noun</i><br><ol><li>female (animal)</li><li>wife</li></ol>
biti	<i>noun</i><br><ol><li>chisel</li></ol>
boa	<i>noun</i><br><ol><li>lie; falsehood</li></ol>
bobu	<i>noun</i><br><ol><li>term of endearment for a boy</li></ol>
boe	<i>noun</i><br><ol><li>pig</li></ol>
bolago	<i>noun</i><br><ol><li>rattan</li></ol>
bone	<i>noun</i><br><ol><li>sand</li></ol>
bose	<i>noun</i><br><ol><li>oar; rowing tool</li></ol>
bua	<i>noun</i><br><ol><li>sarong; blanket</li></ol>
buja	<i>noun</i><br><ol><li>card</li></ol>
bukao	<i>noun</i><br><ol><li>spider</li><li>spiderweb</li></ol>
bulawa	<i>noun</i><br><ol><li>gold</li></ol>
bulei	<i>adv</i><br><ol><li>later</li></ol>
bulo	<i>noun</i><br><ol><li>funnel</li></ol>
bulu	<i>noun</i><br><ol><li>mountain</li></ol>
