A|a	<i>character</i><br><ol><li>The first letter of the Lithuanian alphabet, called a and written in the Latin script.</li></ol>
Abchazija|Abchãzija|Abchãzijai|Abchazijai|Abchãzijoje|Abchazijoje|Abchãzijos|Abchaziją|Abchãziją|Abchazijos	<i>noun</i><br><ol><li>Abkhazia</li></ol>
Abdijo knyga	<i>name</i><br><ol><li>(religion) Obadiah</li></ol>
Abraomas|Abraomai|Abraomui|Abraomo|Abraomams|Abraomą|Abraomais|Abraomus|Abraomų|Abraomuose|Abraomu|Abraome	<i>name</i><br><ol><li>Abraham (biblical character).</li></ol>
Abu Dabis|Abù Dãbi|Abù Dãbiui|Abù Dabiùs|Abù Dãbyje|Abù Dãbiai|Abù Dãbis|Abù Dãbiuose|Abù Dabiù|Abù Dãbiams|Abù Dãbį|Abù Dãbiais|Abù Dãbių|Abù Dãbio	<i>name</i><br><ol><li>Abu Dhabi (an emirate of the United Arab Emirates)</li><li>Abu Dhabi (the capital city of the United Arab Emirates; capital city of Abu Dhabi emirate, United Arab Emirates)</li></ol>
Adomas|Adomui|Adomą|Adomu|Adome|Adomai|Adomo	<i>name</i><br><ol><li>Adam (husband of Eve)</li></ol>
Adomas ir Ieva|Adomai ir Ieva|Adomu ir Ieva|Adomui ir Ievai|Adome ir Ievoje|Adomą ir Ievą|Adomo ir Ievos	<i>name</i><br><ol><li>Adam and Eve</li></ol>
Afganistanas|Afganistanu|Afganistano|Afganistãnas|Afganistanui|Afganistaną|Afganistane	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afrika|Afriką|Afrikoje|Afrikai|Afrikos	<i>name</i><br><ol><li>Africa</li></ol>
Afroditė|Afroditėje|Afroditei|Afroditės|Afrodite|Afroditę	<i>name</i><br><ol><li>(Greek mythology) Aphrodite, the goddess of love</li></ol>
Agėjo knyga	<i>name</i><br><ol><li>(religion) Haggai</li></ol>
Airija|Aĩrijai|Aĩrijoje|Aĩrija|Airiją|Airijai|Aĩrijos|Aĩriją|Airijos|Áirija|Airijoje	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Airijos Respublika|Aĩrijos Respùblikoje|Aĩrijos Respùblikai|Aĩrijos Respùblikos|Aĩrijos Respùblika|Aĩrijos Respùbliką	<i>name</i><br><ol><li>The Republic of Ireland</li></ol>
Albanija|Albãnija|Albaniją|Albanijai|Albanijoje|Albanijos	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Aleksandrija|Aleksandrijos|Aleksandriją|Aleksandrijoje|Aleksandrijai	<i>name</i><br><ol><li>Alexandria (a city in Egypt)</li></ol>
