A|a	<i>character</i><br><ol><li>The first letter of the Livonian alphabet, written in the Latin script.</li></ol>
Amērik|Amērikõks|Amērikõ|Amērikst|Amērikõn|Amēriks	<i>name</i><br><ol><li>America (a continent in the western hemisphere)</li></ol>
Austrij|Austrijstõ|Austrijst|Austrijõn|Austrijõ|Austrijsõ|Austrijs|Austrijõks	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Belgij|Belgijs|Belgijst|Belgijõks|Belgijstõ|Belgijsõ|Belgijõ|Belgijõn	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Beļgij|Beļgijst|Beļgijõ|Beļgijs|Beļgijõks|Beļgijõn	<i>name</i><br><ol><li>Belgium</li></ol>
Bosnij|Bosnijst|Bosnijõks|Bosnijstõ|Bosnijs|Bosnijõn|Bosnijõ|Bosnijsõ	<i>name</i><br><ol><li>Bosnia</li></ol>
Brissõl|Brissõlst|Brissõlõ|Brissõlt|Brissõlõst|Brissõlõs|Brissõls|Brissõlõks|Brissõlõn	<i>name</i><br><ol><li>Brussels (the capital city of Belgium)</li></ol>
Bulgārij|Bulgārijst|Bulgārijõks|Bulgārijsõ|Bulgārijstõ|Bulgārijõn|Bulgārijõ|Bulgārijs	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Costa Rica|Costa Ricas|Costa Ricaks|Costa Ricaz|Costa Ricast|Costa Rican	<i>name</i><br><ol><li>(geography) Costa Rica (a country in Central America)</li></ol>
Dēņmō|Dēņmōstõ|Dēņmōl|Dēņmōlõ|Dēņmōzõ|Dēņmōkõks|Dēņmōn|Dēņmōs|Dēņmōst|Dēņmōld|Dēņmōdõ|Dēņmōsõ	<i>name</i><br><ol><li>Denmark</li></ol>
Dūoņig|Dūoņigõks|Dūoņigõ|Dūoņigs|Dūoņigõn|Dūoņigt|Dūoņigst	<i>name</i><br><ol><li>Dundaga (a village in Courland, Latvia)</li></ol>
Eirōp|Eirōps|Eirōpst|Eirōpõn|Eirōpõs|Eirōpõst|Eirōpõ|Eirōpõks	<i>name</i><br><ol><li>Europe</li></ol>
