Anuksenlinnu	<i>name</i><br><ol><li>Olonets (a town in Russia)</li></ol>
Anus	<i>name</i><br><ol><li>Olonets (a town in Russia)</li></ol>
Hospodi	<i>name</i><br><ol><li>(Christianity) God, the Lord</li></ol>
Ilomanči	<i>name</i><br><ol><li>Ilomantsi (a municipality of Finland)</li></ol>
Jovensuu	<i>name</i><br><ol><li>Joensuu (a city in Finland)</li></ol>
Karjal	<i>name</i><br><ol><li>Karelia (region of Europe)</li></ol>
Karjalan Tazavaldu	<i>name</i><br><ol><li>the Republic of Karelia (subject of the Russian Federation)</li></ol>
Kägöisalmi	<i>name</i><br><ol><li>Priozersk (town in Russia, historically in Finland)</li></ol>
Ruottši	<i>name</i><br><ol><li>Finland</li><li>Sweden</li></ol>
Ruočči	<i>name</i><br><ol><li>(often derogatory) Finland or a (Lutheran) Finn</li><li>Sweden</li></ol>
Ruoččičorta	<i>noun</i><br><ol><li>(ethnic slur, derogatory) a Finn (literally. "Finnish devil")</li><li>(Finland Karelians, derogatory) Finnish people who claim that Karelia is Finnish</li></ol>
Suomi	<i>name</i><br><ol><li>Finland (a country in Europe)</li></ol>
Ukrainu	<i>name</i><br><ol><li>Ukraine (a country in Europe)</li></ol>
Venʹa	<i>name</i><br><ol><li>Russia (a country in Europe and Asia)</li></ol>
Venʼan Federatsii	<i>name</i><br><ol><li>the Russian Federation</li></ol>
aberi|aberii|aberin	<i>noun</i><br><ol><li>primer</li></ol>
abu|abuu|avun	<i>noun</i><br><ol><li>help</li></ol>
abuniekka	<i>noun</i><br><ol><li>assistant, aide</li></ol>
abuniekku	<i>noun</i><br><ol><li>hand, assistant, aide</li></ol>
adru	<i>noun</i><br><ol><li>plough, plow</li></ol>
ahven|ahvendu|ahvenen	<i>noun</i><br><ol><li>perch</li></ol>
aidu|aidua|aijan	<i>noun</i><br><ol><li>fence</li></ol>
aigu|aijattah|aijoikse|aijoittah|aijois|aijoispäi|aijoinnu|aigoih|aijanke|aijoile|aijas|aijoinke|aigua|aijoin|aijal|aijale|aijači|aijaspäi|aijalpäi|aigoi|aijan|aijat|aijoil|aijoilpäi|aijannu|aijakse|aigah	<i>noun</i><br><ol><li>time</li><li>(grammar) tense</li></ol>
aiguine|aigustu|aiguzen	<i>adj</i><br><ol><li>adult</li></ol><br><i>noun</i><br><ol><li>adult</li></ol>
aigukauzilehti|aigukauzilehen|aigukauzilehtii	<i>noun</i><br><ol><li>magazine</li></ol>
aittu|aittua|aitan	<i>noun</i><br><ol><li>storehouse</li></ol>
aivoparaličču	<i>noun</i><br><ol><li>(medicine) stroke</li></ol>
akku	<i>noun</i><br><ol><li>wife</li></ol>
ammui	<i>adv</i><br><ol><li>long ago</li></ol>
andua	<i>verb</i><br><ol><li>(transitive) to give</li><li>(transitive) to allow</li><li>(transitive) to endow with</li><li>(intransitive) to smell, stink</li></ol>
andulu	<i>noun</i><br><ol><li>down (soft feather of a young bird)</li></ol>
anuksenvaski	<i>noun</i><br><ol><li>samovar</li></ol>
aptiekku	<i>noun</i><br><ol><li>pharmacy</li></ol>
astuo	<i>verb</i><br><ol><li>(intransitive) to go</li><li>(intransitive) to step</li></ol>
avain|avaindu|avaimen	<i>noun</i><br><ol><li>key</li></ol>
avata	<i>verb</i><br><ol><li>(transitive) to open</li><li>(transitive) to unbuckle</li><li>(transitive) to declassify</li></ol>
boba|boviilpäi|bobiih|boval|bovalpäi|boviil|bovaspäi|bovakse|boviin|boviikse|bovači|boviinke|bobah|boviile|boviittah|bobii|bovas|boviispäi|boviis|bovat|boviinnu|bovale|bovannu|bovattah|bovanke|bobua|bovan	<i>noun</i><br><ol><li>toy</li><li>flower</li></ol>
briha|brihan|brihua	<i>noun</i><br><ol><li>lad, young man</li></ol>
brihačču|brihaččuloil|brihačule|brihačul|brihačut|brihačukse|brihaččuloinnu|brihaččuloittah|brihaččuu|brihačus|brihaččulois|brihaččuh|brihačuspäi|brihačulpäi|brihačun|brihaččuloikse|brihaččuloih|brihaččuloi|brihačuttah|brihačunke|brihaččuloin|brihaččuloinke|brihačunnu|brihačuči|brihaččuloile|brihaččuloilpäi|brihaččuloispäi	<i>noun</i><br><ol><li>boy</li></ol>
buabo|buabua|buaban	<i>noun</i><br><ol><li>grandmother</li></ol>
buolu|buolua|buolan	<i>noun</i><br><ol><li>cowberry</li></ol>
burbettua	<i>verb</i><br><ol><li>(intransitive) to murmur; to grumble</li></ol>
diedʹoi|diedʹoidu|diedʹoin	<i>noun</i><br><ol><li>grandfather</li></ol>
diivie	<i>verb</i><br><ol><li>(transitive) to condemn</li><li>(transitive) to be surprised by</li></ol>
diädö|diädiä|diädän	<i>noun</i><br><ol><li>uncle</li></ol>
dogadie	<i>verb</i><br><ol><li>(transitive) to notice; see</li></ol>
doroguheiny	<i>noun</i><br><ol><li>greater plantain, Plantago major</li></ol>
eestiläine|eestiläisty|eestiläizen	<i>noun</i><br><ol><li>Estonian (person)</li></ol><br><i>adj</i><br><ol><li>Estonian</li></ol>
ehty|ehtän|ehtiä	<i>noun</i><br><ol><li>evening</li></ol>
ei|älgiä|älgäh|en|älgiämmö|et|emmo|älä|äldähes|etto	<i>verb</i><br><ol><li>not</li></ol>
eliä	<i>verb</i><br><ol><li>(intransitive) to live</li></ol>
ellendiä	<i>verb</i><br><ol><li>(transitive) to understand</li></ol>
elo|eloloin|elospäi|eloloikse|eloloilpäi|eloloispäi|eloloih|eloloittah|eloloinnu|elokse|eloh|eloloinke|elole|eloloile|elol|elot|eloči|elottah|elolois|elos|elolpäi|elonnu|elon|eloloi|eloloil|eluo|elonke	<i>noun</i><br><ol><li>life</li></ol>
eländy	<i>noun</i><br><ol><li>life</li></ol>
elätti|elätin|elättih|elätile|elätis|elätiči|elätilöilpäi|elätilöikse|elätittäh|elätilpäi|elätilöinny|elätilöile|elätikse|elätilöinke|elätilöin|elätilöil|elätilöih|elätil|elätit|elätilöis|elätinke|elätinny|elätilöi|elätispäi|elätilöittäh|elättii|elätilöispäi	<i>noun</i><br><ol><li>animal</li></ol>
enzimäinargi	<i>noun</i><br><ol><li>Monday</li></ol>
enzimäine	<i>adj</i><br><ol><li>first</li></ol>
eččie	<i>verb</i><br><ol><li>(transitive) to search for</li><li>(transitive) to solicit for</li></ol>
eččii|eččijän|eččijät|eččijöis|eččijiispäi|eččijiilpäi|eččijöil|eččijöin|eččijiä|eččijiih|eččijiinny|eččijöile|eččijöinny|eččijäl|eččijiin|eččijii|eččijäči|eččijiis|eččijäle|eččijöittäh|eččijiikse|eččijättäh|eččijiile|eččijänke|eččijöikse|eččijöih|eččijöinke|eččijäs|eččijänny|eččijöi|eččijiittäh|eččijäh|eččijöispäi|eččijäspäi|eččijälpäi|eččijäkse|eččijiil|eččijiinke|eččijöilpäi	<i>noun</i><br><ol><li>seeker, searcher</li></ol>
fatieru|fatierua|fatieran	<i>noun</i><br><ol><li>flat, apartment</li></ol>
feršali|feršalii|feršalin	<i>noun</i><br><ol><li>paramedic, male nurse</li></ol>
fuknie	<i>verb</i><br><ol><li>(transitive) to suddenly do</li><li>(transitive) to quickly do</li></ol>
garbalo|garbalon|garbaluo	<i>noun</i><br><ol><li>cranberry</li></ol>
gostie	<i>verb</i><br><ol><li>(intransitive) to be a guest; to visit</li></ol>
gostittua	<i>verb</i><br><ol><li>(transitive) to treat</li></ol>
griba|grival|grivači|grivalpäi|grivattah|grivoikse|griboih|grivakse|griboi|grivoittah|grivannu|grivat|grivoinke|grivoinnu|gribah|grivas|grivanke|grivoile|grivan|grivaspäi|grivoin|gribua|grivoilpäi|grivois|grivoispäi|grivale|grivoil	<i>noun</i><br><ol><li>bolete (type of mushroom)</li></ol>
harakku|harakois|harakoikse|harakkua|harakalpäi|harakoispäi|harakannu|harakattah|harakkoi|harakas|harakaspäi|harakal|harakale|harakat|harakakse|harakoin|harakoittah|harakkoih|harakoinnu|harakoil|harakan|harakoinke|harakoilpäi|harakanke|harakoile|harakkah|harakači	<i>noun</i><br><ol><li>magpie</li></ol>
harju|harjoi|harjat|harjas|harjači|harjakse|harjanke|harjoih|harjattah|harjoinke|harjua|harjoikse|harjoinnu|harjaspäi|harjoittah|harjoispäi|harjal|harjoin|harjoil|harjoilpäi|harjan|harjoile|harjah|harjois|harjalpäi|harjale|harjannu	<i>noun</i><br><ol><li>brush</li><li>mane (of an animal)</li><li>crest (of a bird)</li><li>top (of a mountain)</li></ol>
haudu	<i>noun</i><br><ol><li>pit</li></ol>
haukku|haukkua|haukan	<i>noun</i><br><ol><li>falcon</li></ol>
hebo|hevon|hebuo	<i>noun</i><br><ol><li>horse</li></ol>
heiny|heinän|heiniä	<i>noun</i><br><ol><li>hay</li><li>grass</li></ol>
heinykuu	<i>noun</i><br><ol><li>July</li></ol>
helsingiläine|helsingiläzen|helsingilästy	<i>adj</i><br><ol><li>Helsinkian, of Helsinki (of or pertaining to the city of Helsinki)</li></ol><br><i>noun</i><br><ol><li>A Helsinkian (person living in or originating from Helsinki)</li></ol>
hiemai|hiemualoittah|hiemuanke|hiemualoile|hiemuakse|hiemualoil|hiemualpäi|hiemual|hiemuat|hiemuan|hiemuadu|hiemuas|hiemualoi|hiemuaspäi|hiemualoispäi|hiemualoinke|hiemualoilpäi|hiemuannu|hiemuattah|hiemuah|hiemualois|hiemualoikse|hiemualoih|hiemualoin|hiemualoinnu|hiemuači|hiemuale	<i>noun</i><br><ol><li>sleeve</li></ol>
hiili|hiilenny|hiilen|hiilele|hiilespäi|hiiliis|hiiliiči|hiilii|hiiliin|hiiliispäi|hiilettäh|hiiliile|hiiliikse|hiiliinke|hiiliittäh|hiilelpäi|hiiliil|hiileh|hiilel|hiiliilpäi|hiilekse|hiilet|hiiles|hiildy|hiiliih|hiiliinny|hiilenke|hiileči	<i>noun</i><br><ol><li>charcoal (heat-transformed wood)</li></ol>
hiiri|hiiriiči|hiiriil|hiirettäh|hiiriih|hiireči|hiiret|hiirele|hiiriikse|hiirel|hiiriinke|hiirelpäi|hiirdy|hiiriinny|hiirii|hiirenke|hiiriispäi|hiirekse|hiiriile|hiireh|hiiriis|hiirenny|hiirespäi|hiiriin|hiiren|hiiriilpäi|hiires|hiiriittäh	<i>noun</i><br><ol><li>mouse</li></ol>
hobju|hobjan|hobjua	<i>noun</i><br><ol><li>silver</li></ol>
