Alman	<i>name</i><br><ol><li>Germany</li></ol>
Zipiter	<i>name</i><br><ol><li>a Creole surname</li></ol>
a	<i>verb</i><br><ol><li>to have</li></ol>
a démin	<i>phrase</i><br><ol><li>see you tomorrow.</li></ol>
abat	<i>verb</i><br><ol><li>To discourage</li><li>To depress</li></ol>
abatwa	<i>noun</i><br><ol><li>slaughterhouse; abattoir</li></ol>
abichud	<i>noun</i><br><ol><li>habit, custom</li></ol><br><i>verb</i><br><ol><li>(auxiliary) to be used to; accustomed to</li><li>(auxiliary) (with té) marks the past habitual; "used to"</li></ol>
abitan	<i>noun</i><br><ol><li>farmer</li></ol>
abitasyon	<i>verb</i><br><ol><li>plantation,farm</li></ol>
accepté	<i>verb</i><br><ol><li>to accept</li></ol>
accouché	<i>verb</i><br><ol><li>to give birth</li></ol>
accroupi	<i>verb</i><br><ol><li>to crouch, kneel</li></ol>
accusé	<i>verb</i><br><ol><li>to accuse</li></ol>
acheté	<i>verb</i><br><ol><li>to buy</li></ol>
allé	<i>verb</i><br><ol><li>to go</li></ol>
alman	<i>noun</i><br><ol><li>German (person)</li></ol>
anfan|zanfans|zanfan	<i>noun</i><br><ol><li>child</li></ol>
apprende	<i>verb</i><br><ol><li>to learn</li></ol>
apré	<i>prep</i><br><ol><li>after.</li></ol>
apòrte	<i>verb</i><br><ol><li>to bring</li></ol>
arien	<i>pron</i><br><ol><li>nothing</li></ol>
aréwa|oréwar|aréwar	<i>intj</i><br><ol><li>goodbye.</li></ol>
assiré	<i>verb</i><br><ol><li>to assure</li></ol>
assite	<i>verb</i><br><ol><li>sit</li></ol>
astè|astœr	<i>adv</i><br><ol><li>now.</li></ol>
augmenté	<i>verb</i><br><ol><li>to augment, increase</li></ol>
babillé	<i>verb</i><br><ol><li>to scold</li></ol>
baissé	<i>verb</i><br><ol><li>to lower</li></ol>
bandonné	<i>verb</i><br><ol><li>to abandon</li></ol>
barbu	<i>noun</i><br><ol><li>catfish</li></ol>
batisé	<i>verb</i><br><ol><li>to baptize</li></ol>
baton	<i>noun</i><br><ol><li>stick</li><li>stalk</li><li>rod, pole</li><li>cane, walking stick</li></ol>
beché	<i>verb</i><br><ol><li>to dig</li></ol>
besoin	<i>verb</i><br><ol><li>to need</li></ol>
billé	<i>verb</i><br><ol><li>to dress</li></ol>
bimin	<i>verb</i><br><ol><li>to damage</li></ol>
bimmé	<i>verb</i><br><ol><li>to damage</li></ol>
blan	<i>adj</i><br><ol><li>white color.</li></ol><br><i>noun</i><br><ol><li>white (color).</li></ol>
bligé	<i>verb</i><br><ol><li>to oblige</li></ol>
blié	<i>verb</i><br><ol><li>to forget</li></ol>
blé|ble	<i>adj</i><br><ol><li>blue color.</li></ol><br><i>noun</i><br><ol><li>blue (color).</li></ol>
bo|bèl	<i>adj</i><br><ol><li>handsome, beautiful, pretty.</li></ol><br><i>noun</i><br><ol><li>boyfriend.</li><li>kiss.</li></ol><br><i>verb</i><br><ol><li>to kiss.</li></ol>
boi	<i>verb</i><br><ol><li>to drink</li></ol>
boité	<i>verb</i><br><ol><li>to limp</li></ol>
