'n|’n	<i>article</i><br><ol><li>Contraction of den.</li></ol><br><i>pron</i><br><ol><li>Contraction of en.</li></ol>
Ailand	<i>noun</i><br><ol><li>island; Alternative form of Eiland</li></ol>
Ailanner	<i>noun</i><br><ol><li>islander</li></ol>
Altoor|Altoren	<i>noun</i><br><ol><li>altar</li></ol>
Aristoteles	<i>name</i><br><ol><li>Aristotle</li></ol>
Aventüür	<i>noun</i><br><ol><li>adventure</li></ol>
Avtheek	<i>noun</i><br><ol><li>apothecary, pharmacy, drugstore</li></ol>
Baas|Basen	<i>noun</i><br><ol><li>boss</li></ol>
Baum	<i>noun</i><br><ol><li>tree</li></ol>
Biologie	<i>noun</i><br><ol><li>biology</li></ol>
Bischop|Bischööp	<i>noun</i><br><ol><li>bishop</li></ol>
Bookstaav	<i>noun</i><br><ol><li>(orthography) letter</li></ol>
Boomwull	<i>noun</i><br><ol><li>cotton</li></ol>
Brääg	<i>noun</i><br><ol><li>bridge</li></ol>
Brügg	<i>noun</i><br><ol><li>bridge</li></ol>
Büx|Büxen	<i>noun</i><br><ol><li>pants</li></ol>
Choor|Chöör	<i>noun</i><br><ol><li>choir</li></ol>
Dagg	<i>noun</i><br><ol><li>day</li></ol>
Deel|Delen	<i>noun</i><br><ol><li>part</li><li>vestibule</li></ol>
Donnerweder	<i>noun</i><br><ol><li>thunderstorm</li></ol>
Dunner|Dunners	<i>noun</i><br><ol><li>thunder</li></ol>
Dwääl	<i>noun</i><br><ol><li>towel</li></ol>
Däänsch	<i>name</i><br><ol><li>Danish (language)</li></ol>
Döst	<i>noun</i><br><ol><li>thirst</li></ol>
Dünnerdag|Dünnerdaag	<i>noun</i><br><ol><li>Thursday</li></ol>
Eentall	<i>noun</i><br><ol><li>(grammar) singular</li></ol>
Eerdlöper|Eerdlöpers	<i>noun</i><br><ol><li>lizard (Lacertilia)</li></ol>
Eiland|Eilannen	<i>noun</i><br><ol><li>island</li></ol>
Falk	<i>noun</i><br><ol><li>falcon (bird)</li></ol>
Farwe|Farwen|Farve	<i>noun</i><br><ol><li>colour/color</li><li>(in some dialects) paint</li></ol>
Faut|Fait'|Faiten|Faite|Feute|Fäutken|Fäute|Faute|Fäuten|Fäut|Faitken|Fäutkens	<i>noun</i><br><ol><li>foot (anatomy)</li><li>(Sauerländisch) foot (anatomy)</li><li>(Sauerländisch, Westphalian Märkisch) foot (anatomy)</li></ol>
