A|a	<i>character</i><br><ol><li>The first letter of the Lower Sorbian alphabet, written in the Latin script.</li></ol>
Afrika|Africe|Afriku|Afriki	<i>name</i><br><ol><li>Africa (a continent)</li></ol>
Albanarka|Albanarkach|Albanarkowu|Albanarce|Albanarkami|Albanarkoma|Albanarku|Albanarki|Albanarkam|Albanarkow|equivalent Albanaŕ	<i>noun</i><br><ol><li>Albanian (female)</li></ol>
Albanaŕ|Albanarjami|Albanarja|Albanarju|Albanarjach|Albanarjom|Albanarjow|Albanarjeju|Albanarje|equivalent Albanarka|Albanarjoma|Albanarjam|Albanarjowu	<i>noun</i><br><ol><li>Albanian (male)</li></ol>
Awstriska|Awstriskeje|Awstriskej|Awstrisku|Awstriskeju	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Azija|Aziju|Azije|Aziji	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Barliń|Barlinja|Barlinjom|Barlinjoju|Barlinju	<i>name</i><br><ol><li>Berlin (the capital and largest city of Germany)</li><li>Berlin (a state of Germany, consisting of the capital city)</li></ol>
Bog|Boga|Bogu|Bogom|Bogoju	<i>name</i><br><ol><li>God</li></ol>
Bramborska|Bramborskeje|Bramborskej|Bramborsku|Bramborskeju	<i>name</i><br><ol><li>Brandenburg (a state of Germany)</li></ol>
Budyšyn|Budyšynoju|Budyšyna|Budyšynom|Budyšynje	<i>name</i><br><ol><li>Bautzen (a city in Saxony, Germany)</li></ol>
Bulgarska|Bulgarskej|Bulgarsku|Bulgarskeju|Bulgarskeje	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Błota|Błotow|Błotam|Błotach|Błotami	<i>name</i><br><ol><li>Spreewald (a forested wetland area in Lower Lusatia, Brandenburg, Germany)</li></ol>
Chorwatska|Chorwatskeje|Chorwatsku|Chorwatskej|Chorwatskeju	<i>name</i><br><ol><li>Croatia (a country in Europe)</li></ol>
Chóśebuski|Chóśebuskich|Chóśebuskego|Chóśebuskimi|Chóśebuskem|Chóśebuska|Chóśebuskeju|Chóśebuskeje|Chóśebuske|Chóśebuskemu|Chóśebuskim|Chóśebusku|Chóśebuskich (optional animate form)|Chóśebuskima|Chóśebuskej	<i>adj</i><br><ol><li>of or from Cottbus</li></ol>
Chóśebuz|Chóśebuza|Chóśebuzu|Chóśebuzoju|Chóśebuzom	<i>name</i><br><ol><li>Cottbus (an independent city in Brandenburg, Germany)</li></ol>
Dan|Danom|equivalent Danowka|Danoju|Danam|Danoma|Danje|Dany|Danach|Danow|Danowu|Dana|Danami	<i>noun</i><br><ol><li>Dane (person from Denmark or of Danish descent)</li></ol>
Drježdźany|Drježdźanam|Drježdźanami|Drježdźanach|Drježdźan	<i>name</i><br><ol><li>Dresden (the capital city of Saxony, Germany)</li></ol>
Estniska|Estniskeju|Estniskej|Estniskeje|Estnisku	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Francojska|Francojskeju|Francojskeje|Francojsku|Francojskej	<i>name</i><br><ol><li>France (a country in Europe)</li></ol>
