?	<i>character</i><br><ol><li>The first letter of the Lushootseed alphabet, pronounced as a glottal stop</li><li>alternative of ʔ letter</li></ol>
a	<i>character</i><br><ol><li>The second letter of the Lushootseed alphabet, pronounced as an open back unrounded vowel.</li></ol>
absʔalʔal	<i>verb</i><br><ol><li>to have a house</li></ol>
addəxʷʔəx̌id	<i>det</i><br><ol><li>why do you</li></ol>
adsixʷʔaciɬtalbixʷ	<i>noun</i><br><ol><li>your people</li></ol>
b	<i>character</i><br><ol><li>The third letter of the Lushootseed alphabet, pronounced as a voiced bilabial stop.</li></ol>
bad	<i>noun</i><br><ol><li>father</li></ol>
biʔbədaʔ	<i>noun</i><br><ol><li>baby</li></ol>
buus	<i>num</i><br><ol><li>four</li></ol>
buʔqʷ	<i>noun</i><br><ol><li>waterfowl</li></ol>
bəasʔistəʔ	<i>verb</i><br><ol><li>to happen again; to do so in the same manner again</li></ol>
bədaʔ	<i>noun</i><br><ol><li>child; offspring</li></ol>
bədúł	<i>noun</i><br><ol><li>whitefish</li></ol>
bək̓ʷ	<i>adv</i><br><ol><li>all</li></ol><br><i>pron</i><br><ol><li>all; everything</li></ol>
bəlúps	<i>noun</i><br><ol><li>raccoon</li></ol>
bəq'əd	<i>verb</i><br><ol><li>to swallow something</li></ol>
bəšč'ád	<i>noun</i><br><ol><li>louse</li></ol>
bəʔal	<i>prep</i><br><ol><li>also on (additive form of ʔal)</li></ol>
bəʔilid	<i>verb</i><br><ol><li>repeat it, say it again</li></ol>
bəʔux̌ʷtxʷ	<i>verb</i><br><ol><li>take it again; repeat it (additive & causative form of ʔux̌ʷ)</li></ol>
bə́c'əc	<i>noun</i><br><ol><li>snake, serpent</li></ol>
b̓	<i>character</i><br><ol><li>The fourth letter of the Lushootseed alphabet, pronounced as a voiced bilabial implosive; a rare, non-initial sound.</li></ol>
c	<i>character</i><br><ol><li>The fifth letter of the Lushootseed alphabet, pronounced as a voiceless alveolar affricate.</li></ol>
c'ayə	<i>noun</i><br><ol><li>northern fur seal, Callorhinus ursinus</li></ol>
c'ic'al	<i>noun</i><br><ol><li>feather</li></ol>
c'ip'lil	<i>verb</i><br><ol><li>to close one's eyes</li></ol>
