A|a|Aen	<i>character</i><br><ol><li>The first letter of the Luxembourgish alphabet, called a and written in the Latin script.</li></ol><br><i>noun</i><br><ol><li>eye</li><li>(only used in place names) floodplain, meadow</li></ol>
ABC|ABCen	<i>noun</i><br><ol><li>ABC, alphabet</li></ol>
Aachtchen|Aachtercher	<i>noun</i><br><ol><li>eight (card games)</li><li>traditional Luxembourgish pastry consisting of two round pastries baked overlapping each other, whose shape then resembles the number eight.</li><li>bent wheel (slang)</li></ol>
Aachteck|Aachtecker	<i>noun</i><br><ol><li>octagon</li></ol>
Aachtel	<i>noun</i><br><ol><li>an eighth, the eighth part (of something)</li></ol>
Aachtelchesleit	<i>noun</i><br><ol><li>(obsolete) loan sharks who charge 8% interest on loans.</li></ol>
Aachtelsfinall|Aachtelsfinallen	<i>noun</i><br><ol><li>(sports) last 16 or eighth final (the round before the quarterfinal)</li></ol>
Aachtelsnout|Aachtelsnouten	<i>noun</i><br><ol><li>crotchet, quarter note</li></ol>
Aadler|Adler|Aadleren|Adleren	<i>noun</i><br><ol><li>eagle</li></ol>
Aalbes|Aalbesen	<i>noun</i><br><ol><li>bleak (fish)</li></ol>
Aalscht	<i>noun</i><br><ol><li>All of the heads of household in a certain region.</li></ol>
Aangel|Aangelen	<i>noun</i><br><ol><li>fishing rod</li><li>hinge</li></ol>
Aangelkreepchen|Aangelkreepercher	<i>noun</i><br><ol><li>fishing hook</li></ol>
Aapkraut|Aapkraider	<i>noun</i><br><ol><li>hemp-agrimony, Eupatorium cannabinum.</li></ol>
Aarbecht|Aarbechten	<i>noun</i><br><ol><li>work, occupation</li><li>job, task</li><li>workplace</li></ol>
Aarbechter|Aarbechterinnen|Aarbechterin	<i>noun</i><br><ol><li>worker</li></ol>
Aarbechterfamill|Aarbechterfamilljen|Aarbechterfamillen	<i>noun</i><br><ol><li>working class family</li></ol>
Aarbechterklass|Aarbechterklassen	<i>noun</i><br><ol><li>working class</li></ol>
Aarbechtsaccident|Aarbechtsaccidenter	<i>noun</i><br><ol><li>accident at work, workplace accident</li></ol>
Aarbechtsalldag	<i>noun</i><br><ol><li>everyday working life, daily work routine</li></ol>
Aarbechtsamt|Aarbechtsämter	<i>noun</i><br><ol><li>job centre</li></ol>
Aarbechtsbedéngungen	<i>noun</i><br><ol><li>working conditions</li></ol>
Aarbechtsberäich|Aarbechtsberäicher	<i>noun</i><br><ol><li>workspace (computing) and (rooms)</li><li>area of operations, area of responsibility</li></ol>
Aarbechtsblat|Aarbechtsblieder	<i>noun</i><br><ol><li>worksheet, spreadsheet</li></ol>
Aarbechtsdag|Aarbechtsdeeg	<i>noun</i><br><ol><li>workday, working day</li></ol>
Aarbechtsdokter|Aarbechtsdoktesch|Aarbechtsdokteschen|Aarbechtsdokteren	<i>noun</i><br><ol><li>occupational physician</li></ol>
Aarbechtserlabnes|Aarbechtserlabnesser	<i>noun</i><br><ol><li>work permit</li></ol>
Aarbechtsgeschir	<i>noun</i><br><ol><li>work tools, tools of the trade</li></ol>
Aarbechtsgesetz	<i>noun</i><br><ol><li>labour law, employment legislation</li></ol>
Aarbechtsgezei	<i>noun</i><br><ol><li>work clothes, uniform</li></ol>
Aarbechtsgrupp|Aarbechtsgruppen	<i>noun</i><br><ol><li>workgroup</li></ol>
Aarbechtskampf|Aarbechtskämpf	<i>noun</i><br><ol><li>labour dispute, industrial action</li></ol>
Aarbechtskleedung	<i>noun</i><br><ol><li>work clothes, uniform</li></ol>
Aarbechtsklima	<i>noun</i><br><ol><li>work climate</li></ol>
Aarbechtskolleeg|Aarbechtskolleeginnen|Aarbechtskolleegin|Aarbechtskolleegen	<i>noun</i><br><ol><li>work colleague</li></ol>
Aarbechtskonditiounen	<i>noun</i><br><ol><li>working conditions</li></ol>
Aarbechtskontrakt|Aarbechtskontrakten|Aarbechtskontrakter	<i>noun</i><br><ol><li>employment contract</li></ol>
Aarbechtskraaft|Aarbechtskräften	<i>noun</i><br><ol><li>labour force, manpower</li><li>(plural) workforce</li></ol>
Aarbechtskrees|Aarbechtskreesser	<i>noun</i><br><ol><li>workgroup, working party</li></ol>
Aarbechtsleit	<i>noun</i><br><ol><li>workers, workforce</li><li>working classes</li></ol>
Aarbechtslosegkeet	<i>noun</i><br><ol><li>unemployment, joblessness, worklessness</li></ol>
Aarbechtslosenzuel|Aarbechtslosenzuelen	<i>noun</i><br><ol><li>unemployment rate</li></ol>
Aarbechtsloun|Aarbechtsléin	<i>noun</i><br><ol><li>wages</li></ol>
Aarbechtsmaart|Aarbechtsmäert	<i>noun</i><br><ol><li>job market</li></ol>
Aarbechtsmann|Aarbechtsmänner	<i>noun</i><br><ol><li>workman</li><li>a member of the working class, proletariat.</li></ol>
Aarbechtsminister|Aarbechtsministeren|Aarbechtsministerin|Aarbechtsministesch|Aarbechtsministerinnen|Aarbechtsministeschen	<i>noun</i><br><ol><li>minister for employment, labour minister</li></ol>
Aarbechtspabeier|Aarbechtspabeieren	<i>noun</i><br><ol><li>position paper, working paper</li></ol>
Aarbechtspensum	<i>noun</i><br><ol><li>workload, allotted work</li></ol>
Aarbechtsplaz|Aarbechtsplazen	<i>noun</i><br><ol><li>job, employment</li><li>workplace</li></ol>
Aarbechtsprozess|Aarbechtsprozesser	<i>noun</i><br><ol><li>operating procedure, work process</li></ol>
Aarbechtsrecht|Aarbechtsrechter	<i>noun</i><br><ol><li>labour law</li></ol>
Aarbechtsrhythmus|Aarbechtsrhythmen|Aarbechtsrhythmussen	<i>noun</i><br><ol><li>rhythm of work</li></ol>
Aarbechtsschong	<i>noun</i><br><ol><li>workboot, workshoe</li></ol>
Aarbechtssituatioun|Aarbechtssituatiounen	<i>noun</i><br><ol><li>employment contract, employment relationship</li></ol>
Aarbechtssëtzung|Aarbechtssëtzungen	<i>noun</i><br><ol><li>work session</li></ol>
Aarbechtsvertrag|Aarbechtsverträg	<i>noun</i><br><ol><li>employment contract</li></ol>
Aarbechtszäit|Aarbechtszäiten	<i>noun</i><br><ol><li>hours of work, working time</li></ol>
