ᦀᦲᦰᦣᦸᧅ|˙ʼihoak	<i>noun</i><br><ol><li>squirrel</li></ol>
ᦀᦸᧅᧈᦶᦀᧅᧈ|˙ʼoak¹˙ʼaek¹	<i>noun</i><br><ol><li>brain</li></ol>
ᦀᦾᧈ|ᦂᦱᧃᦀᦾᧈ|˙ʼoay¹	<i>verb</i><br><ol><li>to feed</li></ol>
ᦀᦾᧉ|˙ʼoay²|spelling ᩋᩭ᩶	<i>noun</i><br><ol><li>sugar cane (Saccharum officinarum)</li></ol>
ᦂᦎᦻᧈ|k̇ṫaay¹|ᦷᦎ|spelling ᨠᨲ᩵ᩣ᩠ᨿ	<i>noun</i><br><ol><li>rabbit</li></ol>
ᦂᦡᦱᧆ|spelling ᨠᨯᩣ᩠ᨯ|k̇!ḋaad|k̇ḋaad|ᦂᦰᦡᦱᧆ	<i>noun</i><br><ol><li>paper.</li></ol>
ᦂᦱ|k̇aa|spelling ᨠᩣ	<i>noun</i><br><ol><li>crow</li></ol>
ᦂᦱᧉ|ᦙᧆ|ᦂᦸ|ᦩᦱᧄᦂᦱᧉ|ᦂᦱᧃᦂᦱᧉ|k̇aa²|ᦅᧁᧉ	<i>noun</i><br><ol><li>seedling</li></ol><br><i>verb</i><br><ol><li>to sprout</li></ol><br><i>adj</i><br><ol><li>brave</li><li>sharp</li><li>bright</li><li>loud; clear</li></ol>
ᦂᦲᧃ|ᦂᦱᧃᦂᦲᧃ|k̇iin|spelling ᨠᩥ᩠ᨶ|ᨠᩣ᩠ᩁᨠᩥ᩠ᨶ|ᨠᩥ᩠ᨶ	<i>verb</i><br><ol><li>to eat</li></ol>
ᦂᦳᧂ|k̇ung	<i>noun</i><br><ol><li>bow (weapon)</li></ol>
ᦂᦳᧂᧉ|k̇ung²	<i>noun</i><br><ol><li>shrimp</li></ol>
ᦂᦸᧂ|ᦂᦱᧃᦂᦸᧂ|k̇oang|spelling ᨠᩬᨦ	<i>noun</i><br><ol><li>pile, heap, stack</li><li>company of soldiers</li><li>drum</li></ol><br><i>verb</i><br><ol><li>to pile</li></ol>
ᦂᦽᧉ|k̇oy²	<i>noun</i><br><ol><li>banana.</li></ol>
ᦂᧁᧉ|k̇aw²	<i>num</i><br><ol><li>nine</li></ol>
ᦂᧇ|spelling ᨠᩢ᩠ᨷ|k̇ab	<i>prep</i><br><ol><li>with</li></ol><br><i>conj</i><br><ol><li>and</li></ol>
ᦃᦱ|ẋaa	<i>noun</i><br><ol><li>leg</li></ol>
