पान	<i>noun</i><br><ol><li>leaf</li></ol>
सतीं|satī̃	<i>postp</i><br><ol><li>from</li></ol>
𑂃𑂀𑂎𑂩𑂰|ãkhrā	<i>adj</i><br><ol><li>pure , uncontaminated</li></ol>
𑂃𑂀𑂎𑂱|ãkhi	<i>noun</i><br><ol><li>eye.</li></ol>
𑂃𑂀𑂎𑂳𑂄|ãkhuā	<i>noun</i><br><ol><li>seedling , sprout</li></ol>
𑂃𑂀𑂒𑂩𑂰|ãcrā	<i>noun</i><br><ol><li>fringe of saree</li></ol>
𑂃𑂀𑂗𑂪|ãṭal	<i>verb</i><br><ol><li>to fit in, be contained in</li></ol>
𑂃𑂍𑂚𑂯𑂩|akaṛhar	<i>noun</i><br><ol><li>(derogatory) trouble</li><li>drag</li><li>unseemly happening</li></ol>
𑂃𑂍𑂥𑂍𑂰𑂪|akbakāl	<i>verb</i><br><ol><li>to get startled</li></ol>
𑂃𑂍𑂩𑂎𑂢|akarkhan	<i>noun</i><br><ol><li>trouble</li><li>drag</li><li>unseemly happening</li></ol>
𑂃𑂍𑂰𑂔𑂲|akājī	<i>adj</i><br><ol><li>useless</li></ol>
𑂃𑂍𑂰𑂩|akār	<i>noun</i><br><ol><li>shape</li></ol>
𑂃𑂍𑂰𑂩𑂝|akāran	<i>adj</i><br><ol><li>unnecessary</li><li>causeless, unprovoked</li></ol><br><i>adv</i><br><ol><li>without cause</li><li>unnecessarily, needlessly</li></ol>
𑂃𑂍𑂰𑂩𑂟|akārath	<i>adj</i><br><ol><li>futile, pointless</li></ol><br><i>adv</i><br><ol><li>ineffectually</li></ol>
𑂃𑂍𑂰𑂪|akāl	<i>noun</i><br><ol><li>famine</li><li>a bad time</li></ol>
𑂃𑂍𑂰𑂮|akās	<i>noun</i><br><ol><li>sky</li></ol>
𑂃𑂍𑂱𑂪|akil	<i>noun</i><br><ol><li>intelligence, intellect</li><li>understanding</li></ol>
𑂃𑂍𑂳𑂪𑂰𑂪|akulāl	<i>verb</i><br><ol><li>to feel restless</li><li>to feel anxious</li></ol>
𑂃𑂍𑂳𑂪𑂰𑂯𑂗|akulāhaṭ	<i>noun</i><br><ol><li>restlessness, anxiety</li></ol>
𑂃𑂎𑂢𑂱|akhni	<i>adv</i><br><ol><li>now; currently, at present</li></ol>
𑂃𑂎𑂥𑂰𑂩|akhbār	<i>noun</i><br><ol><li>newspaper</li></ol>
𑂃𑂎𑂩𑂷𑂗|akhroṭ	<i>noun</i><br><ol><li>walnut</li></ol>
𑂃𑂏𑂩𑂰𑂪|agrāl	<i>verb</i><br><ol><li>to act up</li><li>to show pampered behaviour</li></ol>
𑂃𑂏𑂩𑂰𑂯𑂰|agrāhā	<i>adj</i><br><ol><li>arrogant, haughty</li></ol>
𑂃𑂏𑂪⸱𑂥𑂏𑂪|agal bagal	<i>adv</i><br><ol><li>around, here and there (in the vicinity or neighbourhood)</li></ol>
𑂃𑂏𑂳𑂄|aguā	<i>noun</i><br><ol><li>leader, head</li></ol>
𑂃𑂏𑂳𑂄𑂆|aguāi	<i>noun</i><br><ol><li>leadership</li><li>guidance, conduct</li></ol>
𑂃𑂏𑂵|age	<i>intj</i><br><ol><li>(feminine, familiar) term of address used for females; Hey</li></ol>
𑂃𑂏𑂷𑂩𑂪|agorāl	<i>verb</i><br><ol><li>to ward , to keep an eye on</li></ol>
