Anggarrisi'	<i>name</i><br><ol><li>England</li></ol><br><i>adj</i><br><ol><li>English</li></ol>
Araba	<i>noun</i><br><ol><li>Wednesday</li></ol>
Bugisi'|ᨅᨘᨁᨗᨔᨗ	<i>adj</i><br><ol><li>relating to the Buginese ethnic group or their language.</li></ol>
Mangkasara'|ᨆᨀᨔᨑ	<i>name</i><br><ol><li>Makassar (a city in South Sulawesi, Indonesia)</li></ol><br><i>adj</i><br><ol><li>of or relating to the city of Makassar.</li><li>relating to the Makassarese ethnic group or their language.</li></ol>
Marusu'|ᨆᨑᨘᨔᨘ	<i>name</i><br><ol><li>Maros (a town in South Sulawesi, Indonesia)</li></ol>
Paranggi|ᨄᨑᨁᨗ	<i>adj</i><br><ol><li>Portugese</li></ol>
Salasa	<i>noun</i><br><ol><li>Tuesday</li></ol>
Sambawa	<i>name</i><br><ol><li>Sumbawa (an island in West Nusa Tenggara, Indonesia)</li></ol><br><i>adj</i><br><ol><li>of or relating to Sumbawa island.</li><li>relating to the Sumbawa ethnic group or their language.</li></ol>
Sanneng|ᨔᨊᨙ	<i>noun</i><br><ol><li>Monday</li></ol>
Silayara'	<i>name</i><br><ol><li>Selayar (an island in South Sulawesi, Indonesia)</li></ol><br><i>adj</i><br><ol><li>of or relating to Selayar island.</li><li>relating to the Selayarese ethnic group or their language.</li></ol>
a'ba|ᨕᨅ	<i>noun</i><br><ol><li>flood</li></ol>
a'barrasa'|ᨕᨅᨑᨔ	<i>verb</i><br><ol><li>(intransitive) to sweep</li></ol>
a'bebe|ᨕᨅᨙᨅᨙ	<i>verb</i><br><ol><li>(intransitive) to drool</li></ol>
a'beso'|ᨕᨅᨙᨔᨚ	<i>verb</i><br><ol><li>semi-transitive of beso' (“to pull”)</li></ol>
a'boya|ᨕᨅᨚᨐ	<i>verb</i><br><ol><li>semi-transitive of boya (“to look for”)</li></ol>
a'dengka|ᨕᨉᨙᨀ	<i>verb</i><br><ol><li>semi-transitive of dengka (“to pound”)</li></ol>
a'garu|ᨕᨁᨑᨘ	<i>verb</i><br><ol><li>semi-transitive of garu (“to stir”)</li></ol>
a'je'ne'|ᨕᨍᨙᨊᨙ	<i>verb</i><br><ol><li>(intransitive) to bathe</li></ol>
a'lamung|ᨕᨒᨆᨘ	<i>verb</i><br><ol><li>semi-transitive of lamung (“to plant”)</li></ol>
a'lu'|ᨕᨒᨘ	<i>verb</i><br><ol><li>(transitive) to swallow</li></ol>
a'masa'	<i>adj</i><br><ol><li>wet (e.g. soaked cloth)</li></ol>
a'raka'|ᨕᨑᨀ	<i>verb</i><br><ol><li>semi-transitive of raka' (“to embrace”)</li></ol>
a'rappungang|ᨕᨑᨄᨘᨂ	<i>verb</i><br><ol><li>(intransitive) to gather (come together)</li></ol>
a'roko'|ᨕᨑᨚᨀᨚ	<i>verb</i><br><ol><li>semi-transitive of roko' (“to wrap”)</li></ol>
abang|ᨕᨅ	<i>noun</i><br><ol><li>(anatomy) forehead</li></ol>
accera'	<i>verb</i><br><ol><li>(intransitive) to bleed</li></ol>
accini'|ᨕᨌᨗᨊᨗ	<i>verb</i><br><ol><li>semi-transitive of cini' (“to see”)</li></ol>
accokko|ᨕᨌᨚᨀᨚ	<i>verb</i><br><ol><li>(intransitive) to hide</li></ol>
agang|ᨕᨁ	<i>noun</i><br><ol><li>friend, companion</li><li>road</li></ol>
akkalimbu'|ᨕᨀᨒᨗᨅᨘ	<i>verb</i><br><ol><li>(intransitive) to cover oneself with a blanket</li></ol>
akkaluru'|ᨕᨀᨒᨘᨑᨘ	<i>verb</i><br><ol><li>(intransitive) to smoke (cigarettes)</li></ol>
akkana|ᨕᨀᨊ	<i>verb</i><br><ol><li>semi-transitive of kana (“to say”)</li></ol>
akkangkang|ᨕᨀᨀ	<i>verb</i><br><ol><li>semi-transitive of kangkang (“to scratch”)</li></ol>
akke'bu'|ᨕᨀᨙᨅᨘ	<i>verb</i><br><ol><li>semi-transitive of ke'bu' (“to shut”)</li></ol>
akkeke|ᨕᨀᨙᨀᨙ	<i>verb</i><br><ol><li>semi-transitive of keke (“to dig”)</li></ol>
akkio'|ᨕᨀᨗᨕᨚ	<i>verb</i><br><ol><li>semi-transitive of kio' (“to call”)</li></ol>
akkulantu'|ᨕᨀᨘᨒᨈᨘ	<i>verb</i><br><ol><li>(intransitive) to kneel</li></ol>
alimbu'bu'|ᨕᨒᨗᨅᨘᨅᨘ	<i>noun</i><br><ol><li>dust</li></ol>
allanngere'|ᨕᨒᨂᨙᨑᨙ	<i>verb</i><br><ol><li>semi-transitive of lanngere' (“to hear”)</li></ol>
alle|ᨕᨒᨙ	<i>verb</i><br><ol><li>(transitive) to take</li></ol>
allembara'|ᨕᨒᨙᨅᨑ	<i>verb</i><br><ol><li>semi-transitive of lembara' (“to carry with a carrying pole”)</li></ol>
