@	<i>prep</i><br><ol><li>(informal) Abbreviation of amin'ny.</li></ol>
A	<i>character</i><br><ol><li>The first letter of the Malagasy alphabet, written in the Latin script.</li></ol>
Alemaina	<i>name</i><br><ol><li>Germany</li></ol>
Andriamanitra	<i>noun</i><br><ol><li>(Christianity) God</li></ol>
Antananarivo	<i>name</i><br><ol><li>Antananarivo (the capital city of Madagascar)</li></ol>
Aostralia	<i>name</i><br><ol><li>Australia (a country in Oceania)</li></ol>
Borneo	<i>name</i><br><ol><li>Borneo</li></ol>
Ejipta	<i>name</i><br><ol><li>Egypt</li></ol>
Ekoatera	<i>name</i><br><ol><li>Ecuador (South American country)</li></ol>
Etazonia	<i>name</i><br><ol><li>the United States (a country in North America)</li></ol>
Fanjakana|tany entin'ny mpanjaka	<i>noun</i><br><ol><li>"land of Kings" : realm</li></ol>
Finlandy	<i>name</i><br><ol><li>Finland</li></ol>
Fiverenana miteraka	<i>noun</i><br><ol><li>Renaissance</li></ol>
Fomba filomanosana	<i>noun</i><br><ol><li>crawl</li></ol>
Frantsa	<i>name</i><br><ol><li>France</li></ol>
Ikala	<i>noun</i><br><ol><li>wench</li></ol>
Ikelimalaza	<i>noun</i><br><ol><li>fetish</li></ol>
India	<i>name</i><br><ol><li>India</li></ol>
Ineny	<i>noun</i><br><ol><li>mother</li></ol>
Japana	<i>name</i><br><ol><li>Japan</li></ol>
Madagasikara|ماداجاسيكارا	<i>name</i><br><ol><li>Madagascar (a country in Africa)</li></ol>
Norvezy	<i>name</i><br><ol><li>Norway</li></ol>
Rapeto	<i>noun</i><br><ol><li>giant</li></ol>
Rosia	<i>name</i><br><ol><li>Russia</li></ol>
Sakamasay	<i>name</i><br><ol><li>(dialectal) August</li><li>A town in Atsimo-Andrefana, Madagascar.</li></ol>
Sakave	<i>name</i><br><ol><li>(dialectal) September</li><li>A town in Anosy, Madagascar.</li></ol>
Soeda	<i>name</i><br><ol><li>Sweden</li></ol>
Wikibolana	<i>name</i><br><ol><li>Wiktionary.</li></ol>
aba	<i>noun</i><br><ol><li>(dialectal) father</li></ol>
ababe	<i>noun</i><br><ol><li>(dialectal) ancestor</li><li>(dialectal) grandfather</li></ol>
abahana	<i>verb</i><br><ol><li>(of legs) to be stretched apart</li><li>to be put in the way of something</li></ol>
abaribary	<i>verb</i><br><ol><li>to be made public; to be made known</li></ol>
abidy	<i>noun</i><br><ol><li>alphabet</li></ol>
abily	<i>noun</i><br><ol><li>(Taimoro) slave</li></ol>
aboretaka	<i>verb</i><br><ol><li>to make bow down</li><li>to make cower</li><li>to make soft</li></ol>
adala	<i>adj</i><br><ol><li>foolish; crazy</li></ol>
adana	<i>noun</i><br><ol><li>slowness; peace; tranquility</li></ol>
adary	<i>noun</i><br><ol><li>(Sakalava) agitation; turbulence; uproar</li></ol>
adiady	<i>noun</i><br><ol><li>conflict</li></ol>
adidina	<i>adj</i><br><ol><li>blamed</li></ol>
adiditra	<i>verb</i><br><ol><li>to twist; to roll up</li></ol>
adidy	<i>noun</i><br><ol><li>something for which one is held responsible; a blame; a responsibility</li></ol><br><i>verb</i><br><ol><li>to cut with something (e.g. a knife)</li></ol>
adilotra	<i>verb</i><br><ol><li>to make something creak</li></ol>
adin' andriana	<i>noun</i><br><ol><li>a war agreed upon by the government</li><li>a quarrel in which both parties show great respect for each other</li></ol>
adina	<i>noun</i><br><ol><li>question</li><li>examination; interrogation</li></ol>
adiny	<i>noun</i><br><ol><li>hour</li></ol>
adisanina	<i>noun</i><br><ol><li>(mathematics) addition (mathematical operation)</li></ol>
adonadona	<i>noun</i><br><ol><li>pride; arrogance; contemptuousness</li></ol>
ady	<i>noun</i><br><ol><li>battle; war</li></ol>
ady am-parimbona	<i>noun</i><br><ol><li>a quarrel or dispute of a large party against a smaller party</li></ol>
ady an-trano	<i>noun</i><br><ol><li>civil war</li><li>legal dispute between members of the same clan or household</li></ol>
ady antsanga	<i>noun</i><br><ol><li>intense argument initiated for trivial reasons</li></ol>
afa-jaza	<i>adj</i><br><ol><li>aborted</li></ol>
afafa	<i>verb</i><br><ol><li>to sweep using X (e.g. a broom)</li></ol>
afafy	<i>verb</i><br><ol><li>to sow X, to cast X (e.g. seeds)</li></ol>
afahy	<i>verb</i><br><ol><li>to feed X</li><li>to fatten X</li></ol>
afaingoka	<i>adj</i><br><ol><li>bent</li></ol>
afaitra	<i>verb</i><br><ol><li>(dialectal) to be newly born</li></ol>
afaka	<i>verb</i><br><ol><li>set free; separated from; disengaged</li><li>unlocked</li><li>discharged</li><li>(a settlement in a war) taken; occupied</li><li>passed (an examination)</li></ol>
afaka aina	<i>adj</i><br><ol><li>dead (no longer alive)</li></ol>
afakampitso	<i>adv</i><br><ol><li>on the day after tomorrow</li></ol>
afakomaly	<i>adv</i><br><ol><li>on the day before yesterday</li></ol>
afato-bava	<i>adj</i><br><ol><li>arrested</li></ol>
afatotra	<i>verb</i><br><ol><li>to be bound; to be tied up</li></ol>
afatra	<i>verb</i><br><ol><li>to be measured</li></ol><br><i>noun</i><br><ol><li>(Betsimisaraka) a piercing cry</li></ol>
aferon-kena	<i>noun</i><br><ol><li>bile of cattle</li></ol>
afioka	<i>verb</i><br><ol><li>to be made to whiz</li></ol>
afo	<i>noun</i><br><ol><li>fire (oxidation reaction)</li><li>calamity</li></ol>
afofandiovana	<i>noun</i><br><ol><li>(Christianity) purgatory</li></ol>
afokasoka	<i>noun</i><br><ol><li>matches (device to help ignition)</li></ol>
afonafona	<i>noun</i><br><ol><li>fury; anger</li></ol>
afondolo	<i>noun</i><br><ol><li>will o' the wisp</li></ol>
aforano	<i>noun</i><br><ol><li>(chemistry) acid, especially sulfuric acid and phosphoric acid</li><li>(dialectal) the plant Ranunculus multifidus</li><li>(dialectal) the plant Ranunculus pinnatus</li></ol>
afotana	<i>verb</i><br><ol><li>(dialectal) that which is wound around something (e.g. a rope)</li></ol>
afotroa	<i>noun</i><br><ol><li>volcano</li></ol>
afovato	<i>noun</i><br><ol><li>flint (piece of flint rock scraped to produce a spark)</li></ol>
afovoany	<i>adv</i><br><ol><li>at the centre of; in the middle of</li></ol>
afoy	<i>verb</i><br><ol><li>to be forgotten</li><li>to be forsaken; to be abandoned; to be given up on</li></ol>
afy	<i>noun</i><br><ol><li>grandchild</li></ol>
ahady	<i>verb</i><br><ol><li>to dig using X</li></ol>
ahaingo	<i>verb</i><br><ol><li>to decorate with X</li></ol>
ahan-dratsy	<i>noun</i><br><ol><li>a hindrance</li></ol>
ahanahana	<i>noun</i><br><ol><li>doubt; hesitation; indecision</li></ol>
ahiahy	<i>noun</i><br><ol><li>concern</li></ol>
ahidrano	<i>noun</i><br><ol><li>cockspur grass (Echinochloa crus-galli)</li><li>antelope grass (Echinochloa pyramidalis)</li><li>Burgu millet (Echinochloa stagnina)</li><li>alga (aquatic photosynthetic organism)</li></ol>
ahimaina	<i>noun</i><br><ol><li>hay (dry grass used as fodder)</li></ol>
ahitra	<i>noun</i><br><ol><li>grass; herbaceous plants in general</li><li>(figuratively) the common people; the commoners</li><li>placenta; afterbirth</li></ol>
ahitsy ankavia	<i>verb</i><br><ol><li>align to left</li></ol>
aho|ahy|àho	<i>pron</i><br><ol><li>I (personal pronoun)</li></ol>
aholo	<i>noun</i><br><ol><li>(dialectal) the howling of a dog</li></ol>
ahonahona	<i>noun</i><br><ol><li>folly; foolishness; silliness</li></ol>
ahy	<i>noun</i><br><ol><li>concern; anxiety (for something/someone)</li></ol>
ahàtra	<i>adj</i><br><ol><li>applied</li></ol>
ai-miampify	<i>adj</i><br><ol><li>at the point of death; at death's door</li></ol>
aiay	<i>noun</i><br><ol><li>aye-aye (Daubentonia madagascariensis)</li></ol>
aidina	<i>verb</i><br><ol><li>to pour X</li><li>to take X down (can be literal, e.g. taking X downwards, or figurative, e.g. downgrading X)</li></ol><br><i>noun</i><br><ol><li>(dialectal, Sakalava) grease; fat</li></ol>
ainginaingina	<i>noun</i><br><ol><li>an elevated seat</li></ol>
