ڎ|ḷa	<i>character</i><br><ol><li>The fifty-second and the last letter of the Malayalam in Arabic script. It represents the Malayalam letter ഴ.</li></ol>
ڔ|ṛa	<i>character</i><br><ol><li>The 42nd letter of the Malayalam in the Arabic script. It represents the Malayalam letter ര. The Arabic script is rarely used to write Malayalam.</li></ol>
ڗ|ẓəy|ḍa	<i>character</i><br><ol><li>The 27th letter of the Malayalam Arabic script. It represents the Malayalam letter ഡ.</li><li>The twenty-first letter of the Shekhani abjad.https://drive.google.com/file/d/1S89ggoIVn4Ov3geADxZvUoy-hziJNkDO/view</li></ol>
ژ|ḻa	<i>character</i><br><ol><li>The 45th letter of the Malayalam Arabic script. It represents the Malayalam letter ഴ. The Arabic script is rarely used to write Malayalam.</li></ol>
ڹ|ṇa	<i>character</i><br><ol><li>The twenty-ninth letter of the Malayalam in Arabic script. It represents the Malayalam letter ണ.</li></ol>
ڿ|ña	<i>character</i><br><ol><li>The twenty-fourth letter of the Malayalam in Arabic script. It represents the Malayalam letter ഞ.</li></ol>
ۺ|ṣa	<i>character</i><br><ol><li>The forty-eighth letter of the Malayalam in Arabic script. It represents the Malayalam letter ഷ.</li></ol>
ۻ|ḷa	<i>character</i><br><ol><li>The forty-sixth letter of the Malayalam in Arabic script. It represents the Malayalam letter ള. The Arabic script is rarely used to write Malayalam.</li></ol>
ۼ|ṅa	<i>character</i><br><ol><li>The nineteenth letter of the Malayalam in Arabic script. It represents the Malayalam letter ങ.</li></ol>
ഀ	<i>character</i><br><ol><li>(archaic) This character is mostly restricted to grantha script texts for transcribing Sanskrit and Prakrits. In it the normal anusvara ം represents gemination of the next consonant and this anusvara represents an actual linguistic anusvara.</li></ol>
ഁ	<i>character</i><br><ol><li>(archaic) This character denotes the chandrabindu found in other brahmic scripts and cognates with ँ; it nasalises the preceding vowel. It was used to transcribe Sanskrit and Prakrit texts and isnt used nativly in Malayalam.</li></ol>
ം	<i>character</i><br><ol><li>The combining form of the vowel അം (aṃ), anusvara.</li></ol>
ഄ	<i>character</i><br><ol><li>(archaic) This character denotes the vedic anusvara found particularly in yajurveda and cognates with ꣳ; it contrasts with the regular anusvara ം.</li></ol>
അ|a	<i>character</i><br><ol><li>The 1st letter of Malayalam alphabet. Transliterated as a.</li></ol>
അം|aṃ	<i>character</i><br><ol><li>A vowel letter of Malayalam alphabet. Transliterated as aṃ.</li></ol>
അംഗ|aṅga	<i>adj</i><br><ol><li>body</li><li>organ</li></ol>
അംഗം|aṅgaṃ	<i>noun</i><br><ol><li>member; an individual</li><li>organ</li><li>part</li><li>body</li><li>mind</li></ol>
അംഗത്വം|aṅgatvaṃ	<i>noun</i><br><ol><li>membership</li></ol>
അംഗഭംഗം|aṅgabhaṅgaṃ	<i>noun</i><br><ol><li>amputation; loss of body part</li><li>handicap</li><li>mutilation</li></ol>
അംഗരക്ഷകൻ|aṅgarakṣakaṉ	<i>noun</i><br><ol><li>bodyguard (male)</li></ol>
അംഗലാവണ്യം|aṅgalāvaṇyaṃ	<i>noun</i><br><ol><li>physical beauty</li></ol>
അംഗവിഛേദനം|aṅgavichēdanaṃ	<i>noun</i><br><ol><li>amputation</li></ol>
അംഗവൈകല്യം|aṅgavaikalyaṃ	<i>noun</i><br><ol><li>disability; physical handicap</li></ol>
അംഗീകരണം|aṅgīkaraṇaṃ	<i>noun</i><br><ol><li>recognition</li><li>acceptance</li><li>approval</li></ol>
അംഗീകരിക്കുക|aṅgīkarikkuka	<i>verb</i><br><ol><li>To accept</li><li>To approve</li><li>To recognize</li></ol>
അംഗീകാരം|aṅgīkāraṃ	<i>noun</i><br><ol><li>recognition</li><li>approval</li><li>acceptance</li></ol>
അംഗുലം|aṅgulaṃ	<i>noun</i><br><ol><li>finger</li><li>thumb</li><li>a measuring unit</li><li>sacred fig tree</li></ol>
അംബരം|ambaraṃ	<i>noun</i><br><ol><li>sky</li><li>clothing</li></ol>
അംബരചുംബി|ambaracumbi	<i>noun</i><br><ol><li>skyscraper</li></ol>
അംബുജം|ambujaṃ	<i>noun</i><br><ol><li>lotus</li></ol>
അംശം|aṃśaṃ	<i>noun</i><br><ol><li>part; small portion</li></ol>
അംശു|aṃśu	<i>noun</i><br><ol><li>light beam; ray</li><li>brightness</li><li>atom</li><li>decoration</li></ol>
അംഹ്രി|aṃhri	<i>noun</i><br><ol><li>foot</li></ol>
അഃ|aḥ	<i>character</i><br><ol><li>A vowel letter for the visarga in the Malayalam abugida. Transliterated as aḥ.</li></ol>
അകം|akaṃ	<i>noun</i><br><ol><li>inside</li></ol>
അകക്കണ്ണ്|akakkaṇṇŭ	<i>noun</i><br><ol><li>hindsight</li></ol>
അകക്കാമ്പ്|akakkāmpŭ	<i>noun</i><br><ol><li>inner core</li><li>inside</li><li>heart</li><li>mind</li></ol>
അകഠിന|akaṭhina	<i>adj</i><br><ol><li>not hard; soft</li></ol>
അകത്തി|akatti	<i>noun</i><br><ol><li>vegetable hummingbird</li></ol>
അകത്തിയൻ|akattiyaṉ	<i>noun</i><br><ol><li>insider</li></ol>
അകത്ത്|akattŭ	<i>adv</i><br><ol><li>inside</li></ol><br><i>postp</i><br><ol><li>inside</li></ol>
അകമ്പടി|akampaṭi	<i>noun</i><br><ol><li>escort</li></ol>
അകരം|akaraṃ	<i>noun</i><br><ol><li>A Brahmin house</li></ol>
അകറ്റുക|akaṟṟuka	<i>verb</i><br><ol><li>To create distance</li><li>To avert</li><li>To alienate; estrange</li></ol>
അകലം|akalaṃ	<i>noun</i><br><ol><li>distance</li><li>separation</li></ol>
അകലുക|akaluka	<i>verb</i><br><ol><li>To create distance</li><li>To increase gap</li><li>To move afar; go</li><li>To leave; go</li><li>To distance; to move away (from) someone or something.</li></ol>
അകലെ|akale	<i>adj</i><br><ol><li>far</li></ol>
അകിൽ|akil	<i>noun</i><br><ol><li>agarwood</li></ol>
അക്ക|akka	<i>noun</i><br><ol><li>(rare) elder sister.</li></ol>
അക്കം|akkaṃ	<i>noun</i><br><ol><li>digit, numeral</li></ol>
അക്കരെ നിന്നാൽ ഇക്കരെ പച്ച|akkare ninnāl ikkare pacca	<i>proverb</i><br><ol><li>the grass is always greener on the other side</li></ol>
അക്കോലോമേറ്റ്|akkōlōmēṟṟŭ	<i>noun</i><br><ol><li>(zoology): acoelomate</li></ol>
അക്കൗണ്ട്|akkauṇṭŭ	<i>noun</i><br><ol><li>account</li></ol>
അക്ട്|akṭŭ	<i>noun</i><br><ol><li>(archaic): act</li></ol>
അക്രമം|akramaṃ	<i>noun</i><br><ol><li>violation of rules; attackive actions</li><li>disorder</li><li>violence</li></ol>
അക്രോസെൻട്രിക്|akrōseṉṭrikŭ	<i>adj</i><br><ol><li>(genetics): acrocentric</li></ol>
അക്രോസോം|akrōsōṃ	<i>noun</i><br><ol><li>acrosome</li></ol>
അക്ലമിഡിയസ്|aklamiḍiyasŭ	<i>adj</i><br><ol><li>(botany): achlamydeous</li></ol>
അക്ഷരം|akṣaraṃ	<i>noun</i><br><ol><li>letter of the alphabet.</li></ol>
അക്ഷരത്തെറ്റ്|akṣaratteṟṟŭ	<i>noun</i><br><ol><li>spelling mistake</li></ol>
അക്ഷരപ്പിശക്|akṣarappiśakŭ	<i>noun</i><br><ol><li>spelling mistake</li></ol>
അക്ഷി|akṣi	<i>noun</i><br><ol><li>eye</li></ol>
അകൽച്ച|akalcca	<i>noun</i><br><ol><li>distance; gap</li><li>estrangedness</li></ol>
അഖണ്ഡം|akhaṇḍaṃ	<i>noun</i><br><ol><li>unbroke</li></ol>
അഗജം|agajaṃ	<i>noun</i><br><ol><li>bitumen</li></ol>
അഗതി|agati	<i>noun</i><br><ol><li>destitute</li></ol>
അഗാധത|agādhata	<i>noun</i><br><ol><li>depth</li></ol>
അഗിരം|agiraṃ	<i>noun</i><br><ol><li>gold</li><li>fire</li><li>Indian leadwort</li></ol>
അഗ്ഗ്നി|aggni	<i>noun</i><br><ol><li>(colloquial): fire</li></ol>
അഗ്നി|agni	<i>noun</i><br><ol><li>fire</li></ol><br><i>name</i><br><ol><li>Hindu god of fire; Agni</li></ol>
അഗ്നിശമനം|agniśamanaṃ	<i>noun</i><br><ol><li>firefighting; extinguishing a fire</li></ol>
അഗ്രം|agraṃ	<i>noun</i><br><ol><li>tip</li><li>foremost point or part</li><li>first; principal</li></ol>
അഗ്രകേന്ദ്രീകൃതം|agrakēndrīkr̥taṃ	<i>adj</i><br><ol><li>(genetics): acrocentric</li></ol>
അങ്കം|aṅkaṃ	<i>noun</i><br><ol><li>mark; sign</li><li>war; fight</li><li>sin</li><li>ornament</li></ol>
അങ്കക്കളരി|aṅkakkaḷari	<i>noun</i><br><ol><li>The arena where ancient duels of India were fought, including the platform and observation area.</li></ol>
അങ്കച്ചേകവർ|aṅkaccēkavaṟ	<i>noun</i><br><ol><li>A dueler that fought for his ruler; a dueler in Kerala, South India who resolved quarrels between local rulers with a duel to the death.</li></ol>
അങ്കണം|aṅkaṇaṃ	<i>noun</i><br><ol><li>courtyard</li></ol>
അങ്കണവാടി|അംഗൻവാടി|aṅgaṉvāṭi|aṅkaṇavāṭi	<i>noun</i><br><ol><li>Anganwadi; rural child care center by Government of India</li></ol>
അങ്കുശം|aṅkuśaṃ	<i>noun</i><br><ol><li>comma sign</li><li>iron goad; elephant hook, the hook used to drive or guide an elephant.</li></ol>
അങ്ങനെ|aṅṅane	<i>adv</i><br><ol><li>that way; in that manner</li><li>thus</li></ol>
അങ്ങാടി|aṅṅāṭi	<i>noun</i><br><ol><li>market</li></ol>
അങ്ങേയറ്റം|aṅṅēyaṟṟaṃ	<i>adv</i><br><ol><li>extremely</li></ol>
അങ്ങോട്|aṅṅōṭŭ	<i>adv</i><br><ol><li>to there, at that place</li></ol>
അങ്ങോട്ട്|aṅṅōṭṭŭ	<i>adv</i><br><ol><li>to there, at that place</li></ol>
അങ്ങ്|aṅṅŭ	<i>pron</i><br><ol><li>(formal): you</li></ol><br><i>adv</i><br><ol><li>there</li></ol>
അച്ചടക്ക|accaṭakka	<i>noun</i><br><ol><li>disciplinary; pertaining to discipline</li></ol>
അച്ചടക്കം|accaṭakkaṃ	<i>noun</i><br><ol><li>discipline</li></ol>
അച്ചടിക്കുക|accaṭikkuka	<i>verb</i><br><ol><li>print</li></ol>
അച്ചടിയന്ത്രം|accaṭiyantraṃ	<i>noun</i><br><ol><li>printer</li></ol>
അച്ചായൻ|accāyaṉ	<i>noun</i><br><ol><li>used by Syriac Christians to call others.</li></ol>
അച്ചാർ|accāṟ	<i>noun</i><br><ol><li>pickle</li></ol>
അച്ചി|acci	<i>noun</i><br><ol><li>woman, female</li><li>wife</li><li>mother</li></ol>
അച്ചിങ്ങ|acciṅṅa	<i>noun</i><br><ol><li>asparagus bean</li></ol>
അച്ചുതൻ|accutaṉ	
അച്ച്|accŭ	<i>noun</i><br><ol><li>axle</li></ol>
അച്ഛൻ|accaṉ|അച്ഛന്മാരേ|അച്ഛന്മാര്|അച്ഛന്|അച്ഛന്റെ|acchaṉ|അച്ഛനോട്|അച്ഛന്മാരാല്|അച്ഛനില്|അച്ഛനു|അച്ഛനെ|അച്ഛന്മാരൊട്|അച്ഛന്മാര്ക്ക്|അച്ഛന്മാരില്|അച്ഛാ|അച്ഛനാല്|അച്ചൻ|അച്ഛന്മാരുടെ|അച്ഛന്മാരെ	<i>noun</i><br><ol><li>father</li><li>(church) christian priest</li></ol>
അജീവിയ|ajīviya	<i>adj</i><br><ol><li>abiotic</li></ol>
അജീവിയഘടകം|ajīviyaghaṭakaṃ	<i>noun</i><br><ol><li>abiotic factor</li></ol>
അജൈവം|ajaivaṃ	<i>adj</i><br><ol><li>abiotic</li></ol>
അജൈവഘടകം|ajaivaghaṭakaṃ	<i>noun</i><br><ol><li>abiotic factor</li><li>abiotic component</li></ol>
അജൈവജനനം|ajaivajananaṃ	<i>noun</i><br><ol><li>(evolutionary theory): abiogenesis</li></ol>
അജൈവജീവോൽപത്തി|ajaivajīvōlpatti	<i>noun</i><br><ol><li>(evolutionary theory): abiogenesis</li></ol>
അജ്ഞത|ajñata	<i>noun</i><br><ol><li>ignorance; lack of knowledge</li></ol>
അജ്ഞാനം|ajñānaṃ	<i>noun</i><br><ol><li>ignorance; unknowledge; lack of knowledge</li></ol>
അഞ്ചനം|añcanaṃ	<i>noun</i><br><ol><li>ointment</li></ol>
അഞ്ചാം|añcāṃ	<i>adj</i><br><ol><li>fifth, 5th</li></ol>
അഞ്ചിതം|añcitaṃ	<i>noun</i><br><ol><li>reverenced, revered</li><li>worshipped</li><li>beautiful</li><li>adored, feared</li><li>trembling</li><li>the feeling of awe</li></ol>
അഞ്ചുക|അഞ്ച്|añcŭ|añcuka	<i>verb</i><br><ol><li>To fear</li></ol>
അഞ്ച്|añcŭ	<i>num</i><br><ol><li>five (numeral: ൫).</li></ol>
അഞ്ജന|añjana	<i>name</i><br><ol><li>Anjana, the mother of Lord Hanuman</li></ol>
അഞ്ജലി|añjali	<i>noun</i><br><ol><li>folded hands; namaste gesture</li></ol>
അഞ്ഞനം|aññanaṃ	<i>noun</i><br><ol><li>(colloquial): ointment</li></ol>
അഞ്ഞലി|aññali	<i>noun</i><br><ol><li>(colloquial): folded hands; namaste gesture</li></ol>
അഞ്ഞൂറാം|aññūṟāṃ	<i>adj</i><br><ol><li>five hundredth, 500th</li></ol>
അഞ്ഞൂറ്|aññūṟŭ	<i>num</i><br><ol><li>five hundred</li></ol>
അടക്ക|aṭakka	<i>noun</i><br><ol><li>areca nut, betel nut</li></ol>
അടക്കം|aṭakkaṃ	<i>noun</i><br><ol><li>restraint; self-restraint</li><li>in control</li><li>inclusion</li><li>burial</li></ol><br><i>postp</i><br><ol><li>including</li></ol>
അടക്കാമരം|aṭakkāmaraṃ	<i>noun</i><br><ol><li>areca palm tree, from which areca nut is harvested</li><li>betel palm tree</li></ol>
