'-d-j	<i>root</i><br><ol><li>Related with shining, being bright.</li></ol>
'l fuq u 'l isfel	<i>adv</i><br><ol><li>up and down</li></ol>
'l hawn u 'l hinn	<i>adv</i><br><ol><li>here and there, hither and thither, back and forth, around</li></ol>
A	<i>character</i><br><ol><li>The first letter of the Maltese alphabet, written in the Latin script.</li></ol>
Abraham	<i>name</i><br><ol><li>(chiefly biblical) Abraham (male personal name)</li></ol>
Adam	<i>name</i><br><ol><li>Adam</li></ol>
Afrika|L-Afrika	<i>name</i><br><ol><li>Africa</li></ol>
Afrikans	<i>name</i><br><ol><li>Afrikaans</li></ol>
Albanija	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Albaniż|Albaniżi|Albaniża|L-Albaniż	<i>adj</i><br><ol><li>Albanian (of or pertaining to Albania)</li></ol><br><i>noun</i><br><ol><li>(male) Albanian</li></ol><br><i>name</i><br><ol><li>the Albanian language</li></ol>
Alla	<i>name</i><br><ol><li>(religion, monotheism) God</li></ol>
Alla jagħtih il-ġenna	<i>phrase</i><br><ol><li>(Christianity) God rest his soul; God grant him heaven</li></ol>
Alla jaħfirlu	<i>phrase</i><br><ol><li>(Christianity) God rest his soul; God have mercy on his soul</li></ol>
Alla jbierek	<i>intj</i><br><ol><li>To express happiness for someone, God bless</li><li>To express disbelief</li></ol>
Amerika|L-Amerika	<i>name</i><br><ol><li>America (the continents of North America and South America)</li><li>America, United States of America (a country in North America)</li></ol>
Amħariku	<i>name</i><br><ol><li>Amharic</li></ol>
Angulja	<i>name</i><br><ol><li>Anguilla (an archipelago and overseas territory of the United Kingdom, in the Caribbean Sea)</li></ol>
April	<i>name</i><br><ol><li>April</li></ol>
Aristotile	<i>name</i><br><ol><li>Aristotle</li></ol>
Armenja	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Armenjan|Armenjana|Armenjani	<i>adj</i><br><ol><li>Armenian</li></ol><br><i>noun</i><br><ol><li>(male) Armenian</li></ol>
Arġentina	<i>name</i><br><ol><li>Argentina</li></ol>
Asja	<i>name</i><br><ol><li>Asia</li></ol>
Asturjan|Asturjani|L-Asturjan	<i>adj</i><br><ol><li>Asturian (of, from, or pertaining to Asturias)</li></ol><br><i>noun</i><br><ol><li>Asturian person</li></ol><br><i>name</i><br><ol><li>the Asturian language</li></ol>
Ateni	<i>name</i><br><ol><li>Athens (the capital of Greece)</li></ol>
Ave Marija|l-Ave Marija	<i>name</i><br><ol><li>(Roman Catholicism) Synonym of Sliema (“Hail Mary”)</li></ol>
Awissu	<i>name</i><br><ol><li>August (eighth month of the Gregorian calendar)</li></ol>
Awstralja	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Awstrija	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Awwissu	<i>name</i><br><ol><li>August</li></ol>
Ażerbajġan	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Ażerbajġani|L-Ażerbajġani	<i>name</i><br><ol><li>Azerbaijani (language)</li></ol>
B|b	<i>character</i><br><ol><li>The second letter of the Maltese alphabet, written in the Latin script.</li></ol>
Baħamas|Il-Baħamas	<i>name</i><br><ol><li>Bahamas (an archipelago and country in the Caribbean)</li></ol>
Baħar Adrijatiku|Il-Baħar Adrijatiku	<i>name</i><br><ol><li>(geography) Adriatic Sea</li></ol>
Baħar Jonju	<i>name</i><br><ol><li>Ionian Sea</li></ol>
Baħar Karibew|Il-Baħar Karibew	<i>name</i><br><ol><li>(geography) Caribbean Sea</li></ol>
Baħar l-Aħmar|il-Baħar l-Aħmar	<i>name</i><br><ol><li>Red Sea</li></ol>
Baħar l-Isfar|il-Baħar l-Isfar	<i>name</i><br><ol><li>Yellow Sea</li></ol>
Baħrejn|Il-Baħrejn	<i>name</i><br><ol><li>Bahrain (a country in Asia)</li></ol>
Belarus	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Belarussa|Belarussi	<i>noun</i><br><ol><li>(female) Belarusian</li></ol>
Belarussja	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Belarussu|Il-Belarussu|Belarussa|Belarussi	<i>adj</i><br><ol><li>Belarusian</li></ol><br><i>noun</i><br><ol><li>(male) Belarusian</li></ol><br><i>name</i><br><ol><li>the Belarusian language</li></ol>
Belfast	<i>name</i><br><ol><li>Belfast (the capital city of Northern Ireland)</li></ol>
Belgrad	<i>name</i><br><ol><li>Belgrade (the capital city of Serbia)</li></ol>
Belt ta' Monako|Il-Belt ta' Monako	<i>name</i><br><ol><li>Monaco (the capital city of Monaco)</li></ol>
Belġju|Il-Belġju	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Bibbja|il-Bibbja	<i>name</i><br><ol><li>(Christianity) the Bible</li></ol>
Bin il-Bniedem	<i>name</i><br><ol><li>(Christianity) Son of Man (title of Jesus Christ)</li></ol>
Birkirkara	<i>name</i><br><ol><li>Birkirkara (a city and local council of the Central Region, Malta)</li></ol>
Birżebbuġa	<i>name</i><br><ol><li>Birżebbuġa (a town and local council of the Central Region, Malta)</li></ol>
Bormla	<i>name</i><br><ol><li>Cospicua (a city and local council of the South Eastern Region, Malta)</li></ol>
Bormliż|Bormliżi|Bormliża	<i>adj</i><br><ol><li>from or related to Bormla</li></ol><br><i>noun</i><br><ol><li>someone from Bormla (person)</li></ol>
Bożnja|Il-Bożnja	<i>name</i><br><ol><li>Bosnia</li></ol>
Brażil	<i>noun</i><br><ol><li>Brazil (a country in South America)</li></ol>
Brażiljan|Brażiljani|Brażiljana	<i>adj</i><br><ol><li>brazilian</li></ol>
Buddiżmu	<i>name</i><br><ol><li>Buddhism</li></ol>
Bulgarija|Il-Bulgarija	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Bulgaru|Bulgari|Bulgara|Il-Bulgaru	<i>adj</i><br><ol><li>Bulgarian</li></ol><br><i>noun</i><br><ol><li>(male) Bulgarian</li></ol><br><i>name</i><br><ol><li>the Bulgarian language</li></ol>
BĊE	<i>name</i><br><ol><li>Initialism of Bank Ċentrali Ewropew (“European Central Bank”).</li></ol>
Danimarka|Id-Danimarka	<i>name</i><br><ol><li>Denmark</li></ol>
Daniż|Daniżi|Id-Daniż	<i>adj</i><br><ol><li>Danish</li></ol><br><i>noun</i><br><ol><li>(male) Dane</li></ol><br><i>name</i><br><ol><li>the Danish language</li></ol>
Daniża|Daniżi	<i>name</i><br><ol><li>Dane (female)</li></ol>
David	<i>noun</i><br><ol><li>David (given name)</li></ol>
Dingli|Dinglija|Dinglin	<i>adj</i><br><ol><li>from or related to Dingli</li></ol><br><i>noun</i><br><ol><li>someone from Dingli (person)</li></ol>
Diċembru	<i>name</i><br><ol><li>December</li></ol>
Dott.	<i>noun</i><br><ol><li>Dr.</li></ol>
Ebrajk|L-Ebrajk	<i>name</i><br><ol><li>Hebrew (language)</li></ol>
Ekwador	<i>name</i><br><ol><li>Ecuador (a country in South America)</li></ol>
Erbgħa	<i>noun</i><br><ol><li>Wednesday</li></ol>
Estonja	<i>name</i><br><ol><li>Estonia</li></ol>
Estonjan|Estonjana|Estonjani|L-Estonjan	<i>adj</i><br><ol><li>Estonian</li></ol><br><i>noun</i><br><ol><li>(male) Estonian</li></ol><br><i>name</i><br><ol><li>the Estonian language</li></ol>
Ewropa|L-Ewropa	<i>name</i><br><ol><li>(geography) Europe</li></ol>
Eġittu|l-Eġittu	<i>name</i><br><ol><li>Egypt</li></ol>
Eġizzjan|Eġizzjani|Eġizzjana	<i>adj</i><br><ol><li>Egyptian</li></ol>
Fariżew|Fariżej	<i>noun</i><br><ol><li>Pharisee</li></ol>
Fawriż|Fawriżi|Fawriża	<i>adj</i><br><ol><li>Faroese</li></ol><br><i>noun</i><br><ol><li>Faroese man</li></ol><br><i>name</i><br><ol><li>the Faroese language</li></ol>
Federazzjoni Russa	<i>name</i><br><ol><li>Russian Federation</li></ol>
Finlandiż|Il-Finlandiż|Finlandiżi|Finlandiża	<i>adj</i><br><ol><li>Finnish</li></ol><br><i>noun</i><br><ol><li>Finn (Finnish person)</li></ol><br><i>name</i><br><ol><li>the Finnish language</li></ol>
Franza	<i>name</i><br><ol><li>France</li></ol>
Franċiż|Franċiżi|Il-Franċiż|Franċiża	<i>adj</i><br><ol><li>French</li></ol><br><i>noun</i><br><ol><li>Frenchman</li></ol><br><i>name</i><br><ol><li>the French language</li></ol>
Franċiża|Franċiżi	<i>noun</i><br><ol><li>Frenchwoman</li></ol>
Frar	<i>name</i><br><ol><li>February</li></ol>
Gallegjan|Gallegjani	<i>noun</i><br><ol><li>(male) Galician</li></ol><br><i>name</i><br><ol><li>the Galician language</li></ol>
Gran Brittanja|Il-Gran Brittanja	<i>name</i><br><ol><li>Great Britain</li></ol>
Greċja	<i>name</i><br><ol><li>Greece</li></ol>
Grieg|Griegi|Griega|Il-Grieg	<i>adj</i><br><ol><li>Greek</li></ol><br><i>noun</i><br><ol><li>Greek (person)</li></ol><br><i>name</i><br><ol><li>the Greek language</li></ol>
Guġarati	<i>name</i><br><ol><li>the Gujarati language</li></ol>
Għ|għ	<i>character</i><br><ol><li>The ninth letter of the Maltese alphabet, after G.</li></ol>
Għanja tal-Għanjiet|l-Għanja tal-Għanjiet	<i>name</i><br><ol><li>(biblical) Canticles, Song of Songs, Song of Solomon</li></ol>
Għarbi|l-Għarbi|Għarab|Għarbija|Għarbin	<i>adj</i><br><ol><li>Arab, Arabic</li></ol><br><i>noun</i><br><ol><li>Arab</li></ol><br><i>name</i><br><ol><li>Arabic (language)</li></ol>
Għawdex	<i>name</i><br><ol><li>Gozo (the second-largest island in the Maltese archipelago)</li></ol>
Għawdxi|Għawdxin|Għawdxija	<i>adj</i><br><ol><li>Gozitan</li></ol><br><i>noun</i><br><ol><li>Gozitan (person)</li></ol>
Għawdxija	<i>noun</i><br><ol><li>Gozitan (person)</li></ol>
Għebrew|Għebrej|Għebrija|Ebrija|Ebrej|Ebrew	<i>adj</i><br><ol><li>(of a person) Hebrew</li></ol>
Għeden	<i>name</i><br><ol><li>Eden (the paradise of Adam and Eve)</li></ol>
Għesaw	<i>name</i><br><ol><li>(biblical) Esau (male personal name)</li></ol>
Għid|l-Għid	<i>noun</i><br><ol><li>(Christianity) Easter (feast celebrating the resurrection of Christ)</li><li>(Christianity, in fixed terms) another religious feast</li></ol>
