Dulimbai gurun	<i>romanization</i><br><ol><li>Romanization of ᡩ᠋ᡠ᠋ᠯᡳᠮᠪᠠᡳ</li><li>ᡤᡠᡵᡠᠨ (d᠋u᠋limbai gurun)</li></ol>
abdaha	<i>romanization</i><br><ol><li>Romanization of ᠠᠪᡩᠠᡥᠠ</li></ol>
abka	<i>romanization</i><br><ol><li>Romanization of ᠠᠪᡴᠠ</li></ol>
abkai cikten	<i>romanization</i><br><ol><li>Romanization of ᠠᠪᡴᠠᡳ</li><li>ᠴᡳᡴᡨᡝᠨ</li></ol>
abkai jui	<i>romanization</i><br><ol><li>Romanization of ᠠᠪᡴᠠᡳ</li><li>ᠵᡠᡳ</li></ol>
adali	<i>romanization</i><br><ol><li>Romanization of ᠠᡩᠠᠯᡳ</li></ol>
ai	<i>romanization</i><br><ol><li>Romanization of ᠠᡳ</li></ol>
aifini	<i>romanization</i><br><ol><li>Romanization of ᠠᡳᡶᡳᠨᡳ (“long since; long ago”)</li></ol>
aika	<i>romanization</i><br><ol><li>Romanization of ᠠᡳᡴᠠ</li></ol>
ainu	<i>romanization</i><br><ol><li>Romanization of ᠠᡳᠨᡠ</li></ol>
aja	<i>romanization</i><br><ol><li>Romanization of ᠠᠵᠠ</li></ol>
aja jeje	<i>romanization</i><br><ol><li>Romanization of ᠠᠵᠠ</li><li>ᠵᡝᠵᡝ</li></ol>
akjan	<i>romanization</i><br><ol><li>Romanization of ᠠᡴᠵᠠᠨ</li></ol>
akū	<i>romanization</i><br><ol><li>Romanization of ᠠᡴᡡ</li></ol>
alin	<i>romanization</i><br><ol><li>Romanization of ᠠᠯᡳᠨ (alin)</li></ol>
ama eme	<i>romanization</i><br><ol><li>Romanization of ᠠᠮᠠ</li><li>ᡝᠮᡝ</li></ol>
amaga enen	<i>romanization</i><br><ol><li>Romanization of ᠠᠮᠠᡤᠠ</li><li>ᡝᠨᡝᠨ</li></ol>
