A	<i>character</i><br><ol><li>The first letter of the Maori alphabet, written in the Latin script.</li></ol>
Ahitereiria	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Ahuriri	<i>name</i><br><ol><li>Napier (a city in New Zealand)</li></ol>
Airangi	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Airani	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Anakora	<i>name</i><br><ol><li>Angola (a country in Africa)</li></ol>
Aoraki	<i>name</i><br><ol><li>(southern dialect) Mount Cook (tallest mountain in New Zealand)</li></ol>
Aotearoa	<i>name</i><br><ol><li>(obsolete) North Island (of New Zealand)</li><li>New Zealand</li><li>The Māori name for the national anthem of New Zealand, God Defend New Zealand</li></ol>
Apārangi	<i>name</i><br><ol><li>Mercury (planet)</li></ol>
Aranga	<i>name</i><br><ol><li>(holiday) (Te ~) Easter</li></ol>
Arapeinia	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Aratiria	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Atepaihānia	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Ateria	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Ekuatoa	<i>name</i><br><ol><li>Ecuador (a country in South America)</li></ol>
Eritēria	<i>name</i><br><ol><li>Eritrea (a country in Africa)</li></ol>
Etiopia	<i>name</i><br><ol><li>Ethiopia (a country in Africa)</li></ol>
Etonia	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Haimona	<i>name</i><br><ol><li>Simon (biblical)</li></ol>
Haina	<i>name</i><br><ol><li>China (a country in Asia)</li></ol>
Haipara	<i>name</i><br><ol><li>Cyprus (a country in Europe)</li></ol>
Hakihea	<i>name</i><br><ol><li>The seventh month of the maramataka (lunar calendar), corresponding to November–December of the Gregorian calendar.</li><li>Alpha Centauri</li></ol>
Hanekeria	<i>name</i><br><ol><li>Hungary (a country in Europe)</li></ol>
Hapani	<i>name</i><br><ol><li>Japan (a country in Asia)</li></ol>
Harare|harare	<i>adj</i><br><ol><li>bleary-eyed</li></ol>
Haratua	<i>name</i><br><ol><li>The twelfth month of the maramataka (lunar calendar), corresponding to April–May of the Gregorian calendar.</li></ol>
Hawaiki	<i>name</i><br><ol><li>(mythology) Hawaiki, the legendary homeland of the Maori before their arrival at Aotearoa (New Zealand), and also the underworld.</li></ol>
Henekara	<i>name</i><br><ol><li>Senegal (a country in Africa)</li></ol>
Hepetema	<i>name</i><br><ol><li>September (month)</li></ol>
Here-turi-kōkā|Hereturikōkā	<i>name</i><br><ol><li>The third month of the maramataka (lunar calendar), corresponding to July–August of the Gregorian calendar.</li></ol>
Heretaunga	<i>name</i><br><ol><li>Hastings (a city in New Zealand)</li></ol>
Herewini	<i>name</i><br><ol><li>Selwyn (surname; place name)</li></ol>
Himiona	<i>name</i><br><ol><li>Simeon (biblical)</li></ol>
Hina	<i>name</i><br><ol><li>personification of the Moon</li></ol>
Hineitīweka	<i>name</i><br><ol><li>Jupiter (planet)</li></ol>
Hinekōrako	<i>noun</i><br><ol><li>moonbow</li></ol>
Hingapoa	<i>name</i><br><ol><li>Singapore (a country in Asia)</li></ol>
Hiri	<i>name</i><br><ol><li>Chile (a country in South America)</li></ol>
Hiri Rānaka	<i>name</i><br><ol><li>Sri Lanka (a country in Asia)</li></ol>
Hiria	<i>name</i><br><ol><li>Syria (a country in Asia)</li></ol>
Hironga	<i>name</i><br><ol><li>Geelong (a city in Victoria, Australia)</li></ol>
Hoana	<i>name</i><br><ol><li>Joanna (biblical)</li></ol>
Hoani	<i>name</i><br><ol><li>John (biblical)</li></ol>
Hongonui	<i>name</i><br><ol><li>The second month of the maramataka (lunar calendar), corresponding to June–July of the Gregorian calendar.</li></ol>
Hononga-o-Amerika	<i>name</i><br><ol><li>the United States (a country in North America)</li></ol>
Hopatāone	<i>name</i><br><ol><li>Hobart (the capital of Tasmania, Australia)</li></ol>
Horowākia	<i>name</i><br><ol><li>Slovakia</li></ol>
