A	<i>character</i><br><ol><li>The first letter of the Mapudungun alphabet, written in the Latin script.</li></ol>
Arkentina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Chile	<i>name</i><br><ol><li>Chile (a country in South America)</li></ol>
Gulu Mapu	<i>name</i><br><ol><li>Chile (a country in South America)</li></ol>
Gulumapu	<i>name</i><br><ol><li>Chile (a country in South America)</li></ol>
Kilikura	<i>name</i><br><ol><li>Quilicura</li></ol>
Mapu chuco	<i>name</i><br><ol><li>Mapocho River</li></ol>
Mapuce	<i>name</i><br><ol><li>Mapuche; An indigenous group of inhabitants of Central and Southern Chile and Southern Argentina.</li><li>The language of the Mapuche people.</li></ol><br><i>adj</i><br><ol><li>Of, from, or pertaining to the Mapuche.</li></ol><br><i>noun</i><br><ol><li>A person of the Mapuche.</li></ol>
Mapucezugun	<i>name</i><br><ol><li>The Mapudungun language; A language isolate spoken in Chile and Argentina by the Mapuche people.</li></ol>
Mapudungun|spelling	<i>name</i><br><ol><li>A language isolate spoken in Chile and Argentina by the Mapuche people.</li></ol>
Mapuzugun	<i>name</i><br><ol><li>The Mapudungun language; A language isolate spoken in Chile and Argentina by the Mapuche people.</li></ol>
Ngulumapu	<i>name</i><br><ol><li>land inhabited by Mapuches at the west of the Andes.</li><li>Chile.</li></ol>
Pu dawüll	<i>name</i><br><ol><li>Pudahuel</li></ol>
Puelmapu	<i>name</i><br><ol><li>Eastern part of the territory inhabited by the Mapuche people located east of the Andes.</li><li>Argentina</li></ol>
Santiaw	<i>name</i><br><ol><li>Santiago, Chile</li></ol>
Temuko	<i>name</i><br><ol><li>Temuco (the capital of Araucanía)</li></ol>
We Tripantu|spelling	<i>phrase</i><br><ol><li>Mapuche New Year.</li></ol>
Wenosayres	<i>name</i><br><ol><li>Buenos Aires</li></ol>
abvlen	<i>verb</i><br><ol><li>To abound.</li></ol>
achao	<i>noun</i><br><ol><li>hen</li></ol>
achawall|spelling|acawaj	<i>noun</i><br><ol><li>hen; chicken</li></ol>
af	<i>prep</i><br><ol><li>beside; next to.</li></ol>
afafan|spelling	<i>noun</i><br><ol><li>cheer; acclamation</li></ol>
afeluwvn	<i>verb</i><br><ol><li>To be bored.</li><li>First-person singular present affirmative real mood form of afeluwvn.</li></ol>
afelvn|afelaymi|afelnolimvn|afelnoliyiñ|afellimi|afelpeygu|afellapeymi|afelfuygu|afellapeyu|afellapen|afela|afelfun|afelle egvn|afelfuygvn|afellay|afelayiñ|afelge|afelnolimu|afelimi|afellapeymvn|afellayaymvn|afeliyiñ|afelayu|afelaygu|afelfuyiñ|afellayaymu|afelkilpe|afellimvn|afelfuymvn|afelael|afellayaygu|afelaymu|afellafuyiñ|afeligu|afellayayu|afelpeymu|afelmvn|afeligvn|afeli|afelkilpe egu|afellafuy|afellapeygvn|afelaymvn|afelliyiñ|afelpe egu|afellayan|afellimu|afelnoli|afelpeymi|afelpe egvn|afelnoael|afelyu|afelkilmvn|afellapeymu|afellapey|afelan|afellan|afelfuymi|afelimvn|afelmu|afellafuymi|afelnoliyu|afellaymvn|afellafuymvn|afelpeymvn|afellapeygu|afellaymu|afelpeyu|afelkilpe egvn|afelfuyu|afelpen|afelnole egvn|afelci|afellafuygvn|afellayu|afelyiñ|afellayayiñ|afelfuymu|afelnole egu|afelle|afellaygvn|afelkilci|afelnole|afelnolimi|afelkilyiñ|afelliyu|afellayaymi|afelkilyu|afelfu|afelle egu|afellapeyiñ|afelpe|afelli|afellafuymu|afellaygu|afellayay|afelaygvn|afelkilge|afellayaygvn|afelimu|afelkilmu|afellaymi|afelpeygvn|afellayiñ|afeliyu|afellafuyu|afellafuygu|afelpeyiñ|afellafun	<i>verb</i><br><ol><li>To discontinue an action.</li></ol>
afelzuamvn	<i>verb</i><br><ol><li>To demolish.</li><li>First-person singular present affirmative real mood form of afelzuamvn.</li></ol>
afkazi	<i>noun</i><br><ol><li>partner</li><li>The person standing next to someone.</li></ol>
afkentu	<i>adv</i><br><ol><li>Without ceasing; incessantly.</li></ol>
afmatufal	<i>adj</i><br><ol><li>wonderful; admirable</li></ol>
afmatun|afmatufuygvn|afmatunolimi|afmatunole egvn|afmatukilyu|afmatule egu|afmatulafuymi|afmatulapeyiñ|afmatukilmu|afmatumvn|afmatupeygu|afmatuyiñ|afmatufuyu|afmatukilge|afmatulapeygu|afmatulaygvn|afmatunoliyu|afmatunolimu|afmatulapeymu|afmatulapen|afmatulayan|afmatupe egu|afmatulayaymu|afmatulayayiñ|afmatukilpe|afmatulayay|afmatulaymi|afmatumu|afmatuge|afmatupeymvn|afmatupeyiñ|afmatuygu|afmatuaymvn|afmatulan|afmatuymu|afmatuaymu|afmatufuymvn|afmatulayaymi|afmatufu|afmatukilyiñ|afmatunole|afmatufuyiñ|afmatulafuymvn|afmatukilmvn|afmatufun|afmatukilpe egvn|afmatulafun|afmatuy|afmatukilci|afmatupen|afmatufuymi|afmatulapey|afmatulafuygvn|afmatupeymu|afmatuymi|afmatulimvn|afmatulayayu|afmatuayiñ|afmatulapeyu|afmatuaygvn|afmatulafuygu|afmatulafuymu|afmatupeygvn|afmatuli|afmatule|afmatupe egvn|afmatunoli|afmatulafuy|afmatunoael|afmatulay|afmatupeymi|afmatulaymvn|afmatukilpe egu|afmatulimu|afmatulaymu|afmatulayaygvn|afmatuaygu|afmatule egvn|afmatuan|afmatuliyiñ|afmatuygvn|afmatulapeygvn|afmatufuymu|afmatunolimvn|afmatuliyu|afmatunoliyiñ|afmatuymvn|afmatulafuyu|afmatupeyu|afmatulapeymvn|afmatulayaymvn|afmatufuygu|afmatulayaygu|afmatulayiñ|afmatulapeymi|afmatuci|afmatuayu|afmatua|afmatunole egu|afmatulimi|afmatulafuyiñ|afmatupe|afmatulayu|afmatuaymi|afmatuael|afmatuyu|afmatulaygu	<i>verb</i><br><ol><li>To admire; to be amazed.</li></ol>
afvlkan	<i>verb</i><br><ol><li>to color, to dye, to stain.</li></ol>
afvmvn	<i>verb</i><br><ol><li>To cook</li><li>To bake</li><li>To mature</li></ol>
afvn	<i>verb</i><br><ol><li>To finish, to complete.</li><li>To conclude.</li></ol>
age	<i>noun</i><br><ol><li>(anatomy) face</li></ol>
agken	<i>adj</i><br><ol><li>dry</li></ol>
agkvn	<i>verb</i><br><ol><li>To dry oneself.</li></ol>
aheltun	<i>verb</i><br><ol><li>To threaten.</li></ol>
