'eee	<i>particle</i><br><ol><li>yes</li></ol>
'ji'chü	<i>verb</i><br><ol><li>(transitive) to drag, pull, haul</li></ol>
'tawai	<i>noun</i><br><ol><li>lung</li></ol>
'wa'tö	<i>verb</i><br><ol><li>(transitive) to help</li><li>(transitive) to work out, to hammer out, to make</li></ol>
'ya'kwökö	<i>postp</i><br><ol><li>in half, by the waist or middle of</li></ol>
'ya'müttü	<i>noun</i><br><ol><li>loincloth belt</li></ol>
Akananña	<i>adv</i><br><ol><li>in Culebra, a village in the state of Amazonas in Venezuela</li></ol>
Akujena	<i>name</i><br><ol><li>(Maquiritari mythology) a lake of restorative water in the middle of the hidden sky (kaju) beyond the visible sky from which shamans are said to gain their understanding</li></ol>
Anadekenña	<i>adv</i><br><ol><li>in Boca de Piña, a village in Venezuela</li></ol>
Ankutudanña	<i>adv</i><br><ol><li>in Ciudad Bolívar, a city in Venezuela</li></ol>
De'kwana	<i>name</i><br><ol><li>(De'kwana dialect, Maquiritari mythology) Synonym of Wanatu (“the first created Maquiritari, made by Wanadi from the clay of Mount Dekuana”)</li></ol><br><i>noun</i><br><ol><li>(De'kwana dialect) Alternative form of de'kwana (“Maquiritari”)</li></ol>
De'kwana jüüdü	<i>name</i><br><ol><li>(De'kwana dialect) Mount Dekuana in the Parima Mountains, treated in legend as the origin place of the Maquiritari</li></ol>
Dodoimö	<i>name</i><br><ol><li>Mount Roraima</li></ol>
Entawade	<i>name</i><br><ol><li>the Ventuari River</li></ol>
Eudojanña	<i>adv</i><br><ol><li>in Europe</li></ol>
Ijüwütünña	<i>name</i><br><ol><li>Santa María de Erebato, a village in Venezuela</li></ol>
Kaaju	<i>name</i><br><ol><li>Synonym of Odo'sha (“evil brother of Wanadi, Devil”)</li></ol>
Kaajushawa|Kajushawa	<i>name</i><br><ol><li>Synonym of Odo'sha (“evil brother of Wanadi, Devil”)</li></ol>
Kadakanña	<i>adv</i><br><ol><li>in Caracas, the capital of Venezuela</li></ol>
Kadawanadunña	<i>adv</i><br><ol><li>in La Esmeralda, a town in Venezuela</li></ol>
Kajiyudu	<i>name</i><br><ol><li>a legendary leader of the Spanish colonists who captured Wanadi but failed in his attempts to kill him</li></ol>
Kaweshawa	<i>name</i><br><ol><li>(Maquiritari mythology) The daughter of the master of fish who became Wanadi’s wife</li><li>One of a small number of temporary names given to a baby girl at birth until a true name can be determined</li></ol>
Komashi	<i>name</i><br><ol><li>(Maquiritari mythology) a culture hero, the first human to be taught by Wanadi to wear beads as a form of magical protection</li></ol>
Madawaka	<i>name</i><br><ol><li>Cerro Marahuaca</li><li>(Maquiritari mythology) a vast tree, the origin of all food and vegetation, that was felled long ago, leaving behind Cerro Marahuaca as a stump</li></ol>
Medadanña	<i>adv</i><br><ol><li>in La Esmeralda, a town in Venezuela</li></ol>
Medakunadinña	<i>adv</i><br><ol><li>in Medakunadinña, a village along the Caura River in Venezuela</li></ol>
Odo'sha	<i>noun</i><br><ol><li>evil, malignant, or negative force</li></ol><br><i>name</i><br><ol><li>(Maquiritari mythology) The evil twin brother of Wanadi, born from his rotting placenta, who serves as the incarnation of all negative or malignant forces</li><li>(Christianity) the Devil</li></ol>
Sedujiyanadi	<i>name</i><br><ol><li>Synonym of Wanasedume</li></ol>
Sedume	<i>name</i><br><ol><li>Synonym of Wanasedume</li><li>Synonym of Wanasedu</li><li>One of a small number of temporary names given to a baby boy at birth until a true name can be determined</li></ol>
Sedumeyanadi	<i>name</i><br><ol><li>Synonym of Wanasedume</li></ol>
Shiiwidikiyü	<i>name</i><br><ol><li>One of a small number of temporary names given to a baby boy at birth until a true name can be determined</li></ol>
Suyunña	<i>adv</i><br><ol><li>in Suyunña, a village along the Erebato River in Venezuela</li></ol>
Uda'jö	<i>name</i><br><ol><li>the Pleiades</li><li>(Maquiritari mythology) the chief of the star people who led them into the sky, where he and his six hypostases (amode) became the Pleiades</li></ol>
Wana sejjedü	<i>name</i><br><ol><li>(Maquiritari mythology) one of the eight houses of the invisible sky beyond the sky (kaju), the one inhabited exclusively by Wanadi, from which he sends out and to which he collects eye spirits (önu ekato) and heart spirits (do'ta) at birth and death</li></ol>
Wanadi	<i>name</i><br><ol><li>(Maquiritari mythology) A mythological figure functioning variously as a god, shaman, and culture hero, created by the sun and creator of humans, who retreated from the world after its corruption and no longer interferes with earthly affairs</li><li>(Christianity) God</li><li>One of a small number of temporary names given to a baby boy at birth until a true name can be determined</li></ol>
Wanasedu	<i>name</i><br><ol><li>(Maquiritari mythology) the original Wanadi who resides permanently in the sky and occasionally sends down his hypostases (amode) to earth</li><li>One of a small number of temporary names given to a baby boy at birth until a true name can be determined</li></ol>
Wanasedume	<i>name</i><br><ol><li>(Maquiritari mythology) the first hypostasis (amode) of Wanadi that he sent to earth, who created the original people that became the animals, and from whose placenta Odo'sha was born before he retreated back to the sky</li></ol>
Wanatu	<i>name</i><br><ol><li>(Maquiritari mythology) the first created Maquiritari, made by Wanadi from the clay of Mount Dekuana (De'kwana jüüdü)</li></ol>
Widikiyanadi	<i>name</i><br><ol><li>One of a small number of temporary names given to a baby boy at birth until a true name can be determined</li></ol>
Wiyu	<i>name</i><br><ol><li>(Maquiritari mythology) the supernatural mistress of the water and mother to its creatures, a malevolent symbol of fecundity appearing variously as the anaconda and the rainbow: the Plumed Serpent</li></ol>
Wodiwanña	<i>adv</i><br><ol><li>in Ciudad Bolívar, a city in Venezuela</li></ol>
Yawekede	<i>name</i><br><ol><li>One of a small number of temporary names given to a baby girl at birth until a true name can be determined</li></ol>
Ye'kwana	<i>name</i><br><ol><li>(Ye'kwana dialect, Maquiritari mythology) Synonym of Wanatu (“the first created Maquiritari, made by Wanadi from the clay of Mount Dekuana”)</li></ol><br><i>noun</i><br><ol><li>(Ye'kwana dialect) Alternative form of ye'kwana (“Maquiritari”)</li></ol>
Ye'kwana jüüdü	<i>name</i><br><ol><li>(Ye'kwana dialect) Mount Dekuana in the Parima Mountains, treated in legend as the origin place of the Maquiritari</li></ol>
Yuwididi	<i>name</i><br><ol><li>One of a small number of temporary names given to a baby girl at birth until a true name can be determined</li></ol>
a'deu	<i>noun</i><br><ol><li>word</li><li>language</li></ol>
a'deu'kwe	<i>noun</i><br><ol><li>language</li></ol>
a'deujötü|a'de'jötü	<i>verb</i><br><ol><li>(intransitive, patientive) to converse, to have a conversation</li></ol>
a'deuwü	<i>verb</i><br><ol><li>(intransitive, patientive) to speak</li></ol>
a'du	<i>verb</i><br><ol><li>(transitive) to close, to cover</li></ol>
a'jö	<i>noun</i><br><ol><li>arm</li><li>branch</li></ol>
a'ka	<i>postp</i><br><ol><li>(De'kwana dialect) at, in, on, to; indicates a specific location or goal at a non-aquatic object of class 1</li></ol><br><i>verb</i><br><ol><li>(transitive) to serve</li></ol>
a'ke	<i>adv</i><br><ol><li>having zero, none, nothing</li></ol>
a'kede	<i>adv</i><br><ol><li>being lean, skinny, thin</li></ol>
a'kedeta	<i>verb</i><br><ol><li>(Ye'kwana dialect, intransitive, patientive) to slim down, to become lean, skinny, weak, frail</li></ol>
a'kedeto	<i>verb</i><br><ol><li>(De'kwana dialect, intransitive, patientive) to slim down, to become lean, skinny, weak, frail</li></ol>
a'kü	<i>noun</i><br><ol><li>tail</li></ol>
a'mamada|amamada	<i>noun</i><br><ol><li>Thoracocarpus bissectus</li><li>Tabebuia rosea</li></ol>
a'nau	<i>noun</i><br><ol><li>the pearly antshrike, Megastictus margaritatus</li></ol>
a'nö	<i>verb</i><br><ol><li>(transitive) to boil, to cook</li></ol>
a'seuwü|wa'sennö	<i>verb</i><br><ol><li>(intransitive, patientive) to laugh</li></ol>
a'to|atto	<i>noun</i><br><ol><li>rope, twine</li><li>snell (line by which a fishhook is attached)</li></ol>
a'töi	<i>noun</i><br><ol><li>bench, seat</li></ol>
a'yano	<i>noun</i><br><ol><li>bad luck or omen</li></ol>
a'ye	<i>adv</i><br><ol><li>(Ye'kwana dialect) being brief, short, ephemeral</li></ol>
aadajadaduwa	<i>noun</i><br><ol><li>a type of small brown catfish</li></ol>
aajöntö	<i>verb</i><br><ol><li>(intransitive, agentive) to begin</li></ol>
aakene	<i>adv</i><br><ol><li>(interrogative) how? what? in what way or manner?</li></ol>
aakene yeijökö	<i>adv</i><br><ol><li>(De'kwana dialect, interrogative) why is it?</li></ol>
aaki	<i>noun</i><br><ol><li>(De'kwana dialect) blood</li></ol>
aakö	<i>num</i><br><ol><li>two</li><li>(in certain expressions) few, little</li></ol>
aakö'kö	<i>num</i><br><ol><li>few, little</li></ol>
aaköiche'a	<i>num</i><br><ol><li>four</li></ol>
