Daod	<i>name</i><br><ol><li>David</li></ol>
Haron	<i>name</i><br><ol><li>Aaron, Harun</li></ol>
Isa	<i>name</i><br><ol><li>Jesus</li></ol>
Maka	<i>name</i><br><ol><li>Mecca</li></ol>
Misir	<i>name</i><br><ol><li>Egypt</li></ol>
Mosa	<i>name</i><br><ol><li>Moses</li></ol>
Noh	<i>name</i><br><ol><li>Noah</li></ol>
Polan	<i>name</i><br><ol><li>Poland</li></ol>
Rokol Kodos	<i>name</i><br><ol><li>Holy Spirit</li></ol>
Roma	<i>name</i><br><ol><li>Rome</li></ol>
Sam	<i>name</i><br><ol><li>Thailand (Siam)</li></ol>
Tohan	<i>noun</i><br><ol><li>(Islam, religion, monotheism) God.</li></ol>
Yaman	<i>name</i><br><ol><li>Yemen</li></ol>
Yosop	<i>name</i><br><ol><li>Joseph</li></ol>
a'i|aqi	<i>noun</i><br><ol><li>foot; leg</li></ol>
abano	<i>noun</i><br><ol><li>cigar</li></ol>
agama	<i>noun</i><br><ol><li>religion</li></ol>
agid	<i>noun</i><br><ol><li>hook (for getting things from the bottom of a body of water)</li></ol>
agila	<i>noun</i><br><ol><li>eagle</li></ol>
ago	<i>conj</i><br><ol><li>and</li></ol>
agong	<i>noun</i><br><ol><li>gong</li></ol>
agoy	<i>noun</i><br><ol><li>soot</li></ol>
ako	<i>pron</i><br><ol><li>I</li></ol>
akot	<i>verb</i><br><ol><li>to carry</li></ol>
alad	<i>noun</i><br><ol><li>fence</li></ol>
alkansiya	<i>noun</i><br><ol><li>safe deposit box</li></ol>
alomot	<i>noun</i><br><ol><li>moss</li></ol>
along	<i>noun</i><br><ol><li>shadow</li></ol>
alongan	<i>noun</i><br><ol><li>sun</li></ol>
ama'|amaq	<i>noun</i><br><ol><li>father</li></ol>
amir	<i>noun</i><br><ol><li>emir</li></ol>
amo'|Akin to Maguindanao amo.	<i>noun</i><br><ol><li>monkey</li></ol>
ana	<i>noun</i><br><ol><li>guest</li></ol>
anak	<i>noun</i><br><ol><li>child (a female or male child, a daughter or son)</li></ol>
anas	<i>noun</i><br><ol><li>landslide</li></ol>
anay|anai	<i>noun</i><br><ol><li>ant</li></ol>
anga	<i>noun</i><br><ol><li>mudfish</li></ol>
angin	<i>noun</i><br><ol><li>wind</li></ol>
anop	<i>verb</i><br><ol><li>to hunt</li></ol>
aol	<i>verb</i><br><ol><li>to weave</li></ol>
apoy	<i>noun</i><br><ol><li>fire</li></ol>
arap	<i>verb</i><br><ol><li>to hope</li><li>to pray</li></ol>
ari'	<i>noun</i><br><ol><li>king</li></ol>
arina	<i>noun</i><br><ol><li>flour</li><li>starch</li></ol>
asang	<i>noun</i><br><ol><li>gills</li></ol>
asem	<i>adj</i><br><ol><li>sour</li></ol>
asin	<i>noun</i><br><ol><li>salt</li></ol>
asinan	<i>noun</i><br><ol><li>salt pan</li></ol>
aso	<i>noun</i><br><ol><li>dog</li></ol>
astana'	<i>noun</i><br><ol><li>an elegant house, a mansion</li></ol>
atay	<i>noun</i><br><ol><li>liver</li></ol>
ating	<i>noun</i><br><ol><li>sweat</li></ol>
atoren	<i>verb</i><br><ol><li>to arrange</li></ol>
ayam|aiam	<i>noun</i><br><ol><li>animal</li></ol>
ayog	<i>noun</i><br><ol><li>saliva</li></ol>
ayon	<i>verb</i><br><ol><li>to agree</li></ol>
ba'ad|baqad	<i>verb</i><br><ol><li>to divide</li></ol>
ba'al|baqal	<i>verb</i><br><ol><li>to make</li></ol>
ba'an|baqan	<i>verb</i><br><ol><li>to sneeze</li></ol>
babad	<i>noun</i><br><ol><li>descendant</li></ol><br><i>verb</i><br><ol><li>to multiply</li></ol>
babak	<i>noun</i><br><ol><li>frog</li></ol><br><i>verb</i><br><ol><li>to go slowly</li></ol>
babang	<i>noun</i><br><ol><li>peer, equal</li></ol>
babat	<i>noun</i><br><ol><li>bracelet</li><li>belly</li></ol>
babeg	<i>noun</i><br><ol><li>wood minnow (Puntius Madalei)</li></ol>
babek	<i>noun</i><br><ol><li>thorn, bristles</li></ol>
babes	<i>verb</i><br><ol><li>to practice, to drill</li><li>to be experienced</li></ol>
babin	<i>noun</i><br><ol><li>(sewing) bobbin</li></ol>
bada	<i>noun</i><br><ol><li>width</li></ol><br><i>verb</i><br><ol><li>to equalize</li></ol>
