अ|a	<i>character</i><br><ol><li>The first vowel in Marathi.</li></ol>
अं|an	<i>character</i><br><ol><li>The twelfth vowel in Marathi.</li></ol>
अंकगणित|aṅkagaṇit	<i>noun</i><br><ol><li>(mathematics) arithmetic</li></ol>
अंगठा|aṅgṭhā	<i>noun</i><br><ol><li>(anatomy) thumb</li><li>(anatomy) the big toe, hallux</li></ol>
अंगण|aṅgaṇ	<i>noun</i><br><ol><li>yard, court, courtyard</li></ol>
अंगरखा|aṅgarkhā	<i>noun</i><br><ol><li>angarkha</li></ol>
अंडे|aṇḍe	<i>noun</i><br><ol><li>egg</li></ol>
अंतर्गत|antargat	<i>adj</i><br><ol><li>inner, internal</li><li>included amongst</li></ol>
अंथरूण|anthrūṇ	<i>noun</i><br><ol><li>bedding</li></ol>
अंदाज|andāj̈|अंदाज़	<i>noun</i><br><ol><li>estimate, guess, prediction</li></ol>
अंदाजे|andāj̈e|अंदाज़े	<i>adv</i><br><ol><li>roughly, approximately, about</li></ol>
अंधार|andhār	<i>noun</i><br><ol><li>darkness</li></ol>
अंबाडा|ambāḍā	<i>noun</i><br><ol><li>(Indian) common hog plum (Spondias pinnata, syn. S. mangifera)</li><li>bun (a hairstyle of women)</li><li>kenaf (Hibiscus cannabinus)</li></ol>
अंबारी|ambārī	<i>noun</i><br><ol><li>howdah (a tower or canopied seat upon an elephant)</li></ol>
अंबोळी|amboḷī	<i>noun</i><br><ol><li>flour soured by exposure to the air and slightly parched upon a girdle or baking-plate</li></ol>
अः|aḥ	<i>character</i><br><ol><li>The thirteenth vowel in Marathi.</li></ol>
अऊत|aūt	<i>noun</i><br><ol><li>(Desh) plough</li></ol>
अकथित|akthit	<i>adj</i><br><ol><li>untold, unspoken, unsaid</li></ol>
अकरा|akrā	<i>num</i><br><ol><li>eleven</li></ol>
अक्कल|akkal	<i>noun</i><br><ol><li>intelligence</li><li>understanding, sense</li></ol>
अखेर|akher	<i>adv</i><br><ol><li>after all, finally, at last</li></ol><br><i>noun</i><br><ol><li>end</li></ol>
अख्खे|akhkhe	<i>adj</i><br><ol><li>whole, entire</li></ol>
अगदी|agdī	<i>adv</i><br><ol><li>quite, completely, altogether</li></ol>
अग्नि|agni	<i>name</i><br><ol><li>(Hinduism) Agni (Hindu deity of fire)</li></ol><br><i>noun</i><br><ol><li>(formal) fire</li></ol>
अचानक|acānak	<i>adv</i><br><ol><li>suddenly</li><li>unexpectedly</li></ol>
अजिबात|ajibāt	<i>adv</i><br><ol><li>completely, at all</li></ol>
अजून|aj̈ūn	<i>adv</i><br><ol><li>yet, still</li></ol>
अट|aṭ	<i>noun</i><br><ol><li>condition, stipulation</li></ol>
अठरा|aṭhrā	<i>num</i><br><ol><li>eighteen</li></ol>
अडकणे|aḍakṇe	<i>verb</i><br><ol><li>to be caught, stuck, jammed</li><li>to be impeded, obstructed, hindered</li></ol>
अडणे|aḍṇe	<i>verb</i><br><ol><li>to be stuck, obstructed, hindered</li></ol>
अडाणी|aḍāṇī	<i>adj</i><br><ol><li>ignorant</li></ol>
अत्तर|attar	<i>noun</i><br><ol><li>attar, perfume</li></ol>
अधिक|adhik	<i>adj</i><br><ol><li>additional, larger, more, greater</li><li>excessive, above, beyond</li><li>too forward</li><li>wild, mischievous</li><li>(mathematics) plus</li></ol>
अननस|ananas	<i>noun</i><br><ol><li>pineapple, fruit</li></ol>
अनावश्यक|anāvaśyak	<i>adj</i><br><ol><li>unnecessary, unneeded</li></ol>
अनुभवणे|anubhavṇe	<i>verb</i><br><ol><li>to experience</li></ol>
अनुसरण|anusraṇ	<i>noun</i><br><ol><li>conformance</li><li>imitation</li></ol>
अनेक|anek	<i>adj</i><br><ol><li>many</li><li>some</li><li>more than one</li></ol>
अन्न|anna	<i>noun</i><br><ol><li>food</li></ol>
अपंग|apaṅga	<i>adj</i><br><ol><li>crippled, handicapped, disabled</li></ol>
अपुन|apun	<i>pron</i><br><ol><li>(colloquial) I</li></ol>
अफू|अफूंशी|अफूंच्या|अफूच्या|अफूंत|अफूचं|aphū|अफूशी|अफूने|अफूचे|अफूंचे|अफूंना|अफूला|अफूत|अफूंची|अफूंनी|अफूंचं|अफूचा|अफूंनो|अफूंचा|अफूची	<i>noun</i><br><ol><li>opium</li></ol>
अबीर|abīr	<i>noun</i><br><ol><li>(uncountable) a colored powder especially used during the Holi festival; abir</li></ol>
अब्ज|abja	<i>num</i><br><ol><li>billion; 1,000,000,000</li></ol><br><i>noun</i><br><ol><li>a lotus</li></ol>
अब्रू|अब्रूंना|अब्रूंत|अब्रूचे|abrū|अब्रूशी|अब्रूचं|अब्रूने|अब्रूंनो|अब्रूत|अब्रूंनी|अब्रूला|अब्रूचा|अब्रूंचं|अब्रूची|अब्रूच्या|अब्रूंचा|अब्रूंचे|अब्रूंशी|अब्रूंची|अब्रूंच्या	<i>noun</i><br><ol><li>honour, reputation</li></ol>
अभिषेक|abhiṣek	<i>noun</i><br><ol><li>(Hinduism) abhisheka</li></ol>
अभ्यास|abhyās	<i>noun</i><br><ol><li>study, exercise, practice</li></ol>
अमरावती|amrāvatī	<i>name</i><br><ol><li>Amravati, Oomrawutty (a city in Vidarbha, Maharashtra, India)</li><li>(Hinduism) Name of the capital city of Indra</li><li>Amaravati, Amaravathi (a city, the state capital of Andhra Pradesh, India)</li><li>Name of a historic Buddhist town in Andhra Pradesh</li></ol>
अयना|अयन्याचा|अयन्यांशी|अयन्याचं|अयन्याच्या|अयन्यांत|अयन्याला|अयन्यांचं|aynā|अयन्यांनी|अयने|अयन्यांचे|अयन्यांनो|अयन्याचे|अयन्यांना|अयन्याशी|अयन्यांचा|अयन्याने|अयन्यांच्या|अयन्यांची|अयन्यात|अयन्या|अयन्याची	<i>noun</i><br><ol><li>mirror</li></ol>
अरुंद|arunda	<i>adj</i><br><ol><li>narrow</li></ol>
अरे|are	<i>intj</i><br><ol><li>hey, sirrah, you there</li></ol>
अर्थ|artha	<i>noun</i><br><ol><li>meaning, significance</li><li>intention, aim</li><li>substance, money, wealth, property</li></ol>
अर्धे|ardhe	<i>adj</i><br><ol><li>half</li></ol>
अल्लड|allaḍ	<i>adj</i><br><ol><li>unexperienced, naive</li><li>playful, childish</li></ol>
अल्लाहो अकबर|allāho akbar	<i>phrase</i><br><ol><li>(Islam) Allahu akbar</li></ol>
