A|a	<i>character</i><br><ol><li>The first letter of the Marshallese alphabet, called a and written in the Latin script.</li></ol>
Aelok	<i>name</i><br><ol><li>Ailuk atoll</li></ol>
Aelōn̄in Ae|Aelōñin Ae	<i>name</i><br><ol><li>Ailinginae atoll</li></ol>
Aelōn̄in-ae|Aelōñin-ae	<i>name</i><br><ol><li>Ailinginae atoll</li></ol>
Aelōn̄inae|Aelōñinae	<i>name</i><br><ol><li>Ailinginae atoll</li></ol>
Aelōn̄ļapļap|Aelōñḷapḷap	<i>name</i><br><ol><li>Ailinglaplap atoll; Ailinglapalap atoll</li></ol>
Amedka	<i>name</i><br><ol><li>America</li></ol>
Am̧bo|Aṃbo	<i>name</i><br><ol><li>Legan islet, Kwajalein atoll</li></ol>
Andru	<i>name</i><br><ol><li>(bibilical, given name) Andrew</li></ol>
Anij	<i>name</i><br><ol><li>God</li></ol>
Arņo|ri-Arņo|Arṇo	<i>name</i><br><ol><li>Arno atoll</li></ol>
Atļaņtiik|Atḷaṇtiik	<i>name</i><br><ol><li>the Atlantic; the Atlantic Ocean</li></ol>
Aujtōrōlia	<i>name</i><br><ol><li>Australia</li></ol>
Aur	<i>name</i><br><ol><li>Aur atoll</li></ol>
Awai	<i>name</i><br><ol><li>Hawaii</li></ol>
Aļajka|Aḷajka	<i>name</i><br><ol><li>Alaska</li></ol>
Baibōļ|Baibōḷ	<i>name</i><br><ol><li>Bible</li><li>religious instruction</li><li>catechism</li></ol>
Bajjipiik	<i>name</i><br><ol><li>the Pacific; the Pacific Ocean</li></ol>
Bajjipik	<i>name</i><br><ol><li>the Pacific; the Pacific Ocean</li></ol>
Bartolomu	<i>name</i><br><ol><li>(bibilical, given name) Bartholomew</li></ol>
Bok-ak	<i>name</i><br><ol><li>Bokak atoll</li></ol>
Bokaak	<i>name</i><br><ol><li>Bokak atoll</li></ol>
Boonpe	<i>name</i><br><ol><li>Pohnpei; Ponape</li></ol>
Bāibōļ|Bāibōḷ	<i>name</i><br><ol><li>Bible</li><li>religious instruction</li><li>catechism</li></ol>
Bōraide	<i>name</i><br><ol><li>Friday</li></ol>
Bōļaide|Bōḷaide	<i>name</i><br><ol><li>Friday</li></ol>
Bōļao|Bōḷao	<i>name</i><br><ol><li>Palau</li></ol>
Bōļau|Bōḷau	<i>name</i><br><ol><li>Palau</li></ol>
Būranij	<i>name</i><br><ol><li>France</li></ol>
Būrotijen	<i>name</i><br><ol><li>a Protestant</li></ol>
Būļāide|Būḷāide	<i>name</i><br><ol><li>Friday</li></ol>
Devid	<i>name</i><br><ol><li>(bibilical, given name) David</li></ol>
Ebeje	<i>name</i><br><ol><li>Ebeye (the most populous island of Kwajalein atoll, Marshall Islands)</li></ol>
Eijia	<i>name</i><br><ol><li>Asia</li></ol>
Elej	<i>name</i><br><ol><li>(historical) Ellice Islands; Tuvalu.</li></ol>
Ellep	<i>name</i><br><ol><li>Lib island</li></ol>
Enm̧aat|Enṃaat	<i>name</i><br><ol><li>Enmat, Kwajalein atoll</li></ol>
Eo̧werōk|Eọwerōk	<i>name</i><br><ol><li>a legendary place where human spirits are said to go after death</li></ol>
Epatōn	<i>name</i><br><ol><li>Ebadon, Kwajalein atoll</li></ol>
Epejām	<i>name</i><br><ol><li>Federated States of Micronesia (a country in Oceania)</li></ol>
Epjā	<i>name</i><br><ol><li>Ebeye (the most populous island of Kwajalein atoll, Marshall Islands)</li></ol>
Epjā-dik	<i>name</i><br><ol><li>Big Bustard islet, Kwajalein atoll</li></ol>
Epoon	<i>name</i><br><ol><li>Ebon atoll</li></ol>
Eprōļ|Eprōḷ	<i>name</i><br><ol><li>April</li></ol>
Etiopia	<i>name</i><br><ol><li>Ethiopia (a country in Africa)</li></ol>
Ewerōk	<i>name</i><br><ol><li>a legendary place where human spirits are said to go after death</li></ol>
Grik	<i>name</i><br><ol><li>Greece (a country in Europe)</li></ol>
Iaab	<i>name</i><br><ol><li>Yap</li></ol>
Ibae	<i>name</i><br><ol><li>Ebeye (the most populous island of Kwajalein atoll, Marshall Islands)</li></ol>
