Ամաթուն|Amatʿun	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Իլով|Ilov	<i>name</i><br><ol><li>Lviv (a city in Ukraine)</li></ol>
Հազարդեղ|Hazardeł	<i>name</i><br><ol><li>a unisex given name</li></ol>
Մսըր|Msər	<i>noun</i><br><ol><li>Egypt (a country in North Africa and Western Asia)</li></ol>
Քուչակ|Kʿučʿak	<i>name</i><br><ol><li>the nickname of the Armenian medieval ashugh Nahapet Kuchak</li></ol>
ազդար|azdar	<i>noun</i><br><ol><li>glossed in Baṙgirkʿ hayocʿ as պարապար (parapar, “equal”)</li></ol>
ազֆար ըլ տիպ|azfar əl tip	<i>noun</i><br><ol><li>aromatic shell shards that look like fingernails, taken from shell sea-creatures; onycha</li></ol>
ալաժահր|alažahr	<i>noun</i><br><ol><li>a kind of buckthorn berry that is used as a yellow dye</li></ol>
ալմաս|almas|almast|ալմաստ	<i>noun</i><br><ol><li>diamond</li></ol>
ալոճ|aloč|aluč|ալուճ	<i>noun</i><br><ol><li>hawthorn (fruit and shrub)</li></ol>
ալուճ|aluč	<i>noun</i><br><ol><li>a kind of medicinal plant</li></ol>
ալուսան|աալուսան|alusan|այալուսան|aalusan|ayalusan	<i>noun</i><br><ol><li>alyssum (Alyssum; according to Vardanjan, specifically Alyssum saxatile)</li></ol>
ալքիմիա|alkʿimia	<i>noun</i><br><ol><li>alchemy</li></ol>
ախմախ|axmax	<i>adj</i><br><ol><li>stupid, foolish, unintelligent</li></ol>
ակնթարթ|akntʿartʿ	<i>noun</i><br><ol><li>blink of an eye</li></ol>
ահոկ|ahok	<i>noun</i><br><ol><li>harm, fault, blame</li></ol>
աղատել|ałatel	<i>verb</i><br><ol><li>to lament bitterly</li></ol>
աղուաշ|ałuaš	<i>adj</i><br><ol><li>half-witted, apish, trifling, silly, that plays the fool</li><li>(nominalized) ninny, simpleton</li></ol>
աճուկ|ačuk|ačuki	<i>noun</i><br><ol><li>groin (the fold or depression on either side of the body between the abdomen and the upper thigh)</li></ol>
աճռել|ačṙel	<i>verb</i><br><ol><li>(transitive) to rub, to mix, to knead</li></ol>
աման|aman	<i>noun</i><br><ol><li>vessel, container</li><li>tortoiseshell</li></ol>
ամպաճ|ampač	<i>noun</i><br><ol><li>mango</li></ol>
ամվաճ|amvač	<i>noun</i><br><ol><li>field horsetail, Equisetum arvense</li></ol>
այրիկ|arkan|ayrik|ayrkan|էրիկ|arkti|ērik|ērkan	<i>noun</i><br><ol><li>man, adult male</li><li>husband</li></ol>
անատակ|anatak	<i>adj</i><br><ol><li>bottomless (said of a sea)</li></ol>
անգուժատ|անգժատի|angužat	<i>noun</i><br><ol><li>asafoetida</li></ol>
անդամ|andamn|andamunkʿ|անդամն|andam|andamuns	<i>noun</i><br><ol><li>limb, member (of the body)</li><li>(anatomy) thighbone, femur</li></ol>
աներձագ|anerjagi|anerjag	<i>noun</i><br><ol><li>brother-in-law (wife’s brother)</li></ol>
անիսոն|anison	<i>noun</i><br><ol><li>anise, Pimpinella anisum (plant and seed)</li></ol>
ապիկի|apiku|apiki|apikoy	<i>noun</i><br><ol><li>glass (material)</li><li>glass vessel</li><li>(medicine) cupping glass</li><li>varnish</li></ol><br><i>adj</i><br><ol><li>glass, made of glass</li></ol>
առուոյտ|aṙuoyt	<i>noun</i><br><ol><li>alfalfa, lucerne, Medicago sativa</li></ol>
ասախ|iasax|easał|յասախ|asax|եասախ|եասաղ|asag|easax|ասագ|իասախ|yasax	<i>noun</i><br><ol><li>law</li><li>prohibition, ban</li><li>fine, penalty</li></ol>
ասլի|asli	<i>adj</i><br><ol><li>(of vine) rooted, taken root</li><li>noble, pure, true-born</li></ol>
ասփուր|aspʿur	<i>noun</i><br><ol><li>safflower, Carthamus tinctorius</li></ol>
արգատ|argat	<i>noun</i><br><ol><li>superfluous branches cut off from a vine and used for kindling</li></ol>
արճիճ|arčič	<i>noun</i><br><ol><li>lead (metal)</li></ol>
արշալոյս|aršalus|արշալուս|aršaloys	<i>noun</i><br><ol><li>dawn</li></ol>
արտալայ|արտալայնի|artalay	<i>noun</i><br><ol><li>shank (meat from the leg of an animal)</li></ol>
արտորալ|artoral	<i>noun</i><br><ol><li>(intransitive) to hurry, to make haste</li></ol>
արտուտ|artut	<i>noun</i><br><ol><li>lark</li></ol>
աւագ|awag	<i>adj</i><br><ol><li>greater; elder; chief; main; noble</li></ol>
աւշակ|awšak	<i>noun</i><br><ol><li>gum ammoniac, ammoniacum</li></ol>
ափիոն|apʿion	<i>noun</i><br><ol><li>opium</li></ol>
ափսոս|apʿsos	<i>intj</i><br><ol><li>alas!</li></ol>
բաբան|baban	<i>noun</i><br><ol><li>catapult</li></ol>
բազուկ|bazuk	<i>noun</i><br><ol><li>arm, forearm (of humans and animals)</li><li>(figuratively) stalks and other arm-like parts of various plants</li><li>chard, beet, beetroot</li></ol>
բալ|bal|bali	<i>noun</i><br><ol><li>sweet cherry (fruit)</li><li>sour cherry (fruit)</li></ol>
բալախ|balax	<i>noun</i><br><ol><li>common glasswort (Salicornia europaea)</li></ol>
բակլայ|baklay	<i>noun</i><br><ol><li>broad bean, Vicia faba</li></ol>
բամբակ|bambak	<i>noun</i><br><ol><li>cotton</li></ol>
բաջառել|baǰaṙel	<i>verb</i><br><ol><li>to tell myths, fables</li></ol>
բասար|basar	<i>noun</i><br><ol><li>sense, reason, wisdom</li></ol>
բարբուզան|barbuzan	<i>noun</i><br><ol><li>leafy goosefoot, Blitum virgatum</li></ol>
բարձուենեկ|barjuenek	<i>noun</i><br><ol><li>some Artemisia spp., such as Artemisia abrotanum and Artemisia vulgaris</li></ol>
բարտի|barti	<i>noun</i><br><ol><li>poplar</li></ol>
բեղ|beł	<i>noun</i><br><ol><li>moustache</li></ol>
բզրկատուն|bzrkatun	<i>noun</i><br><ol><li>fleawort, psyllium, Plantago psyllium (plant and seeds)</li></ol>
բիճ|bič	<i>noun</i><br><ol><li>bastard, illegitimate child</li><li>sucker (an undesired stem growing out of the roots or lower trunk of a plant)</li></ol>
բլբուլ|plpulu|plpuli|blbuli|պլպուլ|plpul|plplu|blbul	<i>noun</i><br><ol><li>nightingale</li></ol><br><i>adj</i><br><ol><li>(figuratively) mealy-mouthed, smooth-tongued; eloquent</li></ol>
բղուղ|błuł	<i>noun</i><br><ol><li>jar</li></ol>
բղջուն|błǰun	<i>adj</i><br><ol><li>having a swelling</li></ol>
բոզ|boz	<i>noun</i><br><ol><li>whore, prostitute</li></ol>
բոզաւագ|bozawag	<i>noun</i><br><ol><li>whoremaster, pimp, procurer</li></ol>
բոկեղ|bokeł	<i>noun</i><br><ol><li>a kind of round soft bread</li></ol>
բողկ|bołk	<i>noun</i><br><ol><li>radish</li></ol>
բողջ|bołǰ	<i>noun</i><br><ol><li>swelling, tumour, wound</li></ol>
բողջն|bołǰn	<i>noun</i><br><ol><li>ball</li></ol>
բու|bu|buoy	<i>noun</i><br><ol><li>owl</li></ol>
բուհրան|buhran	<i>noun</i><br><ol><li>(medicine) crisis of a disease</li></ol>
բռինչ|bṙinčʿ	<i>noun</i><br><ol><li>hackberry, the fruit of the nettle tree (Celtis spp.)</li></ol>
բռնչի|bṙnčʿi	<i>noun</i><br><ol><li>nettle tree (Celtis spp.)</li></ol>
