a|â	<i>noun</i><br><ol><li>(rare) river, stream, water</li></ol>
achte|acht	<i>num</i><br><ol><li>eight</li></ol><br><i>noun</i><br><ol><li>vigilance</li><li>state (of being)</li><li>prosecution</li></ol>
achten|achts|acht|achtet|achtende|achte|achtes|achtene|achtens	<i>verb</i><br><ol><li>to consider, to think</li><li>to pay attention to</li><li>to expect</li><li>to discuss</li><li>to esteem, to value</li></ol>
achtende|achte	<i>adj</i><br><ol><li>eighth</li></ol>
achter|dative]|achter [+accusative	<i>prep</i><br><ol><li>behind</li><li>through, past</li><li>after (in time, order)</li></ol><br><i>adv</i><br><ol><li>behind, at the back</li><li>backwards</li><li>after (in time)</li></ol>
achternoene	<i>noun</i><br><ol><li>(Flemish, rare) afternoon</li></ol>
acker	<i>noun</i><br><ol><li>field (for agriculture)</li><li>acre</li></ol>
adem|âdem	<i>noun</i><br><ol><li>breath</li></ol>
ademen|âdemens|âdems|âdemet|âdemes|âdeme|âdemen|âdem|âdemt|âdemende|âdemene	<i>verb</i><br><ol><li>to breathe</li></ol>
adere|âdere	<i>noun</i><br><ol><li>blood vein</li><li>groundwater</li><li>ore</li><li>leaf</li><li>stone</li></ol>
ael|âel	<i>noun</i><br><ol><li>eel</li></ol>
aelst	<i>noun</i><br><ol><li>Aalst (a city in modern Belgium)</li></ol>
aemstelredam	<i>noun</i><br><ol><li>Amsterdam (a city in the modern Netherlands)</li></ol>
aer|āer|âer	<i>noun</i><br><ol><li>ear (of corn, grain etc.)</li><li>eagle</li></ol>
aes|âes	<i>noun</i><br><ol><li>carrion</li><li>bait</li></ol>
af|of	<i>adv</i><br><ol><li>off, out, away</li><li>of, about</li></ol>
after	<i>prep</i><br><ol><li>(Holland) Alternative form of achter</li></ol><br><i>adv</i><br><ol><li>(Holland) Alternative form of achter</li></ol>
aken|âken	<i>noun</i><br><ol><li>Aachen (a city in modern Germany)</li></ol>
al|alles|alle	<i>det</i><br><ol><li>all, all of</li></ol><br><i>adv</i><br><ol><li>completely</li></ol><br><i>conj</i><br><ol><li>even though, no matter whether</li></ol>
albrecht	<i>noun</i><br><ol><li>Albertus Magnus</li></ol>
alcmaer|alcmāer	<i>noun</i><br><ol><li>Alkmaar (a city in the modern Netherlands)</li></ol>
aldus	<i>adv</i><br><ol><li>so, to that degree</li><li>so, in this/that way</li></ol>
ale|āle	<i>noun</i><br><ol><li>ale</li></ol>
alf	<i>noun</i><br><ol><li>elf, evil spirit</li></ol>
alijc|ālijc	<i>adj</i><br><ol><li>whole, complete</li></ol>
allame|allâme|allâmen	<i>noun</i><br><ol><li>tool</li><li>house gear</li><li>army supplies</li></ol>
allene|allêene|alleene|allêne	<i>adv</i><br><ol><li>only, just</li></ol>
alse	<i>conj</i><br><ol><li>if, in the case that</li><li>when, whenever</li></ol><br><i>adv</i><br><ol><li>as, (just) like</li><li>as if</li></ol>
also|alsô	<i>adv</i><br><ol><li>so, thus</li><li>also, to the same degree</li></ol>
ambrosius	<i>noun</i><br><ol><li>Aurelius Ambrosius</li></ol>
amen|āmen	<i>intj</i><br><ol><li>amen, so be it</li></ol>
ander|andre	<i>adj</i><br><ol><li>second</li><li>other</li><li>(nominalised) another, someone else, others</li><li>further, more</li></ol>
andersins	<i>adv</i><br><ol><li>differently, in another way/manner</li><li>on the other hand</li><li>otherwise</li><li>elsewhere</li></ol>
ane|āen|âne|āne|an|aen	<i>prep</i><br><ol><li>on, on top of</li><li>on, on the side of</li><li>beside, alongside</li><li>to, towards (also as strengthening of the dative case)</li><li>during</li><li>without</li><li>against, without regard for</li></ol><br><i>adv</i><br><ol><li>towards, closer</li></ol>
antwerpen	<i>noun</i><br><ol><li>Antwerp (a city in modern Belgium)</li></ol>
antworde	<i>noun</i><br><ol><li>answer</li><li>affirmation</li><li>accountability (in the sense of "answer to")</li></ol>
antworden|antwordene|antworts|antwordes|antworde|antwordet|antwort|antwordens|antwordende	<i>verb</i><br><ol><li>to answer</li><li>to answer to</li><li>to agree with</li></ol>
appel	<i>noun</i><br><ol><li>apple</li></ol>
arch	<i>adj</i><br><ol><li>bad, depraved</li><li>wrong, evil</li><li>shameful</li><li>bad, worthless, of low quality</li></ol><br><i>noun</i><br><ol><li>evil</li><li>disaster, misfortune</li></ol>
arde	<i>adv</i><br><ol><li>(Flemish) Alternative form of harde</li></ol>
argeren	<i>verb</i><br><ol><li>to make/become worse</li><li>to break, to damage, to ruin</li><li>to defile</li><li>to devalue</li><li>to harm</li><li>to annoy</li></ol>
aristotiles	<i>noun</i><br><ol><li>Aristotle</li></ol>
arm|arms|armen|ārem|arme|armer|arem	<i>noun</i><br><ol><li>arm</li></ol><br><i>adj</i><br><ol><li>poor, having few possessions</li><li>unfortunate, pitiable</li></ol>
aventure|avontuere|avonture	<i>noun</i><br><ol><li>event</li><li>dangerous situation, adventure</li><li>happenstance</li><li>fate</li><li>story, account</li></ol>
avont|âvont	<i>noun</i><br><ol><li>evening (starting an hour before sunset, considered the start of a new day)</li></ol>
axele	<i>noun</i><br><ol><li>Axel (a city in the modern Netherlands)</li></ol>
bachten|bachten [+dative|accusative]	<i>prep</i><br><ol><li>(chiefly Flemish) behind, at the back/rear</li></ol>
backen|bact|backende|backet|backes|backe|backene|bacs|bac|backens	<i>verb</i><br><ol><li>to bake</li><li>to cling</li></ol>
baden|bādet|bāde|bādens|bāets|bādes|bāet|bādene|bāden|bādende	<i>verb</i><br><ol><li>to bathe, to wash</li></ol>
baert|bāert	<i>noun</i><br><ol><li>beard</li></ol>
