Abraham	<i>name</i><br><ol><li>Abraham (prophet)</li></ol>
Achab	<i>noun</i><br><ol><li>Ahab (Biblical character)</li></ol>
Adam	<i>name</i><br><ol><li>Adam (Biblical progenitor of humankind).</li><li>(with newe or last) Jesus Christ.</li></ol>
Anntecrist	<i>name</i><br><ol><li>(Ormulum) Alternative form of Antecrist</li></ol>
Antecrist|Anticrist|auntecrist|ancrist|antcrist|onticrist|Antecristes	<i>name</i><br><ol><li>The Antichrist</li><li>An enemy of Christianity; a heretic.</li></ol>
Appolyn|Apollyn|Appollyn|Appollo|Appolyne|Apolyn|Apollyne|Apolyne|Apollo|Appollyne	<i>name</i><br><ol><li>(mythology) In Greek and Roman mythology, the god governing the sun; Phoebus, Apollo.</li></ol>
Aprill|Aurill|Avril|Avrill|Aprille|Avrille|Aurille	<i>name</i><br><ol><li>April</li></ol>
Aquilon	<i>noun</i><br><ol><li>The north wind personified</li></ol>
Armorik	<i>name</i><br><ol><li>(historical) Armorica</li></ol>
Arthour	<i>name</i><br><ol><li>Arthur</li></ol>
Arthure|Arthur	<i>name</i><br><ol><li>Arthur</li></ol>
Aschewednysday|Hasse Wednysday|Askwednesday|aske Wenesday|axwednesdai|As Wedynsday	<i>name</i><br><ol><li>Ash Wednesday</li></ol>
Athens|Athenes|Atenys|Atenes	<i>name</i><br><ol><li>Athens (the capital city of Greece)</li></ol>
Austin	<i>noun</i><br><ol><li>Augustine</li></ol>
Balthasar	<i>name</i><br><ol><li>(biblical, historical) Balthazar, a Babylonian king mentioned in the Book of Daniel.</li><li>(biblical) Belteshazzar, the Babylonian name of the biblical prophet Daniel.</li></ol>
Balyne|Balyn|Balen	<i>name</i><br><ol><li>(Arthurian legend) Sir Balin</li></ol>
Bathe|Baþun|Baðen|Baþe	<i>name</i><br><ol><li>Bath (a city in Somerset)</li></ol>
Bedewer	<i>name</i><br><ol><li>Bedivere</li></ol>
Bethleem|Bedlem|Bedleme|Betheleem|Beðleem|Bethlehem|Bedleem	<i>name</i><br><ol><li>Bethlehem (a city in Palestine)</li><li>(rare) Bethlem Royal Hospital</li></ol>
Beþþleæm	<i>name</i><br><ol><li>(Ormulum) Alternative form of Bethleem</li></ol>
Biland	<i>name</i><br><ol><li>Byland</li></ol>
Boldon Buke	<i>name</i><br><ol><li>Boldon Book.</li></ol>
Breteyn	<i>name</i><br><ol><li>Britain</li><li>Brittany</li></ol>
Bretone	<i>name</i><br><ol><li>Briton</li></ol>
Britayne	<i>name</i><br><ol><li>Brittany</li></ol>
Cales	<i>name</i><br><ol><li>Calais (a city in the modern department of Pas-de-Calais, France)</li></ol>
Caleys|Caleis|Calays|Calais	<i>name</i><br><ol><li>Calais (a city in the modern department of Pas-de-Calais, France)</li></ol>
Camelerde|Camylerde	<i>name</i><br><ol><li>(Arthurian legend) Cameliard (the estate of the young Guinevere and her father, King Leodegrance)</li></ol>
Carlele|Carlyle|Carlile|Carlel	<i>name</i><br><ol><li>Carlisle (a city in modern Cumberland, England)</li></ol>
Carlele axe|Carlele ax|carlel ax	<i>name</i><br><ol><li>A sort of axe associated with the city of Carlisle.</li></ol>
Caunterbury|Kaunterburi|Canterburi|Caunterburi|Cawnterbery|Canterbury	<i>name</i><br><ol><li>Canterbury (a cathedral city in modern Kent, England)</li></ol>
Cayrlyon	<i>name</i><br><ol><li>Caerleon</li><li>Chester</li></ol>
Cesar|Casare|Cesare	<i>name</i><br><ol><li>Caesar</li></ol>
Cestre	<i>name</i><br><ol><li>(Early Middle English) Alternative form of Chestre</li></ol>
Charlewayn|Carlewayn|carle wen|Charelwayn|charleswen|charlewayne	<i>name</i><br><ol><li>the Big Dipper; Ursa Major.</li></ol>
Chaucer|Chawcer|Chauser|Chaucere	<i>name</i><br><ol><li>a medieval English surname from Old French.</li><li>(rare) Geoffrey Chaucer (14th-century English poet)</li></ol>
Chestre|Chester|Chestir|Chestyre|Chestere|Chestr|Chestur	<i>name</i><br><ol><li>Chester (a city in modern Cheshire, England)</li></ol>
Chichevache	<i>name</i><br><ol><li>A legendary cow of enormous size, whose food was patient and obedient wives, and which was therefore in very lean condition.</li></ol>
Childermasse day|Chyldermesse Day|childer masse day|Childerne masse dai|childre masse dai|Chyldermasse day|children masse day|Chyldyrmas-day	<i>name</i><br><ol><li>Childermas</li></ol>
Chæstre	<i>name</i><br><ol><li>(Early Middle English) Alternative form of Chestre</li></ol>
Ciceroun	<i>name</i><br><ol><li>Cicero</li></ol>
Cipre	<i>name</i><br><ol><li>Cyprus</li></ol>
Constantinople|Constantynople|Constantinoble|Constantynoble|Constantinopole|Constantinopolis	<i>name</i><br><ol><li>Constantinople</li></ol>
Cornewayle	<i>name</i><br><ol><li>Cornwall</li></ol>
Cornewell	<i>name</i><br><ol><li>Cornwall</li></ol>
Crist|Cryst|Christ|Criste|Kryst|Cryste	<i>name</i><br><ol><li>(Jesus) Christ</li><li>messiah, saviour</li></ol>
Cristemasse|Crystemesse|Cristemesse|krystmasse|Cristynmesse|Xp̄es mæssa|Cristmes|Cristesmessa|Crystemasse|Cristesmasse|Xpes mæssa	<i>name</i><br><ol><li>Christmas (the 25th of December)</li><li>Christmastide, Christmas season.</li><li>Christmas festivities.</li></ol>
Cristen|Xpen|Crisstene|Xpisten|cristeneste|cristeyn|Cristyn|Cristenes|Cristene|Xp̄isten|crystyne|Cristine|crysten|cristin|Xp̄en|crystone	<i>adj</i><br><ol><li>Christian (one who believes in Christ)</li><li>Christian (related, controlled, characteristic of, or belonging to those who believe in Christ)</li><li>ecclesiastical, of the church.</li></ol><br><i>name</i><br><ol><li>A Christian; a believer in Christ.</li><li>(rare) The whole of Christianity; the Christian peoples of the world.</li></ol>
Cristendom|cristendome|Crystendam|Crystendome|cristenedom|Crystyndome|crystendome|Crisstenndom|crystyndom|Xp̄endome|Xpendome|cristindome|cristendam	<i>name</i><br><ol><li>Christian belief; faith in Jesus Christ.</li><li>baptism; the induction of someone into the Christian faith.</li><li>The nations of the world that have a Christian ruler or government.</li><li>The whole of the Christian people; Christendom.</li><li>Christianity; the practice of believing in Christ.</li><li>The Christian ecclesiastical structure</li><li>The customs and habits of Christians and Christianity.</li></ol>
Cristenhode|Cristened|chrystenhede|christenhede	<i>name</i><br><ol><li>The condition of believing in Christianity; Christian belief.</li><li>(rare) Christianity as an organised faith.</li></ol>
Cristien|Christien|Cristiene|Kyrstyone|christian|Crestien|Cristian	<i>adj</i><br><ol><li>Christian; of those who believe in Christ.</li><li>ecclesiastical, of the church.</li></ol>
