Acquitaine	<i>name</i><br><ol><li>Aquitaine</li></ol>
Aegypte	<i>name</i><br><ol><li>Egypt (country)</li></ol>
Aegyptien|Aegyptiennes|Aegyptiens|Aegyptienne	<i>noun</i><br><ol><li>Egyptian person</li></ol>
Africque	<i>name</i><br><ol><li>Africa</li></ol>
Albanien|Albaniens	<i>noun</i><br><ol><li>Albanian (person)</li></ol>
Albanoys|Albanoyse|Albanoyses	<i>noun</i><br><ol><li>Albanian (Albanian person)</li></ol>
Alemant|Allemande|Allemant|Allemandes|Alemantes|Alemans|Alemante|Allemans	<i>noun</i><br><ol><li>a German; someone from the territory that is now called Germany</li></ol>
Allemaigne	<i>name</i><br><ol><li>Germany</li></ol>
Amiens	<i>name</i><br><ol><li>Amiens (the capital city of the modern Somme department, in the modern region of Hauts-de-France, France)</li></ol>
Angleterre	<i>name</i><br><ol><li>England (a country in the United Kingdom)</li></ol>
Angloys|Angloyse|Angloyses	<i>noun</i><br><ol><li>Englishman</li></ol>
Angou	<i>name</i><br><ol><li>Anjou</li></ol>
Aoust|Aousts	<i>noun</i><br><ol><li>August (month)</li></ol>
Apostolle	<i>name</i><br><ol><li>the Pope</li></ol>
Arabe|Arabes	<i>adj</i><br><ol><li>Arab (relating to Arabs or to Arab culture)</li></ol><br><i>noun</i><br><ol><li>Arab (person)</li></ol>
Aristotelique|Aristoteliques	<i>adj</i><br><ol><li>Aristotelian</li></ol>
Armenie	<i>name</i><br><ol><li>Armenia</li></ol>
Artus	<i>name</i><br><ol><li>Arthur (usually in reference to King Arthur)</li></ol>
Asie	<i>name</i><br><ol><li>Asia</li></ol>
Athenien|Atheniens|Athenienne|Atheniennes	<i>noun</i><br><ol><li>Athenian person</li></ol>
Basselonne	<i>name</i><br><ol><li>Barcelona (Spain)</li></ol>
Baudemagu	<i>name</i><br><ol><li>Baudemagus (Arthurian legend)</li></ol>
Bible	<i>name</i><br><ol><li>The Bible (The Christian holy book; the Old and New Testaments)</li></ol>
Boort	<i>name</i><br><ol><li>(Arthrurian legend) Bors (king)</li></ol>
Bordeaulx	<i>name</i><br><ol><li>Bordeaux (the capital city of the modern Gironde department, France; capital city of the modern region of Nouvelle-Aquitaine)</li></ol>
Bouquinghem	<i>name</i><br><ol><li>Buckingham (town)</li></ol>
Castelan|Castelans	<i>noun</i><br><ol><li>Castilian (person)</li></ol>
Casteloing|Casteloingne|Casteloings|Casteloingnes	<i>noun</i><br><ol><li>Castilian (person)</li></ol>
Castelongne	<i>name</i><br><ol><li>Catalonia</li></ol>
Castille	<i>name</i><br><ol><li>Castile</li></ol>
Castillien|Castilliens	<i>noun</i><br><ol><li>Castilian (person from Castile)</li></ol>
Catholique|Catholiques	<i>adj</i><br><ol><li>Catholic</li></ol>
Chierrebourg	<i>name</i><br><ol><li>Cherbourg</li></ol>
Chrestien|Chrestiens|Chrestienne|Chrestiennes	<i>noun</i><br><ol><li>Christian</li></ol><br><i>adj</i><br><ol><li>Christian</li></ol>
Chrestienté	<i>noun</i><br><ol><li>Christianity</li></ol>
Christ	<i>name</i><br><ol><li>Christ</li></ol>
Christianisme	<i>noun</i><br><ol><li>Christianity</li></ol>
Constantinoble	<i>name</i><br><ol><li>Constantinople</li></ol>
Cornuaille	<i>name</i><br><ol><li>Cornwall (a region in southern England)</li></ol>
Dannoys|Dannoyse|Dannoyses	<i>noun</i><br><ol><li>Dane (Danish person)</li></ol>
Dieu|Dieux	<i>name</i><br><ol><li>God (Christian deity)</li></ol>
Dimenche|Dimenches	<i>noun</i><br><ol><li>Sunday (day of the week)</li></ol>
Egypte	<i>name</i><br><ol><li>Egypt (country)</li></ol>
Egyptien|Egyptiennes|Egyptiens|Egyptienne	<i>noun</i><br><ol><li>Egyptian person</li></ol>
Engleterre	<i>name</i><br><ol><li>England (country)</li></ol>
Escosse	<i>name</i><br><ol><li>Scotland (a country in the United Kingdom)</li></ol>
Escossois	<i>noun</i><br><ol><li>Scotsman (male Scottish person)</li></ol>
Escoçois|Escoçoises|Escoçoise	<i>noun</i><br><ol><li>Scotsman; male Scot</li></ol>
Espaignol|Espaignoles|Espaignols|Espaignole	<i>noun</i><br><ol><li>Spaniard (male Spanish person)</li></ol>
Filles du Roy	<i>name</i><br><ol><li>Filles du Roy</li></ol>
France	<i>name</i><br><ol><li>France (a country in Europe)</li></ol>
François|Françoise|Françoyse|Françoises|Françoys|Françoyses	<i>adj</i><br><ol><li>French (of, relating to or from France)</li></ol><br><i>noun</i><br><ol><li>Frenchman</li><li>(in the singular) French language</li></ol>
Gascoigne	<i>name</i><br><ol><li>Gascony</li></ol>
Gascoing|Gascoings	<i>noun</i><br><ol><li>Gascon (person)</li></ol>
Gaule	<i>name</i><br><ol><li>Gaul (former name of France)</li></ol>
Gauvain	<i>name</i><br><ol><li>Gawain (Arthurian mythology)</li></ol>
Genievre	<i>name</i><br><ol><li>Guinevere (wife of King Arthur)</li></ol>
Got|Gots	<i>noun</i><br><ol><li>Goth (member of an ancient Germanic tribe)</li></ol>
Grec|Grecs|Graecz|Graec|Graecs|Grecz|Grecque|Grecques	<i>noun</i><br><ol><li>Greek (someone from Greece)</li></ol>
Grece	<i>name</i><br><ol><li>Greece</li></ol>
Hespaigne	<i>name</i><br><ol><li>Spain</li></ol>
Homere	<i>name</i><br><ol><li>Homer (Greek author)</li></ol>
Homericque|Homericques	<i>adj</i><br><ol><li>Homeric; Homerian</li></ol>
Honguerie	<i>name</i><br><ol><li>Hungary</li></ol>
Iappon	<i>name</i><br><ol><li>Japan (country)</li></ol>
Iesuchrist	<i>name</i><br><ol><li>Jesus Christ (Christian and Islamic figure)</li></ol>
Iesus	<i>name</i><br><ol><li>Jesus</li></ol>
Iherusalem	<i>name</i><br><ol><li>Jerusalem (city)</li></ol>
Indois|Indoises|Indoise	<i>noun</i><br><ol><li>(male) Indian</li></ol>
Italien|Italiens|Italiennes|Italienne	<i>noun</i><br><ol><li>Italian person</li></ol><br><i>adj</i><br><ol><li>Italian</li></ol>
Iuif|Iuifves|Iuifs|Iuifz|Iuifve	<i>noun</i><br><ol><li>Jew (Jewish person)</li></ol>
Janvier|Janviers	<i>noun</i><br><ol><li>January (month)</li></ol>
Japhet	<i>name</i><br><ol><li>Japheth (Biblical character)</li></ol>
Kaamalot	<i>name</i><br><ol><li>Camelot (legendary kingdom)</li></ol>
Lancelot	<i>name</i><br><ol><li>(Arthurian legend) Lancelot</li></ol>
Languedoch	<i>name</i><br><ol><li>Languedoc</li></ol>
Limosin|Limosins	<i>noun</i><br><ol><li>Limousin (person from the Limousin region of France)</li></ol>
Lissebonne	<i>name</i><br><ol><li>Lisbon (a city in Portugal)</li></ol>
Lissebonnois	<i>noun</i><br><ol><li>Lisboner</li></ol>
Logres	<i>name</i><br><ol><li>(Arthurian legend) Logres</li></ol>
Londres	<i>name</i><br><ol><li>London (the capital city of the modern United Kingdom; capital city of England)</li></ol>
Lourde	<i>name</i><br><ol><li>Lourdes (city)</li></ol>
Lutherisme	<i>noun</i><br><ol><li>(16th century) Lutheranism</li></ol>
Lybie	<i>name</i><br><ol><li>Libya (country)</li></ol>
Lymosin	<i>name</i><br><ol><li>Limousin (France)</li></ol>
Macedonien|Macedoniennes|Macedonienne|Macedoniens	<i>noun</i><br><ol><li>Macedonian (person)</li></ol>
Mahomet	<i>name</i><br><ol><li>Muhammad (Islamic prophet)</li></ol>
Mahometan|Mahometans	<i>noun</i><br><ol><li>Muslim</li></ol>
Mahommet	<i>name</i><br><ol><li>Muhammad (Islamic prophet)</li></ol>
May|Mays	<i>noun</i><br><ol><li>May (month)</li></ol>
Montreal	<i>name</i><br><ol><li>An island in the Saint Lawrence River, in modern Canada, at its confluence with the Ottawa River.</li></ol>
Mordrec	<i>name</i><br><ol><li>(Arthurian legend) Mordred</li></ol>
More|Mores	<i>noun</i><br><ol><li>Moor (person of Berber descent)</li></ol>
Morgain	<i>name</i><br><ol><li>(Arthurian legend) Morgan (i.e. Morgan le Fay)</li></ol>
Myennes	<i>name</i><br><ol><li>Myennes (a village in the Nièvre department, France)</li></ol>
Napples	<i>name</i><br><ol><li>Naples (Italian city)</li></ol>
Nazarien|Nazariene|Nazariens|Nazarienes	<i>adj</i><br><ol><li>Nazarene</li><li>Christian</li></ol>
Nismes	<i>name</i><br><ol><li>Nîmes (a city in France)</li></ol>
Norgalles	<i>name</i><br><ol><li>North Wales (northern part of Wales in what is now the United Kingdom)</li></ol>
Normant|Normande|Normandes|Normans	<i>adj</i><br><ol><li>Norman (of or relating to Normandy)</li></ol>
Nouvelle France	<i>name</i><br><ol><li>(historical) Nouvelle-France: New France (a former colony of France in North America)</li></ol>
Noël|Noëls	<i>noun</i><br><ol><li>Christmas</li></ol>
Olympicque|Olympicques	<i>adj</i><br><ol><li>Olympic (relating to Mount Olympus; by extension the Ancient Greek gods)</li></ol>
Pantagruelicque|Pantagruelicques	<i>adj</i><br><ol><li>Pantagruelian</li></ol>
Pasques	<i>noun</i><br><ol><li>Easter</li></ol>
