.i.	<i>adv</i><br><ol><li>Abbreviation of ed ón.</li></ol>
Acurón	<i>name</i><br><ol><li>(religion) the Quran</li></ol>
Aengus|Aengusa|nAengus	<i>name</i><br><ol><li>(Irish mythology) The Gaelic god of love, youth, and poetic inspiration, son of the Dagdae and Boann of the Túatha Dé Danann.</li></ol>
Albanach|nAlbanach	<i>adj</i><br><ol><li>Scottish</li></ol><br><i>noun</i><br><ol><li>Scot, Scotsman</li></ol>
Brega|Breg|mBrega	<i>name</i><br><ol><li>(plural only) Bregia (a the country around the Hill of Tara in Ireland)</li><li>inhabitants of Bregia</li></ol>
Breta|mBreta	<i>name</i><br><ol><li>Britain</li></ol>
Bretnach|Brethnach|Bretanach|mBretnach	<i>adj</i><br><ol><li>Welsh</li></ol><br><i>noun</i><br><ol><li>Welshman, Welshwoman</li></ol>
Britt	<i>noun</i><br><ol><li>Briton</li></ol>
Bréfne|mBréfne|Brefni|Bréfni|mBréfni	<i>name</i><br><ol><li>Breffny, a kingdom of medieval Ireland corresponding approximately to modern Counties Leitrim and Cavan</li></ol>
Cethern	<i>name</i><br><ol><li>Cethern</li></ol>
Cúalu|Chúalann|Cualand|Chualanb|Chualand|Cúaland|Cualann|Cualanb|Chúaland|Chúalu|Cúalann	<i>name</i><br><ol><li>Cualu, a territory in medieval Ireland south of the River Liffey, corresponding approximately to modern County Wicklow and southern County Dublin.</li></ol>
Dagda	<i>name</i><br><ol><li>(Irish mythology) An important god in Irish mythology.</li></ol>
Dalmait	<i>name</i><br><ol><li>Dalmatia (a region of Croatia)</li></ol>
Dalmán	<i>name</i><br><ol><li>Dalmatia (a region of Croatia)</li></ol>
Laigin|Laignib|Lagniu|Laigniu	<i>name</i><br><ol><li>Leinstermen</li><li>(plural only) Leinster (province of Ireland)</li></ol>
Mide|Midi	<i>name</i><br><ol><li>Meath (a province of Ireland)</li></ol>
Mórrígan	<i>name</i><br><ol><li>(medieval) Alternative form of Morrígan</li></ol>
Northmann	<i>noun</i><br><ol><li>Norseman, Dane</li></ol>
Oirp|nOirp	<i>name</i><br><ol><li>(rare, appears only in glossaries) Europe (a continent)</li></ol>
Saxa|Saxain|Ṡaxa	<i>noun</i><br><ol><li>Saxon</li></ol>
Saxain|Ṡaxain	<i>name</i><br><ol><li>England</li></ol>
Saxanach|Ṡaxanach	<i>adj</i><br><ol><li>Saxon, English (nationality)</li></ol><br><i>noun</i><br><ol><li>Saxon, Englishman, Englishwoman</li></ol>
Ulaid|nUlad|Ulad|nUlaid	<i>name</i><br><ol><li>(plural only) Ulster (a province of Ireland)</li></ol>
ab|aba|abann|n-aband|n-ab|aband|n-aba|n-abann	<i>noun</i><br><ol><li>river</li></ol>
abacc|n-abacc	<i>noun</i><br><ol><li>dwarf</li></ol>
abaid|n-abbuig|apaid|abbuig|n-abaid|n-apaid	<i>adj</i><br><ol><li>ripe; mature</li></ol>
abbán|n-abbán	<i>adj</i><br><ol><li>very white</li></ol>
adarcach|n-adarcach	<i>adj</i><br><ol><li>horned</li></ol>
aerda	<i>adj</i><br><ol><li>pertaining to the air, aerial, light as air</li></ol>
afost	<i>noun</i><br><ol><li>gold</li></ol>
aibgitir|n-aibgitir	<i>noun</i><br><ol><li>alphabet</li><li>ABC (fundamentals of any subject)</li></ol>
aicenta|n-aicenta	<i>adj</i><br><ol><li>natural</li><li>spirited, courageous</li></ol>
aile|aill|n-aill|n-aile	<i>adj</i><br><ol><li>other, second</li></ol>
aimser|aimsir|aimsire|n-aimser|aimsera|n-aimsir	<i>noun</i><br><ol><li>time</li></ol>
ainm|n-ainm	<i>noun</i><br><ol><li>name</li></ol>
ainmide	<i>adj</i><br><ol><li>animate (having the breath of life)</li><li>animal</li></ol><br><i>noun</i><br><ol><li>living creature, animal, beast</li></ol>
ainmidech|n-ainmidech	<i>adj</i><br><ol><li>decorated with figures of animals</li></ol>
airdircus|aurdarcus|n-airdircus|n-aurdarcus	<i>noun</i><br><ol><li>fame, renown</li></ol>
amaidecht|n-aimitecht|amaidechtai|aimidechta|aimitecht	<i>noun</i><br><ol><li>witchcraft, evil influence</li><li>foolishness</li></ol>
ammatán	<i>noun</i><br><ol><li>fool</li><li>simpleton</li></ol>
amra|n-amrae|amrae|n-amra	<i>adj</i><br><ol><li>wonderful, marvelous</li></ol>
amrán|n-amrán	<i>noun</i><br><ol><li>singing, song</li></ol>
ardáili|later /-ɣ-/|ar··ndáili|later /-ɣʲ-/|ar··dáili|ar·dáili	<i>verb</i><br><ol><li>to pour out, to distribute</li></ol>
atam	<i>noun</i><br><ol><li>atom, mote</li></ol>
attá|at·tá	<i>verb</i><br><ol><li>to be</li></ol>
bachlach|mbachlach	<i>noun</i><br><ol><li>labourer, serf, bondman</li><li>clown, churl</li></ol>
bachlachda|mbachlachda	<i>adj</i><br><ol><li>uncouth, rugged</li></ol>
badbda|mbadbda	<i>adj</i><br><ol><li>appertaining to war; Badb-like, deadly, fatal</li></ol>
balbán	<i>noun</i><br><ol><li>dumb person</li></ol>
banamail|mbanamail	<i>adj</i><br><ol><li>womanly, feminine</li><li>(derogatory) womanish</li></ol>
