ᄀᆞᄅᆞᄫᅵ|kòlòWí|ᄀᆞᄅᆞᄫᅵ〮	<i>noun</i><br><ol><li>drizzle (light rain)</li></ol>
ᄀᆞᄅᆞᆷ|kòlóm|ᄀᆞᄅᆞᆷ〮|ᄀᆞᄅᆞ〮매〮	<i>noun</i><br><ol><li>river</li><li>lake</li></ol>
ᄀᆞᄅᆞ치다|ᄀᆞᄅᆞ치〮거〮시다〮|ᄀᆞᄅᆞ치〮시ᄂᆞᆫ〮|ᄀᆞᄅᆞ치〮면〮|ᄀᆞᄅᆞ치〮ᄂᆞᆫ고〮|ᄀᆞᄅᆞ치〮리〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮시ᄂᆞ〮니라〮|ᄀᆞᄅᆞ치〮다〮|ᄀᆞᄅᆞ치〮던고〮|ᄀᆞᄅᆞ쵸〮마〮|ᄀᆞᄅᆞ치〮며〮|ᄀᆞᄅᆞ치〮뇨〮|ᄀᆞᄅᆞ치〮노라〮|ᄀᆞᄅᆞ쳐〮|ᄀᆞᄅᆞ치〮시ᄂᆞ〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮니〮ᅌᅵᆺ고〮|ᄀᆞᄅᆞ쵸〮려〮|ᄀᆞᄅᆞ치〮ᄂᆞ니〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮니라〮|ᄀᆞᄅᆞ쵸〮리라〮|ᄀᆞᄅᆞ치〮ᄂᆞ〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮ᄂᆞᆫ다〮|ᄀᆞᄅᆞ치〮시〮ᄂᆞ니〮ᅌᅵ다〮|kòlòchítá|ᄀᆞᄅᆞ치〮ᄂᆞ〮니라〮|ᄀᆞᄅᆞ치〮시니〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮니〮ᅌᅵᆺ가〮|ᄀᆞᄅᆞ치〮니〮|ᄀᆞᄅᆞ치ᇙ〮다〮|ᄀᆞᄅᆞ치〮ᄂᆞᆫ가〮|ᄀᆞᄅᆞ치〮ᄂᆞ니〮ᅌᅵᆺ가〮|ᄀᆞᄅᆞ친〮다〮|ᄀᆞᄅᆞ치예〮라〮|ᄀᆞᄅᆞ친〮|ᄀᆞᄅᆞ치〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮거ᄂᆞᆯ〮|ᄀᆞᄅᆞ치〮더라〮|ᄀᆞᄅᆞ치ᇙ〮가〮|ᄀᆞᄅᆞ치〮져〮|ᄀᆞᄅᆞ치〮더〮니라〮|ᄀᆞᄅᆞ치〮시〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮더시〮ᅌᅵ다〮|ᄀᆞᄅᆞ칠〮ᄊᆡ〮|ᄀᆞᄅᆞ치〮려〮|ᄀᆞᄅᆞ치〮거〮시니〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮시〮ᄂᆞ다〮|ᄀᆞᄅᆞ치〮쇼셔〮|ᄀᆞᄅᆞ친〮고〮|ᄀᆞᄅᆞ치〮건댄〮|ᄀᆞᄅᆞ치〮료〮|ᄀᆞᄅᆞ치〮과뎌〮 (kòlòchíkwàtyé, desires other's action)|ᄀᆞᄅᆞ쵸〮라〮|ᄀᆞᄅᆞ치〮리〮ᅌᅵᆺ가〮|ᄀᆞᄅᆞ치〮더녀〮|ᄀᆞᄅᆞ치〮다가〮|ᄀᆞᄅᆞ치〮돗다〮|ᄀᆞᄅᆞ치〮관ᄃᆡ〮|ᄀᆞᄅᆞ치〮ᄂᆞᆫ〮|ᄀᆞᄅᆞ치〮시〮니라〮|ᄀᆞᄅᆞ치〮시다〮|ᄀᆞᄅᆞ치〮리〮ᅌᅵᆺ고〮|ᄀᆞᄅᆞ치〮거시〮니라〮|ᄀᆞᄅᆞ치〮거든〮|ᄀᆞᄅᆞ쵸〮ᄃᆡ〮|ᄀᆞᄅᆞ치〮ᄂᆞ뇨〮|ᄀᆞᄅᆞ치〮건〮마ᄅᆞᆫ〮|ᄀᆞᄅᆞ치〮녀〮|ᄀᆞᄅᆞ치예〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮고져〮|ᄀᆞᄅᆞ치〮시리〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮더〮시니〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮사〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮시〮리라〮|ᄀᆞᄅᆞ치〮던가〮|ᄀᆞᄅᆞ치〮거시〮ᅌᅵ다〮|ᄀᆞᄅᆞ칠〮쎠〮|ᄀᆞᄅᆞ치〮던다〮|ᄀᆞᄅᆞ쵸〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮다라〮|ᄀᆞᄅᆞ치〮신〮|ᄀᆞᄅᆞ치〮니〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮ᄂᆞ녀〮|ᄀᆞᄅᆞ치〮더시〮니라〮|ᄀᆞᄅᆞ치〮라〮|ᄀᆞᄅᆞ친〮대〮|ᄀᆞᄅᆞ치〮시ᇙ〮|ᄀᆞᄅᆞ치〮고라〮|no separate forms|ᄀᆞᄅᆞ쵼〮|ᄀᆞᄅᆞ치〮리라〮|ᄀᆞᄅᆞ치〮ᄂᆞ니〮ᅌᅵᆺ고〮|ᄀᆞᄅᆞ쵸〮리〮ᅌᅵ다〮|ᄀᆞᄅᆞ치〮도다〮|ᄀᆞᄅᆞ친〮ᄃᆞᆯ〮|ᄀᆞᄅᆞ친〮가〮|ᄀᆞᄅᆞ치ᇙ〮고〮|ᄀᆞᄅᆞ치〮샴〮|ᄀᆞᄅᆞ치〮고〮|ᄀᆞᄅᆞ치〮노〮ᅌᅵ다〮|ᄀᆞᄅᆞ춈〮|ᄀᆞᄅᆞ치ᇙ〮|ᄀᆞᄅᆞ치〮논〮|ᄀᆞᄅᆞ치〮더〮시다〮|ᄀᆞᄅᆞ친〮뎌〮|ᄀᆞᄅᆞ치〮ᄂᆞ다〮|ᄀᆞᄅᆞ치〮나〮|ᄀᆞᄅᆞ치〮더뇨〮|ᄀᆞᄅᆞ쵸ᇙ〮	<i>verb</i><br><ol><li>to point towards</li><li>to teach</li><li>to command</li></ol>
ᄀᆞᅀᆞᆶ|ᄀᆞᅀᆞᆯᄒᆡ〮|ᄀᆞᅀᆞᆯ|kòzòlh|kozol	<i>noun</i><br><ol><li>autumn, fall</li></ol>
ᄀᆞᆫ쟈ᇰ|koncyang	<i>noun</i><br><ol><li>soy sauce made from soybean</li></ol>
ᄀᆞᆲ|kolp	<i>noun</i><br><ol><li>fold; layer</li></ol>
ᄀᆞᆲ다|ᄀᆞᆯᄫᅡ〮|ᄀᆞᆲ〯ᄉᆞᆸ〯ᄂᆞ〮니라〮|ᄀᆞᆲ〯더녀〮|ᄀᆞᆯᄫᆞᆫ〮가〮|ᄀᆞᆯᄫᆞᆫ〮고〮|ᄀᆞᆯᄫᆞ〮시〮리라〮|ᄀᆞᆲ〯과뎌〮 (kǒlpkwàtyé, desires other's action)|ᄀᆞᆲ〯ᄂᆞ녀〮|ᄀᆞᆯᄫᅢ〮라〮|ᄀᆞᆯᄫᆞ〮시〮ᄂᆞ다〮|ᄀᆞᆯᄫᆞ〮리〮ᅌᅵ다〮|ᄀᆞᆲ〯돗다〮|ᄀᆞᆯᄫᅩ〮려〮|ᄀᆞᆯᄫᆞ〮쇼셔〮|ᄀᆞᆯᄫᅩ〮ᅌᅵ다〮|ᄀᆞᆯᄫᆞ〮뇨〮|ᄀᆞᆯᄫᅩ〮마〮|ᄀᆞᆲ〯다라〮|ᄀᆞᆯᄫᆞᆫ〮뎌〮|ᄀᆞᆯᄫᆞᆯ〮ᄊᆡ〮|ᄀᆞᆲ〯논〮|ᄀᆞᆲ〯ᄂᆞ〮니라〮|ᄀᆞᆲ〯ᄂᆞᆫ다〮|ᄀᆞᆲ〯ᄉᆞᄫᅡ〮니라〮|ᄀᆞᆲ〯더〮시니〮ᅌᅵ다〮|ᄀᆞᆯᄫᆞ〮료〮|ᄀᆞᆲ〯더시〮니라〮|ᄀᆞᆯᄫᆞᆫ〮대〮|ᄀᆞᆯᄫᆞ〮니〮|ᄀᆞᆯᄫᆞ〮시ᇙ〮|ᄀᆞᆯᄫᆞ〮면〮|ᄀᆞᆯᄫᅩ〮라〮|ᄀᆞᆲ〯다〮|ᄀᆞᆲ〯더라〮|ᄀᆞᆲ〯ᄉᆞᄫᆞ〮리라〮|ᄀᆞᆲ〯노〮ᅌᅵ다〮|ᄀᆞᆯᄫᆞᆫ〮다〮|ᄀᆞᆯᄫᅩᆷ〮|ᄀᆞᆲ〯고져〮|ᄀᆞᆯᄫᆞᇙ〮가〮|ᄀᆞᆯᄫᆞ〮며〮|ᄀᆞᆲ〯건댄〮|ᄀᆞᆲ〯고〮|ᄀᆞᆯᄫᆞ〮녀〮|ᄀᆞᆯᄫᅩ〮리〮ᅌᅵ다〮|ᄀᆞᆲ〯거시〮ᅌᅵ다〮|ᄀᆞᆲ〯ᄂᆞ니〮ᅌᅵ다〮|ᄀᆞᆲ〯더시〮ᅌᅵ다〮|ᄀᆞᆲ〯던다〮|ᄀᆞᆲ〯도다〮|ᄀᆞᆲ〯거〮시다〮|ᄀᆞᆲ〯다가〮|ᄀᆞᆯᄫᆞ〮라〮|ᄀᆞᆯᄫᆞ〮니라〮|ᄀᆞᆲ〯고라〮|kǒlptá|ᄀᆞᆲ〯노라〮|ᄀᆞᆲ〯ᄉᆞᆸ〯ᄂᆞ다〮|ᄀᆞᆯᄫᆞ〮신〮|ᄀᆞᆲ〯져〮|ᄀᆞᆯᄫᅩ〮ᄃᆡ〮|ᄀᆞᆯᄫᆞ〮려〮|ᄀᆞᆯᄫᅩ〮리라〮|ᄀᆞᆯᄫᆞ〮샴〮|ᄀᆞᆲ〯ᄂᆞ니〮ᅌᅵᆺ가〮|ᄀᆞᆲ〯ᄉᆞᆸ〯다〮|ᄀᆞᆯᄫᆞ〮시ᄂᆞ〮니라〮|ᄀᆞᆲ〯사〮ᅌᅵ다〮|ᄀᆞᆲ〯ᄂᆞ다〮|ᄀᆞᆲ〯더〮니라〮|ᄀᆞᆯᄫᆞ〮니〮ᅌᅵᆺ고〮|ᄀᆞᆯᄫᆞ〮시니〮ᅌᅵ다〮|ᄀᆞᆯᄫᆞ〮나〮|ᄀᆞᆲ〯ᄉᆞᄫᆞ〮니라〮|ᄀᆞᆯᄫᆞᇙ〮다〮|ᄀᆞᆯᄫᅩᇙ〮|ᄀᆞᆯᄫᆞ〮니〮ᅌᅵᆺ가〮|ᄀᆞᆲ〯거시〮니라〮|ᄀᆞᆲ〯더뇨〮|ᄀᆞᆲ〯ᄂᆞ뇨〮|ᄀᆞᆯᄫᆞ〮시ᄂᆞᆫ〮|ᄀᆞᆯᄫᆞ〮니〮ᅌᅵ다〮|ᄀᆞᆯᄫᆞᆫ〮|ᄀᆞᆲ〯ᄉᆞᆸ〯더〮니라〮|ᄀᆞᆯᄫᆞ〮ᅌᅵ다〮|ᄀᆞᆲ〯ᄉᆞᄫᅡ〮다〮|ᄀᆞᆯᄫᆞᆫ〮ᄃᆞᆯ〮|ᄀᆞᆯᄫᅩᆫ〮|ᄀᆞᆯᄫᅢ〮ᅌᅵ다〮|ᄀᆞᆲ〯건〮마ᄅᆞᆫ〮|ᄀᆞᆲ〯ᄂᆞᆫ〮|ᄀᆞᆯᄫᆞᇙ〮고〮|ᄀᆞᆲ〯거〮시니〮ᅌᅵ다〮|ᄀᆞᆯᄫᆞ〮시ᄂᆞ〮ᅌᅵ다〮|no separate forms|ᄀᆞᆯᄫᆞᆯ〮쎠〮|ᄀᆞᆯᄫᆞ〮리〮ᅌᅵᆺ고〮|ᄀᆞᆲ〯던가〮|ᄀᆞᆯᄫᆞ〮리라〮|ᄀᆞᆲ〯거든〮|ᄀᆞᆯᄫᆞ〮시다〮|ᄀᆞᆯᄫᆞᇙ〮|ᄀᆞᆯᄫᆞ〮시〮ᅌᅵ다〮|ᄀᆞᆲ〯ᄂᆞᆫ가〮|ᄀᆞᆲ〯관ᄃᆡ〮|ᄀᆞᆲ〯더〮시다〮|ᄀᆞᆯᄫᆞ〮시〮ᄂᆞ니〮ᅌᅵ다〮|ᄀᆞᆲ〯ᄂᆞᆫ고〮|ᄀᆞᆯᄫᆞ〮시〮니라〮|ᄀᆞᆯᄫᆞ〮시리〮ᅌᅵ다〮|ᄀᆞᆲ〯던고〮|ᄀᆞᆯᄫᆞ〮리〮ᅌᅵᆺ가〮|ᄀᆞᆲ〯ᄂᆞ〮ᅌᅵ다〮|ᄀᆞᆲ〯거ᄂᆞᆯ〮|ᄀᆞᆲ〯ᄂᆞ니〮ᅌᅵᆺ고〮|ᄀᆞᆲ〯ᄉᆞᆸ〯더라〮	<i>verb</i><br><ol><li>(transitive) to make parallel</li><li>(intransitive) to be equal</li></ol>
ᄀᆞᆷᄌᆞᆨ|komcok|금즉|kumcuk	<i>noun</i><br><ol><li>while closing one's eyes</li><li>budgingly; while moving one's body in a single motion</li><li>shockedly; in an emotionally agitated manner</li></ol>
ᄀᆞᆷ다|komta	<i>verb</i><br><ol><li>to close one's eyes</li><li>to wash oneself; to bathe</li></ol>
ᄀᆞᆺ다|kǒztá|ᄀᆞᇫ다|kǒstá|ᄀᆞᅀᅡ〮|ᄀᆞᇫ〯다〮|ᄀᆞᆺ〯다〮|ᄀᆞᅀᆞ〮니〮	<i>verb</i><br><ol><li>to cut</li></ol>
ᄀᆞᇫ|ᄀᆞᇫ〯|ᄀᆞ〯ᅀᅢ〮|ᄀᆞᆺ|ᄀᆞᆺ〯|kǒs|ᄀᆞ〯ᅀᆡ〮|kǒz	<i>noun</i><br><ol><li>edge; boundary</li></ol>
ᄀᆞᇫ애|kòzGáy|ᄀᆞᇫ애〮	<i>noun</i><br><ol><li>scissors</li></ol>
ᄀᆞ옳|ᄀᆞ올|ᄀᆞ올ᄒᆡ〮|kòwòl|kòwòlh|ᄀᆞ올해〮	<i>noun</i><br><ol><li>(geographic) district</li></ol>
ᄀᆞ티|kothi	<i>adv</i><br><ol><li>with, together</li></ol>
ᄀᆡ약고|koyyakkwo	<i>noun</i><br><ol><li>gayageum, A long zither with bridges and between 12 and 25 strings; used primarily in Korean traditional and classical music.</li></ol>
ᄂᆞᄆᆞᆶ|nòmòlh	<i>noun</i><br><ol><li>edible plants; greens; herbs</li></ol>
ᄂᆞᆶ|ᄂᆞᆯ|ᄂᆞᆯ〮|ᄂᆞᆯ해〮|nól|nólh|ᄂᆞᆶ〮	<i>noun</i><br><ol><li>blade, edge</li></ol>
ᄂᆞᆾ|ᄂᆞᄎᆡ〮|nòs|ᄂᆞᆺ|nòch	<i>noun</i><br><ol><li>face</li></ol>
ᄂᆞ올|nowol	<i>noun</i><br><ol><li>poison</li></ol>
ᄂᆡᅀᅵᆯ|noyzil	<i>noun</i><br><ol><li>tomorrow</li></ol>
ᄃᆞᆯ|tól|ᄃᆞᆯ〮|ᄃᆞ〮래〮	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
