Holopedia	<i>name</i><br><ol><li>(Wikimedia jargon) Southern Min Wikipedia</li></ol>
Hàn-gí|汉语|漢語	<i>noun</i><br><ol><li>Chinese (language)</li></ol>
Hàn-gú|汉语|漢語	<i>noun</i><br><ol><li>Chinese (language)</li></ol>
Ji̍t-gí|日语|日語	<i>name</i><br><ol><li>Japanese language</li></ol>
Ji̍t-gú|日语|日語	<i>name</i><br><ol><li>Japanese language</li></ol>
Kó͘-tiâu-sián|古朝鮮|古朝鲜	<i>name</i><br><ol><li>(historical) Gojoseon (ancient Korean kingdom)</li></ol>
Tâi-lô|台罗|台羅|臺羅	<i>noun</i><br><ol><li>Taiwan's official transcription system for Min Nan, derived from Pe̍h-ōe-jī. Also known as the Taiwanese Romanization System.</li></ol>
Tāi-oân|大員|大圓	<i>name</i><br><ol><li>(historical) Tayoan (peninsula near present-day Tainan, Taiwan, as well as Taiwan itself)</li></ol>
a-phá-tò	<i>noun</i><br><ol><li>(Taiwan) apartment building, apartment house</li></ol>
a-só͘-bih	<i>noun</i><br><ol><li>(Taiwan) play (of a mechanism).</li></ol>
a̋i-sat-chuh	<i>noun</i><br><ol><li>(Taiwan) greetings</li></ol>
bi-tá-bín	<i>noun</i><br><ol><li>(Taiwan) vitamin</li></ol>
bih-luh	<i>noun</i><br><ol><li>(Taiwan) beer</li></ol>
bo̍k-sìn-gù	<i>noun</i><br><ol><li>(Taiwan) boxing</li></ol>
bâng	<i>verb</i><br><ol><li>do not; don't</li></ol>
bì-luh	<i>noun</i><br><ol><li>(Taiwan) beer</li></ol>
bì-lù	<i>noun</i><br><ol><li>(Taiwan) beer</li></ol>
cha̍p-hūn|十分	<i>adv</i><br><ol><li>very; extremely</li></ol>
cheng-chhái|精彩	<i>adj</i><br><ol><li>brilliant; splendid</li></ol>
chham-ka|參加|参加	<i>verb</i><br><ol><li>to participate, to attend</li></ol>
chham-koan|参观|參觀	<i>verb</i><br><ol><li>to see; to look around</li></ol>
chhan-chhiūⁿ|親像|亲像	<i>verb</i><br><ol><li>to seem; to be like; as if</li></ol>
chheng-chhó|清楚	<i>adj</i><br><ol><li>clear; unambiguous</li></ol>
chheng-khì|清气|清氣	<i>adj</i><br><ol><li>clean</li></ol>
chhia-chām|車站|车站	<i>noun</i><br><ol><li>bus station</li><li>bus stop</li></ol>
chhia-thâu|车头|車頭	<i>noun</i><br><ol><li>train station</li></ol>
chhin-chhiūⁿ|親像|亲像	<i>verb</i><br><ol><li>to seem; to be like; as if</li></ol>
chhit-thô|𨑨迌	<i>verb</i><br><ol><li>to play; to toy with</li><li>to have a good time</li></ol>
chhiu-chhìn|秋凊	<i>adj</i><br><ol><li>nice and cool</li></ol>
chhiáⁿ-mn̄g|請問|请问	<i>intj</i><br><ol><li>may I ask you a question?</li></ol>
chhiú-pió|手錶|手表	<i>noun</i><br><ol><li>a wristwatch</li></ol>
chhun-chiat|春节|春節	<i>noun</i><br><ol><li>Chinese New Year</li></ol>
chhun-thiⁿ|春天	<i>noun</i><br><ol><li>(season) spring</li></ol>
chhut-hiān|出現|出现	<i>verb</i><br><ol><li>to appear</li></ol>
chhut-khì|出去	<i>verb</i><br><ol><li>to come out</li></ol>
chhut-lâi|出來|出来	<i>verb</i><br><ol><li>to come out</li></ol>
chhéng-kà|请假|請假	<i>verb</i><br><ol><li>to request time off</li></ol>
chhú-tit|取得	<i>verb</i><br><ol><li>to gain; to obtain</li></ol>
chhûn-pān|存辦|存办	<i>verb</i><br><ol><li>to intend to; to have the intention of</li></ol>
chiat-bo̍k|节目|節目	<i>noun</i><br><ol><li>program; show</li></ol>
chiat-ji̍t|節日|节日	<i>noun</i><br><ol><li>holiday; day off</li></ol>
chiong-lâi|將來|将来	<i>noun</i><br><ol><li>future</li><li>in the future</li></ol>
chio͘-kó͘-lè-tò͘	<i>noun</i><br><ol><li>(Taiwan) chocolate</li></ol>
chit-ê|這個|这个	<i>pron</i><br><ol><li>this</li></ol>
chiông-chiân|從前|从前	<i>adv</i><br><ol><li>formerly</li></ol>
chi̍p-ha̍p|集合	<i>verb</i><br><ol><li>to assemble; to gather</li></ol>
chng|庄	
choân-pō͘|全部	<i>adj</i><br><ol><li>entire; whole</li></ol><br><i>noun</i><br><ol><li>all</li></ol>
choân-thé|全體|全体	<i>noun</i><br><ol><li>all; entirety</li></ol>
chái-khí|早起	<i>noun</i><br><ol><li>morning</li></ol>
chán|讚|赞	<i>adj</i><br><ol><li>awesome; cool</li></ol>
chêng-hóng|情况|情況	<i>noun</i><br><ol><li>situation; status; circumstances</li></ol>
chìn-hêng|進行|进行	<i>verb</i><br><ol><li>to proceed with; to carry out</li></ol>
chí-tō|指導|指导	<i>verb</i><br><ol><li>to guide</li></ol>
chò-chhân|做田	<i>verb</i><br><ol><li>to farm</li></ol>
chò-chhân-lâng|做穡人|做穑人	<i>noun</i><br><ol><li>farmer; peasant</li></ol>
chò-sit|做穑|做穡	<i>verb</i><br><ol><li>to work</li><li>to farm</li></ol>
chò-sit-lâng|做穡人|做穑人	<i>noun</i><br><ol><li>farmer; peasant</li></ol>
