A|a	<i>character</i><br><ol><li>The first letter of the Mohawk alphabet, written in the Latin script.</li></ol>
Ahkwesáhsne	<i>name</i><br><ol><li>Akwesasne</li></ol>
Aiè:wate’	<i>name</i><br><ol><li>Hiawatha</li></ol>
Aprám	<i>name</i><br><ol><li>Abraham</li></ol>
Aterónto	<i>name</i><br><ol><li>Toronto</li></ol>
Awentatokenhtì:ke	<i>noun</i><br><ol><li>Sunday</li></ol>
Awententa’ón’ke	<i>noun</i><br><ol><li>Monday</li></ol>
A’nowara’kó:wa	<i>name</i><br><ol><li>Turtle Island</li></ol>
Entákta	<i>noun</i><br><ol><li>Saturday</li></ol>
Kahnawà:ke	<i>name</i><br><ol><li>Kahnawake, Caughnawaga (a large Mohawk community on the South Shore region of Montreal)</li></ol>
Kaianere’kó:wa	<i>name</i><br><ol><li>Great Law of Peace</li></ol>
Kaio’konhá:ka’	<i>name</i><br><ol><li>The Cayuga people</li></ol>
Kanehsatà:ke	<i>name</i><br><ol><li>Oka</li></ol>
Kanienʼkehá:ka’|Kanienʼkehá:ka	<i>name</i><br><ol><li>The Mohawk people</li></ol>
Kaná:ta	<i>noun</i><br><ol><li>Canada (a country in North America)</li></ol>
Kanón:no	<i>name</i><br><ol><li>New York City</li></ol>
Kenhtè:ke	<i>name</i><br><ol><li>Tyendinaga</li></ol>
Kenten’kó:wa	<i>name</i><br><ol><li>November</li></ol>
Korahró:non	<i>noun</i><br><ol><li>Canadian</li></ol>
Koráhne	<i>name</i><br><ol><li>Canada</li></ol>
Kó:ra	<i>name</i><br><ol><li>historical title used for Dutch and British colonial govenors</li></ol>
Ohswé:ken	<i>name</i><br><ol><li>Ohsweken, Six Nations</li></ol>
Okaristiiáhne	<i>noun</i><br><ol><li>Thursday</li></ol>
Oneniotehá:ka’	<i>name</i><br><ol><li>The Oneida people</li></ol>
Ononta’kehá:ka’	<i>name</i><br><ol><li>The Onondaga people</li></ol>
Ratironhia’kehronòn:ke	<i>noun</i><br><ol><li>Tuesday</li></ol>
Ronwaia’tanentaktónhne	<i>noun</i><br><ol><li>Friday</li></ol>
Rorén	<i>name</i><br><ol><li>Lawrence</li></ol>
Rotinonshón:ni	<i>noun</i><br><ol><li>The longhouse builders.</li><li>The Iroquois people.</li></ol>
Sak	<i>name</i><br><ol><li>Jim</li></ol>
Seske’kó:wa	<i>name</i><br><ol><li>September</li></ol>
Seskéha	<i>name</i><br><ol><li>August</li></ol>
Shonkwaia’tíson	<i>noun</i><br><ol><li>Creator</li></ol>
Shotinontowane’há:ka’	<i>name</i><br><ol><li>The Seneca people</li></ol>
Soséhne	<i>noun</i><br><ol><li>Wednesday</li></ol>
Só:se	<i>name</i><br><ol><li>Joseph</li></ol>
Tekanawí:ta	<i>name</i><br><ol><li>the Great Peacemaker, Deganawida</li></ol>
Tharonhiawá:kon	<i>name</i><br><ol><li>the Creator</li></ol>
Tier	<i>name</i><br><ol><li>Peter</li></ol>
Tiohtià:ke	<i>name</i><br><ol><li>Montreal</li></ol>
Tá:wit	<i>name</i><br><ol><li>David</li></ol>
Wá:ri	<i>name</i><br><ol><li>Mary</li></ol>
Wátio	<i>name</i><br><ol><li>Matthew</li></ol>
ahsénhaton	<i>noun</i><br><ol><li>third</li></ol>
ahsónthen	<i>noun</i><br><ol><li>midnight</li></ol>
aió:ha	<i>noun</i><br><ol><li>mink</li></ol>
akaónha	<i>pron</i><br><ol><li>she, her</li><li>someone</li></ol>
akohsá:tens kanonwakón:ha	<i>noun</i><br><ol><li>zebra</li></ol>
akokstèn:ha|rokstèn:ha	<i>noun</i><br><ol><li>old woman</li></ol>
akoksténha	<i>noun</i><br><ol><li>old woman</li></ol>
akotént|satént|Her|My|His|Your|matént|raotént|akotént	<i>noun</i><br><ol><li>her aunt</li></ol>
akwá:wen	<i>pron</i><br><ol><li>mine</li></ol>
akwé	<i>det</i><br><ol><li>all</li></ol>
akwé:kon	<i>pron</i><br><ol><li>everybody, everything</li></ol>
akè:ra	<i>noun</i><br><ol><li>plate, dish</li></ol>
akó:wen	<i>pron</i><br><ol><li>hers</li><li>someone's</li></ol>
anihsnónhsawi’	<i>noun</i><br><ol><li>ring</li></ol>
