1-це|1-цень|1-цети|1-ценди|1-цешка|1-цетнень|1-цесят|1-ce|1-цесь|1-цекс|1-цеда|1-цетнетама|1-цет|1-ценкса|1-цева|1-цес|1-цеть|1-цеса|1-цетненди|1-цеселень|1-цефтома|1-цеста|1-цетнетада|1-цетне|1-цесян	<i>adj</i><br><ol><li>(abbreviation) 1st, first</li></ol>
10-це|10-цеса|10-цесь|10-цет|10-цеста|10-цесят|10-цеть|10-цетнень|10-цеселень|10-ce|10-цети|10-ценди|10-цешка|10-цетнетада|10-цеда|10-цетне|10-цетненди|10-цес|10-цень|10-ценкса|10-цесян|10-цетнетама|10-цефтома|10-цекс|10-цева	<i>adj</i><br><ol><li>(abbreviation) 10th, tenth</li></ol>
101-це|101-цети|101-цеса|101-цесят|101-цеда|101-цеть|101-цешка|101-ценкса|101-цефтома|101-цетнетада|101-цева|101-цет|101-цесян|101-цетненди|101-цетнетама|101-ценди|101-цес|101-ce|101-цень|101-цесь|101-цекс|101-цетне|101-цеселень|101-цетнень|101-цеста	<i>adj</i><br><ol><li>(abbreviation) 101st, hundred-first</li></ol>
11-це|11-цет|11-цесят|11-цетнетада|11-цетнень|11-цес|11-цекс|11-ce|11-ценди|11-цесь|11-цетненди|11-цеда|11-цесян|11-цеста|11-цеса|11-цева|11-цетнетама|11-ценкса|11-цеть|11-цефтома|11-цень|11-цетне|11-цеселень|11-цешка|11-цети	<i>adj</i><br><ol><li>(abbreviation) 11th, eleventh</li></ol>
20-це|20-цетнетама|20-цева|20-цефтома|20-цеста|20-цешка|20-цетненди|20-цеть|20-цень|20-цекс|20-цесян|20-цесь|20-ценкса|20-цет|20-цетнень|20-цес|20-цетне|20-ценди|20-цесят|20-цеда|20-цеселень|20-цети|20-ce|20-цетнетада|20-цеса	<i>adj</i><br><ol><li>(abbreviation) 20th, twentieth</li></ol>
21-це|21-цекс|21-цешка|21-цеса|21-цетнетада|21-ценкса|21-цеть|21-цетне|21-ce|21-цеста|21-цеда|21-цетненди|21-цетнетама|21-цева|21-цети|21-цесян|21-цес|21-цеселень|21-цень|21-ценди|21-цесят|21-цефтома|21-цет|21-цесь|21-цетнень	<i>adj</i><br><ol><li>(abbreviation) 21st, twenty-first</li></ol>
А|а	<i>character</i><br><ol><li>The first letter of the Moksha alphabet, written in the Cyrillic script.</li></ol>
Рава|Rava	<i>name</i><br><ol><li>A river in Sarmatia, now the Volga.</li></ol>
Россия|Россиядонк|Россияса|Россияшка|Rossijaška|Rossijaftoma|Россиязост|Россиястон|Россиястонза|Россияшкат|Россияват|Россияснонды|Россияфтомон|Россияньке|Россияванк|Россияваст|Россияшкаст|Rossijada|Россияц|Rossijava|Россияфтомот|Rossijaks|Россиянди|Россиязон|Россияшканза|Россиядонза|Россиястост|Россиянц|Россияцень|Rossijas|Россиянь|Россияванза|Россиястонт|Rossijasʹ|Россиянтень|Россиязе|Россиясост|Россияснон|Россияфтомонк|Россияценди|Россияшкан|Россиять|Россиядон|Россияда|Россиянкса|Россиязенди|Россиявант|Россияттама|Россиядонт|Россияшканк|Россиясонк|Rossijandi|Россиянтенди|Rossija|Россиясонт|Россияньконди|Россиясот|Россиязот|Россиянте|Rossijanʹ|Россияфтомонза|Россиязонк|Россияс|Rossijasta|Россияван|Россияньконь|Rossijatʹ|Россиястот|Rossijati|Россияце|Россиязонза|Россиязень|Россиясон|Россиясь|Rossijanksa|Россиясонза|Россияфтомонт|Rossijasa|Россияста|Россиянцты|Россиядост|Россиякс|Россиява|Россияфтомост|Россияти|Rossijanʹkonʹ|Россияфтома|Россияшкант|Россиядот|Россиясна|Россиястонк|Россиязонт	<i>name</i><br><ol><li>Russia (a country in Eastern Europe and Asia)</li></ol>
Россиянь|Rossijanʹ	<i>adj</i><br><ol><li>Russian (related to the Russian Federation)</li></ol>
