( )	<i>punct</i><br><ol><li>sometimes used to enclose digits to distinguish from letters</li></ol>
က|ka	<i>character</i><br><ol><li>Ka, the first consonant of the Mon alphabet.</li></ol><br><i>noun</i><br><ol><li>fish</li><li>howdah harness saddle.</li><li>short prop fulcrum.</li></ol><br><i>verb</i><br><ol><li>to be lacking.</li><li>to harness a horse or any draught animal.</li><li>to fail.</li></ol>
ကကနန်|ka kanan|ကဂနန်|ka kanon|ကကနောန်	<i>noun</i><br><ol><li>banded snakehead or immature banded snakehead. (Channa striata, syn. Ophiocephalus striatus)</li><li>(Kaw Kyaik) immature banded snakehead (Channa striata)</li></ol>
ကက္ကုသန်|kakkusan	<i>noun</i><br><ol><li>(Buddhism) Kakusandha, the first of the five Buddhas of the present cycle.</li></ol>
ကကၠဴ|kaklau	<i>noun</i><br><ol><li>point-tailed goby, flying-fish, Gobius acutipinnis Cuvier and Valenciennes.</li></ol>
ကချေၚ်|kakhyeṅ	<i>name</i><br><ol><li>Kachin {an ethnic group in Burma}, name of one of the Tibeto-Burman speaking, national groups of the union of Burma.</li></ol>
ကဆိၚ်|kachiṅ	<i>noun</i><br><ol><li>female dancer.</li></ol>
ကဆေဝ်|kachew	<i>verb</i><br><ol><li>to slip.</li></ol>
ကဆံ|kacham	<i>verb</i><br><ol><li>to repeat.</li></ol><br><i>adv</i><br><ol><li>repeatedly, again and again.</li></ol>
ကဆံၚ်|kachåṅ	<i>verb</i><br><ol><li>to build in tiers, launder.</li></ol><br><i>noun</i><br><ol><li>step, standard, stage in educational system.</li></ol>
ကညာ|kañā	<i>noun</i><br><ol><li>dry season summer dry or hot season.</li></ol>
ကညောန်|kañon	<i>verb</i><br><ol><li>to wrap tightly around one.</li></ol>
ကဏ္ဍ|kaṇḍa	<i>noun</i><br><ol><li>section</li></ol>
ကတပံင်|katapaṃṅ	<i>noun</i><br><ol><li>cockup immature bectie.</li></ol>
ကတာ|kachåṅ	<i>noun</i><br><ol><li>foreshore of river below bank, alluvial soil {as an island reformed}.</li></ol>
ကတ်|kat	<i>noun</i><br><ol><li>class of medicinal herbs and plants, such as Costus speciousus</li></ol><br><i>verb</i><br><ol><li>to study</li></ol>
ကထိုန်|katiun	<i>noun</i><br><ol><li>one of 12 lunar months in the traditional Mon calendar, roughly coinciding with November</li><li>(Buddhism) monastic robes presented to monks at end of the Buddhist Lent (Vassa)</li></ol>
ကဒါတ်|kadāt	<i>noun</i><br><ol><li>species of yam (Dioscorea wallichii)</li><li>liver, three leaved caper tree, Crataeva Roxburghii Brandis, species of yam, a kind of yam.</li></ol>
ကပလှု|kapalhu	<i>noun</i><br><ol><li>mullet fish.</li></ol>
ကပေါဝ်|kapow	<i>noun</i><br><ol><li>acacia, soap acacia creeper, Acacia concinna De Candolle.</li></ol>
ကပ်|kap	<i>noun</i><br><ol><li>mat of woven split bamboo</li><li>natural disasters an era calamity time of catastrophe.</li></ol>
ကမက်|kamak	<i>noun</i><br><ol><li>handle by which something is lifted or carried subscript consonant.</li></ol>
ကမာ|kamā	<i>noun</i><br><ol><li>thank reservoir cistern.</li></ol><br><i>verb</i><br><ol><li>to be geminate.</li></ol>
ကမ်|ကံ|kam	<i>noun</i><br><ol><li>bullet shell round cartridge.</li><li>Karma law of good and bad actions the cumulative product of a person’s past actions determining his destiny at any given time.</li></ol>
ကယာ|kayā	<i>verb</i><br><ol><li>to lift up</li><li>to be lift up</li><li>to come loose</li></ol>
ကယျာ|ကယာ|kayyā|kayā	<i>name</i><br><ol><li>Kayah, a Tibeto-Burman speaking ethnic group in Myanmar</li></ol>
ကရုဏာ|karuṇā	<i>noun</i><br><ol><li>compassion; sympathy</li></ol>
ကရေင်|kareng	<i>name</i><br><ol><li>Karen, {Kareang} Kayin name of one of Tibeto-burman speaking national groups of the Union of Burma.</li></ol><br><i>verb</i><br><ol><li>be half asleep with eyes closed luxuriate with eyes half close maintain a calculate silence.</li></ol>
ကရှ်ေ|karh	<i>noun</i><br><ol><li>measure of capacity equal to one thirty-two of a basket န (na) or half a ကလတ် (kalat).</li></ol>
ကလတ်|kalat	<i>noun</i><br><ol><li>measure of capacity equal to one-sixteenth of a basket န (na) four ကလတ် (kalat) is a ဇိပ် (jip).</li><li>royal or government emissary, ambassador, intelligencer.</li><li>middle-sixed tree bearing acerbic fruit in clusters used for curry.</li><li>sprout, shoot</li></ol><br><i>verb</i><br><ol><li>to plant seeds or sow individually.</li></ol>
ကလာထေၚ်|kalātheṅ	<i>noun</i><br><ol><li>chair</li></ol>
ကလေၚ်|kaleṅ	<i>verb</i><br><ol><li>(intransitive) to return to bring back to send back. {usually as first element of (v) phr} to reciprocate repeat an action.</li></ol>
ကဝက်|kəwɛk	<i>noun</i><br><ol><li>half</li></ol>
ကဝိ|kawi	<i>noun</i><br><ol><li>poet composer.</li></ol>
ကဝဲ|kaway|ka way	<i>noun</i><br><ol><li>shark</li></ol><br><i>verb</i><br><ol><li>(Pak Kret District) twirl, twist.</li><li>to turn round, twist, wind, screw in</li><li>(of wind) whirl</li></ol>
ကဝ်|kaw	<i>noun</i><br><ol><li>coarse sugar viscid substance pulp paste glue syrup residue obtained by evaporation.</li><li>cycle of time at the end of which the universe is destroyed and recreated.</li></ol><br><i>verb</i><br><ol><li>to be broken off</li><li>to snap break in two under the stress of bending.</li><li>to carry hanging loosely over the shoulder.</li></ol>
ကဝ်ဖှဳ	<i>noun</i><br><ol><li>coffee</li></ol>
ကသပ်|kasap	<i>noun</i><br><ol><li>expletive in.</li><li>plan of action considered intention.</li></ol>
ကအ်|ကမ်|kaʼ|ကံ|kam	<i>noun</i><br><ol><li>neck throat.</li><li>island raised mound formed by village site in low lying areas.</li></ol>
ကာ|kā	<i>noun</i><br><ol><li>teapot, tea kettle.</li><li>motor car, bus.</li><li>work, deed.</li></ol>
ကာပ္ပလဳ|kappəli	<i>noun</i><br><ol><li>Negro, negrito, esp. Andamanese</li></ol>
ကာမ|kāma	<i>noun</i><br><ol><li>sensual desire passion.</li></ol>
ကာလယဲ|kālayay	<i>noun</i><br><ol><li>epidemic, especially cholera</li></ol>
ကာဲ|kāyy	<i>verb</i><br><ol><li>to behave without restraint</li></ol>
